market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GLM,2023-10-01T00:00:00,2023-10-01T09:00:00,253.0,263.0,233.0,235.0,1697076266799,29710756427.42894,119262457.14019445,2023-10-01
KRW-GLM,2023-09-01T00:00:00,2023-09-01T09:00:00,223.0,260.0,216.0,254.0,1696118399852,47669158112.61029,203440228.12033054,2023-09-01
KRW-GLM,2023-08-01T00:00:00,2023-08-01T09:00:00,272.0,343.0,221.0,223.0,1693526377344,273285584287.115,928959421.1626502,2023-08-01
KRW-GLM,2023-07-01T00:00:00,2023-07-01T09:00:00,246.0,284.0,237.0,272.0,1690847995589,80860039487.99832,308327839.5862489,2023-07-01
KRW-GLM,2023-06-01T00:00:00,2023-06-01T09:00:00,275.0,299.0,206.0,246.0,1688169589419,101565414651.44873,385137730.2350999,2023-06-01
KRW-GLM,2023-05-01T00:00:00,2023-05-01T09:00:00,315.0,322.0,271.0,275.0,1685577599806,32064657969.891678,107450497.13263029,2023-05-01
KRW-GLM,2023-04-01T00:00:00,2023-04-01T09:00:00,319.0,366.0,297.0,315.0,1682899145076,274847185624.82272,817900753.9997253,2023-04-01
KRW-GLM,2023-03-01T00:00:00,2023-03-01T09:00:00,358.0,365.0,262.0,319.0,1680307182952,189877807976.20465,593678272.2905594,2023-03-01
KRW-GLM,2023-02-01T00:00:00,2023-02-01T09:00:00,295.0,404.0,280.0,360.0,1677628798123,324447527087.2217,944722865.7563708,2023-02-01
KRW-GLM,2023-01-01T00:00:00,2023-01-01T09:00:00,228.0,331.0,224.0,295.0,1675209589505,287273050630.24274,983576100.5607333,2023-01-01
KRW-GLM,2022-12-01T00:00:00,2022-12-01T09:00:00,310.0,319.0,214.0,229.0,1672531186117,87309256016.23924,319188020.8713387,2022-12-01
KRW-GLM,2022-11-01T00:00:00,2022-11-01T09:00:00,388.0,418.0,237.0,310.0,1669852794137,243740442507.74393,756338185.5463693,2022-11-01
KRW-GLM,2022-10-01T00:00:00,2022-10-01T09:00:00,376.0,433.0,333.0,388.0,1667260777392,398643803060.10126,1024229523.1472784,2022-10-01
KRW-GLM,2022-09-01T00:00:00,2022-09-01T09:00:00,336.0,541.0,307.0,377.0,1664582391716,1172048075329.1526,2692862328.506121,2022-09-01
KRW-GLM,2022-08-01T00:00:00,2022-08-01T09:00:00,350.0,516.0,321.0,336.0,1661990390487,688931033357.9236,1621536551.5453024,2022-08-01
KRW-GLM,2022-07-01T00:00:00,2022-07-01T09:00:00,298.0,367.0,290.0,350.0,1659311989465,201108097477.95535,625862689.2275044,2022-07-01
KRW-GLM,2022-06-01T00:00:00,2022-06-01T09:00:00,347.0,519.0,226.0,297.0,1656633599192,803291376964.5173,2019299414.2859976,2022-06-01
KRW-GLM,2022-05-01T00:00:00,2022-05-01T09:00:00,450.0,537.0,225.0,346.0,1654041566447,283749210137.4918,717797381.7719986,2022-05-01
KRW-GLM,2022-04-01T00:00:00,2022-04-01T09:00:00,676.0,730.0,448.0,450.0,1651363193855,421866802049.8459,724494730.1311696,2022-04-01
KRW-GLM,2022-03-01T00:00:00,2022-03-01T09:00:00,586.0,715.0,484.0,676.0,1648771199391,2172178939322.6367,3568231806.767487,2022-03-01
KRW-GLM,2022-02-01T00:00:00,2022-02-01T09:00:00,422.0,786.0,340.0,586.0,1646092799503,1641448801149.4338,2815013224.3029118,2022-02-01
KRW-GLM,2022-01-01T00:00:00,2022-01-01T09:00:00,559.0,765.0,337.0,422.0,1643673599712,553979993985.005,1003207348.294954,2022-01-01
KRW-GLM,2021-12-01T00:00:00,2021-12-01T09:00:00,894.0,970.0,465.0,559.0,1640995199035,502372269964.6137,749221958.1636709,2021-12-01
KRW-GLM,2021-11-01T00:00:00,2021-11-01T09:00:00,641.0,1145.0,601.0,881.0,1638316798675,1951684351732.7227,2286917224.739099,2021-11-01
KRW-GLM,2021-10-01T00:00:00,2021-10-01T09:00:00,605.0,855.0,581.0,642.0,1635724798553,610204199277.2043,873838054.0042086,2021-10-01
KRW-GLM,2021-09-01T00:00:00,2021-09-01T09:00:00,570.0,910.0,500.0,603.0,1633046399230,1873214027593.9978,2678278692.579939,2021-09-01
KRW-GLM,2021-08-01T00:00:00,2021-08-01T09:00:00,461.0,675.0,406.0,569.0,1630454399122,692454379764.5546,1263147281.3293383,2021-08-01
KRW-GLM,2021-07-01T00:00:00,2021-07-01T09:00:00,348.0,505.0,311.0,461.0,1627775998564,500242030373.2487,1229171044.811359,2021-07-01
KRW-GLM,2021-06-01T00:00:00,2021-06-01T09:00:00,363.0,420.0,190.0,349.0,1625097580791,99087696555.37694,301285941.5664506,2021-06-01
KRW-GLM,2021-05-01T00:00:00,2021-05-01T09:00:00,552.0,667.0,262.0,365.0,1622505598938,382590130000.66504,778390246.8788102,2021-05-01
KRW-GLM,2021-04-01T00:00:00,2021-04-01T09:00:00,760.0,896.0,334.0,552.0,1619827200411,768825831221.3777,1147176705.5332856,2021-04-01
KRW-GLM,2021-03-01T00:00:00,2021-03-01T09:00:00,385.0,844.0,362.0,759.0,1617235198031,961711947007.5573,1662720830.4937916,2021-03-01
KRW-GLM,2021-02-01T00:00:00,2021-02-01T09:00:00,129.0,940.0,121.0,386.0,1614556800283,1251294452982.558,3025908936.4577274,2021-02-01
KRW-GLM,2021-01-01T00:00:00,2021-01-01T09:00:00,120.0,168.0,110.0,128.0,1612137533855,105674761591.62448,770172960.6572199,2021-01-01
KRW-GLM,2020-12-01T00:00:00,2020-12-01T09:00:00,127.0,167.0,104.0,119.0,1609459148802,53839533257.76161,410822716.1936255,2020-12-01
KRW-GLM,2020-11-01T00:00:00,2020-11-01T09:00:00,87.8,160.0,81.7,128.0,1606780799476,67158391245.38964,525759327.609234,2020-11-01
KRW-GLM,2020-10-01T00:00:00,2020-10-01T09:00:00,123.0,126.0,84.7,87.6,1604188791254,13713402897.569084,124760755.20329079,2020-10-01
KRW-GLM,2020-09-01T00:00:00,2020-09-01T09:00:00,160.0,172.0,92.9,123.0,1601509933741,93359282275.78435,661727402.0934105,2020-09-01
KRW-GLM,2020-08-01T00:00:00,2020-08-01T09:00:00,71.6,223.0,67.7,159.0,1598918391950,97856464903.54646,712343113.7879316,2020-08-01
KRW-GLM,2020-07-01T00:00:00,2020-07-01T09:00:00,61.6,84.9,60.1,71.4,1596239374267,10496916391.766668,148458463.7294109,2020-07-01
KRW-GLM,2020-06-01T00:00:00,2020-06-01T09:00:00,61.0,92.4,55.7,61.6,1593561435031,14615098519.043955,202208745.01874623,2020-06-01
KRW-GLM,2020-05-01T00:00:00,2020-05-01T09:00:00,51.6,66.0,46.6,61.1,1590969357968,8978898303.206371,155488489.42233196,2020-05-01
KRW-GLM,2020-04-01T00:00:00,2020-04-01T09:00:00,41.2,56.0,39.6,51.2,1588291032845,6400388017.436538,135483941.80824667,2020-04-01
KRW-GLM,2020-03-01T00:00:00,2020-03-01T09:00:00,65.1,72.2,25.5,40.9,1585699194500,10586217414.739422,213579445.9612527,2020-03-01
KRW-GLM,2020-02-01T00:00:00,2020-02-01T09:00:00,57.8,119.0,57.4,64.7,1583020781590,39690804165.49733,496257469.548843,2020-02-01
KRW-GLM,2020-01-01T00:00:00,2020-01-01T09:00:00,37.3,81.0,34.6,57.5,1580515176814,22868964840.94058,421457377.5789848,2020-01-01
KRW-GLM,2019-12-01T00:00:00,2019-12-01T09:00:00,49.8,111.0,35.4,37.3,1577836608652,26117723769.75809,373487634.3626497,2019-12-01
KRW-GLM,2019-11-01T00:00:00,2019-11-01T09:00:00,53.1,64.1,36.4,49.4,1575158270070,8795391879.808777,159797786.86712706,2019-11-01
KRW-GLM,2019-10-01T00:00:00,2019-10-01T09:00:00,56.7,64.6,47.0,52.9,1572566081928,2959283526.309779,53194960.67618169,2019-10-01
KRW-GLM,2019-09-01T00:00:00,2019-09-01T09:00:00,74.1,76.0,50.5,56.4,1569887973885,7311795232.723286,104931706.89439493,2019-09-01
KRW-GLM,2019-08-01T00:00:00,2019-08-01T09:00:00,79.6,89.5,56.7,74.0,1567296000227,25023900535.882046,332650914.9922441,2019-08-01
KRW-GLM,2019-07-01T00:00:00,2019-07-01T09:00:00,117.0,120.0,63.3,79.9,1564617599526,5640057448.018927,65324322.28766089,2019-07-01
KRW-GLM,2019-06-01T00:00:00,2019-06-01T09:00:00,118.0,139.0,101.0,117.0,1561939027684,21008300714.65366,175043226.15727627,2019-06-01
KRW-GLM,2019-05-01T00:00:00,2019-05-01T09:00:00,86.9,155.0,76.6,119.0,1559347195806,12462095871.266947,107818612.83682811,2019-05-01
KRW-GLM,2019-04-01T00:00:00,2019-04-01T09:00:00,104.0,120.0,81.0,86.9,1556668758701,6544747086.358874,61925239.9436137,2019-04-01
KRW-GLM,2019-03-01T00:00:00,2019-03-01T09:00:00,70.6,109.0,65.0,104.0,1554076785971,33625703683.809174,362862183.3160575,2019-03-01
KRW-GLM,2019-02-01T00:00:00,2019-02-01T09:00:00,61.4,80.9,59.0,70.7,1551398361206,10659262342.142097,151724974.56631297,2019-02-01
