market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GMT,2023-10-01T00:00:00,2023-10-01T09:00:00,217.0,224.0,190.0,192.0,1697076082256,31072869830.352665,150526292.62316313,2023-10-01
KRW-GMT,2023-09-01T00:00:00,2023-09-01T09:00:00,216.0,222.0,194.0,217.0,1696118360113,78722363599.65207,379979061.02387977,2023-09-01
KRW-GMT,2023-08-01T00:00:00,2023-08-01T09:00:00,276.0,283.0,208.0,217.0,1693526250312,92378078338.38425,370260390.48634213,2023-08-01
KRW-GMT,2023-07-01T00:00:00,2023-07-01T09:00:00,295.0,379.0,267.0,275.0,1690847980494,619013386698.0844,1959905844.2526422,2023-07-01
KRW-GMT,2023-06-01T00:00:00,2023-06-01T09:00:00,343.0,365.0,236.0,295.0,1688169598563,269862133116.3882,934281722.9942936,2023-06-01
KRW-GMT,2023-05-01T00:00:00,2023-05-01T09:00:00,439.0,443.0,338.0,342.0,1685577543462,371247177393.06177,962830309.5887525,2023-05-01
KRW-GMT,2023-04-01T00:00:00,2023-04-01T09:00:00,519.0,533.0,415.0,439.0,1682899190015,434943471686.49316,889187900.1660347,2023-04-01
KRW-GMT,2023-03-01T00:00:00,2023-03-01T09:00:00,600.0,663.0,386.0,520.0,1680307195855,1158957188608.3398,2130278104.6642492,2023-03-01
KRW-GMT,2023-02-01T00:00:00,2023-02-01T09:00:00,695.0,746.0,555.0,600.0,1677628761901,677548412491.765,1017118690.223095,2023-02-01
KRW-GMT,2023-01-01T00:00:00,2023-01-01T09:00:00,292.0,861.0,290.0,695.0,1675209596595,2768423020442.27,4312468326.338748,2023-01-01
KRW-GMT,2022-12-01T00:00:00,2022-12-01T09:00:00,546.0,568.0,282.0,292.0,1672531200024,294238448723.0224,676008924.9516077,2022-12-01
KRW-GMT,2022-11-01T00:00:00,2022-11-01T09:00:00,906.0,1065.0,468.0,546.0,1669852793550,726169991565.9246,1120009700.2900674,2022-11-01
KRW-GMT,2022-10-01T00:00:00,2022-10-01T09:00:00,921.0,1615.0,865.0,906.0,1667260797966,1596791154538.9553,1348428592.794613,2022-10-01
KRW-GMT,2022-09-01T00:00:00,2022-09-01T09:00:00,922.0,1125.0,830.0,923.0,1664582390774,366403932303.2446,380866801.9282841,2022-09-01
KRW-GMT,2022-08-01T00:00:00,2022-08-01T09:00:00,1265.0,1515.0,875.0,922.0,1661990394762,550448189069.9891,454838347.1079087,2022-08-01
KRW-GMT,2022-07-01T00:00:00,2022-07-01T09:00:00,1100.0,1525.0,1015.0,1265.0,1659311995999,550989296618.4684,434924060.99137336,2022-07-01
KRW-GMT,2022-06-01T00:00:00,2022-06-01T09:00:00,1490.0,1505.0,713.0,1100.0,1656633599190,1009171245768.4011,962468338.4340395,2022-06-01
KRW-GMT,2022-05-01T00:00:00,2022-05-01T09:00:00,3690.0,4490.0,1050.0,1490.0,1654041597456,2910111967189.0674,1570867398.16555,2022-05-01
