market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GRS,2023-10-01T00:00:00,2023-10-01T09:00:00,669.0,792.0,600.0,603.0,1697076206039,274829960338.86392,384252691.6855699,2023-10-01
KRW-GRS,2023-09-01T00:00:00,2023-09-01T09:00:00,552.0,1725.0,514.0,670.0,1696118379131,2003433824889.7625,2251437958.329979,2023-09-01
KRW-GRS,2023-08-01T00:00:00,2023-08-01T09:00:00,476.0,734.0,456.0,552.0,1693526382182,889997998003.1095,1508720576.5615597,2023-08-01
KRW-GRS,2023-07-01T00:00:00,2023-07-01T09:00:00,442.0,607.0,433.0,476.0,1690847986305,163110485559.7877,323341494.245836,2023-07-01
KRW-GRS,2023-06-01T00:00:00,2023-06-01T09:00:00,478.0,567.0,385.0,442.0,1688169593634,152635110009.49298,311085013.7933683,2023-06-01
KRW-GRS,2023-05-01T00:00:00,2023-05-01T09:00:00,554.0,575.0,456.0,479.0,1685577571785,45944169474.47902,89143165.03765152,2023-05-01
KRW-GRS,2023-04-01T00:00:00,2023-04-01T09:00:00,575.0,642.0,522.0,552.0,1682899185136,204217691572.34845,345993900.2705314,2023-04-01
KRW-GRS,2023-03-01T00:00:00,2023-03-01T09:00:00,606.0,813.0,460.0,577.0,1680307188865,371183797316.8103,621045613.8324032,2023-03-01
KRW-GRS,2023-02-01T00:00:00,2023-02-01T09:00:00,481.0,871.0,465.0,606.0,1677628798603,539505714142.498,886793326.0041088,2023-02-01
KRW-GRS,2023-01-01T00:00:00,2023-01-01T09:00:00,406.0,641.0,402.0,482.0,1675209597536,316351471388.88904,594102207.0274987,2023-01-01
KRW-GRS,2022-12-01T00:00:00,2022-12-01T09:00:00,487.0,504.0,395.0,406.0,1672530944522,98909757640.36801,220138320.5872669,2022-12-01
KRW-GRS,2022-11-01T00:00:00,2022-11-01T09:00:00,609.0,662.0,402.0,487.0,1669852795679,542689752978.75653,1006322288.221521,2022-11-01
KRW-GRS,2022-10-01T00:00:00,2022-10-01T09:00:00,431.0,811.0,386.0,609.0,1667260799802,1122184346211.2915,1980289860.8860657,2022-10-01
KRW-GRS,2022-09-01T00:00:00,2022-09-01T09:00:00,428.0,648.0,404.0,431.0,1664582388232,273305778411.84296,545324383.2768229,2022-09-01
KRW-GRS,2022-08-01T00:00:00,2022-08-01T09:00:00,481.0,542.0,412.0,428.0,1661990391528,116657047885.50786,242287122.15603852,2022-08-01
KRW-GRS,2022-07-01T00:00:00,2022-07-01T09:00:00,446.0,683.0,397.0,481.0,1659311999295,450261930274.06226,817578297.8466822,2022-07-01
KRW-GRS,2022-06-01T00:00:00,2022-06-01T09:00:00,564.0,663.0,370.0,446.0,1656633590346,149144266578.0076,287990112.4628383,2022-06-01
KRW-GRS,2022-05-01T00:00:00,2022-05-01T09:00:00,744.0,791.0,447.0,564.0,1654041599295,176502214815.368,298870390.62311965,2022-05-01
KRW-GRS,2022-04-01T00:00:00,2022-04-01T09:00:00,937.0,990.0,742.0,744.0,1651363197162,411506312450.2269,469047274.3486376,2022-04-01
KRW-GRS,2022-03-01T00:00:00,2022-03-01T09:00:00,763.0,992.0,677.0,929.0,1648771190090,468246584283.05316,582684664.5341076,2022-03-01
KRW-GRS,2022-02-01T00:00:00,2022-02-01T09:00:00,706.0,884.0,593.0,765.0,1646092801378,206493446886.7916,272905567.06510943,2022-02-01
KRW-GRS,2022-01-01T00:00:00,2022-01-01T09:00:00,850.0,998.0,575.0,703.0,1643673596945,465832607432.4116,557767382.0245888,2022-01-01
KRW-GRS,2021-12-01T00:00:00,2021-12-01T09:00:00,1215.0,1280.0,782.0,850.0,1640995199788,570335117928.0839,551565981.7296373,2021-12-01
KRW-GRS,2021-11-01T00:00:00,2021-11-01T09:00:00,1240.0,1350.0,1095.0,1215.0,1638316797010,256300953439.30637,210131119.96267018,2021-11-01
KRW-GRS,2021-10-01T00:00:00,2021-10-01T09:00:00,938.0,1560.0,924.0,1240.0,1635724798592,441192316905.58124,363143219.50998425,2021-10-01
KRW-GRS,2021-09-01T00:00:00,2021-09-01T09:00:00,1200.0,1695.0,826.0,938.0,1633046399406,529594840900.48706,430689291.5684592,2021-09-01
KRW-GRS,2021-08-01T00:00:00,2021-08-01T09:00:00,944.0,1380.0,839.0,1195.0,1630454399161,643978793003.4487,603399520.6165118,2021-08-01
KRW-GRS,2021-07-01T00:00:00,2021-07-01T09:00:00,713.0,1095.0,566.0,944.0,1627775999438,801160597447.1929,920186726.8720304,2021-07-01
KRW-GRS,2021-06-01T00:00:00,2021-06-01T09:00:00,1120.0,1185.0,379.0,713.0,1625097596826,375314016263.27704,488310255.6659987,2021-06-01
KRW-GRS,2021-05-01T00:00:00,2021-05-01T09:00:00,1645.0,2440.0,731.0,1120.0,1622505599621,1292394240885.87,820824941.546772,2021-05-01
KRW-GRS,2021-04-01T00:00:00,2021-04-01T09:00:00,1495.0,3790.0,971.0,1645.0,1619827199569,4013715863587.419,1725665619.6817753,2021-04-01
KRW-GRS,2021-03-01T00:00:00,2021-03-01T09:00:00,779.0,1650.0,701.0,1495.0,1617235193597,1141337745967.075,1101677088.891345,2021-03-01
KRW-GRS,2021-02-01T00:00:00,2021-02-01T09:00:00,401.0,1125.0,391.0,777.0,1614556798110,827280176081.8596,1138839794.5166907,2021-02-01
KRW-GRS,2021-01-01T00:00:00,2021-01-01T09:00:00,404.0,588.0,319.0,402.0,1612137592682,314554551321.9945,711550448.3536277,2021-01-01
KRW-GRS,2020-12-01T00:00:00,2020-12-01T09:00:00,238.0,982.0,216.0,404.0,1609459198548,518246885645.1016,1115701343.1565378,2020-12-01
