market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HBAR,2023-10-01T00:00:00,2023-10-01T09:00:00,67.5,72.4,62.1,62.7,1697076238283,43289910906.64832,644703325.0655831,2023-10-01
KRW-HBAR,2023-09-01T00:00:00,2023-09-01T09:00:00,71.7,72.5,62.0,67.6,1696118377007,141685741124.64142,2078890902.1337423,2023-09-01
KRW-HBAR,2023-08-01T00:00:00,2023-08-01T09:00:00,67.9,102.0,66.1,71.7,1693526387990,1197406445852.3955,14112081597.320549,2023-08-01
KRW-HBAR,2023-07-01T00:00:00,2023-07-01T09:00:00,67.5,79.2,60.8,67.9,1690847999610,236513086748.82413,3363720647.6579304,2023-07-01
KRW-HBAR,2023-06-01T00:00:00,2023-06-01T09:00:00,68.8,80.2,52.5,67.5,1688169588625,70438892123.7832,1054878397.263883,2023-06-01
KRW-HBAR,2023-05-01T00:00:00,2023-05-01T09:00:00,85.1,86.5,67.1,68.7,1685577596216,62350317897.350845,824880192.3883916,2023-05-01
KRW-HBAR,2023-04-01T00:00:00,2023-04-01T09:00:00,96.5,103.0,78.4,85.1,1682899198272,353733283194.95496,3954281402.885047,2023-04-01
KRW-HBAR,2023-03-01T00:00:00,2023-03-01T09:00:00,92.9,108.0,74.0,96.4,1680307199981,354189715545.0475,3959995214.020382,2023-03-01
KRW-HBAR,2023-02-01T00:00:00,2023-02-01T09:00:00,81.3,128.0,77.9,93.1,1677628777093,433908551054.01135,4149270774.4954696,2023-02-01
KRW-HBAR,2023-01-01T00:00:00,2023-01-01T09:00:00,46.6,99.6,46.2,81.3,1675209571480,226117131534.08478,3031938401.7702885,2023-01-01
KRW-HBAR,2022-12-01T00:00:00,2022-12-01T09:00:00,68.5,68.7,46.0,46.6,1672531198155,36822137282.79923,624560751.199752,2022-12-01
KRW-HBAR,2022-11-01T00:00:00,2022-11-01T09:00:00,85.2,89.4,58.2,68.6,1669852799617,149949987996.57135,2069733322.189589,2022-11-01
KRW-HBAR,2022-10-01T00:00:00,2022-10-01T09:00:00,82.7,97.4,81.2,85.2,1667260793302,374960641621.9006,4204702389.0945334,2022-10-01
KRW-HBAR,2022-09-01T00:00:00,2022-09-01T09:00:00,87.0,102.0,79.8,82.6,1664582380312,248591825941.0749,2782385463.943267,2022-09-01
KRW-HBAR,2022-08-01T00:00:00,2022-08-01T09:00:00,100.0,112.0,85.0,87.0,1661990394672,204898176544.67282,2083892978.3362572,2022-08-01
KRW-HBAR,2022-07-01T00:00:00,2022-07-01T09:00:00,82.8,109.0,77.1,100.0,1659311999626,181364027100.49835,1992694302.863796,2022-07-01
KRW-HBAR,2022-06-01T00:00:00,2022-06-01T09:00:00,118.0,126.0,79.2,82.8,1656633596037,225188126400.95798,2268875510.219118,2022-06-01
KRW-HBAR,2022-05-01T00:00:00,2022-05-01T09:00:00,186.0,198.0,102.0,118.0,1654041594615,140840020947.95642,991875976.0057373,2022-05-01
KRW-HBAR,2022-04-01T00:00:00,2022-04-01T09:00:00,298.0,313.0,183.0,186.0,1651363197825,236184889229.44736,919831702.4455003,2022-04-01
KRW-HBAR,2022-03-01T00:00:00,2022-03-01T09:00:00,278.0,328.0,240.0,298.0,1648771198208,290132785885.39264,1053338159.2215255,2022-03-01
KRW-HBAR,2022-02-01T00:00:00,2022-02-01T09:00:00,272.0,328.0,233.0,279.0,1646092788517,269102213182.4392,936203117.2105446,2022-02-01
KRW-HBAR,2022-01-01T00:00:00,2022-01-01T09:00:00,356.0,418.0,230.0,272.0,1643673556701,330972093767.0608,1011761928.8890078,2022-01-01
KRW-HBAR,2021-12-01T00:00:00,2021-12-01T09:00:00,431.0,448.0,265.0,356.0,1640995196266,457974168853.086,1248760011.9024208,2021-12-01
KRW-HBAR,2021-11-01T00:00:00,2021-11-01T09:00:00,481.0,580.0,391.0,432.0,1638316795781,1065937298508.35,2150391957.686788,2021-11-01
KRW-HBAR,2021-10-01T00:00:00,2021-10-01T09:00:00,412.0,570.0,399.0,480.0,1635724791102,1049547495769.607,2209558933.974811,2021-10-01
KRW-HBAR,2021-09-01T00:00:00,2021-09-01T09:00:00,296.0,696.0,286.0,413.0,1633046397297,2974342703388.3325,6103195977.393992,2021-09-01
KRW-HBAR,2021-08-01T00:00:00,2021-08-01T09:00:00,248.0,340.0,232.0,296.0,1630454389648,441398946001.66797,1584255210.2418065,2021-08-01
KRW-HBAR,2021-07-01T00:00:00,2021-07-01T09:00:00,228.0,255.0,183.0,248.0,1627775994179,406158627981.6924,1858739634.061575,2021-07-01
KRW-HBAR,2021-06-01T00:00:00,2021-06-01T09:00:00,273.0,308.0,162.0,228.0,1625097600168,276020849276.8927,1184311678.5877287,2021-06-01
KRW-HBAR,2021-05-01T00:00:00,2021-05-01T09:00:00,354.0,511.0,214.0,274.0,1622505562938,1354359627177.7375,3580429237.943612,2021-05-01
KRW-HBAR,2021-04-01T00:00:00,2021-04-01T09:00:00,438.0,545.0,217.0,353.0,1619827167234,1321770750169.7766,3173376052.5640936,2021-04-01
KRW-HBAR,2021-03-01T00:00:00,2021-03-01T09:00:00,131.0,533.0,130.0,439.0,1617235199136,2660917614266.98,8147679782.713425,2021-03-01
KRW-HBAR,2021-02-01T00:00:00,2021-02-01T09:00:00,90.9,178.0,85.4,132.0,1614556791883,785067012996.866,5986446365.737894,2021-02-01
KRW-HBAR,2021-01-01T00:00:00,2021-01-01T09:00:00,35.1,139.0,34.0,91.0,1612137596886,1488486398475.7637,18429485564.84636,2021-01-01
KRW-HBAR,2020-12-01T00:00:00,2020-12-01T09:00:00,37.5,45.4,33.0,35.3,1609459120945,98137444048.88885,2505587059.2687774,2020-12-01
KRW-HBAR,2020-11-01T00:00:00,2020-11-01T09:00:00,33.1,42.5,31.6,37.5,1606780721458,52266010026.357376,1439671270.460416,2020-11-01
KRW-HBAR,2020-10-01T00:00:00,2020-10-01T09:00:00,37.0,45.5,31.5,33.2,1604188452862,32105435105.90608,864238796.4809241,2020-10-01
KRW-HBAR,2020-09-01T00:00:00,2020-09-01T09:00:00,53.9,54.1,34.3,37.0,1601510256722,42512935189.91182,993117023.3641475,2020-09-01
KRW-HBAR,2020-08-01T00:00:00,2020-08-01T09:00:00,52.9,72.1,49.0,53.8,1598918366675,200374152748.4281,3443070451.484489,2020-08-01
KRW-HBAR,2020-07-01T00:00:00,2020-07-01T09:00:00,45.9,54.1,44.7,52.8,1596239998564,88485634319.54442,1794552167.4356325,2020-07-01
KRW-HBAR,2020-06-01T00:00:00,2020-06-01T09:00:00,53.0,58.9,43.8,45.9,1593561598376,110235349903.5867,2134612563.455717,2020-06-01
KRW-HBAR,2020-05-01T00:00:00,2020-05-01T09:00:00,42.8,63.8,38.8,53.0,1590969592725,224769377546.42017,4447394076.227511,2020-05-01
KRW-HBAR,2020-04-01T00:00:00,2020-04-01T09:00:00,38.8,46.7,37.3,42.7,1588291102683,72826397082.36327,1787201087.3121352,2020-04-01
KRW-HBAR,2020-03-01T00:00:00,2020-03-01T09:00:00,161.0,196.0,25.4,38.8,1585699167419,444664770183.7072,8210700473.276185,2020-03-01
KRW-HBAR,2020-02-01T00:00:00,2020-02-01T09:00:00,26.0,687.0,25.5,161.0,1583020798038,1054171519924.0928,5475492288.352758,2020-02-01
KRW-HBAR,2020-01-01T00:00:00,2020-01-01T09:00:00,21.8,27.7,19.1,26.0,1580515175124,10305278216.391506,429569321.7661217,2020-01-01
KRW-HBAR,2019-12-01T00:00:00,2019-12-01T09:00:00,33.8,36.4,21.0,21.7,1577836791120,2953148193.405079,110791416.17614041,2019-12-01
KRW-HBAR,2019-11-01T00:00:00,2019-11-01T09:00:00,38.8,45.7,26.0,33.7,1575158396375,15706421302.638605,416827745.8463834,2019-11-01
KRW-HBAR,2019-10-01T00:00:00,2019-10-01T09:00:00,45.6,51.6,31.4,38.8,1572566395255,34943907030.88308,816069847.8277439,2019-10-01
KRW-HBAR,2019-09-01T00:00:00,2019-09-01T09:00:00,112.0,648.0,30.3,45.7,1569887997934,188587312392.11804,2100412667.3734279,2019-09-01
