market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HIFI,2023-10-01T00:00:00,2023-10-01T09:00:00,937.0,1025.0,795.0,801.0,1697076228018,378877087703.2229,406699266.561467,2023-10-01
KRW-HIFI,2023-09-01T00:00:00,2023-09-01T09:00:00,574.0,3560.0,506.0,937.0,1696118399642,4398686257179.072,3323641659.611205,2023-09-01
KRW-HIFI,2023-08-01T00:00:00,2023-08-01T09:00:00,426.0,665.0,411.0,573.0,1693526399562,991599639610.0795,1849257546.760784,2023-08-01
KRW-HIFI,2023-07-01T00:00:00,2023-07-01T09:00:00,433.0,647.0,394.0,425.0,1690847999755,693665977725.1082,1419113501.881828,2023-07-01
KRW-HIFI,2023-06-01T00:00:00,2023-06-01T09:00:00,441.0,561.0,324.0,433.0,1688169599642,420799625936.84485,908823264.3972582,2023-06-01
KRW-HIFI,2023-05-01T00:00:00,2023-05-01T09:00:00,549.0,563.0,436.0,441.0,1685577579565,109301901483.55263,214688037.3341461,2023-05-01
KRW-HIFI,2023-04-01T00:00:00,2023-04-01T09:00:00,558.0,902.0,537.0,550.0,1682899162682,1300497706495.188,1825229368.1084673,2023-04-01
KRW-HIFI,2023-03-01T00:00:00,2023-03-01T09:00:00,653.0,675.0,485.0,558.0,1680307151050,157773884564.5027,269921043.83229965,2023-03-01
KRW-HIFI,2023-02-01T00:00:00,2023-02-01T09:00:00,622.0,771.0,581.0,653.0,1677628788754,310191528132.07153,465192879.5547914,2023-02-01
KRW-HIFI,2023-01-01T00:00:00,2023-01-01T09:00:00,568.0,705.0,531.0,621.0,1675209596350,524796561325.8036,835259662.3182894,2023-01-01
KRW-HIFI,2022-12-01T00:00:00,2022-12-01T09:00:00,755.0,1050.0,551.0,568.0,1672531199602,1192948359993.7979,1435984815.9777153,2022-12-01
KRW-HIFI,2022-11-01T00:00:00,2022-11-01T09:00:00,722.0,849.0,496.0,755.0,1669852791933,575569820983.6825,837968854.3007394,2022-11-01
KRW-HIFI,2022-10-01T00:00:00,2022-10-01T09:00:00,713.0,856.0,623.0,724.0,1667260799276,318706574016.9195,433965112.6643279,2022-10-01
KRW-HIFI,2022-09-01T00:00:00,2022-09-01T09:00:00,789.0,1050.0,674.0,714.0,1664582387859,882970379090.004,1032313327.6817291,2022-09-01
KRW-HIFI,2022-08-01T00:00:00,2022-08-01T09:00:00,615.0,1010.0,592.0,791.0,1661990390581,1138602623637.1946,1337475607.2869523,2022-08-01
KRW-HIFI,2022-07-01T00:00:00,2022-07-01T09:00:00,457.0,870.0,437.0,616.0,1659311990186,612472256909.0813,1014742066.903198,2022-07-01
KRW-HIFI,2022-06-01T00:00:00,2022-06-01T09:00:00,605.0,817.0,402.0,457.0,1656633583659,192066067042.28568,343973336.1987238,2022-06-01
KRW-HIFI,2022-05-01T00:00:00,2022-05-01T09:00:00,884.0,983.0,450.0,605.0,1654041593311,196083586260.45325,298382486.80449104,2022-05-01
KRW-HIFI,2022-04-01T00:00:00,2022-04-01T09:00:00,1260.0,1630.0,877.0,884.0,1651363195020,393867845773.8436,327608708.2918546,2022-04-01
KRW-HIFI,2022-03-01T00:00:00,2022-03-01T09:00:00,819.0,1280.0,734.0,1250.0,1648771199220,945097506440.5847,964396675.3388969,2022-03-01
KRW-HIFI,2022-02-01T00:00:00,2022-02-01T09:00:00,763.0,1010.0,626.0,819.0,1646092799330,317445716789.6276,376313267.8252453,2022-02-01
KRW-HIFI,2022-01-01T00:00:00,2022-01-01T09:00:00,1040.0,1390.0,577.0,764.0,1643673594865,180022240721.40527,197316989.0491518,2022-01-01
KRW-HIFI,2021-12-01T00:00:00,2021-12-01T09:00:00,1780.0,1830.0,980.0,1050.0,1640995161959,163123178149.3136,130483675.90227197,2021-12-01
KRW-HIFI,2021-11-01T00:00:00,2021-11-01T09:00:00,1590.0,2050.0,1380.0,1780.0,1638316793813,502104805796.67053,298483510.48823977,2021-11-01
KRW-HIFI,2021-10-01T00:00:00,2021-10-01T09:00:00,1220.0,2870.0,1210.0,1590.0,1635724799310,952520923993.5468,549086827.609414,2021-10-01
KRW-HIFI,2021-09-01T00:00:00,2021-09-01T09:00:00,1400.0,1930.0,1070.0,1210.0,1633046403269,483890741129.3689,327713074.5293246,2021-09-01
KRW-HIFI,2021-08-01T00:00:00,2021-08-01T09:00:00,1170.0,1640.0,1040.0,1390.0,1630454399988,436467618312.2057,315439125.5782639,2021-08-01
KRW-HIFI,2021-07-01T00:00:00,2021-07-01T09:00:00,864.0,1320.0,724.0,1170.0,1627776000813,564852955486.6442,587912454.07634,2021-07-01
KRW-HIFI,2021-06-01T00:00:00,2021-06-01T09:00:00,1110.0,1580.0,533.0,861.0,1625097599289,454555548603.35297,430219183.37253636,2021-06-01
KRW-HIFI,2021-05-01T00:00:00,2021-05-01T09:00:00,2060.0,2820.0,950.0,1120.0,1622505597990,752836132466.6139,421285392.08480376,2021-05-01
KRW-HIFI,2021-04-01T00:00:00,2021-04-01T09:00:00,3080.0,4350.0,1010.0,2060.0,1619827196218,1136949268093.2747,411675392.1094188,2021-04-01
KRW-HIFI,2021-03-01T00:00:00,2021-03-01T09:00:00,1460.0,4020.0,1390.0,3080.0,1617235198081,1243029631286.5974,496326755.6707817,2021-03-01
KRW-HIFI,2021-02-01T00:00:00,2021-02-01T09:00:00,745.0,3100.0,681.0,1450.0,1614556800312,1041376947832.93,608666535.8619496,2021-02-01
KRW-HIFI,2021-01-01T00:00:00,2021-01-01T09:00:00,279.0,1000.0,246.0,746.0,1612137598974,465448823220.95166,854772798.2950851,2021-01-01
KRW-HIFI,2020-12-01T00:00:00,2020-12-01T09:00:00,253.0,395.0,227.0,279.0,1609459193125,99365354018.52242,348514311.80821586,2020-12-01
KRW-HIFI,2020-11-01T00:00:00,2020-11-01T09:00:00,206.0,346.0,178.0,253.0,1606780589942,68168287055.23561,263138631.497248,2020-11-01
KRW-HIFI,2020-10-01T00:00:00,2020-10-01T09:00:00,194.0,397.0,160.0,204.0,1604188746979,61806054709.91368,260507493.87460285,2020-10-01
KRW-HIFI,2020-09-01T00:00:00,2020-09-01T09:00:00,356.0,364.0,171.0,193.0,1601510359653,26488977650.1617,110528723.62061307,2020-09-01
KRW-HIFI,2020-08-01T00:00:00,2020-08-01T09:00:00,222.0,511.0,207.0,359.0,1598918396837,108929730119.39726,306081633.82934576,2020-08-01
KRW-HIFI,2020-07-01T00:00:00,2020-07-01T09:00:00,108.0,350.0,101.0,220.0,1596239994714,103871843983.26494,504992874.38727826,2020-07-01
KRW-HIFI,2020-06-01T00:00:00,2020-06-01T09:00:00,85.0,151.0,80.0,106.0,1593561599716,44381501094.17927,371770052.9482531,2020-06-01
KRW-HIFI,2020-05-01T00:00:00,2020-05-01T09:00:00,68.0,99.0,60.0,84.0,1590969595062,10804767171.109556,139449225.270428,2020-05-01
KRW-HIFI,2020-04-01T00:00:00,2020-04-01T09:00:00,76.0,79.0,59.0,68.0,1588291199923,5404705509.48967,79557585.07043798,2020-04-01
KRW-HIFI,2020-03-01T00:00:00,2020-03-01T09:00:00,177.0,177.0,48.0,76.0,1585699183790,16019823937.271282,180003137.4223221,2020-03-01
KRW-HIFI,2020-02-01T00:00:00,2020-02-01T09:00:00,135.0,434.0,128.0,177.0,1583020795857,90783018355.25656,350480114.50123584,2020-02-01
KRW-HIFI,2020-01-01T00:00:00,2020-01-01T09:00:00,100.0,164.0,93.0,135.0,1580515199045,12364336586.767424,90270284.1927827,2020-01-01
KRW-HIFI,2019-12-01T00:00:00,2019-12-01T09:00:00,164.0,198.0,93.0,100.0,1577836672053,3586232342.011307,24692397.34181667,2019-12-01
KRW-HIFI,2019-11-01T00:00:00,2019-11-01T09:00:00,116.0,220.0,113.0,167.0,1575158024288,9538203415.766811,68088529.04635584,2019-11-01
KRW-HIFI,2019-10-01T00:00:00,2019-10-01T09:00:00,101.0,125.0,87.0,116.0,1572565929641,2187044869.175833,19446378.57140276,2019-10-01
KRW-HIFI,2019-09-01T00:00:00,2019-09-01T09:00:00,126.0,152.0,86.0,100.0,1569887961573,2885525971.585595,23149680.9537862,2019-09-01
KRW-HIFI,2019-08-01T00:00:00,2019-08-01T09:00:00,212.0,212.0,108.0,125.0,1567295918318,6385765715.6364,42711449.29506652,2019-08-01
KRW-HIFI,2019-07-01T00:00:00,2019-07-01T09:00:00,319.0,353.0,179.0,212.0,1564617572241,14450712878.108822,57811104.73499818,2019-07-01
KRW-HIFI,2019-06-01T00:00:00,2019-06-01T09:00:00,449.0,533.0,306.0,319.0,1561939198319,40903932969.32917,97326616.60865875,2019-06-01
KRW-HIFI,2019-05-01T00:00:00,2019-05-01T09:00:00,332.0,540.0,313.0,448.0,1559347188545,31205803186.538105,72660723.20438275,2019-05-01
KRW-HIFI,2019-04-01T00:00:00,2019-04-01T09:00:00,394.0,531.0,283.0,331.0,1556668777008,31479231448.223137,75567151.09248038,2019-04-01
KRW-HIFI,2019-03-01T00:00:00,2019-03-01T09:00:00,314.0,488.0,307.0,396.0,1554076623980,69414222623.62007,173829782.7466816,2019-03-01
KRW-HIFI,2019-02-01T00:00:00,2019-02-01T09:00:00,306.0,410.0,297.0,314.0,1551398257269,15201690956.662931,43909349.99971425,2019-02-01
KRW-HIFI,2019-01-01T00:00:00,2019-01-01T09:00:00,311.0,386.0,278.0,306.0,1548978381564,7209027609.126594,21775393.66693124,2019-01-01
KRW-HIFI,2018-12-01T00:00:00,2018-12-01T09:00:00,442.0,490.0,271.0,312.0,1546300672463,2719625945.6492305,7349273.98489038,2018-12-01
KRW-HIFI,2018-11-01T00:00:00,2018-11-01T09:00:00,1100.0,1310.0,351.0,442.0,1543622011212,22660053589.07416,26314065.71623676,2018-11-01
KRW-HIFI,2018-10-01T00:00:00,2018-10-01T09:00:00,794.0,1260.0,713.0,1110.0,1541030393609,35420209293.308365,35396489.05233113,2018-10-01
KRW-HIFI,2018-09-01T00:00:00,2018-09-01T09:00:00,650.0,3000.0,650.0,794.0,1538351899880,64989557210.50214,69975151.39711753,2018-09-01
