market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HIVE,2023-10-01T00:00:00,2023-10-01T09:00:00,410.0,427.0,389.0,392.0,1697076139060,33483163849.549076,81260414.07341762,2023-10-01
KRW-HIVE,2023-09-01T00:00:00,2023-09-01T09:00:00,377.0,420.0,360.0,411.0,1696118393474,53071898109.453674,135746443.3941089,2023-09-01
KRW-HIVE,2023-08-01T00:00:00,2023-08-01T09:00:00,482.0,482.0,375.0,377.0,1693526390971,57970678558.280304,133594317.27105597,2023-08-01
KRW-HIVE,2023-07-01T00:00:00,2023-07-01T09:00:00,437.0,520.0,422.0,481.0,1690847991405,170817414458.89752,363143905.7324144,2023-07-01
KRW-HIVE,2023-06-01T00:00:00,2023-06-01T09:00:00,460.0,490.0,355.0,438.0,1688169593557,121931894526.18423,285426219.74926907,2023-06-01
KRW-HIVE,2023-05-01T00:00:00,2023-05-01T09:00:00,555.0,555.0,455.0,460.0,1685577570409,87664863734.82477,173056813.827924,2023-05-01
KRW-HIVE,2023-04-01T00:00:00,2023-04-01T09:00:00,556.0,668.0,523.0,555.0,1682899199941,434797415471.75055,734591806.5457631,2023-04-01
KRW-HIVE,2023-03-01T00:00:00,2023-03-01T09:00:00,606.0,724.0,441.0,556.0,1680307196505,523380534871.66907,864766740.5569164,2023-03-01
KRW-HIVE,2023-02-01T00:00:00,2023-02-01T09:00:00,493.0,787.0,463.0,605.0,1677628798039,1072101274400.1145,1603913874.4025617,2023-02-01
KRW-HIVE,2023-01-01T00:00:00,2023-01-01T09:00:00,328.0,579.0,322.0,493.0,1675209598260,456574433327.3676,969031721.1473072,2023-01-01
KRW-HIVE,2022-12-01T00:00:00,2022-12-01T09:00:00,497.0,513.0,314.0,329.0,1672531196308,133130086480.2765,317689473.8485854,2022-12-01
KRW-HIVE,2022-11-01T00:00:00,2022-11-01T09:00:00,683.0,751.0,391.0,497.0,1669852776053,309556236167.59375,582136653.2951761,2022-11-01
KRW-HIVE,2022-10-01T00:00:00,2022-10-01T09:00:00,697.0,964.0,631.0,683.0,1667260798476,1014308332161.6675,1281743003.633774,2022-10-01
KRW-HIVE,2022-09-01T00:00:00,2022-09-01T09:00:00,766.0,846.0,681.0,698.0,1664582386657,398151969442.1303,515730987.3578859,2022-09-01
KRW-HIVE,2022-08-01T00:00:00,2022-08-01T09:00:00,702.0,1275.0,702.0,766.0,1661990396461,1641175082749.4138,1757374015.1591337,2022-08-01
KRW-HIVE,2022-07-01T00:00:00,2022-07-01T09:00:00,685.0,790.0,513.0,702.0,1659311999479,824887522932.1555,1230110424.8500886,2022-07-01
KRW-HIVE,2022-06-01T00:00:00,2022-06-01T09:00:00,699.0,936.0,406.0,684.0,1656633599641,1365782218776.5312,1881874410.7930498,2022-06-01
KRW-HIVE,2022-05-01T00:00:00,2022-05-01T09:00:00,1025.0,1125.0,490.0,699.0,1654041597394,352069694320.9006,497174533.03928834,2022-05-01
