market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HPO,2023-10-01T00:00:00,2023-10-01T09:00:00,95.3,99.7,84.3,96.5,1697076275364,46649746239.93873,495423818.1492053,2023-10-01
KRW-HPO,2023-09-01T00:00:00,2023-09-01T09:00:00,84.0,108.0,80.1,95.5,1696118393954,279737406995.8451,2938348798.9807796,2023-09-01
KRW-HPO,2023-08-01T00:00:00,2023-08-01T09:00:00,102.0,104.0,83.0,84.0,1693526356448,33986344217.36626,364363986.98113924,2023-08-01
KRW-HPO,2023-07-01T00:00:00,2023-07-01T09:00:00,98.5,108.0,93.3,102.0,1690847933566,68672888874.7637,687897068.3722924,2023-07-01
KRW-HPO,2023-06-01T00:00:00,2023-06-01T09:00:00,122.0,132.0,85.0,98.8,1688169542023,136663784380.88658,1308678980.9145126,2023-06-01
KRW-HPO,2023-05-01T00:00:00,2023-05-01T09:00:00,141.0,154.0,116.0,123.0,1685577586842,185839356705.64175,1335419537.988625,2023-05-01
KRW-HPO,2023-04-01T00:00:00,2023-04-01T09:00:00,135.0,150.0,129.0,141.0,1682899198536,113845643098.49469,816195520.8387293,2023-04-01
KRW-HPO,2023-03-01T00:00:00,2023-03-01T09:00:00,157.0,159.0,114.0,135.0,1680307197581,116159302702.5126,848896557.047984,2023-03-01
KRW-HPO,2023-02-01T00:00:00,2023-02-01T09:00:00,124.0,186.0,115.0,157.0,1677628798193,291445778598.2813,1975049637.4098892,2023-02-01
KRW-HPO,2023-01-01T00:00:00,2023-01-01T09:00:00,88.0,143.0,87.4,124.0,1675209588203,362612767650.2003,3254433309.382676,2023-01-01
KRW-HPO,2022-12-01T00:00:00,2022-12-01T09:00:00,115.0,121.0,83.7,88.0,1672531198609,200925926603.46954,2019253216.9615374,2022-12-01
KRW-HPO,2022-11-01T00:00:00,2022-11-01T09:00:00,168.0,173.0,86.5,114.0,1669852709297,192708229224.37854,1596422731.5758693,2022-11-01
KRW-HPO,2022-10-01T00:00:00,2022-10-01T09:00:00,187.0,194.0,150.0,167.0,1667260794158,127297122802.80055,746908849.4742782,2022-10-01
KRW-HPO,2022-09-01T00:00:00,2022-09-01T09:00:00,212.0,228.0,186.0,188.0,1664582226441,96664736602.37343,465985781.7279479,2022-09-01
KRW-HPO,2022-08-01T00:00:00,2022-08-01T09:00:00,243.0,278.0,206.0,212.0,1661990391383,238075985743.2123,966926896.0365007,2022-08-01
KRW-HPO,2022-07-01T00:00:00,2022-07-01T09:00:00,224.0,263.0,202.0,244.0,1659311992361,197170068618.27573,839175612.2674729,2022-07-01
KRW-HPO,2022-06-01T00:00:00,2022-06-01T09:00:00,302.0,350.0,177.0,223.0,1656633599356,304524218390.26495,1207249265.4587932,2022-06-01
KRW-HPO,2022-05-01T00:00:00,2022-05-01T09:00:00,357.0,399.0,188.0,303.0,1654041599925,356870928478.00476,1187821345.8936582,2022-05-01
KRW-HPO,2022-04-01T00:00:00,2022-04-01T09:00:00,485.0,522.0,350.0,357.0,1651363185665,1172119277089.5295,2646553596.4839334,2022-04-01
KRW-HPO,2022-03-01T00:00:00,2022-03-01T09:00:00,300.0,515.0,271.0,485.0,1648771199321,1060463709796.8912,2908140721.7693524,2022-03-01
KRW-HPO,2022-02-01T00:00:00,2022-02-01T09:00:00,286.0,365.0,239.0,300.0,1646092797626,432732092685.5294,1418197352.6959643,2022-02-01
KRW-HPO,2022-01-01T00:00:00,2022-01-01T09:00:00,371.0,486.0,217.0,286.0,1643673591642,976962322499.3536,2691879175.8827376,2022-01-01
KRW-HPO,2021-12-01T00:00:00,2021-12-01T09:00:00,485.0,637.0,311.0,370.0,1640995196493,2592239098520.1016,5447726451.744792,2021-12-01
KRW-HPO,2021-11-01T00:00:00,2021-11-01T09:00:00,283.0,1275.0,268.0,484.0,1638316799773,11361110974870.621,18040668309.35125,2021-11-01
KRW-HPO,2021-10-01T00:00:00,2021-10-01T09:00:00,127.0,448.0,126.0,284.0,1635724797956,5712275284035.998,21729315033.575115,2021-10-01
KRW-HPO,2021-09-01T00:00:00,2021-09-01T09:00:00,134.0,203.0,112.0,128.0,1633046393989,589399988102.9564,3779856970.368894,2021-09-01
KRW-HPO,2021-08-01T00:00:00,2021-08-01T09:00:00,113.0,155.0,109.0,134.0,1630454399070,707199301246.2039,5324402426.530364,2021-08-01
KRW-HPO,2021-07-01T00:00:00,2021-07-01T09:00:00,88.5,145.0,79.0,113.0,1627775999447,671886201342.0455,6310011779.326704,2021-07-01
KRW-HPO,2021-06-01T00:00:00,2021-06-01T09:00:00,119.0,161.0,37.1,88.5,1625097599573,730320299211.9517,8362257138.033326,2021-06-01
KRW-HPO,2021-05-01T00:00:00,2021-05-01T09:00:00,187.0,212.0,78.1,119.0,1622505590206,798899629422.6624,5305236839.725271,2021-05-01
KRW-HPO,2021-04-01T00:00:00,2021-04-01T09:00:00,162.0,539.0,98.3,186.0,1619827200014,3465793471267.794,12692320374.02488,2021-04-01
KRW-HPO,2021-03-01T00:00:00,2021-03-01T09:00:00,40.1,167.0,38.7,164.0,1617235200151,1516263651554.336,16092140295.626831,2021-03-01
KRW-HPO,2021-02-01T00:00:00,2021-02-01T09:00:00,22.4,65.0,18.3,40.0,1614556799904,507783781854.4482,13639653236.293839,2021-02-01
KRW-HPO,2021-01-01T00:00:00,2021-01-01T09:00:00,59.2,73.9,21.7,22.3,1612137535125,230610391925.49158,6506439937.380112,2021-01-01
