market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HUNT,2023-10-01T00:00:00,2023-10-01T09:00:00,443.0,478.0,403.0,412.0,1697076197855,110624893543.65785,247445559.6498827,2023-10-01
KRW-HUNT,2023-09-01T00:00:00,2023-09-01T09:00:00,375.0,448.0,360.0,443.0,1696118391002,92891283951.85316,230847242.09210727,2023-09-01
KRW-HUNT,2023-08-01T00:00:00,2023-08-01T09:00:00,490.0,497.0,361.0,375.0,1693526397880,134410647382.83238,301310489.02244765,2023-08-01
KRW-HUNT,2023-07-01T00:00:00,2023-07-01T09:00:00,407.0,543.0,397.0,490.0,1690847999899,292195671260.788,629501935.1892517,2023-07-01
KRW-HUNT,2023-06-01T00:00:00,2023-06-01T09:00:00,419.0,487.0,324.0,408.0,1688169556739,307046473526.0475,733136369.206346,2023-06-01
KRW-HUNT,2023-05-01T00:00:00,2023-05-01T09:00:00,509.0,525.0,402.0,417.0,1685577596995,96160682185.54726,205520681.85639668,2023-05-01
KRW-HUNT,2023-04-01T00:00:00,2023-04-01T09:00:00,529.0,630.0,479.0,509.0,1682899196827,247486201833.36877,462127864.82229555,2023-04-01
KRW-HUNT,2023-03-01T00:00:00,2023-03-01T09:00:00,556.0,647.0,425.0,529.0,1680307199102,701937577630.9049,1311805249.3345497,2023-03-01
KRW-HUNT,2023-02-01T00:00:00,2023-02-01T09:00:00,386.0,1030.0,366.0,555.0,1677628799135,1612171513868.2808,2494501445.8515296,2023-02-01
KRW-HUNT,2023-01-01T00:00:00,2023-01-01T09:00:00,278.0,434.0,272.0,386.0,1675209595534,241515607867.34323,651632220.4896196,2023-01-01
KRW-HUNT,2022-12-01T00:00:00,2022-12-01T09:00:00,366.0,406.0,265.0,280.0,1672531200086,156415623590.4957,454176528.8809278,2022-12-01
KRW-HUNT,2022-11-01T00:00:00,2022-11-01T09:00:00,510.0,528.0,279.0,366.0,1669852793363,316969770947.8749,840801226.6421626,2022-11-01
KRW-HUNT,2022-10-01T00:00:00,2022-10-01T09:00:00,518.0,564.0,462.0,511.0,1667260775807,137044643241.34758,261448768.15585372,2022-10-01
KRW-HUNT,2022-09-01T00:00:00,2022-09-01T09:00:00,584.0,622.0,495.0,519.0,1664582398685,146928909455.442,264340604.63263372,2022-09-01
KRW-HUNT,2022-08-01T00:00:00,2022-08-01T09:00:00,631.0,824.0,532.0,585.0,1661990397793,415042984038.678,615206616.5878884,2022-08-01
KRW-HUNT,2022-07-01T00:00:00,2022-07-01T09:00:00,552.0,651.0,496.0,632.0,1659311999162,261338321078.65283,448155615.55362767,2022-07-01
KRW-HUNT,2022-06-01T00:00:00,2022-06-01T09:00:00,742.0,784.0,401.0,551.0,1656633593600,439953269952.9817,732864298.6246661,2022-06-01
KRW-HUNT,2022-05-01T00:00:00,2022-05-01T09:00:00,924.0,986.0,450.0,740.0,1654041599944,423846697595.0229,624682470.2931103,2022-05-01
KRW-HUNT,2022-04-01T00:00:00,2022-04-01T09:00:00,1425.0,1545.0,910.0,924.0,1651363200072,665695949898.0566,589769119.3521116,2022-04-01
KRW-HUNT,2022-03-01T00:00:00,2022-03-01T09:00:00,990.0,1490.0,875.0,1420.0,1648771197879,1310246592090.5981,1271187921.444592,2022-03-01
KRW-HUNT,2022-02-01T00:00:00,2022-02-01T09:00:00,756.0,1795.0,736.0,990.0,1646092799649,2308638066785.0796,2451108320.9772816,2022-02-01
KRW-HUNT,2022-01-01T00:00:00,2022-01-01T09:00:00,905.0,1345.0,595.0,754.0,1643673599622,710303714536.2338,787780667.682364,2022-01-01
KRW-HUNT,2021-12-01T00:00:00,2021-12-01T09:00:00,1455.0,1485.0,863.0,908.0,1640995179349,798458788329.5417,765785134.8380703,2021-12-01
KRW-HUNT,2021-11-01T00:00:00,2021-11-01T09:00:00,968.0,1780.0,911.0,1455.0,1638316799346,2670830732218.585,2161911567.339457,2021-11-01
KRW-HUNT,2021-10-01T00:00:00,2021-10-01T09:00:00,775.0,1860.0,750.0,968.0,1635724797934,2735404220595.8267,2686601808.7907953,2021-10-01
KRW-HUNT,2021-09-01T00:00:00,2021-09-01T09:00:00,421.0,1885.0,409.0,775.0,1633046398057,7164710193296.028,7489176010.415611,2021-09-01
KRW-HUNT,2021-08-01T00:00:00,2021-08-01T09:00:00,369.0,552.0,333.0,421.0,1630454398930,979033452816.7676,2259322159.0474467,2021-08-01
KRW-HUNT,2021-07-01T00:00:00,2021-07-01T09:00:00,412.0,464.0,240.0,369.0,1627776000351,1571761799575.2034,4550844594.049253,2021-07-01
KRW-HUNT,2021-06-01T00:00:00,2021-06-01T09:00:00,324.0,522.0,109.0,413.0,1625097600214,1231414228290.2598,3810627351.780321,2021-06-01
KRW-HUNT,2021-05-01T00:00:00,2021-05-01T09:00:00,456.0,917.0,160.0,325.0,1622505600134,3134820636245.696,7505541331.728828,2021-05-01
KRW-HUNT,2021-04-01T00:00:00,2021-04-01T09:00:00,547.0,983.0,261.0,454.0,1619827197998,1849440824312.772,3239404240.22289,2021-04-01
KRW-HUNT,2021-03-01T00:00:00,2021-03-01T09:00:00,155.0,624.0,152.0,547.0,1617235198102,1142107083096.5784,2991254467.495408,2021-03-01
KRW-HUNT,2021-02-01T00:00:00,2021-02-01T09:00:00,89.3,280.0,81.3,155.0,1614556799524,411989025573.1948,2736987221.749207,2021-02-01
KRW-HUNT,2021-01-01T00:00:00,2021-01-01T09:00:00,72.3,141.0,63.0,89.1,1612137598099,453490229203.7429,4726821522.386434,2021-01-01
KRW-HUNT,2020-12-01T00:00:00,2020-12-01T09:00:00,52.5,101.0,51.0,72.3,1609459197748,120578030900.19952,1813344715.7063875,2020-12-01
KRW-HUNT,2020-11-01T00:00:00,2020-11-01T09:00:00,51.5,77.7,44.8,52.3,1606780497251,48465585111.137764,858154068.0945415,2020-11-01
KRW-HUNT,2020-10-01T00:00:00,2020-10-01T09:00:00,63.1,109.0,47.0,51.3,1604188527916,123089423461.44162,1672605925.126736,2020-10-01
KRW-HUNT,2020-09-01T00:00:00,2020-09-01T09:00:00,79.0,175.0,54.4,63.1,1601510298342,302852137259.2135,2668063597.659818,2020-09-01
