market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ICX,2023-10-01T00:00:00,2023-10-01T09:00:00,242.0,258.0,218.0,221.0,1697076161041,36428032802.45255,152337785.17439598,2023-10-01
KRW-ICX,2023-09-01T00:00:00,2023-09-01T09:00:00,224.0,251.0,206.0,241.0,1696118359749,45643195769.142204,197570692.33024243,2023-09-01
KRW-ICX,2023-08-01T00:00:00,2023-08-01T09:00:00,287.0,293.0,221.0,224.0,1693526373958,44885113141.37112,174607861.2182628,2023-08-01
KRW-ICX,2023-07-01T00:00:00,2023-07-01T09:00:00,282.0,328.0,274.0,287.0,1690847973230,169441234551.96692,564296908.6569853,2023-07-01
KRW-ICX,2023-06-01T00:00:00,2023-06-01T09:00:00,320.0,350.0,221.0,281.0,1688169599504,177906306913.07755,646308371.8205476,2023-06-01
KRW-ICX,2023-05-01T00:00:00,2023-05-01T09:00:00,390.0,392.0,314.0,320.0,1685577596557,215324121511.11603,609502400.5840682,2023-05-01
KRW-ICX,2023-04-01T00:00:00,2023-04-01T09:00:00,300.0,640.0,295.0,390.0,1682899193832,3319465914990.9253,7289130015.852652,2023-04-01
KRW-ICX,2023-03-01T00:00:00,2023-03-01T09:00:00,331.0,352.0,235.0,299.0,1680307193740,176287462445.34454,596100257.4439168,2023-03-01
KRW-ICX,2023-02-01T00:00:00,2023-02-01T09:00:00,257.0,367.0,254.0,331.0,1677628785974,287816154505.7096,937568505.9962131,2023-02-01
KRW-ICX,2023-01-01T00:00:00,2023-01-01T09:00:00,181.0,377.0,178.0,257.0,1675209593290,435089471623.2667,1423236338.3075044,2023-01-01
KRW-ICX,2022-12-01T00:00:00,2022-12-01T09:00:00,276.0,286.0,175.0,180.0,1672531125372,78017276118.65097,330103742.9472605,2022-12-01
KRW-ICX,2022-11-01T00:00:00,2022-11-01T09:00:00,328.0,345.0,190.0,276.0,1669852799841,209175767953.4969,794289887.991644,2022-11-01
KRW-ICX,2022-10-01T00:00:00,2022-10-01T09:00:00,341.0,362.0,292.0,327.0,1667260789221,114278265759.6814,347167102.6046315,2022-10-01
KRW-ICX,2022-09-01T00:00:00,2022-09-01T09:00:00,374.0,407.0,326.0,342.0,1664582374440,79000936041.03198,216777033.78330472,2022-09-01
KRW-ICX,2022-08-01T00:00:00,2022-08-01T09:00:00,419.0,520.0,357.0,375.0,1661990393889,183597698267.94214,414425274.3571653,2022-08-01
KRW-ICX,2022-07-01T00:00:00,2022-07-01T09:00:00,365.0,438.0,332.0,419.0,1659311998709,130915461916.27411,341183496.53643477,2022-07-01
KRW-ICX,2022-06-01T00:00:00,2022-06-01T09:00:00,502.0,548.0,303.0,363.0,1656633591544,257511403497.7953,619307096.2397312,2022-06-01
KRW-ICX,2022-05-01T00:00:00,2022-05-01T09:00:00,801.0,935.0,399.0,503.0,1654041595642,503027266537.46,802074319.6597365,2022-05-01
KRW-ICX,2022-04-01T00:00:00,2022-04-01T09:00:00,1235.0,1370.0,790.0,802.0,1651363171000,508924221777.664,480022118.6660368,2022-04-01
KRW-ICX,2022-03-01T00:00:00,2022-03-01T09:00:00,852.0,1355.0,731.0,1235.0,1648771197788,1429670539783.9224,1349322265.9502597,2022-03-01
KRW-ICX,2022-02-01T00:00:00,2022-02-01T09:00:00,926.0,1130.0,672.0,851.0,1646092795337,297812078623.53,327259974.08914286,2022-02-01
KRW-ICX,2022-01-01T00:00:00,2022-01-01T09:00:00,1505.0,1550.0,731.0,926.0,1643673599017,366493005223.94257,324317356.37660813,2022-01-01
KRW-ICX,2021-12-01T00:00:00,2021-12-01T09:00:00,2170.0,2430.0,1315.0,1505.0,1640995197567,1298261971970.2031,698770371.0780205,2021-12-01
KRW-ICX,2021-11-01T00:00:00,2021-11-01T09:00:00,2760.0,3360.0,2060.0,2175.0,1638316783314,1698740647486.238,629165373.6048225,2021-11-01
KRW-ICX,2021-10-01T00:00:00,2021-10-01T09:00:00,1870.0,3120.0,1855.0,2760.0,1635724800104,1735882979172.6084,674906490.1343852,2021-10-01
KRW-ICX,2021-09-01T00:00:00,2021-09-01T09:00:00,1555.0,2890.0,1430.0,1870.0,1633046388592,1404718310925.8835,646208382.3615494,2021-09-01
KRW-ICX,2021-08-01T00:00:00,2021-08-01T09:00:00,1165.0,1880.0,1090.0,1560.0,1630454399694,494756571359.16394,339065535.7283595,2021-08-01
KRW-ICX,2021-07-01T00:00:00,2021-07-01T09:00:00,975.0,1280.0,777.0,1165.0,1627775997704,392432272960.5794,379191300.74295545,2021-07-01
KRW-ICX,2021-06-01T00:00:00,2021-06-01T09:00:00,1340.0,1650.0,744.0,975.0,1625097600060,200920690153.83887,180927246.40187186,2021-06-01
KRW-ICX,2021-05-01T00:00:00,2021-05-01T09:00:00,3060.0,3750.0,1005.0,1340.0,1622505562188,479228939543.8583,214445451.04059574,2021-05-01
KRW-ICX,2021-04-01T00:00:00,2021-04-01T09:00:00,3710.0,3825.0,1735.0,3055.0,1619827198100,806460119727.7057,263825956.90675783,2021-04-01
KRW-ICX,2021-03-01T00:00:00,2021-03-01T09:00:00,1600.0,3895.0,1585.0,3710.0,1617235198535,1570956104558.5703,647727392.2310772,2021-03-01
KRW-ICX,2021-02-01T00:00:00,2021-02-01T09:00:00,794.0,3015.0,753.0,1600.0,1614556795546,617833679656.0619,393325355.8141149,2021-02-01
KRW-ICX,2021-01-01T00:00:00,2021-01-01T09:00:00,517.0,1055.0,476.0,794.0,1612137576069,224703277078.34857,270702538.8261878,2021-01-01
KRW-ICX,2020-12-01T00:00:00,2020-12-01T09:00:00,479.0,551.0,370.0,515.0,1609459190552,34762331507.41787,74585111.89915328,2020-12-01
KRW-ICX,2020-11-01T00:00:00,2020-11-01T09:00:00,360.0,595.0,334.0,478.0,1606780779830,30559103092.88751,69386238.5994732,2020-11-01
KRW-ICX,2020-10-01T00:00:00,2020-10-01T09:00:00,491.0,523.0,350.0,360.0,1604188642504,17161360378.518423,39112479.58652544,2020-10-01
KRW-ICX,2020-09-01T00:00:00,2020-09-01T09:00:00,703.0,721.0,429.0,490.0,1601510148755,40846893601.78999,74487432.1134261,2020-09-01
KRW-ICX,2020-08-01T00:00:00,2020-08-01T09:00:00,442.0,943.0,421.0,703.0,1598918383405,147804515988.21106,215083931.72189298,2020-08-01
KRW-ICX,2020-07-01T00:00:00,2020-07-01T09:00:00,346.0,517.0,345.0,442.0,1596239956065,69764549980.06407,152411343.0610209,2020-07-01
KRW-ICX,2020-06-01T00:00:00,2020-06-01T09:00:00,396.0,436.0,333.0,345.0,1593561576225,23445333232.615852,58803873.48962932,2020-06-01
KRW-ICX,2020-05-01T00:00:00,2020-05-01T09:00:00,339.0,448.0,287.0,396.0,1590969583530,55457969487.148224,146030212.86000293,2020-05-01
KRW-ICX,2020-04-01T00:00:00,2020-04-01T09:00:00,257.0,377.0,245.0,338.0,1588291193795,47338131463.98675,152710450.34691963,2020-04-01
KRW-ICX,2020-03-01T00:00:00,2020-03-01T09:00:00,359.0,504.0,169.0,257.0,1585699027009,41607879080.43035,128202457.07432774,2020-03-01
KRW-ICX,2020-02-01T00:00:00,2020-02-01T09:00:00,271.0,800.0,267.0,359.0,1583020781353,284884938713.27484,532578429.36237085,2020-02-01
KRW-ICX,2020-01-01T00:00:00,2020-01-01T09:00:00,131.0,304.0,120.0,271.0,1580515195589,11614829747.078016,53429083.51509734,2020-01-01
KRW-ICX,2019-12-01T00:00:00,2019-12-01T09:00:00,169.0,185.0,122.0,130.0,1577836660833,2233399968.7793736,14753769.08277714,2019-12-01
KRW-ICX,2019-11-01T00:00:00,2019-11-01T09:00:00,191.0,253.0,134.0,168.0,1575157751746,12739145931.433796,66054220.93559228,2019-11-01
KRW-ICX,2019-10-01T00:00:00,2019-10-01T09:00:00,201.0,218.0,159.0,190.0,1572566398286,5932119355.211941,30914714.22546302,2019-10-01
KRW-ICX,2019-09-01T00:00:00,2019-09-01T09:00:00,250.0,268.0,180.0,201.0,1569887968029,4699448241.763157,19991271.57119022,2019-09-01
KRW-ICX,2019-08-01T00:00:00,2019-08-01T09:00:00,317.0,332.0,204.0,248.0,1567295673217,12697265590.375322,46585313.57756522,2019-08-01
KRW-ICX,2019-07-01T00:00:00,2019-07-01T09:00:00,381.0,460.0,274.0,315.0,1564617204468,12233121707.208313,34267999.6772115,2019-07-01
