market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IOST,2023-10-01T00:00:00,2023-10-01T09:00:00,10.1,10.4,9.17,9.26,1697076223873,19014181151.2371,1951079240.4249327,2023-10-01
KRW-IOST,2023-09-01T00:00:00,2023-09-01T09:00:00,9.7,12.0,9.0,10.0,1696118364730,83989144256.45856,8231837292.880794,2023-09-01
KRW-IOST,2023-08-01T00:00:00,2023-08-01T09:00:00,11.8,12.0,9.34,9.73,1693526260846,34168101092.398727,3167214190.645958,2023-08-01
KRW-IOST,2023-07-01T00:00:00,2023-07-01T09:00:00,11.3,12.2,10.7,11.8,1690847997317,54180959418.28085,4691875016.940824,2023-07-01
KRW-IOST,2023-06-01T00:00:00,2023-06-01T09:00:00,12.3,12.4,9.0,11.3,1688169485664,26140978236.612537,2407478284.24287,2023-06-01
KRW-IOST,2023-05-01T00:00:00,2023-05-01T09:00:00,14.0,14.2,11.9,12.3,1685577598915,30027192770.658188,2302672292.3918037,2023-05-01
KRW-IOST,2023-04-01T00:00:00,2023-04-01T09:00:00,14.0,18.6,13.3,14.1,1682899189022,158217977815.38257,10184661785.248209,2023-04-01
KRW-IOST,2023-03-01T00:00:00,2023-03-01T09:00:00,14.9,17.5,11.6,14.0,1680307138664,128719156346.59688,8792230195.971209,2023-03-01
KRW-IOST,2023-02-01T00:00:00,2023-02-01T09:00:00,12.0,20.6,11.4,15.0,1677628762686,370837432147.02997,21999195328.56806,2023-02-01
KRW-IOST,2023-01-01T00:00:00,2023-01-01T09:00:00,8.61,13.8,8.49,12.0,1675209446720,86031450266.28613,7506898899.279304,2023-01-01
KRW-IOST,2022-12-01T00:00:00,2022-12-01T09:00:00,11.8,11.9,8.13,8.58,1672531142627,59345735154.642624,6171678707.492671,2022-12-01
KRW-IOST,2022-11-01T00:00:00,2022-11-01T09:00:00,16.0,17.1,10.6,11.8,1669852778447,101427602479.68639,7830052611.349206,2022-11-01
KRW-IOST,2022-10-01T00:00:00,2022-10-01T09:00:00,17.0,17.2,15.5,16.0,1667260784869,59708856756.08695,3658891681.6899066,2022-10-01
KRW-IOST,2022-09-01T00:00:00,2022-09-01T09:00:00,17.8,19.9,16.3,17.0,1664582386329,97790701556.35211,5446670767.030493,2022-09-01
KRW-IOST,2022-08-01T00:00:00,2022-08-01T09:00:00,19.4,23.3,17.4,17.8,1661990384286,198413581054.72958,10010443525.83867,2022-08-01
KRW-IOST,2022-07-01T00:00:00,2022-07-01T09:00:00,17.5,22.2,16.2,19.5,1659311996143,119462412179.95828,6407423733.798095,2022-07-01
KRW-IOST,2022-06-01T00:00:00,2022-06-01T09:00:00,22.8,24.9,16.0,17.5,1656633573554,202000209498.3481,9896768025.22637,2022-06-01
KRW-IOST,2022-05-01T00:00:00,2022-05-01T09:00:00,29.0,34.0,19.4,22.8,1654041593627,298013842193.9693,11661892306.410398,2022-05-01
KRW-IOST,2022-04-01T00:00:00,2022-04-01T09:00:00,51.2,57.8,28.6,29.1,1651363199110,1248620058548.1716,29261102448.024086,2022-04-01
KRW-IOST,2022-03-01T00:00:00,2022-03-01T09:00:00,31.7,65.4,26.5,51.2,1648771199634,1972639579700.5095,39878210890.55148,2022-03-01
KRW-IOST,2022-02-01T00:00:00,2022-02-01T09:00:00,32.3,38.4,24.2,31.7,1646092790488,97558312897.87146,3053906520.1701493,2022-02-01
KRW-IOST,2022-01-01T00:00:00,2022-01-01T09:00:00,38.4,42.7,23.7,32.2,1643673560210,120405618669.57883,3786982103.908918,2022-01-01
KRW-IOST,2021-12-01T00:00:00,2021-12-01T09:00:00,49.8,52.2,29.4,38.4,1640995176231,172512734966.82718,4078363733.9886575,2021-12-01
KRW-IOST,2021-11-01T00:00:00,2021-11-01T09:00:00,58.7,67.7,45.8,49.8,1638316798988,573457615072.5912,9855490965.474182,2021-11-01
KRW-IOST,2021-10-01T00:00:00,2021-10-01T09:00:00,67.2,78.1,50.7,58.6,1635724798936,1572253221877.1643,23594013663.353283,2021-10-01
KRW-IOST,2021-09-01T00:00:00,2021-09-01T09:00:00,49.4,110.0,47.7,67.2,1633046399856,7543980642467.166,93662186531.39165,2021-09-01
KRW-IOST,2021-08-01T00:00:00,2021-08-01T09:00:00,31.7,68.7,27.8,49.5,1630454385941,712850815036.8276,16210509879.424376,2021-08-01
KRW-IOST,2021-07-01T00:00:00,2021-07-01T09:00:00,26.2,32.5,19.2,31.6,1627775999703,283433754949.5692,10761917118.788086,2021-07-01
KRW-IOST,2021-06-01T00:00:00,2021-06-01T09:00:00,38.2,47.8,16.8,26.2,1625097599545,193269102021.42035,6465181571.977228,2021-06-01
KRW-IOST,2021-05-01T00:00:00,2021-05-01T09:00:00,81.6,93.4,26.1,38.3,1622505588388,630628821672.4209,10497842935.447151,2021-05-01
KRW-IOST,2021-04-01T00:00:00,2021-04-01T09:00:00,64.7,122.0,41.2,81.3,1619827199081,3154278606834.7383,35709269083.01595,2021-04-01
KRW-IOST,2021-03-01T00:00:00,2021-03-01T09:00:00,40.2,82.8,39.4,64.6,1617235199705,1102416958784.4985,19405297124.072315,2021-03-01
KRW-IOST,2021-02-01T00:00:00,2021-02-01T09:00:00,17.3,85.3,16.4,40.2,1614556796093,1323677929075.3127,29639372617.56627,2021-02-01
KRW-IOST,2021-01-01T00:00:00,2021-01-01T09:00:00,6.27,30.5,6.1,17.3,1612137560929,954856196728.8804,52118661313.12043,2021-01-01
KRW-IOST,2020-12-01T00:00:00,2020-12-01T09:00:00,6.7,9.36,5.32,6.29,1609459176668,46702775052.05233,6915486563.147779,2020-12-01
KRW-IOST,2020-11-01T00:00:00,2020-11-01T09:00:00,5.51,7.56,4.65,6.69,1606780525524,6983767388.376029,1188112292.8240223,2020-11-01
KRW-IOST,2020-10-01T00:00:00,2020-10-01T09:00:00,6.91,7.56,5.29,5.51,1604188764187,9610917080.147377,1482243786.5588999,2020-10-01
KRW-IOST,2020-09-01T00:00:00,2020-09-01T09:00:00,8.33,10.8,5.46,6.91,1601510377519,31706251919.015797,3900901635.7762084,2020-09-01
KRW-IOST,2020-08-01T00:00:00,2020-08-01T09:00:00,6.93,9.72,5.72,8.39,1598918367660,34483143794.684204,4351724451.526574,2020-08-01
KRW-IOST,2020-07-01T00:00:00,2020-07-01T09:00:00,6.47,8.55,6.17,6.93,1596239834402,29354074354.064255,4013969060.488564,2020-07-01
KRW-IOST,2020-06-01T00:00:00,2020-06-01T09:00:00,5.67,8.66,5.47,6.47,1593561499467,38564962520.17398,5392057916.452517,2020-06-01
KRW-IOST,2020-05-01T00:00:00,2020-05-01T09:00:00,4.46,5.93,3.82,5.71,1590969404327,16724023567.991362,3520104065.1511135,2020-05-01
KRW-IOST,2020-04-01T00:00:00,2020-04-01T09:00:00,3.7,5.26,3.53,4.44,1588291096375,12365346350.436392,2975518437.7623496,2020-04-01
KRW-IOST,2020-03-01T00:00:00,2020-03-01T09:00:00,6.62,7.29,2.23,3.69,1585699186676,33741851194.76327,7911882502.258695,2020-03-01
KRW-IOST,2020-02-01T00:00:00,2020-02-01T09:00:00,7.96,15.0,5.73,6.64,1583020730521,34117163030.29161,3696753559.467526,2020-02-01
KRW-IOST,2020-01-01T00:00:00,2020-01-01T09:00:00,5.38,9.87,5.13,7.97,1580515173143,27363380510.41636,3577619014.3273864,2020-01-01
KRW-IOST,2019-12-01T00:00:00,2019-12-01T09:00:00,6.75,8.78,5.27,5.39,1577836742282,19336594576.794807,2745911264.5476394,2019-12-01
KRW-IOST,2019-11-01T00:00:00,2019-11-01T09:00:00,8.44,20.0,4.98,6.75,1575158398893,41929637807.01234,4823863280.9140835,2019-11-01
KRW-IOST,2019-10-01T00:00:00,2019-10-01T09:00:00,5.74,9.3,4.5,8.41,1572566215137,4548503938.473987,675014909.9867831,2019-10-01
KRW-IOST,2019-09-01T00:00:00,2019-09-01T09:00:00,8.71,10.2,5.0,5.69,1569887845663,1727305333.7482626,234521159.46460104,2019-09-01
KRW-IOST,2019-08-01T00:00:00,2019-08-01T09:00:00,12.0,14.0,8.53,8.69,1567295826354,3034684771.8041196,278421320.2299041,2019-08-01
KRW-IOST,2019-07-01T00:00:00,2019-07-01T09:00:00,15.6,18.3,7.6,11.9,1564617536836,45989411141.93292,4100032215.706276,2019-07-01
KRW-IOST,2019-06-01T00:00:00,2019-06-01T09:00:00,16.2,18.1,12.9,15.7,1561939113191,23358781065.528316,1597136049.0461624,2019-06-01
KRW-IOST,2019-05-01T00:00:00,2019-05-01T09:00:00,13.0,18.9,11.9,16.0,1559347104504,29698415408.868473,1966011449.5483522,2019-05-01
KRW-IOST,2019-04-01T00:00:00,2019-04-01T09:00:00,11.1,21.0,10.8,12.9,1556668783459,20580717026.468468,1262800406.9342062,2019-04-01
KRW-IOST,2019-03-01T00:00:00,2019-03-01T09:00:00,8.13,12.9,7.7,11.2,1554076382654,39001644928.48111,3871473966.5361056,2019-03-01
KRW-IOST,2019-02-01T00:00:00,2019-02-01T09:00:00,6.21,11.9,5.87,8.13,1551398271171,30190803035.223846,3512369164.0162225,2019-02-01
KRW-IOST,2019-01-01T00:00:00,2019-01-01T09:00:00,5.8,8.44,5.74,6.21,1548978975016,4041865450.7049594,568198582.0599762,2019-01-01
KRW-IOST,2018-12-01T00:00:00,2018-12-01T09:00:00,5.4,7.21,4.03,5.8,1546300354045,9377859077.310448,1638151786.5951998,2018-12-01
KRW-IOST,2018-11-01T00:00:00,2018-11-01T09:00:00,14.0,14.3,4.56,5.39,1543622308548,7635127716.020598,937313711.659642,2018-11-01
KRW-IOST,2018-10-01T00:00:00,2018-10-01T09:00:00,13.7,17.5,12.4,14.0,1541030388879,15762183805.418573,1111463904.6644258,2018-10-01
KRW-IOST,2018-09-01T00:00:00,2018-09-01T09:00:00,17.7,19.9,11.8,13.7,1538351813260,26274431291.50023,1730443034.9327102,2018-09-01
KRW-IOST,2018-08-01T00:00:00,2018-08-01T09:00:00,25.8,28.3,11.9,17.7,1535759982588,32081994003.762966,1610921219.515899,2018-08-01
KRW-IOST,2018-07-01T00:00:00,2018-07-01T09:00:00,28.0,63.9,24.2,25.5,1533081602725,319209642870.2276,8505318729.571736,2018-07-01
