market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IOTA,2023-10-01T00:00:00,2023-10-01T09:00:00,206.0,214.0,189.0,190.0,1697076206265,13371841260.670605,65227292.92583908,2023-10-01
KRW-IOTA,2023-09-01T00:00:00,2023-09-01T09:00:00,213.0,254.0,197.0,206.0,1696118396688,55441787497.70131,258034041.16272816,2023-09-01
KRW-IOTA,2023-08-01T00:00:00,2023-08-01T09:00:00,225.0,233.0,191.0,214.0,1693526396429,34515025901.2931,161380767.2284581,2023-08-01
KRW-IOTA,2023-07-01T00:00:00,2023-07-01T09:00:00,243.0,256.0,220.0,225.0,1690847959128,44920539341.29066,187518199.52413025,2023-07-01
KRW-IOTA,2023-06-01T00:00:00,2023-06-01T09:00:00,267.0,279.0,180.0,243.0,1688169137390,45244451968.20508,188929402.3105865,2023-06-01
KRW-IOTA,2023-05-01T00:00:00,2023-05-01T09:00:00,264.0,301.0,231.0,267.0,1685577579001,53869407876.075905,203027548.13157043,2023-05-01
KRW-IOTA,2023-04-01T00:00:00,2023-04-01T09:00:00,285.0,322.0,254.0,265.0,1682899193755,92857399526.13986,317439734.26749057,2023-04-01
KRW-IOTA,2023-03-01T00:00:00,2023-03-01T09:00:00,322.0,332.0,241.0,286.0,1680307182625,56273040940.08717,198236395.99661124,2023-03-01
KRW-IOTA,2023-02-01T00:00:00,2023-02-01T09:00:00,286.0,358.0,271.0,322.0,1677628798445,130074092140.46295,406905952.7832635,2023-02-01
KRW-IOTA,2023-01-01T00:00:00,2023-01-01T09:00:00,215.0,314.0,213.0,286.0,1675209579000,83798263146.03725,310113674.5892358,2023-01-01
KRW-IOTA,2022-12-01T00:00:00,2022-12-01T09:00:00,293.0,293.0,205.0,215.0,1672530762772,39617955482.07523,160594362.45998594,2022-12-01
KRW-IOTA,2022-11-01T00:00:00,2022-11-01T09:00:00,363.0,388.0,274.0,293.0,1669852768875,74951487833.24495,236987624.99718693,2022-11-01
KRW-IOTA,2022-10-01T00:00:00,2022-10-01T09:00:00,414.0,430.0,341.0,363.0,1667260776683,40790914806.56387,108783691.65943682,2022-10-01
KRW-IOTA,2022-09-01T00:00:00,2022-09-01T09:00:00,386.0,469.0,350.0,414.0,1664582180795,144724196040.86554,340627258.447971,2022-09-01
KRW-IOTA,2022-08-01T00:00:00,2022-08-01T09:00:00,420.0,492.0,373.0,386.0,1661990347195,78743142813.34421,177835865.09215286,2022-08-01
KRW-IOTA,2022-07-01T00:00:00,2022-07-01T09:00:00,352.0,444.0,329.0,421.0,1659311998276,79318932306.66302,205189402.5479076,2022-07-01
KRW-IOTA,2022-06-01T00:00:00,2022-06-01T09:00:00,443.0,511.0,311.0,352.0,1656633588090,100536618801.28157,252575174.73158026,2022-06-01
