market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IQ,2023-10-01T00:00:00,2023-10-01T09:00:00,6.56,6.73,6.01,6.04,1697076209143,33817010338.32491,5286923924.568357,2023-10-01
KRW-IQ,2023-09-01T00:00:00,2023-09-01T09:00:00,5.83,7.59,5.58,6.56,1696118396173,380674763830.37744,57186032129.702255,2023-09-01
KRW-IQ,2023-08-01T00:00:00,2023-08-01T09:00:00,6.82,7.81,5.67,5.83,1693526387464,280093692319.76636,41513538472.591965,2023-08-01
KRW-IQ,2023-07-01T00:00:00,2023-07-01T09:00:00,5.97,8.72,5.82,6.81,1690847998621,653153901963.759,94209266626.12901,2023-07-01
KRW-IQ,2023-06-01T00:00:00,2023-06-01T09:00:00,6.41,6.94,5.02,5.98,1688169586769,338270945737.36597,54208745225.97676,2023-06-01
KRW-IQ,2023-05-01T00:00:00,2023-05-01T09:00:00,7.89,7.89,6.31,6.41,1685577578463,108176795970.21089,15157814947.27913,2023-05-01
KRW-IQ,2023-04-01T00:00:00,2023-04-01T09:00:00,8.39,9.95,7.57,7.89,1682899199989,617497428692.5471,70206275605.38475,2023-04-01
KRW-IQ,2023-03-01T00:00:00,2023-03-01T09:00:00,9.49,10.4,6.82,8.39,1680307193483,436474014052.5322,50179365733.23795,2023-03-01
KRW-IQ,2023-02-01T00:00:00,2023-02-01T09:00:00,7.81,12.1,7.37,9.49,1677628794087,791486233404.6812,85577029001.52362,2023-02-01
KRW-IQ,2023-01-01T00:00:00,2023-01-01T09:00:00,5.64,10.1,5.43,7.8,1675209596249,1004797935027.6501,126362956951.00587,2023-01-01
KRW-IQ,2022-12-01T00:00:00,2022-12-01T09:00:00,8.93,9.06,5.15,5.64,1672531197639,627112927433.4646,81733000293.22047,2022-12-01
KRW-IQ,2022-11-01T00:00:00,2022-11-01T09:00:00,6.35,12.0,3.49,8.93,1669852799908,2458356397820.7183,295046907989.1761,2022-11-01
KRW-IQ,2022-10-01T00:00:00,2022-10-01T09:00:00,6.99,7.6,6.02,6.37,1667260779411,162948816922.41776,24333250913.283833,2022-10-01
KRW-IQ,2022-09-01T00:00:00,2022-09-01T09:00:00,7.32,9.85,6.64,6.99,1664582394702,391939166124.51514,48069766360.22634,2022-09-01
KRW-IQ,2022-08-01T00:00:00,2022-08-01T09:00:00,7.92,9.48,6.94,7.32,1661990384711,208054947858.09512,25289656772.11396,2022-08-01
KRW-IQ,2022-07-01T00:00:00,2022-07-01T09:00:00,5.51,8.59,5.39,7.92,1659311984436,803946998713.1063,110898660013.08066,2022-07-01
KRW-IQ,2022-06-01T00:00:00,2022-06-01T09:00:00,7.53,8.73,4.57,5.52,1656633557390,126206036837.46735,19382577700.54784,2022-06-01
KRW-IQ,2022-05-01T00:00:00,2022-05-01T09:00:00,12.0,13.3,6.86,7.53,1654041577737,153752800551.5134,17054009058.296034,2022-05-01
KRW-IQ,2022-04-01T00:00:00,2022-04-01T09:00:00,14.9,23.5,11.9,12.0,1651363197676,828299263167.1956,43502149842.715164,2022-04-01
KRW-IQ,2022-03-01T00:00:00,2022-03-01T09:00:00,11.0,15.9,10.0,14.8,1648771199077,192798917866.76425,15473392401.454048,2022-03-01
KRW-IQ,2022-02-01T00:00:00,2022-02-01T09:00:00,11.1,13.2,9.06,11.1,1646092788357,81184542383.02585,7144088208.463483,2022-02-01
KRW-IQ,2022-01-01T00:00:00,2022-01-01T09:00:00,14.6,16.6,9.17,11.1,1643673557788,87492379304.6069,6963130391.226322,2022-01-01
KRW-IQ,2021-12-01T00:00:00,2021-12-01T09:00:00,22.7,25.2,13.7,14.6,1640995000919,191034478792.13135,10743706944.237165,2021-12-01
KRW-IQ,2021-11-01T00:00:00,2021-11-01T09:00:00,22.3,25.1,18.9,22.6,1638316799996,484688367538.0073,21822058782.672447,2021-11-01
KRW-IQ,2021-10-01T00:00:00,2021-10-01T09:00:00,15.5,35.1,15.2,22.3,1635724799557,1972546743834.5422,77506487386.82028,2021-10-01
KRW-IQ,2021-09-01T00:00:00,2021-09-01T09:00:00,18.6,26.6,13.7,15.4,1633046399958,564237880483.5245,28637037582.873917,2021-09-01
KRW-IQ,2021-08-01T00:00:00,2021-08-01T09:00:00,16.1,24.2,14.2,18.6,1630454379675,593828817408.8363,32248573788.2073,2021-08-01
KRW-IQ,2021-07-01T00:00:00,2021-07-01T09:00:00,14.0,16.9,10.5,16.2,1627775999759,287198985444.4533,20390267819.786594,2021-07-01
KRW-IQ,2021-06-01T00:00:00,2021-06-01T09:00:00,14.0,27.3,6.75,14.0,1625097597653,1001140243985.6134,56007855061.10155,2021-06-01
KRW-IQ,2021-05-01T00:00:00,2021-05-01T09:00:00,27.1,31.5,10.5,14.1,1622505598834,850275690543.654,39112478671.87287,2021-05-01
KRW-IQ,2021-04-01T00:00:00,2021-04-01T09:00:00,35.4,57.4,15.0,27.1,1619827199358,2220053894855.5464,63441665789.41495,2021-04-01
KRW-IQ,2021-03-01T00:00:00,2021-03-01T09:00:00,7.94,44.8,7.62,35.4,1617235200057,1428055102067.0051,65259989434.097694,2021-03-01
KRW-IQ,2021-02-01T00:00:00,2021-02-01T09:00:00,4.46,13.3,4.1,7.94,1614556794964,697261927518.1311,92547355584.71867,2021-02-01
KRW-IQ,2021-01-01T00:00:00,2021-01-01T09:00:00,3.25,9.7,3.16,4.48,1612137599179,552541457856.4819,101147972300.88504,2021-01-01
KRW-IQ,2020-12-01T00:00:00,2020-12-01T09:00:00,2.59,5.44,2.39,3.24,1609459199240,104662870759.181,30558143120.405308,2020-12-01
KRW-IQ,2020-11-01T00:00:00,2020-11-01T09:00:00,2.41,3.37,2.15,2.59,1606780757757,24352867678.171154,9282703346.295069,2020-11-01
KRW-IQ,2020-10-01T00:00:00,2020-10-01T09:00:00,2.31,5.5,2.22,2.42,1604188796012,102658581080.33453,27308741021.02316,2020-10-01
KRW-IQ,2020-09-01T00:00:00,2020-09-01T09:00:00,2.58,3.2,2.04,2.29,1601510194545,13774386384.092276,5472681036.080117,2020-09-01
KRW-IQ,2020-08-01T00:00:00,2020-08-01T09:00:00,2.4,3.0,2.21,2.58,1598918351367,26039507295.868057,9989365036.522041,2020-08-01
KRW-IQ,2020-07-01T00:00:00,2020-07-01T09:00:00,2.03,3.25,1.94,2.4,1596239954452,35044367314.16983,14044779015.714449,2020-07-01
KRW-IQ,2020-06-01T00:00:00,2020-06-01T09:00:00,1.81,4.18,1.69,2.03,1593561586725,31271686159.220066,11583733266.873371,2020-06-01
KRW-IQ,2020-05-01T00:00:00,2020-05-01T09:00:00,1.33,2.29,1.14,1.81,1590969599962,14736886959.100597,8904379378.666254,2020-05-01
KRW-IQ,2020-04-01T00:00:00,2020-04-01T09:00:00,1.3,1.5,1.2,1.33,1588291172702,2605698508.460314,1964948864.563021,2020-04-01
KRW-IQ,2020-03-01T00:00:00,2020-03-01T09:00:00,2.37,2.55,0.77,1.28,1585698153975,5748080942.370772,3831709441.163568,2020-03-01
KRW-IQ,2020-02-01T00:00:00,2020-02-01T09:00:00,2.15,4.9,1.9,2.35,1583019901835,26527563401.882587,8801272606.033163,2020-02-01
KRW-IQ,2020-01-01T00:00:00,2020-01-01T09:00:00,1.62,2.27,1.46,2.14,1580515111672,6586259877.677844,3545795399.9305687,2020-01-01
KRW-IQ,2019-12-01T00:00:00,2019-12-01T09:00:00,2.13,2.46,1.55,1.61,1577836432582,3426279322.9775157,1728975780.886266,2019-12-01
KRW-IQ,2019-11-01T00:00:00,2019-11-01T09:00:00,2.33,2.67,1.62,2.15,1575158396686,4682616214.304671,2036156635.403875,2019-11-01
KRW-IQ,2019-10-01T00:00:00,2019-10-01T09:00:00,2.12,2.71,1.8,2.35,1572566394744,4168272009.527523,1800692526.7435303,2019-10-01
KRW-IQ,2019-09-01T00:00:00,2019-09-01T09:00:00,2.76,3.01,1.9,2.13,1569887991498,2146276603.7241385,798204610.3402073,2019-09-01
KRW-IQ,2019-08-01T00:00:00,2019-08-01T09:00:00,3.55,3.86,2.6,2.78,1567295811854,8070626596.581289,2431482155.3344626,2019-08-01
KRW-IQ,2019-07-01T00:00:00,2019-07-01T09:00:00,4.68,4.87,2.51,3.54,1564617569452,6978035195.095803,1866233586.0132847,2019-07-01
KRW-IQ,2019-06-01T00:00:00,2019-06-01T09:00:00,5.55,7.76,4.5,4.68,1561939195762,47460169849.626656,7891857086.154775,2019-06-01
KRW-IQ,2019-05-01T00:00:00,2019-05-01T09:00:00,3.92,8.46,3.47,5.55,1559347181730,130414932176.86217,20045287768.293438,2019-05-01
KRW-IQ,2019-04-01T00:00:00,2019-04-01T09:00:00,3.64,6.33,3.54,3.91,1556668735222,50780667927.39042,10073919648.51499,2019-04-01
KRW-IQ,2019-03-01T00:00:00,2019-03-01T09:00:00,3.11,4.63,2.96,3.64,1554076777222,27568030617.32021,7315077788.319678,2019-03-01
KRW-IQ,2019-02-01T00:00:00,2019-02-01T09:00:00,2.36,5.95,2.26,3.16,1551396795511,72577160714.66112,18249833025.423855,2019-02-01
KRW-IQ,2019-01-01T00:00:00,2019-01-01T09:00:00,2.89,3.16,2.25,2.36,1548979197282,3219948664.373722,1151116373.4116411,2019-01-01
KRW-IQ,2018-12-01T00:00:00,2018-12-01T09:00:00,4.05,4.9,2.5,2.89,1546300793738,7452478532.64074,2312863953.227086,2018-12-01
KRW-IQ,2018-11-01T00:00:00,2018-11-01T09:00:00,10.4,10.7,3.2,4.07,1543622391735,18333349155.55353,2873805839.1565857,2018-11-01
KRW-IQ,2018-10-01T00:00:00,2018-10-01T09:00:00,10.9,14.4,9.99,10.4,1541030399113,24049000038.38506,2161971590.33937,2018-10-01
KRW-IQ,2018-09-01T00:00:00,2018-09-01T09:00:00,15.9,17.7,9.82,10.9,1538351890592,30878346839.15082,2473944209.4400754,2018-09-01
