market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-JST,2023-10-01T00:00:00,2023-10-01T09:00:00,33.9,35.0,29.4,30.1,1697076234279,32185024073.73125,992050995.0219651,2023-10-01
KRW-JST,2023-09-01T00:00:00,2023-09-01T09:00:00,27.7,40.4,26.9,33.9,1696118395684,199958015582.02493,5469988942.838354,2023-09-01
KRW-JST,2023-08-01T00:00:00,2023-08-01T09:00:00,31.5,33.0,27.0,27.7,1693526193017,23561284410.89832,788126048.8765377,2023-08-01
KRW-JST,2023-07-01T00:00:00,2023-07-01T09:00:00,29.9,41.0,28.9,31.4,1690847970026,199189852803.92453,5930526966.286357,2023-07-01
KRW-JST,2023-06-01T00:00:00,2023-06-01T09:00:00,30.3,38.1,24.9,30.0,1688169590307,185520911718.64233,5629440184.816841,2023-06-01
KRW-JST,2023-05-01T00:00:00,2023-05-01T09:00:00,34.2,37.7,30.0,30.4,1685577527186,53853871205.99976,1584799160.6639118,2023-05-01
KRW-JST,2023-04-01T00:00:00,2023-04-01T09:00:00,35.8,40.6,33.5,34.3,1682899155644,109097764309.94086,2965462668.4009504,2023-04-01
KRW-JST,2023-03-01T00:00:00,2023-03-01T09:00:00,39.3,39.6,29.4,35.8,1680307185104,55463566160.977776,1574285607.5616925,2023-03-01
KRW-JST,2023-02-01T00:00:00,2023-02-01T09:00:00,32.7,44.7,31.5,39.4,1677628799332,379233321104.1171,9782756923.083061,2023-02-01
KRW-JST,2023-01-01T00:00:00,2023-01-01T09:00:00,25.3,47.7,24.7,32.7,1675209586494,242611698686.02005,6852544819.924296,2023-01-01
KRW-JST,2022-12-01T00:00:00,2022-12-01T09:00:00,30.6,32.8,24.7,25.4,1672531035280,73037211245.82785,2500484188.2471013,2022-12-01
KRW-JST,2022-11-01T00:00:00,2022-11-01T09:00:00,40.8,41.7,25.6,30.6,1669852794643,129081981337.098,3961329693.833291,2022-11-01
KRW-JST,2022-10-01T00:00:00,2022-10-01T09:00:00,35.9,47.5,34.9,40.8,1667260760505,653042812340.0481,15780611249.826048,2022-10-01
KRW-JST,2022-09-01T00:00:00,2022-09-01T09:00:00,38.3,39.6,34.2,35.8,1664582384619,71208358334.18054,1923316214.3237379,2022-09-01
KRW-JST,2022-08-01T00:00:00,2022-08-01T09:00:00,40.4,48.6,36.8,38.3,1661990388614,204748384111.22372,4733927676.64347,2022-08-01
KRW-JST,2022-07-01T00:00:00,2022-07-01T09:00:00,35.9,43.2,34.5,40.4,1659311996577,141112838536.5133,3596010772.8024993,2022-07-01
KRW-JST,2022-06-01T00:00:00,2022-06-01T09:00:00,56.2,60.4,31.9,35.8,1656633590501,272227770856.1712,6278997463.540151,2022-06-01
KRW-JST,2022-05-01T00:00:00,2022-05-01T09:00:00,74.7,90.7,48.1,56.2,1654041599427,581659792192.8657,8473938430.278277,2022-05-01
KRW-JST,2022-04-01T00:00:00,2022-04-01T09:00:00,102.0,117.0,73.7,74.9,1651363195640,1847014388690.6611,19425995613.1283,2022-04-01
KRW-JST,2022-03-01T00:00:00,2022-03-01T09:00:00,58.1,137.0,55.1,103.0,1648771199483,1954905526220.92,22914939957.718796,2022-03-01
KRW-JST,2022-02-01T00:00:00,2022-02-01T09:00:00,51.8,91.4,49.1,58.2,1646092799957,1688908866052.384,23167610595.221397,2022-02-01
KRW-JST,2022-01-01T00:00:00,2022-01-01T09:00:00,66.0,74.5,43.0,51.9,1643673560803,87757606598.66331,1416974820.9366086,2022-01-01
KRW-JST,2021-12-01T00:00:00,2021-12-01T09:00:00,92.6,95.0,65.4,66.0,1640995195196,197111365555.05832,2426583787.302363,2021-12-01
KRW-JST,2021-11-01T00:00:00,2021-11-01T09:00:00,103.0,112.0,90.0,92.6,1638316800005,347463878435.773,3450465502.5162725,2021-11-01
KRW-JST,2021-10-01T00:00:00,2021-10-01T09:00:00,77.9,122.0,77.5,103.0,1635724792071,674426249174.0298,6848883815.4060755,2021-10-01
KRW-JST,2021-09-01T00:00:00,2021-09-01T09:00:00,86.5,121.0,70.2,77.8,1633046380351,856309270311.2225,8592531356.663834,2021-09-01
KRW-JST,2021-08-01T00:00:00,2021-08-01T09:00:00,61.9,93.8,57.7,86.6,1630454399206,589369299951.4327,7665987866.859392,2021-08-01
KRW-JST,2021-07-01T00:00:00,2021-07-01T09:00:00,61.1,66.0,42.4,61.9,1627776000255,191987679165.72577,3494551462.112428,2021-07-01
KRW-JST,2021-06-01T00:00:00,2021-06-01T09:00:00,80.3,87.9,39.7,61.1,1625097599766,108692362508.83195,1559444231.1960187,2021-06-01
KRW-JST,2021-05-01T00:00:00,2021-05-01T09:00:00,155.0,200.0,62.5,80.2,1622505582578,414140366498.78937,3297711494.2092843,2021-05-01
KRW-JST,2021-04-01T00:00:00,2021-04-01T09:00:00,162.0,273.0,93.5,155.0,1619827192689,1919437410094.0923,10332538432.900135,2021-04-01
KRW-JST,2021-03-01T00:00:00,2021-03-01T09:00:00,51.5,175.0,50.1,162.0,1617235199528,1607095576568.7048,16135416926.960072,2021-03-01
KRW-JST,2021-02-01T00:00:00,2021-02-01T09:00:00,33.8,120.0,33.3,51.5,1614556800103,319408692265.8769,5471246014.192614,2021-02-01
KRW-JST,2021-01-01T00:00:00,2021-01-01T09:00:00,24.5,42.8,24.3,33.9,1612137561236,191362797420.85846,6003775127.385728,2021-01-01
KRW-JST,2020-12-01T00:00:00,2020-12-01T09:00:00,25.2,44.9,23.1,24.7,1609458534709,123042232926.83252,3893804996.5298767,2020-12-01
KRW-JST,2020-11-01T00:00:00,2020-11-01T09:00:00,25.2,30.2,19.5,25.2,1606780762290,56181064436.12751,2284747254.6600204,2020-11-01
KRW-JST,2020-10-01T00:00:00,2020-10-01T09:00:00,41.4,42.2,24.7,25.1,1604188216368,20870604678.38002,659088437.4553359,2020-10-01
KRW-JST,2020-09-01T00:00:00,2020-09-01T09:00:00,69.6,85.1,38.3,41.5,1601510377916,92473237591.58847,1573915554.8724716,2020-09-01
KRW-JST,2020-08-01T00:00:00,2020-08-01T09:00:00,75.0,145.0,51.1,69.9,1598918396426,254250022762.386,3142157009.318067,2020-08-01
