market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-KAVA,2023-10-01T00:00:00,2023-10-01T09:00:00,861.0,890.0,778.0,780.0,1697076206028,55176988024.14634,66223236.18247359,2023-10-01
KRW-KAVA,2023-09-01T00:00:00,2023-09-01T09:00:00,900.0,937.0,820.0,860.0,1696118327791,156342272380.90378,179070568.0867194,2023-09-01
KRW-KAVA,2023-08-01T00:00:00,2023-08-01T09:00:00,1130.0,1180.0,891.0,900.0,1693526371689,235025644743.85452,235613427.10887712,2023-08-01
KRW-KAVA,2023-07-01T00:00:00,2023-07-01T09:00:00,1285.0,1430.0,1085.0,1130.0,1690847980855,429680732149.45575,345366041.2507671,2023-07-01
KRW-KAVA,2023-06-01T00:00:00,2023-06-01T09:00:00,1390.0,1760.0,960.0,1285.0,1688169581719,1403553796274.0457,1043159956.5401443,2023-06-01
KRW-KAVA,2023-05-01T00:00:00,2023-05-01T09:00:00,1325.0,2945.0,1235.0,1390.0,1685577595751,2834148261786.2617,1353743126.1614587,2023-05-01
KRW-KAVA,2023-04-01T00:00:00,2023-04-01T09:00:00,1575.0,1685.0,1290.0,1325.0,1682899194827,55921353707.32083,37106304.85321074,2023-04-01
KRW-KAVA,2023-03-01T00:00:00,2023-03-01T09:00:00,1840.0,2240.0,1445.0,1570.0,1680307143508,356944104682.71875,204100954.3973886,2023-03-01
KRW-KAVA,2023-02-01T00:00:00,2023-02-01T09:00:00,1980.0,2380.0,1725.0,1840.0,1677628791825,412256482668.6093,204280022.5762448,2023-02-01
KRW-KAVA,2023-01-01T00:00:00,2023-01-01T09:00:00,1090.0,3200.0,1030.0,1980.0,1675209582344,1338281261792.3677,657830698.5679727,2023-01-01
KRW-KAVA,2022-12-01T00:00:00,2022-12-01T09:00:00,1395.0,1905.0,1005.0,1095.0,1672531199013,601562677018.5037,393034904.4220386,2022-12-01
KRW-KAVA,2022-11-01T00:00:00,2022-11-01T09:00:00,2045.0,2435.0,1100.0,1395.0,1669852779026,807845398760.0106,459995939.50216013,2022-11-01
KRW-KAVA,2022-10-01T00:00:00,2022-10-01T09:00:00,2175.0,2295.0,1885.0,2045.0,1667260799264,113272263287.96754,53169094.5589568,2022-10-01
