market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-KNC,2023-10-01T00:00:00,2023-10-01T09:00:00,931.0,999.0,856.0,865.0,1697076229192,136945098332.6275,146290050.3770585,2023-10-01
KRW-KNC,2023-09-01T00:00:00,2023-09-01T09:00:00,692.0,1025.0,674.0,932.0,1696118393178,701744411597.2224,784763122.5116088,2023-09-01
KRW-KNC,2023-08-01T00:00:00,2023-08-01T09:00:00,946.0,1525.0,678.0,693.0,1693526356175,851664581869.9589,905953242.1290128,2023-08-01
KRW-KNC,2023-07-01T00:00:00,2023-07-01T09:00:00,750.0,1080.0,702.0,947.0,1690847990895,884950398530.972,996774358.5854104,2023-07-01
KRW-KNC,2023-06-01T00:00:00,2023-06-01T09:00:00,811.0,983.0,573.0,750.0,1688169597178,374325741407.3037,447157021.57375175,2023-06-01
KRW-KNC,2023-05-01T00:00:00,2023-05-01T09:00:00,926.0,932.0,769.0,811.0,1685577588148,43144670549.66952,51409304.10563814,2023-05-01
KRW-KNC,2023-04-01T00:00:00,2023-04-01T09:00:00,962.0,1135.0,882.0,927.0,1682899196440,155184584481.38248,156174470.258684,2023-04-01
KRW-KNC,2023-03-01T00:00:00,2023-03-01T09:00:00,1125.0,1150.0,775.0,964.0,1680307193767,224457581049.68054,236314520.32614127,2023-03-01
KRW-KNC,2023-02-01T00:00:00,2023-02-01T09:00:00,1005.0,1300.0,941.0,1120.0,1677628793359,515169726743.62134,455624899.7708243,2023-02-01
KRW-KNC,2023-01-01T00:00:00,2023-01-01T09:00:00,581.0,1135.0,570.0,1000.0,1675209596120,673133277654.5,724582478.4656452,2023-01-01
KRW-KNC,2022-12-01T00:00:00,2022-12-01T09:00:00,968.0,973.0,565.0,581.0,1672531161085,157936373939.84525,191385766.51903996,2022-12-01
KRW-KNC,2022-11-01T00:00:00,2022-11-01T09:00:00,1280.0,1360.0,710.0,968.0,1669852799579,365068677292.9463,390774807.58038986,2022-11-01
KRW-KNC,2022-10-01T00:00:00,2022-10-01T09:00:00,1705.0,1715.0,1160.0,1280.0,1667260788269,292796168217.69324,214248218.82523924,2022-10-01
