market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MATIC,2023-10-01T00:00:00,2023-10-01T09:00:00,722.0,816.0,692.0,695.0,1697076258411,89716606770.90219,117614191.97776684,2023-10-01
KRW-MATIC,2023-09-01T00:00:00,2023-09-01T09:00:00,751.0,775.0,674.0,723.0,1696118386728,94232361627.51183,131446699.87437683,2023-09-01
KRW-MATIC,2023-08-01T00:00:00,2023-08-01T09:00:00,893.0,950.0,726.0,750.0,1693526351631,164025609351.71707,199236640.16654834,2023-08-01
KRW-MATIC,2023-07-01T00:00:00,2023-07-01T09:00:00,880.0,1175.0,862.0,893.0,1690847995368,421082646075.11176,435767030.5815498,2023-07-01
KRW-MATIC,2023-06-01T00:00:00,2023-06-01T09:00:00,1190.0,1210.0,732.0,880.0,1688169599157,362502120822.5812,413078490.9001653,2023-06-01
KRW-MATIC,2023-05-01T00:00:00,2023-05-01T09:00:00,1315.0,1360.0,1105.0,1195.0,1685577432576,206357989994.35654,170522507.0384974,2023-05-01
KRW-MATIC,2023-04-01T00:00:00,2023-04-01T09:00:00,1470.0,1560.0,1275.0,1315.0,1682899198807,317116824600.42096,219623047.58781308,2023-04-01
KRW-MATIC,2023-03-01T00:00:00,2023-03-01T09:00:00,1605.0,1665.0,1290.0,1475.0,1680307191348,785692792211.53,523276089.49934286,2023-03-01
KRW-MATIC,2023-02-01T00:00:00,2023-02-01T09:00:00,1390.0,2020.0,1340.0,1605.0,1677628799430,1041472634958.9376,618096154.7542989,2023-02-01
KRW-MATIC,2023-01-01T00:00:00,2023-01-01T09:00:00,965.0,1510.0,953.0,1395.0,1675209565767,759424107410.4286,611348038.6407218,2023-01-01
KRW-MATIC,2022-12-01T00:00:00,2022-12-01T09:00:00,1265.0,1280.0,948.0,966.0,1672531198379,253811837215.2424,222530108.54019544,2022-12-01
KRW-MATIC,2022-11-01T00:00:00,2022-11-01T09:00:00,1265.0,1850.0,1085.0,1260.0,1669852799993,2441283298942.593,1726308810.5957441,2022-11-01
KRW-MATIC,2022-10-01T00:00:00,2022-10-01T09:00:00,1115.0,1365.0,1030.0,1270.0,1667260798108,370182299393.2291,303735344.2250208,2022-10-01
KRW-MATIC,2022-09-01T00:00:00,2022-09-01T09:00:00,1140.0,1295.0,995.0,1115.0,1664582389303,452699570479.2466,391140474.09292775,2022-09-01
KRW-MATIC,2022-08-01T00:00:00,2022-08-01T09:00:00,1225.0,1400.0,1040.0,1140.0,1661990392272,805729069956.2999,675172046.5560746,2022-08-01
KRW-MATIC,2022-07-01T00:00:00,2022-07-01T09:00:00,641.0,1345.0,594.0,1225.0,1659311997597,2397089049195.726,2369508288.8330274,2022-07-01
KRW-MATIC,2022-06-01T00:00:00,2022-06-01T09:00:00,830.0,842.0,430.0,640.0,1656633599938,717079600166.7954,1079424351.7354875,2022-06-01
KRW-MATIC,2022-05-01T00:00:00,2022-05-01T09:00:00,1360.0,1515.0,707.0,830.0,1654041594917,488445773656.7982,496371464.92732024,2022-05-01
KRW-MATIC,2022-04-01T00:00:00,2022-04-01T09:00:00,1995.0,2100.0,1350.0,1360.0,1651363199480,721170426928.9119,400407257.85409147,2022-04-01
KRW-MATIC,2022-03-01T00:00:00,2022-03-01T09:00:00,1950.0,2125.0,1665.0,1995.0,1648771197805,841437128867.97,444720802.1488138,2022-03-01
KRW-MATIC,2022-02-01T00:00:00,2022-02-01T09:00:00,2020.0,2530.0,1560.0,1950.0,1646092799156,2047772601276.7998,1002291659.4277285,2022-02-01
KRW-MATIC,2022-01-01T00:00:00,2022-01-01T09:00:00,3095.0,3180.0,1625.0,2020.0,1643673597796,3366916587976.2036,1450539191.4854057,2022-01-01
KRW-MATIC,2021-12-01T00:00:00,2021-12-01T09:00:00,2210.0,3545.0,1970.0,3095.0,1640995198519,7896517290752.112,2831072589.4794836,2021-12-01
KRW-MATIC,2021-11-01T00:00:00,2021-11-01T09:00:00,2285.0,2535.0,1820.0,2210.0,1638316796168,1492307741752.4922,683071883.7130637,2021-11-01
KRW-MATIC,2021-10-01T00:00:00,2021-10-01T09:00:00,1350.0,5000.0,1350.0,2285.0,1635724799969,5751903207422.1455,2627918049.353172,2021-10-01
