market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-META,2023-10-01T00:00:00,2023-10-01T09:00:00,32.8,37.6,30.4,30.8,1697076196545,89071768526.46056,2587644789.7675204,2023-10-01
KRW-META,2023-09-01T00:00:00,2023-09-01T09:00:00,28.1,34.8,27.2,32.8,1696118392267,88104343817.88231,2858034123.9148393,2023-09-01
KRW-META,2023-08-01T00:00:00,2023-08-01T09:00:00,34.6,45.2,26.5,28.2,1693526394467,323311567580.49896,8972766856.744453,2023-08-01
KRW-META,2023-07-01T00:00:00,2023-07-01T09:00:00,31.3,38.1,30.0,34.7,1690847978920,101991341804.65323,3006736476.675989,2023-07-01
KRW-META,2023-06-01T00:00:00,2023-06-01T09:00:00,33.1,34.1,25.3,31.3,1688169591626,29452624967.46558,973291233.8203509,2023-06-01
KRW-META,2023-05-01T00:00:00,2023-05-01T09:00:00,40.0,44.5,32.4,33.2,1685577547916,98954117295.63531,2488035039.5838485,2023-05-01
KRW-META,2023-04-01T00:00:00,2023-04-01T09:00:00,40.5,50.5,38.3,40.0,1682899198714,230115442545.07263,5265533778.49096,2023-04-01
KRW-META,2023-03-01T00:00:00,2023-03-01T09:00:00,47.6,47.7,34.1,40.6,1680307165766,140463105340.3712,3399811537.562729,2023-03-01
KRW-META,2023-02-01T00:00:00,2023-02-01T09:00:00,36.4,54.2,34.2,47.7,1677628799438,573515014219.8503,12448107303.570889,2023-02-01
KRW-META,2023-01-01T00:00:00,2023-01-01T09:00:00,22.2,49.6,22.0,36.4,1675209598658,755665834347.1501,19873462497.082554,2023-01-01
KRW-META,2022-12-01T00:00:00,2022-12-01T09:00:00,34.1,35.5,21.0,22.3,1672531153435,35365376299.6062,1195484137.2953985,2022-12-01
KRW-META,2022-11-01T00:00:00,2022-11-01T09:00:00,43.3,52.0,26.8,34.1,1669852799349,273054316200.47644,6832592236.58474,2022-11-01
KRW-META,2022-10-01T00:00:00,2022-10-01T09:00:00,46.6,46.9,40.1,43.3,1667260772035,66583505526.06878,1518183206.0043194,2022-10-01
KRW-META,2022-09-01T00:00:00,2022-09-01T09:00:00,58.1,58.3,44.0,46.8,1664582364601,198601910955.7609,3949600221.385575,2022-09-01
KRW-META,2022-08-01T00:00:00,2022-08-01T09:00:00,51.8,67.7,46.8,58.2,1661990398293,581362268934.6915,9753788540.940765,2022-08-01
KRW-META,2022-07-01T00:00:00,2022-07-01T09:00:00,44.2,55.5,41.6,51.8,1659311999332,172816875006.63165,3578588598.940182,2022-07-01
KRW-META,2022-06-01T00:00:00,2022-06-01T09:00:00,66.8,72.8,37.2,44.0,1656633575751,282703762936.6613,5587740815.572353,2022-06-01
KRW-META,2022-05-01T00:00:00,2022-05-01T09:00:00,83.7,102.0,44.4,66.9,1654041599979,534130055726.4368,7104357979.8150425,2022-05-01
KRW-META,2022-04-01T00:00:00,2022-04-01T09:00:00,116.0,140.0,83.5,83.7,1651363199476,335458166403.663,2922662250.920642,2022-04-01
KRW-META,2022-03-01T00:00:00,2022-03-01T09:00:00,94.1,119.0,82.7,116.0,1648771196922,453733324931.0225,4632110343.065812,2022-03-01
KRW-META,2022-02-01T00:00:00,2022-02-01T09:00:00,86.3,107.0,70.3,93.9,1646092794017,318642000167.0338,3477998379.739895,2022-02-01
KRW-META,2022-01-01T00:00:00,2022-01-01T09:00:00,121.0,132.0,68.0,86.1,1643673541875,305927077672.77563,3001597510.7290616,2022-01-01
KRW-META,2021-12-01T00:00:00,2021-12-01T09:00:00,184.0,247.0,113.0,121.0,1640995172703,994871647069.2323,6042329283.639102,2021-12-01
KRW-META,2021-11-01T00:00:00,2021-11-01T09:00:00,148.0,213.0,131.0,184.0,1638316800558,1344342323890.2246,8068974161.485669,2021-11-01
KRW-META,2021-10-01T00:00:00,2021-10-01T09:00:00,105.0,166.0,104.0,147.0,1635724799921,741536674529.2667,5539648071.7022295,2021-10-01
KRW-META,2021-09-01T00:00:00,2021-09-01T09:00:00,145.0,184.0,90.4,105.0,1633046388255,759258301868.6974,5480206687.804483,2021-09-01
KRW-META,2021-08-01T00:00:00,2021-08-01T09:00:00,133.0,178.0,125.0,146.0,1630454399411,1062875769240.4159,7157098113.356289,2021-08-01
KRW-META,2021-07-01T00:00:00,2021-07-01T09:00:00,114.0,159.0,99.3,133.0,1627776000258,1117801259929.163,8811058333.635517,2021-07-01
KRW-META,2021-06-01T00:00:00,2021-06-01T09:00:00,125.0,175.0,32.1,113.0,1625097599590,1256796151252.5327,13658272103.969198,2021-06-01
KRW-META,2021-05-01T00:00:00,2021-05-01T09:00:00,222.0,273.0,75.0,125.0,1622505596678,1256060476841.0847,7166829183.465051,2021-05-01
KRW-META,2021-04-01T00:00:00,2021-04-01T09:00:00,412.0,522.0,116.0,222.0,1619827198467,4218469555601.398,14015636339.588335,2021-04-01
KRW-META,2021-03-01T00:00:00,2021-03-01T09:00:00,20.3,486.0,19.7,414.0,1617235200198,7457976460804.588,58919518183.61843,2021-03-01
KRW-META,2021-02-01T00:00:00,2021-02-01T09:00:00,9.29,39.0,9.12,20.3,1614556800438,524794153495.4755,26417288269.333347,2021-02-01
KRW-META,2021-01-01T00:00:00,2021-01-01T09:00:00,10.3,11.5,8.65,9.34,1612137456884,77803979577.94302,7789330311.031985,2021-01-01
KRW-META,2020-12-01T00:00:00,2020-12-01T09:00:00,14.0,26.1,8.5,10.3,1609459181823,168328731033.06036,13655616815.785616,2020-12-01
