market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MLK,2023-10-01T00:00:00,2023-10-01T09:00:00,348.0,388.0,327.0,329.0,1697076196819,78377523798.86111,219915143.81494755,2023-10-01
KRW-MLK,2023-09-01T00:00:00,2023-09-01T09:00:00,353.0,374.0,324.0,348.0,1696118364792,93313618445.14055,266924302.21921816,2023-09-01
KRW-MLK,2023-08-01T00:00:00,2023-08-01T09:00:00,441.0,441.0,351.0,353.0,1693526393210,140214753589.24146,356435279.7806709,2023-08-01
KRW-MLK,2023-07-01T00:00:00,2023-07-01T09:00:00,448.0,495.0,422.0,441.0,1690847996692,351196126794.20746,780208596.7557007,2023-07-01
KRW-MLK,2023-06-01T00:00:00,2023-06-01T09:00:00,447.0,508.0,379.0,447.0,1688169598492,599476467461.4176,1352057167.3301442,2023-06-01
KRW-MLK,2023-05-01T00:00:00,2023-05-01T09:00:00,501.0,545.0,392.0,447.0,1685577592630,632116801746.2062,1323272535.285485,2023-05-01
KRW-MLK,2023-04-01T00:00:00,2023-04-01T09:00:00,359.0,788.0,358.0,501.0,1682899191157,4668544603754.171,7527299144.926641,2023-04-01
KRW-MLK,2023-03-01T00:00:00,2023-03-01T09:00:00,421.0,424.0,303.0,359.0,1680307187136,101155317447.7491,283808608.58516973,2023-03-01
KRW-MLK,2023-02-01T00:00:00,2023-02-01T09:00:00,348.0,462.0,325.0,422.0,1677628792877,242955627508.83218,601086790.5170486,2023-02-01
KRW-MLK,2023-01-01T00:00:00,2023-01-01T09:00:00,261.0,412.0,257.0,348.0,1675209441110,265154866955.59888,761985304.9391549,2023-01-01
KRW-MLK,2022-12-01T00:00:00,2022-12-01T09:00:00,372.0,385.0,249.0,262.0,1672531174634,54190012222.98467,169062784.21551937,2022-12-01
KRW-MLK,2022-11-01T00:00:00,2022-11-01T09:00:00,441.0,508.0,300.0,373.0,1669852785824,273508629815.20828,654864567.7609127,2022-11-01
KRW-MLK,2022-10-01T00:00:00,2022-10-01T09:00:00,448.0,551.0,390.0,440.0,1667260783430,546166004836.9118,1143875876.3729208,2022-10-01
KRW-MLK,2022-09-01T00:00:00,2022-09-01T09:00:00,494.0,534.0,437.0,449.0,1664582386034,94353214760.28958,195686486.60754663,2022-09-01
KRW-MLK,2022-08-01T00:00:00,2022-08-01T09:00:00,550.0,639.0,472.0,494.0,1661990397251,175492534695.52054,313008448.52956337,2022-08-01
KRW-MLK,2022-07-01T00:00:00,2022-07-01T09:00:00,518.0,592.0,459.0,550.0,1659311990356,217975713510.57834,414670182.98611873,2022-07-01
KRW-MLK,2022-06-01T00:00:00,2022-06-01T09:00:00,652.0,757.0,400.0,519.0,1656633596936,276202399488.1155,494222848.95869356,2022-06-01
KRW-MLK,2022-05-01T00:00:00,2022-05-01T09:00:00,932.0,991.0,466.0,652.0,1654041595824,293343072195.1188,439039385.88521487,2022-05-01
KRW-MLK,2022-04-01T00:00:00,2022-04-01T09:00:00,1225.0,1370.0,917.0,932.0,1651363184889,484676980491.6456,424060992.00753117,2022-04-01
KRW-MLK,2022-03-01T00:00:00,2022-03-01T09:00:00,1055.0,1245.0,930.0,1225.0,1648771193981,409095897443.5198,377598173.31925184,2022-03-01
KRW-MLK,2022-02-01T00:00:00,2022-02-01T09:00:00,1010.0,1320.0,864.0,1050.0,1646092797476,442307735677.58307,412944093.5627773,2022-02-01
KRW-MLK,2022-01-01T00:00:00,2022-01-01T09:00:00,1510.0,1700.0,800.0,1010.0,1643673591100,512485852956.6599,429955062.7906558,2022-01-01
KRW-MLK,2021-12-01T00:00:00,2021-12-01T09:00:00,1900.0,2900.0,1465.0,1510.0,1640995188304,4520904417177.961,2165103115.0179725,2021-12-01
KRW-MLK,2021-11-01T00:00:00,2021-11-01T09:00:00,1420.0,2190.0,1340.0,1900.0,1638316799748,2636196696686.44,1557872088.9194372,2021-11-01
KRW-MLK,2021-10-01T00:00:00,2021-10-01T09:00:00,1160.0,1645.0,1135.0,1420.0,1635724798949,1186711397285.8887,858761435.0012931,2021-10-01
KRW-MLK,2021-09-01T00:00:00,2021-09-01T09:00:00,1325.0,1935.0,1030.0,1160.0,1633046394824,1633359653749.561,1141569934.7982013,2021-09-01
KRW-MLK,2021-08-01T00:00:00,2021-08-01T09:00:00,1245.0,1575.0,1140.0,1325.0,1630454391628,1548798747523.3694,1151920215.8533268,2021-08-01
KRW-MLK,2021-07-01T00:00:00,2021-07-01T09:00:00,935.0,1655.0,882.0,1245.0,1627775995348,2927310652100.98,2423549926.2940803,2021-07-01
KRW-MLK,2021-06-01T00:00:00,2021-06-01T09:00:00,1650.0,1725.0,513.0,934.0,1625097594886,853701295552.7404,829695989.6226718,2021-06-01
KRW-MLK,2021-05-01T00:00:00,2021-05-01T09:00:00,2265.0,2365.0,963.0,1655.0,1622505599940,2589283767055.101,1346588474.4308896,2021-05-01
KRW-MLK,2021-04-01T00:00:00,2021-04-01T09:00:00,2420.0,4945.0,1225.0,2270.0,1619827198907,5234163023815.698,1826484614.084629,2021-04-01
KRW-MLK,2021-03-01T00:00:00,2021-03-01T09:00:00,323.0,2560.0,319.0,2420.0,1617235200154,4456260081912.793,4605170077.98966,2021-03-01
KRW-MLK,2021-02-01T00:00:00,2021-02-01T09:00:00,161.0,648.0,156.0,323.0,1614556798455,910764967871.6669,2803354352.0936913,2021-02-01
KRW-MLK,2021-01-01T00:00:00,2021-01-01T09:00:00,162.0,189.0,152.0,161.0,1612137584259,57641319495.77788,346629375.63180184,2021-01-01
KRW-MLK,2020-12-01T00:00:00,2020-12-01T09:00:00,172.0,218.0,156.0,161.0,1609459113365,89515056593.36499,479054188.2389057,2020-12-01
KRW-MLK,2020-11-01T00:00:00,2020-11-01T09:00:00,168.0,200.0,161.0,173.0,1606780783476,27684314965.183323,158507106.02166155,2020-11-01
KRW-MLK,2020-10-01T00:00:00,2020-10-01T09:00:00,176.0,204.0,157.0,168.0,1604188712455,42821065200.98436,236993991.94969618,2020-10-01
KRW-MLK,2020-09-01T00:00:00,2020-09-01T09:00:00,250.0,251.0,157.0,175.0,1601510394812,51443438514.84056,248773472.0428437,2020-09-01
