market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ONG,2023-10-01T00:00:00,2023-10-01T09:00:00,310.0,370.0,296.0,300.0,1697075994777,42887011987.091866,132909349.54209511,2023-10-01
KRW-ONG,2023-09-01T00:00:00,2023-09-01T09:00:00,282.0,323.0,269.0,310.0,1696118398803,46075060849.80773,153440233.99868378,2023-09-01
KRW-ONG,2023-08-01T00:00:00,2023-08-01T09:00:00,316.0,371.0,276.0,283.0,1693526369756,125838994477.39932,380790787.2217466,2023-08-01
KRW-ONG,2023-07-01T00:00:00,2023-07-01T09:00:00,309.0,505.0,293.0,315.0,1690847988523,673470652687.2057,1716688963.7869341,2023-07-01
KRW-ONG,2023-06-01T00:00:00,2023-06-01T09:00:00,326.0,342.0,247.0,310.0,1688169592732,28539603724.207523,97662125.51442572,2023-06-01
KRW-ONG,2023-05-01T00:00:00,2023-05-01T09:00:00,381.0,426.0,321.0,326.0,1685577598565,97798523879.37973,256640468.1959015,2023-05-01
KRW-ONG,2023-04-01T00:00:00,2023-04-01T09:00:00,394.0,457.0,366.0,381.0,1682899183902,169532119097.30804,407689990.8622851,2023-04-01
KRW-ONG,2023-03-01T00:00:00,2023-03-01T09:00:00,437.0,441.0,322.0,394.0,1680307199108,98992094335.68677,255286720.25936332,2023-03-01
KRW-ONG,2023-02-01T00:00:00,2023-02-01T09:00:00,369.0,555.0,346.0,437.0,1677628769368,459951489704.0742,1036020596.3618846,2023-02-01
KRW-ONG,2023-01-01T00:00:00,2023-01-01T09:00:00,272.0,427.0,270.0,369.0,1675209595622,182408921133.98773,507921006.2588176,2023-01-01
KRW-ONG,2022-12-01T00:00:00,2022-12-01T09:00:00,354.0,372.0,261.0,273.0,1672531167642,47772737982.54335,144196167.3725989,2022-12-01
KRW-ONG,2022-11-01T00:00:00,2022-11-01T09:00:00,466.0,484.0,283.0,354.0,1669852799535,138618132675.6432,370672508.24929065,2022-11-01
KRW-ONG,2022-10-01T00:00:00,2022-10-01T09:00:00,468.0,512.0,418.0,465.0,1667260798343,159920515546.3682,338364322.1610981,2022-10-01
KRW-ONG,2022-09-01T00:00:00,2022-09-01T09:00:00,502.0,566.0,450.0,468.0,1664582367426,147403316022.12048,288683120.8751307,2022-09-01
KRW-ONG,2022-08-01T00:00:00,2022-08-01T09:00:00,582.0,687.0,475.0,501.0,1661990395966,229099935071.20535,392248264.5893332,2022-08-01
KRW-ONG,2022-07-01T00:00:00,2022-07-01T09:00:00,467.0,605.0,435.0,582.0,1659311999913,237612254225.5818,459208848.56150264,2022-07-01
KRW-ONG,2022-06-01T00:00:00,2022-06-01T09:00:00,541.0,911.0,374.0,467.0,1656633593240,683344202724.6434,1069719055.7267972,2022-06-01
KRW-ONG,2022-05-01T00:00:00,2022-05-01T09:00:00,804.0,849.0,375.0,541.0,1654041598623,284227219928.10614,495875596.3770786,2022-05-01
