market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ONT,2023-10-01T00:00:00,2023-10-01T09:00:00,234.0,240.0,213.0,214.0,1697076206632,18672738689.861866,82050621.13060917,2023-10-01
KRW-ONT,2023-09-01T00:00:00,2023-09-01T09:00:00,213.0,275.0,201.0,235.0,1696118384016,99801599085.11821,418076817.36762804,2023-09-01
KRW-ONT,2023-08-01T00:00:00,2023-08-01T09:00:00,251.0,273.0,203.0,211.0,1693526386865,61967682822.06401,251853686.13677227,2023-08-01
KRW-ONT,2023-07-01T00:00:00,2023-07-01T09:00:00,273.0,305.0,243.0,252.0,1690847960722,117492990340.84836,439024699.5817607,2023-07-01
KRW-ONT,2023-06-01T00:00:00,2023-06-01T09:00:00,298.0,309.0,203.0,273.0,1688169599985,97412399651.80753,381290803.5448215,2023-06-01
KRW-ONT,2023-05-01T00:00:00,2023-05-01T09:00:00,317.0,329.0,259.0,298.0,1685577584566,141412423108.30032,469101091.1125528,2023-05-01
KRW-ONT,2023-04-01T00:00:00,2023-04-01T09:00:00,312.0,469.0,301.0,317.0,1682899191121,990465465159.13,2498813545.771935,2023-04-01
KRW-ONT,2023-03-01T00:00:00,2023-03-01T09:00:00,332.0,351.0,241.0,313.0,1680307176232,117200642617.0626,385016189.9807864,2023-03-01
KRW-ONT,2023-02-01T00:00:00,2023-02-01T09:00:00,261.0,404.0,248.0,331.0,1677628762605,216400463272.0943,669474756.8461702,2023-02-01
KRW-ONT,2023-01-01T00:00:00,2023-01-01T09:00:00,192.0,284.0,190.0,261.0,1675209592112,82310595033.90134,327565123.48227054,2023-01-01
KRW-ONT,2022-12-01T00:00:00,2022-12-01T09:00:00,254.0,262.0,182.0,192.0,1672531038767,43674394098.55307,187596215.38991064,2022-12-01
KRW-ONT,2022-11-01T00:00:00,2022-11-01T09:00:00,314.0,357.0,211.0,254.0,1669852794183,71156290975.916,267859520.6980764,2022-11-01
KRW-ONT,2022-10-01T00:00:00,2022-10-01T09:00:00,322.0,336.0,281.0,314.0,1667260789321,45856460474.97257,147456604.5964512,2022-10-01
KRW-ONT,2022-09-01T00:00:00,2022-09-01T09:00:00,336.0,358.0,298.0,322.0,1664582116414,61682408313.33631,188037288.74433997,2022-09-01
KRW-ONT,2022-08-01T00:00:00,2022-08-01T09:00:00,360.0,460.0,318.0,336.0,1661990387267,242442282621.52307,622011923.8423134,2022-08-01
KRW-ONT,2022-07-01T00:00:00,2022-07-01T09:00:00,295.0,413.0,273.0,360.0,1659311998229,155979451615.83774,462990127.42507035,2022-07-01
KRW-ONT,2022-06-01T00:00:00,2022-06-01T09:00:00,370.0,449.0,260.0,295.0,1656633599939,244216959278.7586,697355343.9743187,2022-06-01
KRW-ONT,2022-05-01T00:00:00,2022-05-01T09:00:00,570.0,631.0,269.0,370.0,1654041591665,212595208074.78757,534000712.1542402,2022-05-01
KRW-ONT,2022-04-01T00:00:00,2022-04-01T09:00:00,806.0,907.0,567.0,570.0,1651363199868,356044121390.99396,504789039.2772451,2022-04-01
KRW-ONT,2022-03-01T00:00:00,2022-03-01T09:00:00,695.0,850.0,585.0,806.0,1648771194854,302680753116.11816,424064971.48590773,2022-03-01
KRW-ONT,2022-02-01T00:00:00,2022-02-01T09:00:00,595.0,771.0,529.0,696.0,1646092798019,439975508986.3612,650203558.489881,2022-02-01
KRW-ONT,2022-01-01T00:00:00,2022-01-01T09:00:00,806.0,873.0,501.0,597.0,1643673544317,186216125563.4671,270593617.4184825,2022-01-01
KRW-ONT,2021-12-01T00:00:00,2021-12-01T09:00:00,1220.0,1350.0,764.0,806.0,1640995175751,338964952299.8887,352217074.4588858,2021-12-01
KRW-ONT,2021-11-01T00:00:00,2021-11-01T09:00:00,1235.0,1485.0,1115.0,1220.0,1638316800085,689139642686.5831,541857800.161194,2021-11-01
KRW-ONT,2021-10-01T00:00:00,2021-10-01T09:00:00,954.0,1400.0,941.0,1240.0,1635724799722,409193719271.2991,351874146.98253655,2021-10-01
KRW-ONT,2021-09-01T00:00:00,2021-09-01T09:00:00,1220.0,1530.0,864.0,953.0,1633046400096,401241572993.6654,327831405.1123265,2021-09-01
KRW-ONT,2021-08-01T00:00:00,2021-08-01T09:00:00,996.0,1520.0,901.0,1230.0,1630454399746,624888122737.1055,524145119.3847606,2021-08-01
