market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-PLA,2023-10-01T00:00:00,2023-10-01T09:00:00,208.0,224.0,195.0,198.0,1697076187511,57134328771.15674,272364355.50470823,2023-10-01
KRW-PLA,2023-09-01T00:00:00,2023-09-01T09:00:00,197.0,212.0,183.0,209.0,1696118399463,91203557341.2334,456864502.89034927,2023-09-01
KRW-PLA,2023-08-01T00:00:00,2023-08-01T09:00:00,233.0,295.0,195.0,198.0,1693526389416,414430587840.1202,1659397210.2092342,2023-08-01
KRW-PLA,2023-07-01T00:00:00,2023-07-01T09:00:00,204.0,270.0,197.0,233.0,1690847967170,353238739596.41693,1525135951.6536605,2023-07-01
KRW-PLA,2023-06-01T00:00:00,2023-06-01T09:00:00,232.0,237.0,167.0,204.0,1688169582101,62434119517.48336,311880271.6712823,2023-06-01
KRW-PLA,2023-05-01T00:00:00,2023-05-01T09:00:00,284.0,286.0,227.0,231.0,1685577597520,83496154887.82512,325525540.29865515,2023-05-01
KRW-PLA,2023-04-01T00:00:00,2023-04-01T09:00:00,294.0,381.0,279.0,284.0,1682899188004,563474541648.5906,1748433228.2136986,2023-04-01
KRW-PLA,2023-03-01T00:00:00,2023-03-01T09:00:00,350.0,357.0,237.0,294.0,1680307173195,465155683962.7015,1520492412.439574,2023-03-01
KRW-PLA,2023-02-01T00:00:00,2023-02-01T09:00:00,285.0,399.0,268.0,349.0,1677628795506,714595838406.6769,2158607900.1109734,2023-02-01
KRW-PLA,2023-01-01T00:00:00,2023-01-01T09:00:00,171.0,360.0,168.0,285.0,1675209586819,627252794362.4219,2350236934.993742,2023-01-01
KRW-PLA,2022-12-01T00:00:00,2022-12-01T09:00:00,284.0,327.0,162.0,171.0,1672531170797,279040055727.58276,1103785786.0047069,2022-12-01
KRW-PLA,2022-11-01T00:00:00,2022-11-01T09:00:00,419.0,443.0,223.0,284.0,1669852799646,300757647728.53485,984137397.668305,2022-11-01
KRW-PLA,2022-10-01T00:00:00,2022-10-01T09:00:00,452.0,496.0,390.0,420.0,1667260740695,258164445622.36533,595802643.4379627,2022-10-01
KRW-PLA,2022-09-01T00:00:00,2022-09-01T09:00:00,498.0,572.0,437.0,453.0,1664582399794,350645486828.27216,703649059.5969036,2022-09-01
KRW-PLA,2022-08-01T00:00:00,2022-08-01T09:00:00,527.0,632.0,467.0,498.0,1661990397697,938438634762.4358,1689729569.0189044,2022-08-01
KRW-PLA,2022-07-01T00:00:00,2022-07-01T09:00:00,696.0,713.0,426.0,527.0,1659311998814,911230080291.9252,1675862587.1431344,2022-07-01
KRW-PLA,2022-06-01T00:00:00,2022-06-01T09:00:00,716.0,753.0,390.0,697.0,1656633600059,929059716413.6608,1747145255.1220374,2022-06-01
KRW-PLA,2022-05-01T00:00:00,2022-05-01T09:00:00,943.0,1055.0,435.0,716.0,1654041586223,1027127422811.7926,1411752792.4987655,2022-05-01
KRW-PLA,2022-04-01T00:00:00,2022-04-01T09:00:00,1440.0,1495.0,942.0,943.0,1651363198543,901238479398.1398,734692835.2706579,2022-04-01
KRW-PLA,2022-03-01T00:00:00,2022-03-01T09:00:00,1175.0,1665.0,931.0,1445.0,1648771198374,2150658579761.0947,1648132103.8093975,2022-03-01
KRW-PLA,2022-02-01T00:00:00,2022-02-01T09:00:00,1145.0,1575.0,892.0,1175.0,1646092798924,1051639157085.4504,849783097.6520352,2022-02-01
KRW-PLA,2022-01-01T00:00:00,2022-01-01T09:00:00,1755.0,1975.0,799.0,1145.0,1643673599869,1431798695277.7576,1122731932.0858202,2022-01-01
KRW-PLA,2021-12-01T00:00:00,2021-12-01T09:00:00,2955.0,3190.0,1440.0,1755.0,1640995200037,2937662231052.03,1429283781.5746794,2021-12-01
KRW-PLA,2021-11-01T00:00:00,2021-11-01T09:00:00,1525.0,4430.0,1390.0,2960.0,1638316799926,11092025380126.549,4347972821.006888,2021-11-01
KRW-PLA,2021-10-01T00:00:00,2021-10-01T09:00:00,866.0,4430.0,859.0,1525.0,1635724800096,5461987207976.322,3261789826.2135963,2021-10-01
KRW-PLA,2021-09-01T00:00:00,2021-09-01T09:00:00,1475.0,1600.0,777.0,867.0,1633046399520,1903631480111.9343,1702274094.0201554,2021-09-01
KRW-PLA,2021-08-01T00:00:00,2021-08-01T09:00:00,647.0,1745.0,526.0,1470.0,1630454400578,10439920329627.436,9481932760.83058,2021-08-01
KRW-PLA,2021-07-01T00:00:00,2021-07-01T09:00:00,230.0,962.0,175.0,648.0,1627775999768,5732054014778.745,10527559717.27136,2021-07-01
KRW-PLA,2021-06-01T00:00:00,2021-06-01T09:00:00,305.0,346.0,104.0,230.0,1625097600041,474697727116.8682,2274901369.189132,2021-06-01
KRW-PLA,2021-05-01T00:00:00,2021-05-01T09:00:00,542.0,757.0,245.0,303.0,1622505599804,1741762353554.059,3716262937.7489705,2021-05-01
KRW-PLA,2021-04-01T00:00:00,2021-04-01T09:00:00,774.0,1260.0,285.0,542.0,1619827200275,1440763893688.62,1950667792.419977,2021-04-01
KRW-PLA,2021-03-01T00:00:00,2021-03-01T09:00:00,365.0,991.0,351.0,774.0,1617235196874,1957420068279.8962,2778134189.416406,2021-03-01
KRW-PLA,2021-02-01T00:00:00,2021-02-01T09:00:00,141.0,1100.0,136.0,364.0,1614556778140,1408424047145.201,2919506766.375897,2021-02-01
KRW-PLA,2021-01-01T00:00:00,2021-01-01T09:00:00,145.0,197.0,134.0,141.0,1612137572934,114726418762.05006,753573036.5455623,2021-01-01
KRW-PLA,2020-12-01T00:00:00,2020-12-01T09:00:00,174.0,329.0,129.0,146.0,1609459180291,383422383124.2599,1888042119.346092,2020-12-01
KRW-PLA,2020-11-01T00:00:00,2020-11-01T09:00:00,184.0,229.0,146.0,174.0,1606780739133,30165852417.653843,163501541.00237015,2020-11-01
KRW-PLA,2020-10-01T00:00:00,2020-10-01T09:00:00,318.0,439.0,167.0,184.0,1604188796344,245303130766.38046,890074309.4064897,2020-10-01
KRW-PLA,2020-09-01T00:00:00,2020-09-01T09:00:00,250.0,436.0,250.0,318.0,1601510398712,103225147162.51709,302947654.4877258,2020-09-01
