market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-POLYX,2023-10-01T00:00:00,2023-10-01T09:00:00,161.0,178.0,156.0,158.0,1697075938685,35889185002.59425,217380374.51322508,2023-10-01
KRW-POLYX,2023-09-01T00:00:00,2023-09-01T09:00:00,144.0,165.0,136.0,161.0,1696118361457,51368569966.68808,339771343.40306956,2023-09-01
KRW-POLYX,2023-08-01T00:00:00,2023-08-01T09:00:00,175.0,178.0,139.0,143.0,1693526382108,55527343288.74014,346553819.6308882,2023-08-01
KRW-POLYX,2023-07-01T00:00:00,2023-07-01T09:00:00,166.0,208.0,162.0,175.0,1690847978329,247429047384.94073,1366758411.926657,2023-07-01
KRW-POLYX,2023-06-01T00:00:00,2023-06-01T09:00:00,188.0,199.0,125.0,166.0,1688169598924,163980833208.1156,1024358237.3031669,2023-06-01
KRW-POLYX,2023-05-01T00:00:00,2023-05-01T09:00:00,243.0,251.0,186.0,188.0,1685577597560,342872853634.58905,1558541902.8160641,2023-05-01
KRW-POLYX,2023-04-01T00:00:00,2023-04-01T09:00:00,224.0,406.0,207.0,244.0,1682899193868,1932666616175.1843,6316352202.78046,2023-04-01
KRW-POLYX,2023-03-01T00:00:00,2023-03-01T09:00:00,270.0,276.0,181.0,225.0,1680307197820,180117005241.7225,810455215.7395431,2023-03-01
KRW-POLYX,2023-02-01T00:00:00,2023-02-01T09:00:00,231.0,300.0,209.0,270.0,1677628780056,482260822518.8973,1860165441.3506622,2023-02-01
KRW-POLYX,2023-01-01T00:00:00,2023-01-01T09:00:00,148.0,272.0,147.0,231.0,1675209597390,450966589474.4095,2138162556.4892898,2023-01-01
KRW-POLYX,2022-12-01T00:00:00,2022-12-01T09:00:00,306.0,307.0,141.0,149.0,1672531184740,154109312528.62595,699277430.883351,2022-12-01
KRW-POLYX,2022-11-01T00:00:00,2022-11-01T09:00:00,370.0,446.0,221.0,306.0,1669852798633,717253424500.1562,2129965895.5472813,2022-11-01
KRW-POLYX,2022-10-01T00:00:00,2022-10-01T09:00:00,350.0,504.0,320.0,370.0,1667260788852,1160924164195.597,2940995823.97996,2022-10-01
KRW-POLYX,2022-09-01T00:00:00,2022-09-01T09:00:00,265.0,413.0,240.0,349.0,1664582396870,1282380804395.9846,3684753322.1435504,2022-09-01
KRW-POLYX,2022-08-01T00:00:00,2022-08-01T09:00:00,294.0,353.0,252.0,266.0,1661990398171,168485787480.81784,552870726.0539834,2022-08-01
KRW-POLYX,2022-07-01T00:00:00,2022-07-01T09:00:00,247.0,328.0,237.0,295.0,1659311999806,275915692728.516,985027310.1782074,2022-07-01
KRW-POLYX,2022-06-01T00:00:00,2022-06-01T09:00:00,304.0,427.0,192.0,247.0,1656633599001,410306040502.61285,1289812584.3193178,2022-06-01
