market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-POWR,2023-10-01T00:00:00,2023-10-01T09:00:00,214.0,232.0,199.0,205.0,1697076155279,98433261727.70125,461995600.43085015,2023-10-01
KRW-POWR,2023-09-01T00:00:00,2023-09-01T09:00:00,182.0,241.0,172.0,214.0,1696118384823,136273955017.09839,680515048.7019861,2023-09-01
KRW-POWR,2023-08-01T00:00:00,2023-08-01T09:00:00,221.0,236.0,172.0,183.0,1693526369022,245516002147.32666,1164425385.1318972,2023-08-01
KRW-POWR,2023-07-01T00:00:00,2023-07-01T09:00:00,192.0,358.0,184.0,221.0,1690847997712,547472774252.66156,2216755317.1381583,2023-07-01
KRW-POWR,2023-06-01T00:00:00,2023-06-01T09:00:00,203.0,216.0,154.0,192.0,1688169563229,58533502454.37882,303629802.8333689,2023-06-01
KRW-POWR,2023-05-01T00:00:00,2023-05-01T09:00:00,237.0,243.0,200.0,202.0,1685577140310,81131664480.78546,370925297.06424963,2023-05-01
KRW-POWR,2023-04-01T00:00:00,2023-04-01T09:00:00,260.0,316.0,226.0,237.0,1682899180527,513263461057.2142,1882543562.3700767,2023-04-01
KRW-POWR,2023-03-01T00:00:00,2023-03-01T09:00:00,280.0,348.0,199.0,260.0,1680307196325,367409463175.12775,1354280346.2738595,2023-03-01
KRW-POWR,2023-02-01T00:00:00,2023-02-01T09:00:00,217.0,359.0,199.0,281.0,1677628799349,636556734441.5524,2273377322.175267,2023-02-01
KRW-POWR,2023-01-01T00:00:00,2023-01-01T09:00:00,156.0,246.0,153.0,218.0,1675209594153,218583523366.43933,1060537259.7776126,2023-01-01
KRW-POWR,2022-12-01T00:00:00,2022-12-01T09:00:00,210.0,221.0,147.0,156.0,1672531194488,133745652844.22334,695512125.205651,2022-12-01
KRW-POWR,2022-11-01T00:00:00,2022-11-01T09:00:00,288.0,305.0,165.0,209.0,1669852754443,260640915614.33603,1160466455.5389776,2022-11-01
