market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SAND,2023-10-01T00:00:00,2023-10-01T09:00:00,422.0,437.0,380.0,381.0,1697076272233,56415889410.329796,139039952.1736963,2023-10-01
KRW-SAND,2023-09-01T00:00:00,2023-09-01T09:00:00,424.0,433.0,378.0,422.0,1696118378936,169073790948.8087,415413896.0344293,2023-09-01
KRW-SAND,2023-08-01T00:00:00,2023-08-01T09:00:00,549.0,558.0,423.0,424.0,1693526397005,238655518178.57785,485664145.32750857,2023-08-01
KRW-SAND,2023-07-01T00:00:00,2023-07-01T09:00:00,558.0,622.0,527.0,549.0,1690847977498,525556373794.4637,912397958.3724118,2023-07-01
KRW-SAND,2023-06-01T00:00:00,2023-06-01T09:00:00,711.0,812.0,473.0,559.0,1688169591356,775235639898.9783,1295357145.6254408,2023-06-01
KRW-SAND,2023-05-01T00:00:00,2023-05-01T09:00:00,773.0,782.0,647.0,711.0,1685577582091,392708961368.6752,552358828.4631746,2023-05-01
KRW-SAND,2023-04-01T00:00:00,2023-04-01T09:00:00,826.0,935.0,741.0,773.0,1682899194915,859713571624.7782,1011627056.9405357,2023-04-01
KRW-SAND,2023-03-01T00:00:00,2023-03-01T09:00:00,917.0,965.0,688.0,826.0,1680307197704,1489304969418.3184,1775519792.6828365,2023-03-01
KRW-SAND,2023-02-01T00:00:00,2023-02-01T09:00:00,916.0,1190.0,852.0,917.0,1677628795094,1879838639396.8708,1897499449.7395887,2023-02-01
KRW-SAND,2023-01-01T00:00:00,2023-01-01T09:00:00,488.0,1060.0,479.0,917.0,1675209599931,2024579928393.627,2424268757.187391,2023-01-01
KRW-SAND,2022-12-01T00:00:00,2022-12-01T09:00:00,800.0,849.0,479.0,488.0,1672531190397,404804478155.0701,581010395.098126,2022-12-01
KRW-SAND,2022-11-01T00:00:00,2022-11-01T09:00:00,1220.0,1365.0,726.0,800.0,1669852799793,1114513086801.2876,1183113281.094946,2022-11-01
KRW-SAND,2022-10-01T00:00:00,2022-10-01T09:00:00,1215.0,1325.0,1010.0,1225.0,1667260798094,746925681486.6208,636553814.3739527,2022-10-01
KRW-SAND,2022-09-01T00:00:00,2022-09-01T09:00:00,1300.0,1410.0,1150.0,1210.0,1664582399611,958756286153.5653,752330249.6867242,2022-09-01
KRW-SAND,2022-08-01T00:00:00,2022-08-01T09:00:00,1730.0,1890.0,1270.0,1295.0,1661990397319,1734015660942.3623,1056979507.5004517,2022-08-01
KRW-SAND,2022-07-01T00:00:00,2022-07-01T09:00:00,1470.0,1955.0,1325.0,1725.0,1659311999037,3672307792989.56,2213620819.7813654,2022-07-01
