market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SNT,2023-10-01T00:00:00,2023-10-01T09:00:00,32.0,34.8,30.7,31.1,1697075614658,25844436620.88833,783126069.4276477,2023-10-01
KRW-SNT,2023-09-01T00:00:00,2023-09-01T09:00:00,28.9,33.4,28.3,32.0,1696118353720,34392631310.12953,1131825075.8768063,2023-09-01
KRW-SNT,2023-08-01T00:00:00,2023-08-01T09:00:00,32.8,36.6,28.0,29.0,1693526379291,89820314347.74428,2771028002.336795,2023-08-01
KRW-SNT,2023-07-01T00:00:00,2023-07-01T09:00:00,31.5,40.5,29.9,32.7,1690847965050,152587882533.19165,4376550355.200746,2023-07-01
KRW-SNT,2023-06-01T00:00:00,2023-06-01T09:00:00,31.2,33.4,25.3,31.5,1688169580815,25887886951.54526,869508185.0453653,2023-06-01
KRW-SNT,2023-05-01T00:00:00,2023-05-01T09:00:00,36.1,39.0,30.4,31.2,1685577565819,54254468836.008644,1548158359.8289375,2023-05-01
KRW-SNT,2023-04-01T00:00:00,2023-04-01T09:00:00,38.2,44.4,34.5,36.1,1682899193692,163213190043.2396,4134935497.6272855,2023-04-01
KRW-SNT,2023-03-01T00:00:00,2023-03-01T09:00:00,39.9,40.2,29.7,38.1,1680307199062,125708074277.12912,3469610915.058624,2023-03-01
KRW-SNT,2023-02-01T00:00:00,2023-02-01T09:00:00,33.2,49.2,33.0,40.0,1677628794743,545732405005.9972,13203370000.18624,2023-02-01
KRW-SNT,2023-01-01T00:00:00,2023-01-01T09:00:00,23.8,37.8,23.6,33.2,1675209599895,131226408608.28949,4186018734.9189982,2023-01-01
KRW-SNT,2022-12-01T00:00:00,2022-12-01T09:00:00,31.3,33.0,22.5,23.8,1672531048226,34591211014.651405,1193241117.6075869,2022-12-01
KRW-SNT,2022-11-01T00:00:00,2022-11-01T09:00:00,40.2,41.8,25.8,31.3,1669852778042,122330613087.35146,3679608676.3423595,2022-11-01
KRW-SNT,2022-10-01T00:00:00,2022-10-01T09:00:00,40.8,51.7,38.0,40.2,1667260793685,277452139903.38385,6353519328.908529,2022-10-01
KRW-SNT,2022-09-01T00:00:00,2022-09-01T09:00:00,40.2,49.4,37.0,40.8,1664582393793,321134779567.8437,7294146926.706532,2022-09-01
KRW-SNT,2022-08-01T00:00:00,2022-08-01T09:00:00,43.7,49.4,38.2,40.2,1661990393862,153858057539.96478,3498080990.3955927,2022-08-01
KRW-SNT,2022-07-01T00:00:00,2022-07-01T09:00:00,36.4,50.9,35.5,42.9,1659311997094,265645312973.44308,6460243821.435139,2022-07-01
KRW-SNT,2022-06-01T00:00:00,2022-06-01T09:00:00,47.8,64.5,30.9,36.4,1656633596304,398381293357.9003,8752412967.728285,2022-06-01
KRW-SNT,2022-05-01T00:00:00,2022-05-01T09:00:00,69.9,75.2,35.5,47.8,1654041598620,235527154362.20328,4714679556.084537,2022-05-01
KRW-SNT,2022-04-01T00:00:00,2022-04-01T09:00:00,93.4,98.8,69.2,69.9,1651363170539,545513165629.1106,6309890307.065345,2022-04-01
KRW-SNT,2022-03-01T00:00:00,2022-03-01T09:00:00,68.1,105.0,64.2,93.5,1648771199676,1373540704804.4473,16234703216.739195,2022-03-01
KRW-SNT,2022-02-01T00:00:00,2022-02-01T09:00:00,61.0,88.8,53.2,68.1,1646092789542,644370585344.4856,8566832580.926027,2022-02-01
KRW-SNT,2022-01-01T00:00:00,2022-01-01T09:00:00,83.8,93.0,50.2,61.2,1643673581846,366721652764.0987,4935337511.702475,2022-01-01
KRW-SNT,2021-12-01T00:00:00,2021-12-01T09:00:00,122.0,125.0,74.9,83.8,1640995157930,482291232689.4371,4905390142.984962,2021-12-01
KRW-SNT,2021-11-01T00:00:00,2021-11-01T09:00:00,113.0,149.0,102.0,123.0,1638316800038,764716733541.0105,6300910286.69866,2021-11-01
KRW-SNT,2021-10-01T00:00:00,2021-10-01T09:00:00,92.3,125.0,90.4,114.0,1635724799502,417491079391.1021,3822816180.6010213,2021-10-01
KRW-SNT,2021-09-01T00:00:00,2021-09-01T09:00:00,113.0,145.0,78.6,92.2,1633046393379,615571364451.8759,5369121865.307095,2021-09-01
KRW-SNT,2021-08-01T00:00:00,2021-08-01T09:00:00,95.1,130.0,88.5,113.0,1630454398683,1023147271966.3634,9418645788.699518,2021-08-01
KRW-SNT,2021-07-01T00:00:00,2021-07-01T09:00:00,93.4,102.0,57.9,95.2,1627775999489,1029012839998.732,12515585125.090742,2021-07-01
KRW-SNT,2021-06-01T00:00:00,2021-06-01T09:00:00,110.0,138.0,37.6,93.5,1625097599942,963461679623.2079,11006320487.796415,2021-06-01
KRW-SNT,2021-05-01T00:00:00,2021-05-01T09:00:00,205.0,296.0,80.5,110.0,1622505597749,2695534437798.8154,14211092314.872986,2021-05-01
KRW-SNT,2021-04-01T00:00:00,2021-04-01T09:00:00,167.0,397.0,120.0,205.0,1619827197011,4580058980998.468,19556570172.88962,2021-04-01
KRW-SNT,2021-03-01T00:00:00,2021-03-01T09:00:00,90.4,168.0,88.3,167.0,1617235199417,1439294377999.2546,11316095048.992558,2021-03-01
KRW-SNT,2021-02-01T00:00:00,2021-02-01T09:00:00,53.7,146.0,50.8,90.4,1614556786737,1486155729676.6719,14611674080.722013,2021-02-01
KRW-SNT,2021-01-01T00:00:00,2021-01-01T09:00:00,33.7,99.4,33.2,53.7,1612137590239,761140606132.0306,11744089741.929028,2021-01-01
KRW-SNT,2020-12-01T00:00:00,2020-12-01T09:00:00,47.5,49.5,29.1,33.7,1609459162562,80025318778.45068,2065009691.4832363,2020-12-01
KRW-SNT,2020-11-01T00:00:00,2020-11-01T09:00:00,24.0,58.3,21.2,47.5,1606780799721,175393053436.46286,4259987935.0182724,2020-11-01
KRW-SNT,2020-10-01T00:00:00,2020-10-01T09:00:00,28.7,34.7,23.2,23.8,1604188399023,14821899693.000904,528435789.6250166,2020-10-01
KRW-SNT,2020-09-01T00:00:00,2020-09-01T09:00:00,47.3,50.5,25.0,28.7,1601510375929,26748929315.704067,762878671.6095908,2020-09-01
KRW-SNT,2020-08-01T00:00:00,2020-08-01T09:00:00,31.3,62.7,30.3,47.3,1598918396760,95649712097.96138,2168758139.1025543,2020-08-01
KRW-SNT,2020-07-01T00:00:00,2020-07-01T09:00:00,26.8,35.7,25.5,31.4,1596239933403,35679770538.14802,1125823905.4577694,2020-07-01
KRW-SNT,2020-06-01T00:00:00,2020-06-01T09:00:00,34.9,37.2,25.3,26.8,1593561588344,16196076440.148338,504896748.80826104,2020-06-01
KRW-SNT,2020-05-01T00:00:00,2020-05-01T09:00:00,25.2,43.6,23.0,34.9,1590969535592,61318373499.310684,1746461392.0190306,2020-05-01
