market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SSX,2023-10-01T00:00:00,2023-10-01T09:00:00,20.4,22.0,19.0,19.6,1697076265091,19745146714.486336,947645594.4119377,2023-10-01
KRW-SSX,2023-09-01T00:00:00,2023-09-01T09:00:00,18.7,21.5,17.5,20.5,1696118317586,23835066205.72247,1216809031.4375415,2023-09-01
KRW-SSX,2023-08-01T00:00:00,2023-08-01T09:00:00,22.8,24.7,18.5,18.8,1693526060277,32733601510.259632,1503005965.9883506,2023-08-01
KRW-SSX,2023-07-01T00:00:00,2023-07-01T09:00:00,20.8,24.8,19.7,22.8,1690847990644,127103922996.82841,5701106534.856658,2023-07-01
KRW-SSX,2023-06-01T00:00:00,2023-06-01T09:00:00,21.4,22.4,16.8,20.9,1688169591356,75989697526.51471,3689856267.6791,2023-06-01
KRW-SSX,2023-05-01T00:00:00,2023-05-01T09:00:00,26.1,26.1,21.0,21.3,1685577150251,16887935176.426367,714933955.3022206,2023-05-01
KRW-SSX,2023-04-01T00:00:00,2023-04-01T09:00:00,25.5,31.5,24.5,26.1,1682899187620,177243791029.4139,6416745619.005933,2023-04-01
KRW-SSX,2023-03-01T00:00:00,2023-03-01T09:00:00,30.4,30.4,21.1,25.5,1680307199038,82281179347.27399,3173929728.1197495,2023-03-01
KRW-SSX,2023-02-01T00:00:00,2023-02-01T09:00:00,22.8,35.7,21.1,30.2,1677628800068,435059645180.1196,14678240464.023819,2023-02-01
KRW-SSX,2023-01-01T00:00:00,2023-01-01T09:00:00,17.4,27.4,17.0,22.8,1675209599397,156720463070.97458,6924151983.845034,2023-01-01
KRW-SSX,2022-12-01T00:00:00,2022-12-01T09:00:00,22.8,23.2,16.3,17.4,1672531085476,35971788820.1238,1755622735.6382515,2022-12-01
KRW-SSX,2022-11-01T00:00:00,2022-11-01T09:00:00,28.9,35.5,17.1,22.8,1669852799751,333427855182.6494,11932034137.23235,2022-11-01
