market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-STEEM,2023-10-01T00:00:00,2023-10-01T09:00:00,237.0,250.0,227.0,231.0,1697075951548,29600844816.59037,124213183.77392024,2023-10-01
KRW-STEEM,2023-09-01T00:00:00,2023-09-01T09:00:00,211.0,244.0,203.0,237.0,1696118393942,48120913261.557434,213190339.34692237,2023-09-01
KRW-STEEM,2023-08-01T00:00:00,2023-08-01T09:00:00,246.0,261.0,209.0,211.0,1693526390662,97909718767.92651,416918099.00215375,2023-08-01
KRW-STEEM,2023-07-01T00:00:00,2023-07-01T09:00:00,238.0,401.0,231.0,246.0,1690847957472,481069815447.9388,1698977171.4324353,2023-07-01
KRW-STEEM,2023-06-01T00:00:00,2023-06-01T09:00:00,242.0,267.0,197.0,238.0,1688169596015,51650155451.654106,223915152.24382016,2023-06-01
KRW-STEEM,2023-05-01T00:00:00,2023-05-01T09:00:00,287.0,293.0,241.0,243.0,1685577597081,50544877255.95607,187479286.05347127,2023-05-01
KRW-STEEM,2023-04-01T00:00:00,2023-04-01T09:00:00,282.0,465.0,269.0,287.0,1682899194371,1298254324879.0374,3646647932.04943,2023-04-01
KRW-STEEM,2023-03-01T00:00:00,2023-03-01T09:00:00,315.0,338.0,224.0,282.0,1680307199708,185966414982.47195,658519398.9180464,2023-03-01
KRW-STEEM,2023-02-01T00:00:00,2023-02-01T09:00:00,241.0,344.0,231.0,316.0,1677628799777,378079228893.44696,1288666254.6210678,2023-02-01
KRW-STEEM,2023-01-01T00:00:00,2023-01-01T09:00:00,186.0,314.0,183.0,241.0,1675209594647,396666122686.44495,1527482401.538443,2023-01-01
KRW-STEEM,2022-12-01T00:00:00,2022-12-01T09:00:00,242.0,249.0,176.0,186.0,1672531163834,59171007911.56743,269328103.96584636,2022-12-01
KRW-STEEM,2022-11-01T00:00:00,2022-11-01T09:00:00,331.0,343.0,185.0,243.0,1669852798956,230217594007.9584,907309004.5542178,2022-11-01
KRW-STEEM,2022-10-01T00:00:00,2022-10-01T09:00:00,315.0,357.0,302.0,332.0,1667260796116,285289844506.47833,860197915.6316632,2022-10-01
KRW-STEEM,2022-09-01T00:00:00,2022-09-01T09:00:00,314.0,355.0,286.0,315.0,1664582398472,212964596648.8055,669450280.1253434,2022-09-01
KRW-STEEM,2022-08-01T00:00:00,2022-08-01T09:00:00,339.0,404.0,300.0,314.0,1661990396129,228868351010.6337,656160111.2636871,2022-08-01
KRW-STEEM,2022-07-01T00:00:00,2022-07-01T09:00:00,286.0,444.0,273.0,339.0,1659311995309,476075952146.96783,1453474738.9688196,2022-07-01
KRW-STEEM,2022-06-01T00:00:00,2022-06-01T09:00:00,340.0,500.0,228.0,286.0,1656633591929,759615456347.2423,2192999313.8394423,2022-06-01
KRW-STEEM,2022-05-01T00:00:00,2022-05-01T09:00:00,532.0,634.0,252.0,339.0,1654041599948,1024219811215.1586,2264232696.5557876,2022-05-01
KRW-STEEM,2022-04-01T00:00:00,2022-04-01T09:00:00,502.0,789.0,389.0,533.0,1651363199600,3079785933162.0137,4736438230.418981,2022-04-01
KRW-STEEM,2022-03-01T00:00:00,2022-03-01T09:00:00,411.0,563.0,362.0,501.0,1648771199503,268941019379.76907,568904658.7716398,2022-03-01
KRW-STEEM,2022-02-01T00:00:00,2022-02-01T09:00:00,389.0,516.0,327.0,412.0,1646092799741,296861259791.2199,695209852.0944548,2022-02-01
KRW-STEEM,2022-01-01T00:00:00,2022-01-01T09:00:00,522.0,644.0,313.0,391.0,1643673570045,550324456711.88,1030074417.5299602,2022-01-01
KRW-STEEM,2021-12-01T00:00:00,2021-12-01T09:00:00,804.0,849.0,481.0,522.0,1640995190225,193362642793.1149,320468650.96025574,2021-12-01
KRW-STEEM,2021-11-01T00:00:00,2021-11-01T09:00:00,733.0,1020.0,691.0,805.0,1638316800064,954191784952.8599,1151129251.8319387,2021-11-01
KRW-STEEM,2021-10-01T00:00:00,2021-10-01T09:00:00,571.0,966.0,564.0,735.0,1635724791882,1040106268594.8695,1335138614.6673274,2021-10-01
KRW-STEEM,2021-09-01T00:00:00,2021-09-01T09:00:00,682.0,975.0,513.0,571.0,1633046390561,798230588958.935,1031514593.4046949,2021-09-01
KRW-STEEM,2021-08-01T00:00:00,2021-08-01T09:00:00,591.0,800.0,535.0,683.0,1630454397000,530198170974.85583,806613969.0860747,2021-08-01
KRW-STEEM,2021-07-01T00:00:00,2021-07-01T09:00:00,457.0,592.0,346.0,591.0,1627775999076,759920016300.016,1565411428.2217278,2021-07-01
KRW-STEEM,2021-06-01T00:00:00,2021-06-01T09:00:00,663.0,699.0,207.0,456.0,1625097600097,353510209792.70355,763308415.8981036,2021-06-01
KRW-STEEM,2021-05-01T00:00:00,2021-05-01T09:00:00,1055.0,1725.0,510.0,663.0,1622505598059,2077294317160.115,1911612966.6412756,2021-05-01
KRW-STEEM,2021-04-01T00:00:00,2021-04-01T09:00:00,1480.0,1930.0,618.0,1055.0,1619827195353,1802759124211.6726,1394462618.5932956,2021-04-01
KRW-STEEM,2021-03-01T00:00:00,2021-03-01T09:00:00,477.0,1625.0,452.0,1480.0,1617235199060,1850753738986.8123,2163119897.2392297,2021-03-01
KRW-STEEM,2021-02-01T00:00:00,2021-02-01T09:00:00,202.0,770.0,198.0,477.0,1614556799353,645770489901.9174,1459009749.3876274,2021-02-01
KRW-STEEM,2021-01-01T00:00:00,2021-01-01T09:00:00,173.0,275.0,169.0,203.0,1612137579999,124332732428.73973,590150556.3212403,2021-01-01
KRW-STEEM,2020-12-01T00:00:00,2020-12-01T09:00:00,190.0,313.0,162.0,172.0,1609458869856,142372676805.31406,649009330.2371112,2020-12-01
KRW-STEEM,2020-11-01T00:00:00,2020-11-01T09:00:00,164.0,236.0,147.0,191.0,1606780753321,41590209321.4807,226440234.0059692,2020-11-01
KRW-STEEM,2020-10-01T00:00:00,2020-10-01T09:00:00,193.0,210.0,160.0,164.0,1604188763929,12722194026.98843,69114295.75204945,2020-10-01
KRW-STEEM,2020-09-01T00:00:00,2020-09-01T09:00:00,269.0,275.0,172.0,193.0,1601510376258,20389433579.984444,94601145.5980042,2020-09-01
KRW-STEEM,2020-08-01T00:00:00,2020-08-01T09:00:00,254.0,328.0,238.0,270.0,1598918375605,74907729936.66777,269189694.8130743,2020-08-01
KRW-STEEM,2020-07-01T00:00:00,2020-07-01T09:00:00,241.0,269.0,233.0,252.0,1596239986939,36486327768.41408,145926740.2478411,2020-07-01
KRW-STEEM,2020-06-01T00:00:00,2020-06-01T09:00:00,252.0,288.0,224.0,242.0,1593561590765,38980284588.0446,151495758.5727971,2020-06-01
KRW-STEEM,2020-05-01T00:00:00,2020-05-01T09:00:00,224.0,454.0,192.0,252.0,1590969571726,206878262749.92667,736047880.7870475,2020-05-01
KRW-STEEM,2020-04-01T00:00:00,2020-04-01T09:00:00,179.0,309.0,168.0,225.0,1588291155123,83830652407.71419,358749246.2414897,2020-04-01
KRW-STEEM,2020-03-01T00:00:00,2020-03-01T09:00:00,222.0,548.0,120.0,177.0,1585699198339,175008217505.08075,528985937.0198754,2020-03-01
KRW-STEEM,2020-02-01T00:00:00,2020-02-01T09:00:00,191.0,379.0,181.0,222.0,1583020779687,22594154742.336372,84166836.8406178,2020-02-01
