market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SXP,2023-10-01T00:00:00,2023-10-01T09:00:00,393.0,409.0,351.0,354.0,1697076154018,64541097584.31682,167349657.7535647,2023-10-01
KRW-SXP,2023-09-01T00:00:00,2023-09-01T09:00:00,344.0,444.0,329.0,393.0,1696118396070,383139924704.8774,975979315.0988629,2023-09-01
KRW-SXP,2023-08-01T00:00:00,2023-08-01T09:00:00,449.0,451.0,335.0,344.0,1693526371551,133726226793.32664,344416418.2346932,2023-08-01
KRW-SXP,2023-07-01T00:00:00,2023-07-01T09:00:00,477.0,574.0,430.0,449.0,1690847995997,621200106786.3806,1222892932.6100276,2023-07-01
KRW-SXP,2023-06-01T00:00:00,2023-06-01T09:00:00,557.0,634.0,398.0,478.0,1688169595653,884380391953.9681,1754011677.7318604,2023-06-01
KRW-SXP,2023-05-01T00:00:00,2023-05-01T09:00:00,719.0,774.0,510.0,557.0,1685577598987,693786796295.047,1129600461.8333817,2023-05-01
KRW-SXP,2023-04-01T00:00:00,2023-04-01T09:00:00,851.0,1120.0,680.0,719.0,1682899196863,5133918669432.38,5823349280.909749,2023-04-01
KRW-SXP,2023-03-01T00:00:00,2023-03-01T09:00:00,421.0,870.0,306.0,851.0,1680307199836,2814813092546.2856,4593872467.39958,2023-03-01
KRW-SXP,2023-02-01T00:00:00,2023-02-01T09:00:00,352.0,515.0,336.0,420.0,1677628791857,567694114203.4648,1305014761.8750536,2023-02-01
KRW-SXP,2023-01-01T00:00:00,2023-01-01T09:00:00,255.0,415.0,253.0,352.0,1675209582819,235247005306.307,692547556.0372709,2023-01-01
KRW-SXP,2022-12-01T00:00:00,2022-12-01T09:00:00,335.0,360.0,248.0,256.0,1672531189248,132481768886.65388,430638501.1871853,2022-12-01
KRW-SXP,2022-11-01T00:00:00,2022-11-01T09:00:00,462.0,491.0,280.0,335.0,1669852781162,218438865785.503,620003923.825491,2022-11-01
KRW-SXP,2022-10-01T00:00:00,2022-10-01T09:00:00,512.0,525.0,420.0,463.0,1667260792599,83240101481.98885,177571414.9366947,2022-10-01
KRW-SXP,2022-09-01T00:00:00,2022-09-01T09:00:00,505.0,548.0,453.0,512.0,1664582397559,140143390860.29507,278919665.6038495,2022-09-01
KRW-SXP,2022-08-01T00:00:00,2022-08-01T09:00:00,595.0,710.0,490.0,506.0,1661990395996,357311303732.69525,583432190.5730178,2022-08-01
KRW-SXP,2022-07-01T00:00:00,2022-07-01T09:00:00,507.0,656.0,438.0,595.0,1659311999418,245118978122.33517,459253431.90633553,2022-07-01
KRW-SXP,2022-06-01T00:00:00,2022-06-01T09:00:00,648.0,823.0,416.0,508.0,1656633597158,707722185833.0479,1147790793.5223393,2022-06-01
KRW-SXP,2022-05-01T00:00:00,2022-05-01T09:00:00,1245.0,1425.0,454.0,648.0,1654041548812,497994710836.7881,704455121.5675868,2022-05-01
KRW-SXP,2022-04-01T00:00:00,2022-04-01T09:00:00,1955.0,2170.0,1220.0,1240.0,1651363197200,799969537856.293,469983464.1677335,2022-04-01
KRW-SXP,2022-03-01T00:00:00,2022-03-01T09:00:00,1715.0,2190.0,1460.0,1955.0,1648771186958,965208012193.7455,529826717.0064432,2022-03-01
KRW-SXP,2022-02-01T00:00:00,2022-02-01T09:00:00,1685.0,1985.0,1310.0,1715.0,1646092799029,836696219073.7706,503715983.9156905,2022-02-01
KRW-SXP,2022-01-01T00:00:00,2022-01-01T09:00:00,2485.0,2920.0,1375.0,1685.0,1643673596825,1863626519886.7598,894577214.0595611,2022-01-01
KRW-SXP,2021-12-01T00:00:00,2021-12-01T09:00:00,2835.0,3020.0,1700.0,2485.0,1640995199923,1279295673305.335,577408865.6698458,2021-12-01
KRW-SXP,2021-11-01T00:00:00,2021-11-01T09:00:00,2895.0,3670.0,2715.0,2835.0,1638316797308,1260697832462.966,408821408.3165832,2021-11-01
KRW-SXP,2021-10-01T00:00:00,2021-10-01T09:00:00,2660.0,3265.0,2245.0,2895.0,1635724799488,981372478088.1094,336525385.2241862,2021-10-01
KRW-SXP,2021-09-01T00:00:00,2021-09-01T09:00:00,4115.0,4730.0,2410.0,2665.0,1633046386612,1848112706126.9087,565473174.4018309,2021-09-01
KRW-SXP,2021-08-01T00:00:00,2021-08-01T09:00:00,2495.0,5420.0,2410.0,4115.0,1630454397323,1125114375072.9216,308451626.3528289,2021-08-01
KRW-SXP,2021-07-01T00:00:00,2021-07-01T09:00:00,2360.0,2580.0,1620.0,2495.0,1627775996951,379222177522.26416,179886695.2324576,2021-07-01
KRW-SXP,2021-06-01T00:00:00,2021-06-01T09:00:00,2485.0,2825.0,1710.0,2360.0,1625097598365,535418860754.5063,229313371.06982854,2021-06-01
KRW-SXP,2021-05-01T00:00:00,2021-05-01T09:00:00,6190.0,7180.0,1705.0,2485.0,1622505598385,2273751286353.929,523565364.9720306,2021-05-01
KRW-SXP,2021-04-01T00:00:00,2021-04-01T09:00:00,4260.0,7900.0,2900.0,6185.0,1619827198359,3039287891690.5723,566365701.9159119,2021-04-01
KRW-SXP,2021-03-01T00:00:00,2021-03-01T09:00:00,2300.0,5355.0,2240.0,4260.0,1617235199663,1195208554444.4812,332813364.1599287,2021-03-01
KRW-SXP,2021-02-01T00:00:00,2021-02-01T09:00:00,1480.0,4500.0,1305.0,2295.0,1614556799817,1080706824045.5428,409807827.1098089,2021-02-01
KRW-SXP,2021-01-01T00:00:00,2021-01-01T09:00:00,822.0,1700.0,753.0,1480.0,1612137583179,375893374361.889,334831357.4023358,2021-01-01
KRW-SXP,2020-12-01T00:00:00,2020-12-01T09:00:00,1060.0,1125.0,677.0,822.0,1609459196185,94293883328.34378,104500970.53971294,2020-12-01
KRW-SXP,2020-11-01T00:00:00,2020-11-01T09:00:00,931.0,1400.0,813.0,1055.0,1606780799398,131112673785.78096,119786731.04794395,2020-11-01
KRW-SXP,2020-10-01T00:00:00,2020-10-01T09:00:00,2030.0,2090.0,895.0,931.0,1604188768847,89667027374.55714,66215907.518662,2020-10-01
KRW-SXP,2020-09-01T00:00:00,2020-09-01T09:00:00,3245.0,3245.0,1230.0,2035.0,1601510379233,212837893054.42624,105396171.93313949,2020-09-01
