market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-UPP,2023-10-01T00:00:00,2023-10-01T09:00:00,84.6,89.0,77.6,80.3,1697076232319,33230275592.17566,393482264.20513654,2023-10-01
KRW-UPP,2023-09-01T00:00:00,2023-09-01T09:00:00,73.7,95.0,69.7,84.7,1696118374232,159900799338.21918,1949525559.1591418,2023-09-01
KRW-UPP,2023-08-01T00:00:00,2023-08-01T09:00:00,76.3,103.0,72.1,73.9,1693526381581,727436091117.2406,7985372102.432891,2023-08-01
KRW-UPP,2023-07-01T00:00:00,2023-07-01T09:00:00,69.9,93.1,68.6,76.2,1690847981649,461637303332.21344,5805519359.459907,2023-07-01
KRW-UPP,2023-06-01T00:00:00,2023-06-01T09:00:00,70.7,76.6,56.6,70.0,1688169575014,27833203178.96232,418072227.6896963,2023-06-01
KRW-UPP,2023-05-01T00:00:00,2023-05-01T09:00:00,93.2,96.0,69.1,70.6,1685577581223,49175079930.67299,603695633.005579,2023-05-01
KRW-UPP,2023-04-01T00:00:00,2023-04-01T09:00:00,92.4,101.0,88.3,93.5,1682899175410,73397730388.1137,766697830.9549805,2023-04-01
KRW-UPP,2023-03-01T00:00:00,2023-03-01T09:00:00,101.0,103.0,75.5,92.4,1680307180978,241327654091.28577,2629291168.607481,2023-03-01
KRW-UPP,2023-02-01T00:00:00,2023-02-01T09:00:00,74.1,136.0,69.3,101.0,1677628798532,623546828079.8755,6644368854.731751,2023-02-01
KRW-UPP,2023-01-01T00:00:00,2023-01-01T09:00:00,58.5,95.0,57.6,74.2,1675209595603,453768765406.3631,5667101316.894825,2023-01-01
KRW-UPP,2022-12-01T00:00:00,2022-12-01T09:00:00,67.0,82.9,55.3,58.5,1672531195418,197901686881.62903,2771351057.300324,2022-12-01
KRW-UPP,2022-11-01T00:00:00,2022-11-01T09:00:00,86.3,88.5,51.0,67.0,1669852762151,179976192560.53598,2582874186.603325,2022-11-01
KRW-UPP,2022-10-01T00:00:00,2022-10-01T09:00:00,96.1,97.8,80.1,86.4,1667260734874,111138812372.85098,1241476301.6636746,2022-10-01
KRW-UPP,2022-09-01T00:00:00,2022-09-01T09:00:00,92.3,102.0,83.3,96.1,1664582399169,268984008946.38495,2852193455.8503733,2022-09-01
KRW-UPP,2022-08-01T00:00:00,2022-08-01T09:00:00,97.3,128.0,88.3,92.3,1661990385294,162641853386.19867,1571188528.4806993,2022-08-01
KRW-UPP,2022-07-01T00:00:00,2022-07-01T09:00:00,90.3,103.0,81.6,97.4,1659311996399,158156268249.76303,1695101037.7380936,2022-07-01
