market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-VET,2023-10-01T00:00:00,2023-10-01T09:00:00,23.6,24.1,21.9,22.1,1697076204810,18284685979.836758,796396939.5720652,2023-10-01
KRW-VET,2023-09-01T00:00:00,2023-09-01T09:00:00,21.6,24.9,20.0,23.6,1696118391353,65877801120.07384,2961339767.5969253,2023-09-01
KRW-VET,2023-08-01T00:00:00,2023-08-01T09:00:00,24.1,25.1,21.0,21.5,1693526259948,55741015020.742256,2426639704.764873,2023-08-01
KRW-VET,2023-07-01T00:00:00,2023-07-01T09:00:00,26.2,28.4,23.6,24.2,1690847836121,145867103903.94623,5712813992.2387705,2023-07-01
KRW-VET,2023-06-01T00:00:00,2023-06-01T09:00:00,27.2,27.4,18.6,26.3,1688169594507,218835790006.00876,9240566152.019169,2023-06-01
KRW-VET,2023-05-01T00:00:00,2023-05-01T09:00:00,29.8,30.0,25.0,27.2,1685577591096,93598239372.61362,3491955006.510599,2023-05-01
KRW-VET,2023-04-01T00:00:00,2023-04-01T09:00:00,31.0,34.9,28.5,29.7,1682899179853,149623222023.14038,4723520105.038804,2023-04-01
KRW-VET,2023-03-01T00:00:00,2023-03-01T09:00:00,36.2,37.8,26.4,31.0,1680307183183,233593832510.08887,7545463350.699477,2023-03-01
KRW-VET,2023-02-01T00:00:00,2023-02-01T09:00:00,29.1,41.8,27.8,36.1,1677628784781,303101738198.77374,8486796177.09153,2023-02-01
KRW-VET,2023-01-01T00:00:00,2023-01-01T09:00:00,20.1,31.4,19.9,29.1,1675209599897,140792251954.24283,5456615127.20973,2023-01-01
KRW-VET,2022-12-01T00:00:00,2022-12-01T09:00:00,26.0,26.4,19.4,20.2,1672531185969,82388680575.01094,3557772200.193615,2022-12-01
KRW-VET,2022-11-01T00:00:00,2022-11-01T09:00:00,33.7,40.2,24.3,26.0,1669852781183,315293570915.58325,10083863618.025497,2022-11-01
KRW-VET,2022-10-01T00:00:00,2022-10-01T09:00:00,33.2,34.7,30.7,33.6,1667260764382,95979752000.185,2914823610.2585635,2022-10-01
KRW-VET,2022-09-01T00:00:00,2022-09-01T09:00:00,33.4,36.3,31.0,33.2,1664582275682,139052708162.24878,4164094327.852549,2022-09-01
KRW-VET,2022-08-01T00:00:00,2022-08-01T09:00:00,35.8,45.2,32.4,33.3,1661990399313,343724512278.4187,8783881660.928036,2022-08-01
KRW-VET,2022-07-01T00:00:00,2022-07-01T09:00:00,29.7,37.8,27.6,35.8,1659311988793,295182640657.8282,9180648024.299503,2022-07-01
KRW-VET,2022-06-01T00:00:00,2022-06-01T09:00:00,41.2,43.1,27.5,29.7,1656633582441,436136065284.2328,12900633017.50263,2022-06-01
KRW-VET,2022-05-01T00:00:00,2022-05-01T09:00:00,59.6,69.9,33.5,41.2,1654041599206,685624803079.8967,14893447386.407183,2022-05-01
KRW-VET,2022-04-01T00:00:00,2022-04-01T09:00:00,95.8,103.0,59.1,59.6,1651363193561,913653006768.5159,11068959398.2301,2022-04-01
KRW-VET,2022-03-01T00:00:00,2022-03-01T09:00:00,62.9,108.0,55.5,95.8,1648771199628,2088520063789.9875,24710488598.811466,2022-03-01
KRW-VET,2022-02-01T00:00:00,2022-02-01T09:00:00,66.1,84.3,48.8,62.9,1646092797510,713153810423.7238,10640160255.338373,2022-02-01
KRW-VET,2022-01-01T00:00:00,2022-01-01T09:00:00,101.0,117.0,54.4,66.2,1643673599630,849205626345.4968,10075656841.592234,2022-01-01
KRW-VET,2021-12-01T00:00:00,2021-12-01T09:00:00,147.0,155.0,92.1,102.0,1640995198187,1134136978597.887,10300643589.832403,2021-12-01
KRW-VET,2021-11-01T00:00:00,2021-11-01T09:00:00,157.0,226.0,135.0,148.0,1638316793647,2143777990829.9177,11908484927.327635,2021-11-01
KRW-VET,2021-10-01T00:00:00,2021-10-01T09:00:00,116.0,178.0,116.0,157.0,1635724798472,1574310661071.6738,10702950963.95434,2021-10-01
KRW-VET,2021-09-01T00:00:00,2021-09-01T09:00:00,143.0,181.0,99.8,117.0,1633046398389,1718292886504.9814,12362039739.27233,2021-09-01
KRW-VET,2021-08-01T00:00:00,2021-08-01T09:00:00,104.0,167.0,96.4,143.0,1630454399669,2353289207815.4126,17399551609.56384,2021-08-01
KRW-VET,2021-07-01T00:00:00,2021-07-01T09:00:00,106.0,106.0,66.3,104.0,1627775998460,1433984203165.2021,15497814799.635347,2021-07-01
KRW-VET,2021-06-01T00:00:00,2021-06-01T09:00:00,148.0,179.0,70.2,106.0,1625097598292,4219360626376.437,34131695647.873146,2021-06-01
KRW-VET,2021-05-01T00:00:00,2021-05-01T09:00:00,237.0,317.0,83.1,148.0,1622505600025,9908971668238.88,52721166845.38812,2021-05-01
KRW-VET,2021-04-01T00:00:00,2021-04-01T09:00:00,107.0,400.0,104.0,237.0,1619827200255,16174402686071.898,68560892177.31398,2021-04-01
KRW-VET,2021-03-01T00:00:00,2021-03-01T09:00:00,45.8,118.0,44.8,107.0,1617235195288,844875262683.9764,9675937238.470755,2021-03-01
KRW-VET,2021-02-01T00:00:00,2021-02-01T09:00:00,28.0,69.7,27.1,45.7,1614556800216,385702325891.96515,8060403345.873241,2021-02-01
KRW-VET,2021-01-01T00:00:00,2021-01-01T09:00:00,20.9,40.6,20.4,28.0,1612137593655,229857900863.54156,7563688297.149797,2021-01-01
KRW-VET,2020-12-01T00:00:00,2020-12-01T09:00:00,17.4,23.9,13.0,20.7,1609459132394,45869785632.74726,2391443716.9267764,2020-12-01
KRW-VET,2020-11-01T00:00:00,2020-11-01T09:00:00,11.2,20.4,10.1,17.2,1606780698510,22770605907.83933,1688236272.1946497,2020-11-01
KRW-VET,2020-10-01T00:00:00,2020-10-01T09:00:00,15.8,16.0,10.7,11.2,1604188202167,13066654378.240858,998184391.0984871,2020-10-01
KRW-VET,2020-09-01T00:00:00,2020-09-01T09:00:00,20.6,20.8,13.1,15.8,1601510380827,17524182219.060547,1121994026.0292063,2020-09-01
KRW-VET,2020-08-01T00:00:00,2020-08-01T09:00:00,20.4,27.1,18.1,20.5,1598918398145,35870707997.70805,1596099565.1383927,2020-08-01
KRW-VET,2020-07-01T00:00:00,2020-07-01T09:00:00,10.5,26.2,10.3,20.4,1596239989848,164041612125.7337,8460506343.390171,2020-07-01
KRW-VET,2020-06-01T00:00:00,2020-06-01T09:00:00,7.57,12.6,7.48,10.5,1593561517469,46696946391.939156,4404483954.31199,2020-06-01
