market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-XEM,2023-10-01T00:00:00,2023-10-01T09:00:00,35.4,40.8,33.3,33.4,1697076115615,68368749953.41329,1859572595.82806,2023-10-01
KRW-XEM,2023-09-01T00:00:00,2023-09-01T09:00:00,33.1,38.6,31.7,35.4,1696118351536,23505613637.269257,682469944.3398286,2023-09-01
KRW-XEM,2023-08-01T00:00:00,2023-08-01T09:00:00,38.9,43.0,31.5,33.1,1693526378273,62272448919.656044,1614760279.133201,2023-08-01
KRW-XEM,2023-07-01T00:00:00,2023-07-01T09:00:00,38.6,49.7,35.5,38.8,1690847987599,280183006040.6983,6613273012.330661,2023-07-01
KRW-XEM,2023-06-01T00:00:00,2023-06-01T09:00:00,43.9,44.4,28.4,38.6,1688169594285,39964928988.36063,1067277061.8065068,2023-06-01
KRW-XEM,2023-05-01T00:00:00,2023-05-01T09:00:00,48.7,50.4,41.1,44.0,1685577579592,28590389031.89566,626080161.6125103,2023-05-01
KRW-XEM,2023-04-01T00:00:00,2023-04-01T09:00:00,52.5,59.4,47.2,48.7,1682899189955,120503121142.3304,2254094414.4161234,2023-04-01
KRW-XEM,2023-03-01T00:00:00,2023-03-01T09:00:00,68.9,73.1,43.1,52.5,1680307188106,261798495548.90726,4693707979.5462675,2023-03-01
KRW-XEM,2023-02-01T00:00:00,2023-02-01T09:00:00,46.3,82.6,44.6,69.1,1677628800017,769611684048.4086,11491230601.956978,2023-02-01
KRW-XEM,2023-01-01T00:00:00,2023-01-01T09:00:00,36.3,52.7,35.9,46.4,1675209581157,105108440471.78647,2270953995.5787787,2023-01-01
KRW-XEM,2022-12-01T00:00:00,2022-12-01T09:00:00,44.6,46.7,34.5,36.5,1672531029174,68733928104.61319,1609179080.7654757,2022-12-01
KRW-XEM,2022-11-01T00:00:00,2022-11-01T09:00:00,55.0,59.6,40.0,44.6,1669852758320,166927422520.38898,3435552734.1012526,2022-11-01
KRW-XEM,2022-10-01T00:00:00,2022-10-01T09:00:00,58.7,61.4,51.6,54.9,1667260744588,47063234584.080635,828122994.523041,2022-10-01
KRW-XEM,2022-09-01T00:00:00,2022-09-01T09:00:00,60.3,68.0,54.8,58.7,1664582361948,96994559006.873,1593002561.4749086,2022-09-01
KRW-XEM,2022-08-01T00:00:00,2022-08-01T09:00:00,65.3,86.5,58.7,60.4,1661990395796,254719227161.23157,3668936561.1938605,2022-08-01
KRW-XEM,2022-07-01T00:00:00,2022-07-01T09:00:00,50.3,87.5,48.1,65.4,1659311983717,615243927258.7588,9386181614.928858,2022-07-01
KRW-XEM,2022-06-01T00:00:00,2022-06-01T09:00:00,66.9,72.3,46.5,50.1,1656633594282,115063695780.77864,1955264725.6804945,2022-06-01
KRW-XEM,2022-05-01T00:00:00,2022-05-01T09:00:00,116.0,122.0,52.0,66.9,1654041593636,215992789081.4202,2746133322.0080514,2022-05-01
KRW-XEM,2022-04-01T00:00:00,2022-04-01T09:00:00,147.0,155.0,111.0,115.0,1651363187543,153019255926.99158,1164480862.831061,2022-04-01
KRW-XEM,2022-03-01T00:00:00,2022-03-01T09:00:00,131.0,154.0,113.0,146.0,1648771188135,200000663032.91196,1490251757.956248,2022-03-01
KRW-XEM,2022-02-01T00:00:00,2022-02-01T09:00:00,126.0,154.0,106.0,131.0,1646092788695,146710696724.67725,1116169938.3799803,2022-02-01
KRW-XEM,2022-01-01T00:00:00,2022-01-01T09:00:00,151.0,172.0,107.0,126.0,1643673568201,191322318521.724,1387465317.201335,2022-01-01
KRW-XEM,2021-12-01T00:00:00,2021-12-01T09:00:00,213.0,216.0,131.0,151.0,1640995158621,219279262436.77322,1288734571.524667,2021-12-01
KRW-XEM,2021-11-01T00:00:00,2021-11-01T09:00:00,227.0,294.0,200.0,213.0,1638316799926,1071695040096.8986,4370831162.077479,2021-11-01
KRW-XEM,2021-10-01T00:00:00,2021-10-01T09:00:00,179.0,238.0,177.0,226.0,1635724797018,540399072502.138,2574425779.0422745,2021-10-01
