market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-XLM,2023-10-01T00:00:00,2023-10-01T09:00:00,152.0,162.0,139.0,140.0,1697076189379,62874648642.880486,414861469.04903644,2023-10-01
KRW-XLM,2023-09-01T00:00:00,2023-09-01T09:00:00,157.0,184.0,149.0,153.0,1696118385420,313482488542.95074,1897842487.480219,2023-09-01
KRW-XLM,2023-08-01T00:00:00,2023-08-01T09:00:00,194.0,202.0,151.0,157.0,1693526393953,257072769086.69022,1451511305.5001528,2023-08-01
KRW-XLM,2023-07-01T00:00:00,2023-07-01T09:00:00,148.0,238.0,124.0,194.0,1690847993444,1377721282443.736,7112633679.227513,2023-07-01
KRW-XLM,2023-06-01T00:00:00,2023-06-01T09:00:00,123.0,157.0,98.4,148.0,1688169588564,127950094775.09715,1017210755.7319237,2023-06-01
KRW-XLM,2023-05-01T00:00:00,2023-05-01T09:00:00,127.0,127.0,115.0,123.0,1685577585418,47474643183.676506,395396767.8800088,2023-05-01
KRW-XLM,2023-04-01T00:00:00,2023-04-01T09:00:00,147.0,152.0,122.0,127.0,1682899191117,80227598762.43745,587436050.3381146,2023-04-01
KRW-XLM,2023-03-01T00:00:00,2023-03-01T09:00:00,116.0,150.0,101.0,147.0,1680307192375,218817960473.23483,1802533448.0201137,2023-03-01
KRW-XLM,2023-02-01T00:00:00,2023-02-01T09:00:00,115.0,127.0,106.0,116.0,1677628792868,163835146140.1756,1404072098.088624,2023-02-01
KRW-XLM,2023-01-01T00:00:00,2023-01-01T09:00:00,90.6,120.0,90.1,115.0,1675209587857,122394964410.19104,1132432821.1544018,2023-01-01
KRW-XLM,2022-12-01T00:00:00,2022-12-01T09:00:00,121.0,122.0,89.4,90.6,1672531122060,52223524022.50511,499526258.1945946,2022-12-01
KRW-XLM,2022-11-01T00:00:00,2022-11-01T09:00:00,156.0,163.0,113.0,122.0,1669852795153,117976904593.17912,876282473.9021319,2022-11-01
KRW-XLM,2022-10-01T00:00:00,2022-10-01T09:00:00,164.0,185.0,154.0,156.0,1667260741896,161377327805.07397,968537456.4654357,2022-10-01
KRW-XLM,2022-09-01T00:00:00,2022-09-01T09:00:00,143.0,190.0,139.0,164.0,1664582392827,208218742443.45618,1282812164.6467555,2022-09-01
KRW-XLM,2022-08-01T00:00:00,2022-08-01T09:00:00,156.0,184.0,139.0,143.0,1661990265616,196475375329.89682,1226665588.233052,2022-08-01
KRW-XLM,2022-07-01T00:00:00,2022-07-01T09:00:00,146.0,165.0,131.0,156.0,1659311989935,186947876447.6601,1270287952.0049899,2022-07-01
KRW-XLM,2022-06-01T00:00:00,2022-06-01T09:00:00,189.0,190.0,131.0,147.0,1656633598862,183073682804.87485,1151726519.569871,2022-06-01
KRW-XLM,2022-05-01T00:00:00,2022-05-01T09:00:00,221.0,240.0,145.0,189.0,1654041594089,181342693652.57187,985545950.7201355,2022-05-01
KRW-XLM,2022-04-01T00:00:00,2022-04-01T09:00:00,277.0,292.0,220.0,222.0,1651363197931,211327692470.73245,819817165.2390207,2022-04-01
KRW-XLM,2022-03-01T00:00:00,2022-03-01T09:00:00,239.0,290.0,209.0,277.0,1648771192605,324890178768.4883,1339582732.2371056,2022-03-01
KRW-XLM,2022-02-01T00:00:00,2022-02-01T09:00:00,245.0,312.0,201.0,239.0,1646092794953,397365080075.2946,1526347381.4186099,2022-02-01
KRW-XLM,2022-01-01T00:00:00,2022-01-01T09:00:00,327.0,361.0,211.0,246.0,1643673593744,677551216288.024,2223160000.527365,2022-01-01
KRW-XLM,2021-12-01T00:00:00,2021-12-01T09:00:00,416.0,469.0,306.0,327.0,1640995196072,1102835454523.2224,3082394772.532834,2021-12-01
KRW-XLM,2021-11-01T00:00:00,2021-11-01T09:00:00,440.0,526.0,392.0,416.0,1638316799817,1210076532953.5537,2739420323.9130716,2021-11-01
KRW-XLM,2021-10-01T00:00:00,2021-10-01T09:00:00,340.0,515.0,338.0,440.0,1635724795983,1527673301732.4724,3462393328.742803,2021-10-01
KRW-XLM,2021-09-01T00:00:00,2021-09-01T09:00:00,398.0,497.0,311.0,340.0,1633046395832,1403464086319.843,3476312199.036419,2021-09-01
KRW-XLM,2021-08-01T00:00:00,2021-08-01T09:00:00,330.0,477.0,310.0,398.0,1630454398604,1966514980656.006,4880282391.737223,2021-08-01
KRW-XLM,2021-07-01T00:00:00,2021-07-01T09:00:00,330.0,335.0,236.0,329.0,1627775996555,942693079102.8862,3155563505.898368,2021-07-01
KRW-XLM,2021-06-01T00:00:00,2021-06-01T09:00:00,473.0,570.0,234.0,330.0,1625097599744,1431524138961.8218,3579316603.5835676,2021-06-01
KRW-XLM,2021-05-01T00:00:00,2021-05-01T09:00:00,623.0,973.0,348.0,473.0,1622505598981,7319537721510.463,9786192010.368753,2021-05-01
KRW-XLM,2021-04-01T00:00:00,2021-04-01T09:00:00,495.0,897.0,401.0,623.0,1619827199036,5866122208402.5205,8416771849.439065,2021-04-01
KRW-XLM,2021-03-01T00:00:00,2021-03-01T09:00:00,466.0,513.0,420.0,494.0,1617235199726,1928530505048.8176,4092537348.1807895,2021-03-01
KRW-XLM,2021-02-01T00:00:00,2021-02-01T09:00:00,337.0,652.0,325.0,467.0,1614556798548,5666767546893.274,12103234515.509853,2021-02-01
KRW-XLM,2021-01-01T00:00:00,2021-01-01T09:00:00,142.0,489.0,140.0,337.0,1612137600154,5570861974369.95,17402727144.016407,2021-01-01
KRW-XLM,2020-12-01T00:00:00,2020-12-01T09:00:00,220.0,224.0,126.0,141.0,1609459130043,1101966134973.1072,6067309560.979984,2020-12-01
KRW-XLM,2020-11-01T00:00:00,2020-11-01T09:00:00,87.8,252.0,82.6,220.0,1606780796543,1342490363546.7527,7234989842.272651,2020-11-01
KRW-XLM,2020-10-01T00:00:00,2020-10-01T09:00:00,87.2,99.9,81.2,87.9,1604188474604,53103782591.45491,583674156.6523114,2020-10-01
KRW-XLM,2020-09-01T00:00:00,2020-09-01T09:00:00,114.0,118.0,77.9,87.2,1601510376380,83749575676.12798,867130557.5859405,2020-09-01
KRW-XLM,2020-08-01T00:00:00,2020-08-01T09:00:00,115.0,139.0,107.0,115.0,1598918356239,276977225719.8669,2240946905.6498213,2020-08-01
KRW-XLM,2020-07-01T00:00:00,2020-07-01T09:00:00,79.9,129.0,78.0,116.0,1596239998772,337096382855.0904,3077326713.2631507,2020-07-01
KRW-XLM,2020-06-01T00:00:00,2020-06-01T09:00:00,86.5,105.0,73.0,79.9,1593561577568,66458027613.888916,728460201.3382691,2020-06-01
KRW-XLM,2020-05-01T00:00:00,2020-05-01T09:00:00,81.6,95.9,74.2,86.9,1590969553729,43362036898.84706,511940914.97670823,2020-05-01
KRW-XLM,2020-04-01T00:00:00,2020-04-01T09:00:00,49.7,89.9,48.0,81.5,1588291185096,42355794641.868355,597215672.8997824,2020-04-01
KRW-XLM,2020-03-01T00:00:00,2020-03-01T09:00:00,69.3,73.5,37.4,49.7,1585699134362,23702272699.530216,437281473.7530661,2020-03-01
KRW-XLM,2020-02-01T00:00:00,2020-02-01T09:00:00,69.8,103.0,67.5,69.3,1583020768238,88385074296.8194,1053715151.3256526,2020-02-01
KRW-XLM,2020-01-01T00:00:00,2020-01-01T09:00:00,54.6,72.8,50.3,69.8,1580515145468,34644935374.78041,525684194.9515917,2020-01-01
KRW-XLM,2019-12-01T00:00:00,2019-12-01T09:00:00,69.6,69.9,50.3,54.5,1577836767582,8006587877.317533,130725015.22256826,2019-12-01
KRW-XLM,2019-11-01T00:00:00,2019-11-01T09:00:00,76.4,102.0,62.5,69.8,1575158208230,83058939422.7919,975523026.1471801,2019-11-01
KRW-XLM,2019-10-01T00:00:00,2019-10-01T09:00:00,74.0,81.3,67.6,76.3,1572566399884,43970947684.04006,592926786.9015483,2019-10-01
KRW-XLM,2019-09-01T00:00:00,2019-09-01T09:00:00,75.1,107.0,61.7,74.2,1569887989461,87448691745.40765,1063076328.8007637,2019-09-01
KRW-XLM,2019-08-01T00:00:00,2019-08-01T09:00:00,99.4,101.0,73.5,75.2,1567294308788,23265001082.812103,261351046.7879936,2019-08-01
KRW-XLM,2019-07-01T00:00:00,2019-07-01T09:00:00,132.0,136.0,90.5,99.5,1564617599224,116012723404.01762,1047796152.957267,2019-07-01
KRW-XLM,2019-06-01T00:00:00,2019-06-01T09:00:00,162.0,171.0,130.0,131.0,1561939195853,222622548202.4961,1487742109.4412177,2019-06-01
KRW-XLM,2019-05-01T00:00:00,2019-05-01T09:00:00,115.0,192.0,103.0,162.0,1559347199936,467106677513.72656,3081009569.038687,2019-05-01
KRW-XLM,2019-04-01T00:00:00,2019-04-01T09:00:00,122.0,157.0,108.0,116.0,1556668746921,169020034889.6705,1241575161.8263426,2019-04-01
KRW-XLM,2019-03-01T00:00:00,2019-03-01T09:00:00,93.7,133.0,89.7,122.0,1554076793705,137162786182.8286,1217407542.8436394,2019-03-01
KRW-XLM,2019-02-01T00:00:00,2019-02-01T09:00:00,89.7,105.0,80.4,93.6,1551398239455,133300964720.14157,1455100780.6148016,2019-02-01
KRW-XLM,2019-01-01T00:00:00,2019-01-01T09:00:00,124.0,144.0,89.0,89.8,1548979172839,156740643433.6529,1353735151.5280962,2019-01-01
KRW-XLM,2018-12-01T00:00:00,2018-12-01T09:00:00,182.0,192.0,103.0,125.0,1546300775253,220644252675.14066,1589755993.9967902,2018-12-01
KRW-XLM,2018-11-01T00:00:00,2018-11-01T09:00:00,254.0,325.0,154.0,181.0,1543622392597,292860416525.2327,1300290262.3670557,2018-11-01
KRW-XLM,2018-10-01T00:00:00,2018-10-01T09:00:00,290.0,297.0,237.0,254.0,1541030395915,80584328867.62578,299653955.68838567,2018-10-01
KRW-XLM,2018-09-01T00:00:00,2018-09-01T09:00:00,249.0,344.0,211.0,290.0,1538351979498,227023598689.88373,789513767.3295096,2018-09-01
KRW-XLM,2018-08-01T00:00:00,2018-08-01T09:00:00,315.0,323.0,226.0,248.0,1535759999496,152371002431.82617,581790832.0968181,2018-08-01
KRW-XLM,2018-07-01T00:00:00,2018-07-01T09:00:00,217.0,398.0,204.0,315.0,1533081598002,232721022276.046,718906294.361053,2018-07-01
KRW-XLM,2018-06-01T00:00:00,2018-06-01T09:00:00,328.0,338.0,195.0,217.0,1530403197607,49501037679.80078,183358264.13041374,2018-06-01
KRW-XLM,2018-05-01T00:00:00,2018-05-01T09:00:00,464.0,501.0,273.0,328.0,1527811199957,235525505158.94345,592911051.6862189,2018-05-01
