market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ZIL,2023-10-01T00:00:00,2023-10-01T09:00:00,24.1,24.6,21.4,21.5,1697076177098,36812476870.6391,1599126038.0193028,2023-10-01
KRW-ZIL,2023-09-01T00:00:00,2023-09-01T09:00:00,22.1,24.6,20.0,24.1,1696118374492,95623665321.58269,4209571529.783925,2023-09-01
KRW-ZIL,2023-08-01T00:00:00,2023-08-01T09:00:00,27.0,27.6,21.9,22.1,1693526308024,61909507314.155556,2471972597.5035324,2023-08-01
KRW-ZIL,2023-07-01T00:00:00,2023-07-01T09:00:00,28.1,32.9,25.9,27.0,1690847976492,291859041297.39496,10176813981.914486,2023-07-01
KRW-ZIL,2023-06-01T00:00:00,2023-06-01T09:00:00,30.6,32.3,21.4,28.1,1688169598975,172110428466.53558,6422369883.737491,2023-06-01
KRW-ZIL,2023-05-01T00:00:00,2023-05-01T09:00:00,37.7,37.8,29.9,30.5,1685577586839,97008560532.85097,2922459537.9102373,2023-05-01
KRW-ZIL,2023-04-01T00:00:00,2023-04-01T09:00:00,38.5,48.5,37.0,37.7,1682899196626,1091757846999.4707,25510287123.746563,2023-04-01
KRW-ZIL,2023-03-01T00:00:00,2023-03-01T09:00:00,41.9,42.6,29.1,38.4,1680307197670,261063807708.27374,7204085682.174639,2023-03-01
KRW-ZIL,2023-02-01T00:00:00,2023-02-01T09:00:00,33.8,48.3,32.7,41.9,1677628794003,888182912157.757,21938064033.269024,2023-02-01
KRW-ZIL,2023-01-01T00:00:00,2023-01-01T09:00:00,20.2,41.7,20.0,33.9,1675209599151,848952375712.7103,25776350053.001953,2023-01-01
KRW-ZIL,2022-12-01T00:00:00,2022-12-01T09:00:00,31.0,31.4,19.3,20.2,1672531185700,69203357607.23517,2627032544.435236,2022-12-01
KRW-ZIL,2022-11-01T00:00:00,2022-11-01T09:00:00,43.5,47.6,26.3,31.0,1669852796834,358827424376.37366,10388130765.665722,2022-11-01
KRW-ZIL,2022-10-01T00:00:00,2022-10-01T09:00:00,45.0,50.6,40.2,43.4,1667260797254,315271324196.0535,7082375144.771542,2022-10-01
KRW-ZIL,2022-09-01T00:00:00,2022-09-01T09:00:00,49.7,53.0,43.7,45.0,1664582394792,262883245052.78412,5428692242.925552,2022-09-01
KRW-ZIL,2022-08-01T00:00:00,2022-08-01T09:00:00,56.4,66.6,48.3,49.7,1661990389060,888829351579.7397,15211769291.66185,2022-08-01
KRW-ZIL,2022-07-01T00:00:00,2022-07-01T09:00:00,50.6,62.8,45.7,56.4,1659311999711,825939774888.9036,15392799565.834639,2022-07-01
KRW-ZIL,2022-06-01T00:00:00,2022-06-01T09:00:00,68.8,70.9,39.6,50.6,1656633595387,1494672682364.8762,26688566323.21704,2022-06-01
KRW-ZIL,2022-05-01T00:00:00,2022-05-01T09:00:00,94.7,126.0,55.5,68.8,1654041599528,3179179491374.834,38892747823.52894,2022-05-01
KRW-ZIL,2022-04-01T00:00:00,2022-04-01T09:00:00,220.0,282.0,93.4,94.6,1651363200050,9005164022788.572,51229605775.69649,2022-04-01
KRW-ZIL,2022-03-01T00:00:00,2022-03-01T09:00:00,52.2,274.0,45.8,220.0,1648771199649,8312078064791.894,56525599857.70172,2022-03-01
KRW-ZIL,2022-02-01T00:00:00,2022-02-01T09:00:00,55.3,72.5,41.4,52.2,1646092797025,229420047082.87183,3898516259.0319777,2022-02-01
KRW-ZIL,2022-01-01T00:00:00,2022-01-01T09:00:00,91.5,95.0,46.7,55.3,1643673600366,173723806076.61124,2514552500.350245,2022-01-01
KRW-ZIL,2021-12-01T00:00:00,2021-12-01T09:00:00,108.0,112.0,69.4,91.5,1640995199839,275819819189.7125,3097687831.770951,2021-12-01
KRW-ZIL,2021-11-01T00:00:00,2021-11-01T09:00:00,133.0,138.0,100.0,109.0,1638316793149,531834047018.41626,4415324859.979916,2021-11-01
