market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-1INCH,2023-10-09T00:00:00,2023-10-09T09:00:00,354.0,358.0,319.0,324.0,1697077628060,7220123054.777638,21488247.78528265,2023-10-09
KRW-1INCH,2023-10-02T00:00:00,2023-10-02T09:00:00,374.0,382.0,339.0,354.0,1696809583470,18115446188.185204,50848823.24788972,2023-10-02
KRW-1INCH,2023-09-25T00:00:00,2023-09-25T09:00:00,343.0,375.0,339.0,374.0,1696204796426,24531257926.45926,68274263.99681257,2023-09-25
KRW-1INCH,2023-09-18T00:00:00,2023-09-18T09:00:00,333.0,386.0,329.0,343.0,1695599997214,45253795714.80364,126786015.82471834,2023-09-18
KRW-1INCH,2023-09-11T00:00:00,2023-09-11T09:00:00,327.0,351.0,300.0,335.0,1694995145475,13396273692.539753,40911997.94772068,2023-09-11
KRW-1INCH,2023-09-04T00:00:00,2023-09-04T09:00:00,320.0,340.0,317.0,326.0,1694390387929,9338989799.177904,28398309.2954927,2023-09-04
KRW-1INCH,2023-08-28T00:00:00,2023-08-28T09:00:00,336.0,356.0,315.0,320.0,1693785337436,10775812030.997173,32414494.63827191,2023-08-28
KRW-1INCH,2023-08-21T00:00:00,2023-08-21T09:00:00,344.0,345.0,322.0,336.0,1693180775321,8617131016.13111,25699007.13874879,2023-08-21
KRW-1INCH,2023-08-14T00:00:00,2023-08-14T09:00:00,411.0,418.0,316.0,344.0,1692575926013,21498847887.71475,59578043.10374584,2023-08-14
KRW-1INCH,2023-08-07T00:00:00,2023-08-07T09:00:00,405.0,416.0,389.0,411.0,1691971187466,16591882145.27631,40864902.74215999,2023-08-07
KRW-1INCH,2023-07-31T00:00:00,2023-07-31T09:00:00,404.0,423.0,396.0,406.0,1691366344041,31797774385.357838,77794908.82664017,2023-07-31
KRW-1INCH,2023-07-24T00:00:00,2023-07-24T09:00:00,424.0,425.0,385.0,403.0,1690761588941,44879856151.36193,111888979.1510751,2023-07-24
KRW-1INCH,2023-07-17T00:00:00,2023-07-17T09:00:00,557.0,802.0,412.0,425.0,1690156779654,642645892089.4915,1076168494.673819,2023-07-17
KRW-1INCH,2023-07-10T00:00:00,2023-07-10T09:00:00,401.0,578.0,391.0,557.0,1689551999584,238385080048.63174,478438101.5495546,2023-07-10
