market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ADA,2023-10-09T00:00:00,2023-10-09T09:00:00,347.0,353.0,333.0,335.0,1697076413745,12121713630.955444,35460683.28567924,2023-10-09
KRW-ADA,2023-10-02T00:00:00,2023-10-02T09:00:00,358.0,365.0,344.0,349.0,1696809593298,31833905780.327393,89881445.91736329,2023-10-02
KRW-ADA,2023-09-25T00:00:00,2023-09-25T09:00:00,328.0,361.0,326.0,358.0,1696204793764,24701141951.922073,72585973.90674087,2023-09-25
KRW-ADA,2023-09-18T00:00:00,2023-09-18T09:00:00,333.0,345.0,326.0,328.0,1695599999385,30435919021.847347,90588129.47134446,2023-09-18
KRW-ADA,2023-09-11T00:00:00,2023-09-11T09:00:00,340.0,345.0,324.0,333.0,1694995082251,30242551136.25735,89911617.80780949,2023-09-11
KRW-ADA,2023-09-04T00:00:00,2023-09-04T09:00:00,347.0,355.0,335.0,339.0,1694390361210,19587686265.501427,56574342.00303936,2023-09-04
KRW-ADA,2023-08-28T00:00:00,2023-08-28T09:00:00,357.0,379.0,345.0,347.0,1693785583853,35280861098.48505,98560352.70023319,2023-08-28
KRW-ADA,2023-08-21T00:00:00,2023-08-21T09:00:00,371.0,374.0,345.0,357.0,1693180791601,26167290309.954086,73147926.0932301,2023-08-21
KRW-ADA,2023-08-14T00:00:00,2023-08-14T09:00:00,387.0,391.0,340.0,372.0,1692575992332,44063819136.90792,119277930.13488115,2023-08-14
KRW-ADA,2023-08-07T00:00:00,2023-08-07T09:00:00,387.0,401.0,378.0,387.0,1691971187671,34028954629.48786,87009636.68932028,2023-08-07
KRW-ADA,2023-07-31T00:00:00,2023-07-31T09:00:00,409.0,412.0,383.0,387.0,1691366294834,48693976942.82642,123667459.19140232,2023-07-31
KRW-ADA,2023-07-24T00:00:00,2023-07-24T09:00:00,410.0,413.0,388.0,408.0,1690761596538,75225182607.99524,188229741.24375382,2023-07-24
KRW-ADA,2023-07-17T00:00:00,2023-07-17T09:00:00,406.0,429.0,388.0,411.0,1690156799806,235688525815.8707,574423824.2964065,2023-07-17
KRW-ADA,2023-07-10T00:00:00,2023-07-10T09:00:00,376.0,497.0,368.0,405.0,1689551995419,375551204362.8667,856893175.2395049,2023-07-10
KRW-ADA,2023-07-03T00:00:00,2023-07-03T09:00:00,388.0,398.0,368.0,375.0,1688947199099,62367911211.39661,162743946.8550056,2023-07-03
KRW-ADA,2023-06-26T00:00:00,2023-06-26T09:00:00,386.0,399.0,352.0,388.0,1688342373627,106002445462.19589,280591497.9557358,2023-06-26
KRW-ADA,2023-06-19T00:00:00,2023-06-19T09:00:00,341.0,406.0,332.0,386.0,1687737592761,98039355802.76291,258905297.94749054,2023-06-19
KRW-ADA,2023-06-12T00:00:00,2023-06-12T09:00:00,360.0,378.0,331.0,341.0,1687132779269,76381879767.47067,215028456.54017586,2023-06-12
KRW-ADA,2023-06-05T00:00:00,2023-06-05T09:00:00,499.0,502.0,314.0,360.0,1686527998614,184688120714.95563,485416918.580333,2023-06-05
KRW-ADA,2023-05-29T00:00:00,2023-05-29T09:00:00,509.0,515.0,483.0,499.0,1685923194105,34330572556.31135,68757798.265235,2023-05-29
KRW-ADA,2023-05-22T00:00:00,2023-05-22T09:00:00,485.0,511.0,475.0,510.0,1685318399138,36184169132.016884,73834611.7431546,2023-05-22
KRW-ADA,2023-05-15T00:00:00,2023-05-15T09:00:00,502.0,512.0,482.0,485.0,1684713594243,36052878015.26641,72416179.04851848,2023-05-15
KRW-ADA,2023-05-08T00:00:00,2023-05-08T09:00:00,505.0,508.0,473.0,501.0,1684108796399,52116343697.20132,106258661.83237459,2023-05-08
KRW-ADA,2023-05-01T00:00:00,2023-05-01T09:00:00,529.0,534.0,502.0,505.0,1683503988437,45066128671.43265,87018643.9053869,2023-05-01
