market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-AERGO,2023-10-09T00:00:00,2023-10-09T09:00:00,142.0,144.0,131.0,134.0,1697076866472,4702800738.897796,34356603.5721009,2023-10-09
KRW-AERGO,2023-10-02T00:00:00,2023-10-02T09:00:00,144.0,145.0,136.0,143.0,1696809482564,12306891416.878736,87776901.36682057,2023-10-02
KRW-AERGO,2023-09-25T00:00:00,2023-09-25T09:00:00,136.0,145.0,132.0,144.0,1696204791346,9442239341.488327,67908151.76989971,2023-09-25
KRW-AERGO,2023-09-18T00:00:00,2023-09-18T09:00:00,134.0,143.0,129.0,137.0,1695599965100,17091989079.908775,125735548.6113333,2023-09-18
KRW-AERGO,2023-09-11T00:00:00,2023-09-11T09:00:00,122.0,134.0,115.0,134.0,1694995198486,16856983476.612877,133773975.56959607,2023-09-11
KRW-AERGO,2023-09-04T00:00:00,2023-09-04T09:00:00,122.0,131.0,119.0,122.0,1694390373133,11397195409.099848,91294958.93429697,2023-09-04
KRW-AERGO,2023-08-28T00:00:00,2023-08-28T09:00:00,126.0,128.0,118.0,122.0,1693785309434,6233836190.1295395,50712964.71660602,2023-08-28
KRW-AERGO,2023-08-21T00:00:00,2023-08-21T09:00:00,125.0,131.0,120.0,126.0,1693180799345,7311191016.062984,57942475.16926136,2023-08-21
KRW-AERGO,2023-08-14T00:00:00,2023-08-14T09:00:00,142.0,147.0,115.0,125.0,1692575963023,14694081246.797785,111410855.37391274,2023-08-14
KRW-AERGO,2023-08-07T00:00:00,2023-08-07T09:00:00,141.0,145.0,139.0,143.0,1691971037058,5548723491.644228,39151193.42702822,2023-08-07
KRW-AERGO,2023-07-31T00:00:00,2023-07-31T09:00:00,144.0,150.0,140.0,142.0,1691366378738,14996398318.278708,104075355.40387894,2023-07-31
KRW-AERGO,2023-07-24T00:00:00,2023-07-24T09:00:00,149.0,151.0,136.0,144.0,1690761598848,18601948079.15055,130137463.84908052,2023-07-24
KRW-AERGO,2023-07-17T00:00:00,2023-07-17T09:00:00,150.0,151.0,139.0,149.0,1690156774998,17573329021.049526,121440122.60042201,2023-07-17
KRW-AERGO,2023-07-10T00:00:00,2023-07-10T09:00:00,137.0,156.0,133.0,149.0,1689551995424,42117910102.606476,288833510.77033883,2023-07-10
KRW-AERGO,2023-07-03T00:00:00,2023-07-03T09:00:00,137.0,151.0,133.0,137.0,1688947194042,26764347484.198544,190651372.88013765,2023-07-03
KRW-AERGO,2023-06-26T00:00:00,2023-06-26T09:00:00,135.0,143.0,126.0,137.0,1688342384536,24904688607.73087,184396060.93419224,2023-06-26
KRW-AERGO,2023-06-19T00:00:00,2023-06-19T09:00:00,116.0,144.0,115.0,135.0,1687737584379,28391933392.281742,218629242.76363367,2023-06-19
KRW-AERGO,2023-06-12T00:00:00,2023-06-12T09:00:00,127.0,132.0,111.0,117.0,1687132739617,35118871932.2753,291466771.4178977,2023-06-12
KRW-AERGO,2023-06-05T00:00:00,2023-06-05T09:00:00,149.0,150.0,120.0,126.0,1686527956777,13062422962.54972,97656489.65724508,2023-06-05
KRW-AERGO,2023-05-29T00:00:00,2023-05-29T09:00:00,152.0,154.0,143.0,149.0,1685923162772,9452807610.355848,63784534.12035946,2023-05-29
KRW-AERGO,2023-05-22T00:00:00,2023-05-22T09:00:00,150.0,162.0,145.0,153.0,1685318335417,18721366088.484257,122479943.15899771,2023-05-22
KRW-AERGO,2023-05-15T00:00:00,2023-05-15T09:00:00,149.0,171.0,147.0,151.0,1684713590450,29764065959.165833,187577050.1754651,2023-05-15
KRW-AERGO,2023-05-08T00:00:00,2023-05-08T09:00:00,165.0,167.0,143.0,150.0,1684108698369,19479818530.817425,126926384.688735,2023-05-08
KRW-AERGO,2023-05-01T00:00:00,2023-05-01T09:00:00,170.0,228.0,161.0,166.0,1683503994463,268791860484.5101,1335685819.185084,2023-05-01
KRW-AERGO,2023-04-24T00:00:00,2023-04-24T09:00:00,175.0,176.0,163.0,170.0,1682899184393,14646608802.00548,86038813.4066385,2023-04-24
KRW-AERGO,2023-04-17T00:00:00,2023-04-17T09:00:00,183.0,185.0,169.0,175.0,1682294386863,27051627100.05545,151825185.44805688,2023-04-17
KRW-AERGO,2023-04-10T00:00:00,2023-04-10T09:00:00,181.0,193.0,176.0,183.0,1681689596654,25399252545.608128,137789884.2491454,2023-04-10
KRW-AERGO,2023-04-03T00:00:00,2023-04-03T09:00:00,175.0,207.0,167.0,181.0,1681084795420,79250047948.67365,419864672.41616094,2023-04-03
KRW-AERGO,2023-03-27T00:00:00,2023-03-27T09:00:00,165.0,207.0,147.0,175.0,1680479976145,71059608823.5102,406849290.633001,2023-03-27
KRW-AERGO,2023-03-20T00:00:00,2023-03-20T09:00:00,177.0,182.0,161.0,165.0,1679875182335,19030699911.520824,112703905.35128725,2023-03-20
KRW-AERGO,2023-03-13T00:00:00,2023-03-13T09:00:00,147.0,179.0,144.0,177.0,1679270375178,40504637564.826385,243366458.4618259,2023-03-13
KRW-AERGO,2023-03-06T00:00:00,2023-03-06T09:00:00,170.0,170.0,132.0,148.0,1678665576448,20860475880.823936,139155388.99596092,2023-03-06
KRW-AERGO,2023-02-27T00:00:00,2023-02-27T09:00:00,186.0,191.0,164.0,170.0,1678060799974,29176849288.140415,162779658.08334196,2023-02-27
KRW-AERGO,2023-02-20T00:00:00,2023-02-20T09:00:00,185.0,231.0,176.0,186.0,1677455999279,109484056952.31943,559653260.3657885,2023-02-20
KRW-AERGO,2023-02-13T00:00:00,2023-02-13T09:00:00,176.0,203.0,158.0,185.0,1676851195071,83398227364.0099,460762236.4103938,2023-02-13
KRW-AERGO,2023-02-06T00:00:00,2023-02-06T09:00:00,185.0,203.0,168.0,175.0,1676246397660,57122253174.929306,312197885.7463142,2023-02-06
KRW-AERGO,2023-01-30T00:00:00,2023-01-30T09:00:00,174.0,202.0,161.0,186.0,1675641596303,186238034804.62717,1028084965.621417,2023-01-30
KRW-AERGO,2023-01-23T00:00:00,2023-01-23T09:00:00,149.0,191.0,140.0,174.0,1675036786753,185335100372.10184,1108193660.0579877,2023-01-23
KRW-AERGO,2023-01-16T00:00:00,2023-01-16T09:00:00,141.0,153.0,132.0,149.0,1674431970479,47297977635.36675,331608915.0657258,2023-01-16
KRW-AERGO,2023-01-09T00:00:00,2023-01-09T09:00:00,117.0,152.0,116.0,140.0,1673827196838,42825152178.6753,321244466.5192386,2023-01-09
KRW-AERGO,2023-01-02T00:00:00,2023-01-02T09:00:00,114.0,118.0,110.0,117.0,1673222374324,9883879376.289177,86502592.6874239,2023-01-02
KRW-AERGO,2022-12-26T00:00:00,2022-12-26T09:00:00,126.0,129.0,104.0,114.0,1672617576650,15583709387.33519,136222374.2772877,2022-12-26
KRW-AERGO,2022-12-19T00:00:00,2022-12-19T09:00:00,129.0,135.0,119.0,126.0,1672012797543,14871519054.613375,115569065.12643757,2022-12-19
KRW-AERGO,2022-12-12T00:00:00,2022-12-12T09:00:00,151.0,152.0,120.0,129.0,1671407999513,14048326109.000246,101688523.78707165,2022-12-12
KRW-AERGO,2022-12-05T00:00:00,2022-12-05T09:00:00,151.0,159.0,140.0,151.0,1670803173576,21171749133.189754,140102772.59967545,2022-12-05
KRW-AERGO,2022-11-28T00:00:00,2022-11-28T09:00:00,156.0,160.0,148.0,151.0,1670198378986,15192527909.802954,98883886.89570716,2022-11-28
