market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-AHT,2023-10-09T00:00:00,2023-10-09T09:00:00,9.47,9.68,8.66,8.71,1697077208648,8616860741.819693,949128579.5364305,2023-10-09
KRW-AHT,2023-10-02T00:00:00,2023-10-02T09:00:00,9.74,9.79,9.1,9.48,1696809594125,20388139638.51382,2145376937.1642933,2023-10-02
KRW-AHT,2023-09-25T00:00:00,2023-09-25T09:00:00,9.08,10.3,8.7,9.75,1696204778032,54050213624.825935,5609355115.718624,2023-09-25
KRW-AHT,2023-09-18T00:00:00,2023-09-18T09:00:00,8.66,10.1,8.65,9.08,1695599998200,44130253787.031525,4727292444.194346,2023-09-18
KRW-AHT,2023-09-11T00:00:00,2023-09-11T09:00:00,9.07,9.29,8.1,8.66,1694995195278,36837335784.64524,4226158119.1894608,2023-09-11
KRW-AHT,2023-09-04T00:00:00,2023-09-04T09:00:00,8.67,9.73,8.34,9.06,1694390397548,68286650718.0492,7539840515.5500965,2023-09-04
KRW-AHT,2023-08-28T00:00:00,2023-08-28T09:00:00,8.97,8.97,8.27,8.67,1693785570283,12758324682.514341,1470430047.9837904,2023-08-28
KRW-AHT,2023-08-21T00:00:00,2023-08-21T09:00:00,9.52,9.58,8.72,8.97,1693180790705,23700603483.358696,2614354376.5926247,2023-08-21
KRW-AHT,2023-08-14T00:00:00,2023-08-14T09:00:00,9.94,10.1,8.43,9.52,1692575999210,83707048355.90135,8913950552.090736,2023-08-14
KRW-AHT,2023-08-07T00:00:00,2023-08-07T09:00:00,11.0,11.1,9.82,9.93,1691971170178,22334437392.971844,2179142349.6101117,2023-08-07
KRW-AHT,2023-07-31T00:00:00,2023-07-31T09:00:00,9.64,11.8,9.64,11.1,1691366398975,147159182990.88385,13726296361.834108,2023-07-31
KRW-AHT,2023-07-24T00:00:00,2023-07-24T09:00:00,9.39,12.5,8.84,9.64,1690761589548,348318070446.9811,34254163261.036667,2023-07-24
KRW-AHT,2023-07-17T00:00:00,2023-07-17T09:00:00,8.79,10.8,8.55,9.41,1690156799025,139992897876.46664,14828748417.089417,2023-07-17
KRW-AHT,2023-07-10T00:00:00,2023-07-10T09:00:00,8.33,10.1,7.9,8.8,1689551990098,118025809857.46051,13219689929.666073,2023-07-10
KRW-AHT,2023-07-03T00:00:00,2023-07-03T09:00:00,8.52,8.87,8.08,8.33,1688947189350,18884706122.930378,2226345536.601223,2023-07-03
KRW-AHT,2023-06-26T00:00:00,2023-06-26T09:00:00,8.61,9.06,7.9,8.49,1688342372017,31919803365.949337,3753994852.699521,2023-06-26
KRW-AHT,2023-06-19T00:00:00,2023-06-19T09:00:00,7.4,8.98,7.29,8.61,1687737595516,42569803623.14719,5213072619.262369,2023-06-19
KRW-AHT,2023-06-12T00:00:00,2023-06-12T09:00:00,8.03,8.35,6.65,7.4,1687132797397,117407992098.37543,15158759716.689737,2023-06-12
KRW-AHT,2023-06-05T00:00:00,2023-06-05T09:00:00,8.51,10.2,7.63,8.03,1686527996363,198640423931.30096,21644503705.612164,2023-06-05
