market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ALGO,2023-10-09T00:00:00,2023-10-09T09:00:00,138.0,138.0,126.0,128.0,1697077615087,5582063255.162607,42522167.94128491,2023-10-09
KRW-ALGO,2023-10-02T00:00:00,2023-10-02T09:00:00,144.0,144.0,132.0,138.0,1696809588200,12468357876.134035,90924626.42571168,2023-10-02
KRW-ALGO,2023-09-25T00:00:00,2023-09-25T09:00:00,137.0,145.0,128.0,144.0,1696204797536,13427047720.29474,99386202.72085288,2023-09-25
KRW-ALGO,2023-09-18T00:00:00,2023-09-18T09:00:00,128.0,139.0,126.0,137.0,1695599999089,16364315316.351566,123349904.35094982,2023-09-18
KRW-ALGO,2023-09-11T00:00:00,2023-09-11T09:00:00,126.0,132.0,119.0,127.0,1694995190710,18070901609.971195,144693606.60945728,2023-09-11
KRW-ALGO,2023-09-04T00:00:00,2023-09-04T09:00:00,129.0,134.0,123.0,125.0,1694390325303,16912639292.527214,132599280.0714137,2023-09-04
KRW-ALGO,2023-08-28T00:00:00,2023-08-28T09:00:00,129.0,138.0,125.0,128.0,1693785574696,19765331089.954662,152137134.6221811,2023-08-28
KRW-ALGO,2023-08-21T00:00:00,2023-08-21T09:00:00,134.0,136.0,128.0,129.0,1693180704911,14309471578.754223,109024452.63888995,2023-08-21
KRW-ALGO,2023-08-14T00:00:00,2023-08-14T09:00:00,156.0,158.0,125.0,133.0,1692575992747,38577090058.409805,278272046.84709114,2023-08-14
KRW-ALGO,2023-08-07T00:00:00,2023-08-07T09:00:00,145.0,158.0,142.0,156.0,1691971141994,46176907286.191,306411407.5858414,2023-08-07
KRW-ALGO,2023-07-31T00:00:00,2023-07-31T09:00:00,141.0,147.0,138.0,145.0,1691366388932,29306144773.73133,206959043.7599227,2023-07-31
KRW-ALGO,2023-07-24T00:00:00,2023-07-24T09:00:00,150.0,151.0,140.0,142.0,1690761569348,40483741720.95047,282926551.6337547,2023-07-24
KRW-ALGO,2023-07-17T00:00:00,2023-07-17T09:00:00,150.0,162.0,144.0,150.0,1690156757334,112524615510.01294,744371301.1139132,2023-07-17
KRW-ALGO,2023-07-10T00:00:00,2023-07-10T09:00:00,146.0,159.0,134.0,149.0,1689551998041,129105034425.20636,876086278.7097723,2023-07-10
KRW-ALGO,2023-07-03T00:00:00,2023-07-03T09:00:00,164.0,174.0,145.0,146.0,1688947199890,56218150223.766815,353084531.19188386,2023-07-03
KRW-ALGO,2023-06-26T00:00:00,2023-06-26T09:00:00,182.0,185.0,153.0,164.0,1688342389306,54161871273.38368,326990392.435479,2023-06-26
KRW-ALGO,2023-06-19T00:00:00,2023-06-19T09:00:00,150.0,189.0,149.0,181.0,1687737595339,33664721403.51114,196240937.57470343,2023-06-19
KRW-ALGO,2023-06-12T00:00:00,2023-06-12T09:00:00,147.0,161.0,141.0,151.0,1687132775384,17819248260.635296,119603364.32955039,2023-06-12
KRW-ALGO,2023-06-05T00:00:00,2023-06-05T09:00:00,201.0,201.0,126.0,147.0,1686527960426,57071864687.76072,347269646.6682024,2023-06-05
KRW-ALGO,2023-05-29T00:00:00,2023-05-29T09:00:00,204.0,206.0,194.0,201.0,1685923199537,27097061288.166725,135432428.87111548,2023-05-29
KRW-ALGO,2023-05-22T00:00:00,2023-05-22T09:00:00,218.0,220.0,197.0,205.0,1685318399457,32578324577.81478,158476912.3739062,2023-05-22
KRW-ALGO,2023-05-15T00:00:00,2023-05-15T09:00:00,221.0,233.0,217.0,217.0,1684713572408,18413525668.353874,81983655.00491467,2023-05-15
KRW-ALGO,2023-05-08T00:00:00,2023-05-08T09:00:00,232.0,233.0,213.0,221.0,1684108773148,27771584465.291954,125331395.92055587,2023-05-08
KRW-ALGO,2023-05-01T00:00:00,2023-05-01T09:00:00,242.0,243.0,231.0,232.0,1683503982327,24876331867.71052,104779925.89821231,2023-05-01
KRW-ALGO,2023-04-24T00:00:00,2023-04-24T09:00:00,252.0,257.0,233.0,242.0,1682899189819,42155735101.90915,171352738.58144206,2023-04-24
KRW-ALGO,2023-04-17T00:00:00,2023-04-17T09:00:00,307.0,307.0,243.0,252.0,1682294397032,102142058653.05798,381097788.6062502,2023-04-17
KRW-ALGO,2023-04-10T00:00:00,2023-04-10T09:00:00,285.0,307.0,281.0,307.0,1681689593802,43937410495.17503,150142069.73092023,2023-04-10
KRW-ALGO,2023-04-03T00:00:00,2023-04-03T09:00:00,283.0,295.0,276.0,285.0,1681084777878,45630650766.04863,158601098.59800443,2023-04-03
KRW-ALGO,2023-03-27T00:00:00,2023-03-27T09:00:00,279.0,323.0,261.0,283.0,1680479974478,152338393869.08813,509747744.3703413,2023-03-27
KRW-ALGO,2023-03-20T00:00:00,2023-03-20T09:00:00,293.0,328.0,272.0,279.0,1679875184489,86097451924.4018,290061184.1742337,2023-03-20
KRW-ALGO,2023-03-13T00:00:00,2023-03-13T09:00:00,267.0,304.0,257.0,293.0,1679270366466,53505775983.446465,188799541.67754266,2023-03-13
KRW-ALGO,2023-03-06T00:00:00,2023-03-06T09:00:00,301.0,313.0,243.0,267.0,1678665596535,42526243092.837975,156337936.1010563,2023-03-06
KRW-ALGO,2023-02-27T00:00:00,2023-02-27T09:00:00,339.0,346.0,297.0,302.0,1678060786970,34647909007.49893,107578447.76900113,2023-02-27
KRW-ALGO,2023-02-20T00:00:00,2023-02-20T09:00:00,360.0,380.0,327.0,338.0,1677455973941,67214793422.929054,189528988.54243052,2023-02-20
KRW-ALGO,2023-02-13T00:00:00,2023-02-13T09:00:00,321.0,367.0,304.0,360.0,1676851198956,50891523642.37588,149091107.24752325,2023-02-13
KRW-ALGO,2023-02-06T00:00:00,2023-02-06T09:00:00,325.0,379.0,316.0,321.0,1676246349306,87577183993.25826,253603084.58675763,2023-02-06
KRW-ALGO,2023-01-30T00:00:00,2023-01-30T09:00:00,328.0,345.0,290.0,325.0,1675641597294,63526802818.175514,197688576.21238598,2023-01-30
KRW-ALGO,2023-01-23T00:00:00,2023-01-23T09:00:00,308.0,335.0,286.0,327.0,1675036792482,86642845501.56493,276643844.1918712,2023-01-23
KRW-ALGO,2023-01-16T00:00:00,2023-01-16T09:00:00,298.0,318.0,259.0,307.0,1674431997041,77784670634.66129,268124405.97188506,2023-01-16
KRW-ALGO,2023-01-09T00:00:00,2023-01-09T09:00:00,252.0,299.0,248.0,299.0,1673827199309,54199297952.551346,198187600.1628074,2023-01-09
KRW-ALGO,2023-01-02T00:00:00,2023-01-02T09:00:00,226.0,254.0,220.0,252.0,1673222397394,18303245178.9664,76870867.39101204,2023-01-02
KRW-ALGO,2022-12-26T00:00:00,2022-12-26T09:00:00,215.0,228.0,203.0,226.0,1672617538823,14490840395.30678,67847348.25317536,2022-12-26
KRW-ALGO,2022-12-19T00:00:00,2022-12-19T09:00:00,250.0,253.0,211.0,215.0,1672012794771,24837390382.03862,109705001.6131938,2022-12-19
KRW-ALGO,2022-12-12T00:00:00,2022-12-12T09:00:00,297.0,301.0,238.0,249.0,1671407993355,40718250680.460304,148236499.8761712,2022-12-12
KRW-ALGO,2022-12-05T00:00:00,2022-12-05T09:00:00,321.0,328.0,290.0,297.0,1670803167097,45994284571.25174,149629285.58905277,2022-12-05
KRW-ALGO,2022-11-28T00:00:00,2022-11-28T09:00:00,331.0,337.0,315.0,321.0,1670198373311,41674331624.086876,127928407.00471707,2022-11-28
KRW-ALGO,2022-11-21T00:00:00,2022-11-21T09:00:00,360.0,360.0,318.0,331.0,1669593579080,121359905139.67354,360464187.4801519,2022-11-21
KRW-ALGO,2022-11-14T00:00:00,2022-11-14T09:00:00,359.0,436.0,321.0,359.0,1668988796521,424439146379.7208,1098105723.2405434,2022-11-14
KRW-ALGO,2022-11-07T00:00:00,2022-11-07T09:00:00,568.0,627.0,350.0,359.0,1668383999459,712890723446.4081,1521340950.993563,2022-11-07
KRW-ALGO,2022-10-31T00:00:00,2022-10-31T09:00:00,505.0,637.0,485.0,569.0,1667779199723,499299569912.98303,893298229.7425983,2022-10-31
KRW-ALGO,2022-10-24T00:00:00,2022-10-24T09:00:00,452.0,517.0,440.0,504.0,1667174397089,146450649532.23883,306590816.3802619,2022-10-24
KRW-ALGO,2022-10-17T00:00:00,2022-10-17T09:00:00,463.0,476.0,428.0,452.0,1666569584934,60538533545.514534,133610033.0675884,2022-10-17
KRW-ALGO,2022-10-10T00:00:00,2022-10-10T09:00:00,483.0,485.0,413.0,464.0,1665964792326,92218210658.18542,202852387.8002915,2022-10-10
KRW-ALGO,2022-10-03T00:00:00,2022-10-03T09:00:00,516.0,525.0,471.0,483.0,1665359983766,146209411476.569,294260491.55190253,2022-10-03
KRW-ALGO,2022-09-26T00:00:00,2022-09-26T09:00:00,559.0,564.0,482.0,516.0,1664755189406,323666974552.96936,629169280.2815158,2022-09-26
KRW-ALGO,2022-09-19T00:00:00,2022-09-19T09:00:00,415.0,588.0,414.0,560.0,1664150396967,661538350417.9073,1298988088.1417954,2022-09-19
KRW-ALGO,2022-09-12T00:00:00,2022-09-12T09:00:00,449.0,458.0,408.0,415.0,1663545598773,50969718153.277725,118976185.36938597,2022-09-12
KRW-ALGO,2022-09-05T00:00:00,2022-09-05T09:00:00,429.0,455.0,394.0,449.0,1662940778891,58259384539.39803,137316274.8729008,2022-09-05
KRW-ALGO,2022-08-29T00:00:00,2022-08-29T09:00:00,390.0,442.0,387.0,429.0,1662335975986,64758123451.81108,156411432.18128166,2022-08-29
KRW-ALGO,2022-08-22T00:00:00,2022-08-22T09:00:00,419.0,421.0,385.0,391.0,1661731197677,64269112502.37431,158004355.76509827,2022-08-22
KRW-ALGO,2022-08-15T00:00:00,2022-08-15T09:00:00,489.0,499.0,407.0,419.0,1661126390517,102760315504.45003,226247406.58638483,2022-08-15
KRW-ALGO,2022-08-08T00:00:00,2022-08-08T09:00:00,473.0,509.0,450.0,488.0,1660521597765,183090443042.15878,379538024.8876051,2022-08-08
KRW-ALGO,2022-08-01T00:00:00,2022-08-01T09:00:00,444.0,485.0,427.0,472.0,1659916773908,155850427681.2445,344492614.277325,2022-08-01
KRW-ALGO,2022-07-25T00:00:00,2022-07-25T09:00:00,450.0,469.0,403.0,444.0,1659311973660,83019685629.44331,187529521.089698,2022-07-25
KRW-ALGO,2022-07-18T00:00:00,2022-07-18T09:00:00,445.0,495.0,434.0,450.0,1658707172431,71406524732.96602,153768839.58065435,2022-07-18
KRW-ALGO,2022-07-11T00:00:00,2022-07-11T09:00:00,406.0,456.0,386.0,445.0,1658102399252,39152638238.73505,93442209.4185095,2022-07-11
KRW-ALGO,2022-07-04T00:00:00,2022-07-04T09:00:00,408.0,427.0,396.0,406.0,1657497597929,40776611656.0273,98919089.29636195,2022-07-04
KRW-ALGO,2022-06-27T00:00:00,2022-06-27T09:00:00,434.0,448.0,376.0,408.0,1656892759274,65445109864.54233,160263320.22994348,2022-06-27
KRW-ALGO,2022-06-20T00:00:00,2022-06-20T09:00:00,408.0,468.0,393.0,435.0,1656287995364,69696455834.73529,160595402.78302675,2022-06-20
KRW-ALGO,2022-06-13T00:00:00,2022-06-13T09:00:00,423.0,446.0,368.0,408.0,1655683194838,79164282596.4845,197866029.79483852,2022-06-13
KRW-ALGO,2022-06-06T00:00:00,2022-06-06T09:00:00,498.0,549.0,421.0,424.0,1655078392235,99556360724.90927,199622359.9021579,2022-06-06
KRW-ALGO,2022-05-30T00:00:00,2022-05-30T09:00:00,481.0,539.0,470.0,497.0,1654473599851,101502484445.73526,201077876.51410875,2022-05-30
KRW-ALGO,2022-05-23T00:00:00,2022-05-23T09:00:00,572.0,581.0,452.0,481.0,1653868785652,120638449082.58195,234952069.566929,2022-05-23
KRW-ALGO,2022-05-16T00:00:00,2022-05-16T09:00:00,642.0,657.0,535.0,572.0,1653263997914,143552973661.91025,243852860.58568606,2022-05-16
KRW-ALGO,2022-05-09T00:00:00,2022-05-09T09:00:00,956.0,995.0,494.0,643.0,1652659194112,484225107540.4578,662222190.012867,2022-05-09
