market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ARDR,2023-10-09T00:00:00,2023-10-09T09:00:00,92.2,99.2,87.7,89.6,1697076381595,9142807901.265133,98204179.79210305,2023-10-09
KRW-ARDR,2023-10-02T00:00:00,2023-10-02T09:00:00,94.6,99.8,89.1,92.2,1696809579004,23244334578.22696,245798453.61241025,2023-10-02
KRW-ARDR,2023-09-25T00:00:00,2023-09-25T09:00:00,91.4,98.5,87.5,94.6,1696204800008,10426356707.0555,110730656.3513402,2023-09-25
KRW-ARDR,2023-09-18T00:00:00,2023-09-18T09:00:00,86.5,100.0,83.9,90.9,1695599964027,12368286840.958557,133796426.79603028,2023-09-18
KRW-ARDR,2023-09-11T00:00:00,2023-09-11T09:00:00,83.3,91.4,79.5,86.5,1694995194229,7786378808.1665125,91855946.83952218,2023-09-11
KRW-ARDR,2023-09-04T00:00:00,2023-09-04T09:00:00,82.8,91.1,81.1,83.4,1694390381807,9911971442.957882,113932439.22040883,2023-09-04
KRW-ARDR,2023-08-28T00:00:00,2023-08-28T09:00:00,86.1,91.2,79.3,82.8,1693785587369,6600744876.056346,77129093.58994329,2023-08-28
KRW-ARDR,2023-08-21T00:00:00,2023-08-21T09:00:00,88.0,91.8,83.1,86.0,1693180799050,4722910281.010754,54292823.08646199,2023-08-21
KRW-ARDR,2023-08-14T00:00:00,2023-08-14T09:00:00,98.6,99.0,80.2,87.9,1692575987526,9474154720.862494,103078402.01318917,2023-08-14
KRW-ARDR,2023-08-07T00:00:00,2023-08-07T09:00:00,98.0,101.0,96.3,98.6,1691971179344,10205632590.347385,103470279.9862368,2023-08-07
KRW-ARDR,2023-07-31T00:00:00,2023-07-31T09:00:00,98.9,119.0,97.4,98.0,1691366397412,31257139276.82867,296256933.0832658,2023-07-31
KRW-ARDR,2023-07-24T00:00:00,2023-07-24T09:00:00,100.0,105.0,93.0,98.8,1690761551524,19328515813.305355,197158677.01825655,2023-07-24
KRW-ARDR,2023-07-17T00:00:00,2023-07-17T09:00:00,97.7,101.0,92.1,100.0,1690156783824,15435272294.941462,159876193.20932588,2023-07-17
KRW-ARDR,2023-07-10T00:00:00,2023-07-10T09:00:00,89.7,104.0,88.6,97.5,1689551968942,17886777794.809723,188202225.44409865,2023-07-10
KRW-ARDR,2023-07-03T00:00:00,2023-07-03T09:00:00,92.3,95.3,88.9,89.6,1688947089449,8060654413.861591,87811027.43517353,2023-07-03
KRW-ARDR,2023-06-26T00:00:00,2023-06-26T09:00:00,94.3,96.8,87.6,92.1,1688342377016,12792774608.439636,139860218.96843868,2023-06-26
KRW-ARDR,2023-06-19T00:00:00,2023-06-19T09:00:00,78.9,108.0,78.6,94.4,1687737592818,89778405773.14677,918629488.751776,2023-06-19
KRW-ARDR,2023-06-12T00:00:00,2023-06-12T09:00:00,84.0,88.9,75.4,79.0,1687132706160,6515870476.791864,80452000.67728233,2023-06-12
KRW-ARDR,2023-06-05T00:00:00,2023-06-05T09:00:00,101.0,101.0,77.4,84.4,1686527999881,6299431436.896542,70358548.33975706,2023-06-05
KRW-ARDR,2023-05-29T00:00:00,2023-05-29T09:00:00,102.0,102.0,97.2,100.0,1685922799287,2279382543.7272334,22845185.68635409,2023-05-29
KRW-ARDR,2023-05-22T00:00:00,2023-05-22T09:00:00,105.0,105.0,97.7,101.0,1685318344715,2915077389.998673,28741385.98055069,2023-05-22
KRW-ARDR,2023-05-15T00:00:00,2023-05-15T09:00:00,105.0,109.0,102.0,104.0,1684713543551,4863002040.077117,46252470.23153047,2023-05-15
KRW-ARDR,2023-05-08T00:00:00,2023-05-08T09:00:00,114.0,115.0,99.9,105.0,1684108781152,9071051209.47496,84714540.06655826,2023-05-08
KRW-ARDR,2023-05-01T00:00:00,2023-05-01T09:00:00,121.0,121.0,114.0,115.0,1683503986396,8599521374.280176,73088761.49947385,2023-05-01
KRW-ARDR,2023-04-24T00:00:00,2023-04-24T09:00:00,123.0,124.0,115.0,120.0,1682899142975,8379672532.034208,69850007.60963444,2023-04-24
KRW-ARDR,2023-04-17T00:00:00,2023-04-17T09:00:00,128.0,142.0,120.0,122.0,1682294386264,47488100190.416985,360604575.17890483,2023-04-17
KRW-ARDR,2023-04-10T00:00:00,2023-04-10T09:00:00,132.0,136.0,123.0,129.0,1681689585225,17750255869.57655,138763809.6555872,2023-04-10
KRW-ARDR,2023-04-03T00:00:00,2023-04-03T09:00:00,120.0,159.0,117.0,132.0,1681084779776,77463108660.25629,561526349.7341291,2023-04-03
KRW-ARDR,2023-03-27T00:00:00,2023-03-27T09:00:00,120.0,125.0,110.0,120.0,1680479993241,14374851216.29204,121770230.29203203,2023-03-27
KRW-ARDR,2023-03-20T00:00:00,2023-03-20T09:00:00,127.0,130.0,117.0,119.0,1679875080004,8459052361.188781,69205972.55894043,2023-03-20
KRW-ARDR,2023-03-13T00:00:00,2023-03-13T09:00:00,112.0,127.0,109.0,126.0,1679270399794,14633166349.84303,121618110.88947292,2023-03-13
KRW-ARDR,2023-03-06T00:00:00,2023-03-06T09:00:00,126.0,126.0,101.0,112.0,1678665595152,11269090156.297031,100101172.31199194,2023-03-06
KRW-ARDR,2023-02-27T00:00:00,2023-02-27T09:00:00,143.0,144.0,122.0,126.0,1678060789280,15939521159.48455,118857963.39256313,2023-02-27
KRW-ARDR,2023-02-20T00:00:00,2023-02-20T09:00:00,134.0,160.0,131.0,144.0,1677455980721,45636033536.426926,318251525.99670625,2023-02-20
KRW-ARDR,2023-02-13T00:00:00,2023-02-13T09:00:00,122.0,139.0,113.0,135.0,1676851177752,23789243524.786118,183146912.78130704,2023-02-13
KRW-ARDR,2023-02-06T00:00:00,2023-02-06T09:00:00,124.0,138.0,117.0,122.0,1676246381095,34531592276.06196,271564231.79349816,2023-02-06
KRW-ARDR,2023-01-30T00:00:00,2023-01-30T09:00:00,120.0,147.0,104.0,123.0,1675641599977,45038434597.1832,369677500.7064991,2023-01-30
KRW-ARDR,2023-01-23T00:00:00,2023-01-23T09:00:00,108.0,123.0,102.0,119.0,1675036799058,40370979666.76995,359498155.10097927,2023-01-23
KRW-ARDR,2023-01-16T00:00:00,2023-01-16T09:00:00,101.0,109.0,95.5,107.0,1674431999108,23058180045.093693,225187540.03613004,2023-01-16
KRW-ARDR,2023-01-09T00:00:00,2023-01-09T09:00:00,86.3,111.0,85.5,101.0,1673827180446,43111794265.931946,451593438.1091188,2023-01-09
KRW-ARDR,2023-01-02T00:00:00,2023-01-02T09:00:00,87.0,88.8,81.2,86.2,1673222381597,11678042956.648422,135645337.46545133,2023-01-02
KRW-ARDR,2022-12-26T00:00:00,2022-12-26T09:00:00,94.1,102.0,80.0,87.0,1672617550441,49729790366.42347,534429109.7714707,2022-12-26
KRW-ARDR,2022-12-19T00:00:00,2022-12-19T09:00:00,90.5,103.0,81.4,94.1,1672012792452,115733641380.01967,1213986326.8540158,2022-12-19
KRW-ARDR,2022-12-12T00:00:00,2022-12-12T09:00:00,103.0,103.0,85.4,90.5,1671407985772,19365016182.81523,203551839.84874442,2022-12-12
KRW-ARDR,2022-12-05T00:00:00,2022-12-05T09:00:00,104.0,134.0,94.0,103.0,1670803194165,31997863095.973793,275583003.40798104,2022-12-05
KRW-ARDR,2022-11-28T00:00:00,2022-11-28T09:00:00,105.0,109.0,100.0,105.0,1670198274739,6121109075.823778,58938478.60592544,2022-11-28
KRW-ARDR,2022-11-21T00:00:00,2022-11-21T09:00:00,99.5,111.0,94.3,105.0,1669593599200,11562999323.132027,111728213.10273074,2022-11-21
KRW-ARDR,2022-11-14T00:00:00,2022-11-14T09:00:00,91.1,109.0,79.4,99.9,1668988788271,23594705889.000774,245330335.836553,2022-11-14
KRW-ARDR,2022-11-07T00:00:00,2022-11-07T09:00:00,138.0,143.0,87.2,91.1,1668383997770,14802769465.542145,137965547.4191573,2022-11-07
KRW-ARDR,2022-10-31T00:00:00,2022-10-31T09:00:00,135.0,142.0,132.0,138.0,1667779199503,6494607447.482126,47500338.32804154,2022-10-31
KRW-ARDR,2022-10-24T00:00:00,2022-10-24T09:00:00,136.0,146.0,130.0,134.0,1667174391445,7455957106.757413,54480361.7400995,2022-10-24
KRW-ARDR,2022-10-17T00:00:00,2022-10-17T09:00:00,133.0,142.0,130.0,135.0,1666569588619,7691272688.977421,56824157.10172822,2022-10-17
KRW-ARDR,2022-10-10T00:00:00,2022-10-10T09:00:00,142.0,142.0,127.0,132.0,1665964763518,6027643622.423824,44730711.01837177,2022-10-10
KRW-ARDR,2022-10-03T00:00:00,2022-10-03T09:00:00,137.0,146.0,135.0,141.0,1665359942484,8983642496.12615,63970653.31193893,2022-10-03
KRW-ARDR,2022-09-26T00:00:00,2022-09-26T09:00:00,141.0,144.0,136.0,136.0,1664755141430,6600424269.826716,47212709.18863717,2022-09-26
KRW-ARDR,2022-09-19T00:00:00,2022-09-19T09:00:00,139.0,150.0,133.0,141.0,1664150357730,13679114207.45245,96872280.72696488,2022-09-19
KRW-ARDR,2022-09-12T00:00:00,2022-09-12T09:00:00,164.0,165.0,136.0,139.0,1663545566744,18606463575.46486,122467471.27285315,2022-09-12
KRW-ARDR,2022-09-05T00:00:00,2022-09-05T09:00:00,143.0,169.0,140.0,163.0,1662940799287,39024215303.29949,250750856.89468375,2022-09-05
KRW-ARDR,2022-08-29T00:00:00,2022-08-29T09:00:00,139.0,148.0,137.0,142.0,1662335987823,6587655749.293253,45938898.80990964,2022-08-29
KRW-ARDR,2022-08-22T00:00:00,2022-08-22T09:00:00,152.0,156.0,138.0,139.0,1661731188019,11880073323.200357,79977940.83762665,2022-08-22
KRW-ARDR,2022-08-15T00:00:00,2022-08-15T09:00:00,168.0,171.0,143.0,152.0,1661126388816,18008847288.71232,113384512.2556224,2022-08-15
KRW-ARDR,2022-08-08T00:00:00,2022-08-08T09:00:00,152.0,239.0,146.0,167.0,1660521592877,148970264540.41135,792664659.2415735,2022-08-08
KRW-ARDR,2022-08-01T00:00:00,2022-08-01T09:00:00,148.0,171.0,146.0,152.0,1659916797736,40605292211.820656,264828263.11263907,2022-08-01
KRW-ARDR,2022-07-25T00:00:00,2022-07-25T09:00:00,140.0,155.0,128.0,148.0,1659311999904,24497345214.757748,171426026.16296345,2022-07-25
KRW-ARDR,2022-07-18T00:00:00,2022-07-18T09:00:00,134.0,148.0,134.0,140.0,1658707037490,16276427598.243458,115075606.5068,2022-07-18
KRW-ARDR,2022-07-11T00:00:00,2022-07-11T09:00:00,142.0,144.0,121.0,135.0,1658102392449,13525873264.07653,102166017.96019047,2022-07-11
KRW-ARDR,2022-07-04T00:00:00,2022-07-04T09:00:00,135.0,162.0,130.0,142.0,1657497593469,26716750261.53635,185448570.32104203,2022-07-04
KRW-ARDR,2022-06-27T00:00:00,2022-06-27T09:00:00,133.0,147.0,118.0,136.0,1656892760341,27793296700.18154,205178237.8501311,2022-06-27
