market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-BAT,2023-10-09T00:00:00,2023-10-09T09:00:00,251.0,252.0,227.0,228.0,1697076424172,7690449366.451131,32607186.02509246,2023-10-09
KRW-BAT,2023-10-02T00:00:00,2023-10-02T09:00:00,251.0,254.0,230.0,252.0,1696809599926,12492104389.931625,51812276.522851,2023-10-02
KRW-BAT,2023-09-25T00:00:00,2023-09-25T09:00:00,235.0,252.0,226.0,251.0,1696204785915,6984021460.030072,29627864.33846724,2023-09-25
KRW-BAT,2023-09-18T00:00:00,2023-09-18T09:00:00,228.0,240.0,224.0,234.0,1695599988799,6464882015.021382,27457625.71374311,2023-09-18
KRW-BAT,2023-09-11T00:00:00,2023-09-11T09:00:00,227.0,242.0,214.0,228.0,1694995103282,5849318879.859786,25435182.85978405,2023-09-11
KRW-BAT,2023-09-04T00:00:00,2023-09-04T09:00:00,226.0,237.0,223.0,227.0,1694390391198,5730179173.7026825,24936204.46926385,2023-09-04
KRW-BAT,2023-08-28T00:00:00,2023-08-28T09:00:00,236.0,247.0,224.0,226.0,1693785396875,8126819640.732428,34478864.35651925,2023-08-28
KRW-BAT,2023-08-21T00:00:00,2023-08-21T09:00:00,242.0,249.0,229.0,235.0,1693179194214,8069209578.898362,33943899.85167877,2023-08-21
KRW-BAT,2023-08-14T00:00:00,2023-08-14T09:00:00,282.0,285.0,217.0,241.0,1692575989158,17039442987.615211,66869010.53144128,2023-08-14
KRW-BAT,2023-08-07T00:00:00,2023-08-07T09:00:00,279.0,306.0,263.0,282.0,1691971185124,52178977832.36624,180387981.26893303,2023-08-07
KRW-BAT,2023-07-31T00:00:00,2023-07-31T09:00:00,277.0,283.0,257.0,279.0,1691366393838,30796171289.94356,113174639.55007403,2023-07-31
KRW-BAT,2023-07-24T00:00:00,2023-07-24T09:00:00,267.0,279.0,250.0,278.0,1690761598029,14101362032.607513,53882170.46958428,2023-07-24
KRW-BAT,2023-07-17T00:00:00,2023-07-17T09:00:00,263.0,290.0,252.0,267.0,1690156786379,40472272434.96985,148795333.13458413,2023-07-17
KRW-BAT,2023-07-10T00:00:00,2023-07-10T09:00:00,248.0,279.0,243.0,263.0,1689551951467,15950123819.021002,61178594.5996511,2023-07-10
KRW-BAT,2023-07-03T00:00:00,2023-07-03T09:00:00,272.0,287.0,245.0,248.0,1688947134444,13243769793.304964,49355124.40029465,2023-07-03
KRW-BAT,2023-06-26T00:00:00,2023-06-26T09:00:00,263.0,278.0,243.0,272.0,1688342326346,12421854212.995186,47503454.53826961,2023-06-26
KRW-BAT,2023-06-19T00:00:00,2023-06-19T09:00:00,222.0,273.0,221.0,261.0,1687737470449,12246818906.330032,48576512.45158059,2023-06-19
KRW-BAT,2023-06-12T00:00:00,2023-06-12T09:00:00,226.0,233.0,212.0,222.0,1687132752793,4224747591.2747917,19038272.10344205,2023-06-12
KRW-BAT,2023-06-05T00:00:00,2023-06-05T09:00:00,289.0,290.0,209.0,225.0,1686527952033,7742368386.847081,31202816.54796207,2023-06-05
KRW-BAT,2023-05-29T00:00:00,2023-05-29T09:00:00,301.0,302.0,280.0,289.0,1685922559507,3387706192.2188106,11662993.83259844,2023-05-29
KRW-BAT,2023-05-22T00:00:00,2023-05-22T09:00:00,292.0,305.0,284.0,300.0,1685318376967,4194715902.9540434,14309154.21534195,2023-05-22
KRW-BAT,2023-05-15T00:00:00,2023-05-15T09:00:00,293.0,304.0,286.0,292.0,1684713568172,3352612826.4202633,11290846.47369213,2023-05-15
KRW-BAT,2023-05-08T00:00:00,2023-05-08T09:00:00,307.0,316.0,275.0,293.0,1684108795769,15122529078.110182,51180730.6580644,2023-05-08
KRW-BAT,2023-05-01T00:00:00,2023-05-01T09:00:00,330.0,331.0,305.0,307.0,1683503976948,7413768146.598264,23358135.1962897,2023-05-01
KRW-BAT,2023-04-24T00:00:00,2023-04-24T09:00:00,339.0,350.0,318.0,330.0,1682899175898,10927713218.127146,32625103.61503631,2023-04-24
KRW-BAT,2023-04-17T00:00:00,2023-04-17T09:00:00,378.0,379.0,324.0,341.0,1682294379731,26946867120.815117,76543677.05574863,2023-04-17
KRW-BAT,2023-04-10T00:00:00,2023-04-10T09:00:00,365.0,385.0,354.0,378.0,1681689598645,33769693151.95767,91588824.7483525,2023-04-10
KRW-BAT,2023-04-03T00:00:00,2023-04-03T09:00:00,351.0,427.0,341.0,365.0,1681084799029,139208822859.41974,361922207.6730117,2023-04-03
KRW-BAT,2023-03-27T00:00:00,2023-03-27T09:00:00,326.0,407.0,308.0,350.0,1680479989410,153592639465.96042,424250008.2182436,2023-03-27
KRW-BAT,2023-03-20T00:00:00,2023-03-20T09:00:00,344.0,356.0,308.0,325.0,1679875198390,47932276401.7876,144361402.67770007,2023-03-20
KRW-BAT,2023-03-13T00:00:00,2023-03-13T09:00:00,297.0,349.0,289.0,344.0,1679270399938,50319576431.73651,154015815.62014794,2023-03-13
KRW-BAT,2023-03-06T00:00:00,2023-03-06T09:00:00,343.0,351.0,270.0,297.0,1678665592775,29125555294.83234,95719102.89606248,2023-03-06
KRW-BAT,2023-02-27T00:00:00,2023-02-27T09:00:00,415.0,420.0,340.0,344.0,1678060796787,34676129234.58008,90435221.54159,2023-02-27
KRW-BAT,2023-02-20T00:00:00,2023-02-20T09:00:00,399.0,442.0,376.0,415.0,1677455998566,107451775511.09177,259584150.2079279,2023-02-20
