market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-BLUR,2023-10-09T00:00:00,2023-10-09T09:00:00,234.0,236.0,210.0,212.0,1697077551250,7863147163.787895,35355059.45405878,2023-10-09
KRW-BLUR,2023-10-02T00:00:00,2023-10-02T09:00:00,254.0,272.0,230.0,235.0,1696809472172,27604088291.664513,112927440.04680523,2023-10-02
KRW-BLUR,2023-09-25T00:00:00,2023-09-25T09:00:00,235.0,254.0,228.0,254.0,1696204798423,21277926407.110886,89848072.08821675,2023-09-25
KRW-BLUR,2023-09-18T00:00:00,2023-09-18T09:00:00,236.0,278.0,230.0,235.0,1695599988809,56688319646.62565,229315709.82483092,2023-09-18
KRW-BLUR,2023-09-11T00:00:00,2023-09-11T09:00:00,241.0,261.0,222.0,236.0,1694995192086,27983736692.112423,116058476.5600845,2023-09-11
KRW-BLUR,2023-09-04T00:00:00,2023-09-04T09:00:00,251.0,272.0,238.0,242.0,1694390399337,27086574777.945866,105571008.27150397,2023-09-04
KRW-BLUR,2023-08-28T00:00:00,2023-08-28T09:00:00,288.0,321.0,248.0,251.0,1693785576511,109029200932.48111,372149768.0911663,2023-08-28
KRW-BLUR,2023-08-21T00:00:00,2023-08-21T09:00:00,311.0,313.0,270.0,288.0,1693180790805,21587628850.261684,75076155.10423368,2023-08-21
KRW-BLUR,2023-08-14T00:00:00,2023-08-14T09:00:00,381.0,389.0,265.0,311.0,1692575959070,72100608239.5086,208793488.88152424,2023-08-14
KRW-BLUR,2023-08-07T00:00:00,2023-08-07T09:00:00,399.0,404.0,365.0,381.0,1691971197438,12958004109.59874,33907459.58427939,2023-08-07
KRW-BLUR,2023-07-31T00:00:00,2023-07-31T09:00:00,393.0,407.0,381.0,401.0,1691366348423,12818049555.111124,32593692.7889535,2023-07-31
KRW-BLUR,2023-07-24T00:00:00,2023-07-24T09:00:00,431.0,431.0,383.0,393.0,1690761591660,23307637762.428318,58444565.74767273,2023-07-24
KRW-BLUR,2023-07-17T00:00:00,2023-07-17T09:00:00,427.0,447.0,416.0,431.0,1690156708332,30437493267.66871,70666873.23329207,2023-07-17
KRW-BLUR,2023-07-10T00:00:00,2023-07-10T09:00:00,428.0,510.0,409.0,427.0,1689551994093,79788986490.08176,177703758.32101345,2023-07-10
KRW-BLUR,2023-07-03T00:00:00,2023-07-03T09:00:00,451.0,524.0,419.0,428.0,1688947190414,168631833623.3597,358283412.0695735,2023-07-03
KRW-BLUR,2023-06-26T00:00:00,2023-06-26T09:00:00,400.0,600.0,399.0,450.0,1688342399095,351508040100.5968,670781748.857483,2023-06-26
