market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-BORA,2023-10-09T00:00:00,2023-10-09T09:00:00,162.0,162.0,146.0,148.0,1697077232519,7671909451.74932,50161315.9951882,2023-10-09
KRW-BORA,2023-10-02T00:00:00,2023-10-02T09:00:00,157.0,167.0,151.0,162.0,1696809597310,16989143923.245846,108020667.40604243,2023-10-02
KRW-BORA,2023-09-25T00:00:00,2023-09-25T09:00:00,152.0,158.0,149.0,157.0,1696204792076,8547529848.9927,56154339.57970428,2023-09-25
KRW-BORA,2023-09-18T00:00:00,2023-09-18T09:00:00,150.0,161.0,147.0,151.0,1695599956497,10225253200.078026,67200262.80819072,2023-09-18
KRW-BORA,2023-09-11T00:00:00,2023-09-11T09:00:00,152.0,157.0,140.0,149.0,1694995194222,11168314295.840742,74338847.42323919,2023-09-11
KRW-BORA,2023-09-04T00:00:00,2023-09-04T09:00:00,155.0,156.0,149.0,151.0,1694390377770,4796569210.4230795,31473445.23315133,2023-09-04
KRW-BORA,2023-08-28T00:00:00,2023-08-28T09:00:00,162.0,162.0,150.0,154.0,1693785302423,7640431239.306866,49103000.33931228,2023-08-28
KRW-BORA,2023-08-21T00:00:00,2023-08-21T09:00:00,166.0,167.0,158.0,162.0,1693180779319,7390489225.867592,45930898.6739404,2023-08-21
KRW-BORA,2023-08-14T00:00:00,2023-08-14T09:00:00,189.0,189.0,157.0,166.0,1692575975527,20301008998.74601,117294052.48220704,2023-08-14
KRW-BORA,2023-08-07T00:00:00,2023-08-07T09:00:00,189.0,191.0,186.0,189.0,1691971197556,6372017382.867034,33876614.61342457,2023-08-07
KRW-BORA,2023-07-31T00:00:00,2023-07-31T09:00:00,192.0,197.0,185.0,189.0,1691366356623,11271128851.52433,59182007.65831126,2023-07-31
