market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CELO,2023-10-09T00:00:00,2023-10-09T09:00:00,593.0,594.0,551.0,555.0,1697077660992,5849009293.193408,10244590.10308924,2023-10-09
KRW-CELO,2023-10-02T00:00:00,2023-10-02T09:00:00,628.0,634.0,570.0,593.0,1696809585966,19386044687.121567,32383513.11752051,2023-10-02
KRW-CELO,2023-09-25T00:00:00,2023-09-25T09:00:00,600.0,674.0,590.0,628.0,1696204797899,69952041663.26622,111605324.6948447,2023-09-25
KRW-CELO,2023-09-18T00:00:00,2023-09-18T09:00:00,570.0,675.0,562.0,599.0,1695599974547,49117959512.90244,79692922.20282638,2023-09-18
KRW-CELO,2023-09-11T00:00:00,2023-09-11T09:00:00,563.0,617.0,532.0,570.0,1694995181786,42616588535.04187,73310798.16865467,2023-09-11
KRW-CELO,2023-09-04T00:00:00,2023-09-04T09:00:00,571.0,623.0,557.0,563.0,1694390376143,16480448334.876501,28231828.81195594,2023-09-04
KRW-CELO,2023-08-28T00:00:00,2023-08-28T09:00:00,578.0,637.0,558.0,571.0,1693785560980,20845698664.144146,35062438.95921703,2023-08-28
KRW-CELO,2023-08-21T00:00:00,2023-08-21T09:00:00,590.0,597.0,561.0,577.0,1693180597436,7940405935.4270935,13737876.03885504,2023-08-21
KRW-CELO,2023-08-14T00:00:00,2023-08-14T09:00:00,672.0,680.0,550.0,590.0,1692575990498,23937410398.754753,38947677.49350192,2023-08-14
KRW-CELO,2023-08-07T00:00:00,2023-08-07T09:00:00,667.0,715.0,633.0,672.0,1691971185449,22223147342.419346,32946777.9726793,2023-08-07
KRW-CELO,2023-07-31T00:00:00,2023-07-31T09:00:00,638.0,746.0,632.0,667.0,1691366399439,182648538401.024,265633944.96590343,2023-07-31
KRW-CELO,2023-07-24T00:00:00,2023-07-24T09:00:00,646.0,658.0,591.0,641.0,1690761582396,22233851429.415234,35409385.33738937,2023-07-24
KRW-CELO,2023-07-17T00:00:00,2023-07-17T09:00:00,662.0,799.0,634.0,646.0,1690156757416,237554046497.92572,328518224.9679268,2023-07-17
KRW-CELO,2023-07-10T00:00:00,2023-07-10T09:00:00,658.0,705.0,613.0,662.0,1689551997136,52158628944.35485,79314633.05624938,2023-07-10
KRW-CELO,2023-07-03T00:00:00,2023-07-03T09:00:00,718.0,889.0,645.0,658.0,1688947175965,317633768271.47644,403141606.041036,2023-07-03
KRW-CELO,2023-06-26T00:00:00,2023-06-26T09:00:00,669.0,765.0,546.0,719.0,1688342399084,123831246319.20276,180891139.70090452,2023-06-26
KRW-CELO,2023-06-19T00:00:00,2023-06-19T09:00:00,514.0,755.0,508.0,669.0,1687737592618,87028140124.65424,130009700.54252265,2023-06-19
KRW-CELO,2023-06-12T00:00:00,2023-06-12T09:00:00,545.0,559.0,503.0,514.0,1687132799418,11116329386.634165,20858917.20996289,2023-06-12
KRW-CELO,2023-06-05T00:00:00,2023-06-05T09:00:00,720.0,723.0,503.0,543.0,1686527988468,22953480957.43653,38303268.58029086,2023-06-05
KRW-CELO,2023-05-29T00:00:00,2023-05-29T09:00:00,717.0,754.0,664.0,720.0,1685923179040,21847069482.16884,30345587.20994577,2023-05-29
