market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CHZ,2023-10-09T00:00:00,2023-10-09T09:00:00,81.6,81.7,74.5,74.7,1697077164012,7934774813.739578,102420482.5539257,2023-10-09
KRW-CHZ,2023-10-02T00:00:00,2023-10-02T09:00:00,87.1,87.3,79.1,81.5,1696809590732,17153015739.269302,206439376.3392303,2023-10-02
KRW-CHZ,2023-09-25T00:00:00,2023-09-25T09:00:00,77.5,90.5,77.1,87.0,1696204798965,68555518117.07417,801856061.4108176,2023-09-25
KRW-CHZ,2023-09-18T00:00:00,2023-09-18T09:00:00,76.9,81.0,76.0,77.4,1695599990554,10584021835.402086,133821127.1096966,2023-09-18
KRW-CHZ,2023-09-11T00:00:00,2023-09-11T09:00:00,78.0,81.4,74.5,76.9,1694995190700,10536227430.570393,135718324.4072992,2023-09-11
KRW-CHZ,2023-09-04T00:00:00,2023-09-04T09:00:00,81.1,82.0,77.7,78.0,1694390285891,7466445050.10939,93001456.82465154,2023-09-04
KRW-CHZ,2023-08-28T00:00:00,2023-08-28T09:00:00,84.7,87.9,80.2,81.1,1693785531795,10520361835.677504,125181247.93489996,2023-08-28
KRW-CHZ,2023-08-21T00:00:00,2023-08-21T09:00:00,89.6,90.0,83.3,84.5,1693180766541,7114604533.181126,82505319.85259806,2023-08-21
KRW-CHZ,2023-08-14T00:00:00,2023-08-14T09:00:00,101.0,102.0,82.9,89.5,1692575970649,18027492128.419598,193379941.20201492,2023-08-14
KRW-CHZ,2023-08-07T00:00:00,2023-08-07T09:00:00,103.0,103.0,99.4,101.0,1691970886366,13225878668.020369,130789683.07801104,2023-08-07
KRW-CHZ,2023-07-31T00:00:00,2023-07-31T09:00:00,100.0,103.0,98.4,103.0,1691366379488,17494533217.724888,173313353.46646127,2023-07-31
KRW-CHZ,2023-07-24T00:00:00,2023-07-24T09:00:00,104.0,107.0,98.0,100.0,1690761413469,37186623649.40076,368683112.8358442,2023-07-24
KRW-CHZ,2023-07-17T00:00:00,2023-07-17T09:00:00,102.0,106.0,100.0,104.0,1690156790855,43763703266.70252,426626334.70031536,2023-07-17
KRW-CHZ,2023-07-10T00:00:00,2023-07-10T09:00:00,100.0,109.0,98.4,103.0,1689551969699,43568771990.54182,421487860.69369245,2023-07-10
KRW-CHZ,2023-07-03T00:00:00,2023-07-03T09:00:00,104.0,107.0,98.6,100.0,1688947173210,25493978195.965282,248377935.71413267,2023-07-03
KRW-CHZ,2023-06-26T00:00:00,2023-06-26T09:00:00,105.0,107.0,93.9,104.0,1688342367338,37181647189.53534,366302664.2505302,2023-06-26
KRW-CHZ,2023-06-19T00:00:00,2023-06-19T09:00:00,87.5,114.0,86.8,106.0,1687737589313,63463671732.00217,624522953.159003,2023-06-19
KRW-CHZ,2023-06-12T00:00:00,2023-06-12T09:00:00,90.2,90.6,84.0,87.6,1687132793304,19488178472.713196,221281330.09635833,2023-06-12
KRW-CHZ,2023-06-05T00:00:00,2023-06-05T09:00:00,134.0,134.0,87.3,90.3,1686527939105,52104480653.2294,508777156.8335139,2023-06-05
KRW-CHZ,2023-05-29T00:00:00,2023-05-29T09:00:00,137.0,139.0,130.0,134.0,1685923160204,14354397142.985435,107092900.852472,2023-05-29
KRW-CHZ,2023-05-22T00:00:00,2023-05-22T09:00:00,140.0,142.0,131.0,137.0,1685318385899,15953029149.251682,116945372.45032136,2023-05-22
KRW-CHZ,2023-05-15T00:00:00,2023-05-15T09:00:00,144.0,148.0,140.0,141.0,1684713574286,21369778997.844913,147872269.01330322,2023-05-15
KRW-CHZ,2023-05-08T00:00:00,2023-05-08T09:00:00,168.0,168.0,139.0,144.0,1684108710525,53880057081.152405,359960521.5002873,2023-05-08
KRW-CHZ,2023-05-01T00:00:00,2023-05-01T09:00:00,169.0,175.0,165.0,167.0,1683503975247,56153972072.716774,329507573.30936086,2023-05-01
KRW-CHZ,2023-04-24T00:00:00,2023-04-24T09:00:00,161.0,177.0,157.0,169.0,1682899190129,70753366268.57072,419035425.1045864,2023-04-24
KRW-CHZ,2023-04-17T00:00:00,2023-04-17T09:00:00,180.0,188.0,157.0,161.0,1682294345599,87909831633.55695,503114030.77752507,2023-04-17
KRW-CHZ,2023-04-10T00:00:00,2023-04-10T09:00:00,173.0,181.0,167.0,181.0,1681689597432,47593126884.851555,274945061.4980306,2023-04-10
KRW-CHZ,2023-04-03T00:00:00,2023-04-03T09:00:00,157.0,194.0,154.0,172.0,1681084793045,154465140184.43433,880139907.5276742,2023-04-03
KRW-CHZ,2023-03-27T00:00:00,2023-03-27T09:00:00,160.0,163.0,147.0,158.0,1680479981509,48859187377.47234,314382497.5482188,2023-03-27
KRW-CHZ,2023-03-20T00:00:00,2023-03-20T09:00:00,162.0,166.0,153.0,159.0,1679875199346,54166908858.263596,338440530.525349,2023-03-20
KRW-CHZ,2023-03-13T00:00:00,2023-03-13T09:00:00,153.0,168.0,147.0,162.0,1679270370520,78724719881.44293,498264294.21361464,2023-03-13
KRW-CHZ,2023-03-06T00:00:00,2023-03-06T09:00:00,164.0,166.0,137.0,152.0,1678665598205,41981103516.96603,277663423.49235255,2023-03-06
KRW-CHZ,2023-02-27T00:00:00,2023-02-27T09:00:00,181.0,192.0,160.0,164.0,1678060776618,83992280697.33258,472823779.6978686,2023-02-27
KRW-CHZ,2023-02-20T00:00:00,2023-02-20T09:00:00,183.0,190.0,175.0,181.0,1677455985699,90850513125.79994,497689818.99482673,2023-02-20
KRW-CHZ,2023-02-13T00:00:00,2023-02-13T09:00:00,173.0,187.0,162.0,183.0,1676851187628,95931908070.08609,541551826.1223714,2023-02-13
KRW-CHZ,2023-02-06T00:00:00,2023-02-06T09:00:00,177.0,228.0,171.0,173.0,1676246375399,301005393125.68726,1520364065.5328898,2023-02-06
KRW-CHZ,2023-01-30T00:00:00,2023-01-30T09:00:00,179.0,188.0,161.0,177.0,1675641599978,130534551877.58026,742939366.6174388,2023-01-30
KRW-CHZ,2023-01-23T00:00:00,2023-01-23T09:00:00,171.0,194.0,160.0,178.0,1675036797994,163710955960.1938,931916492.5695753,2023-01-23
KRW-CHZ,2023-01-16T00:00:00,2023-01-16T09:00:00,175.0,178.0,153.0,170.0,1674431999854,104807251497.19301,630216141.6769137,2023-01-16
KRW-CHZ,2023-01-09T00:00:00,2023-01-09T09:00:00,142.0,179.0,140.0,174.0,1673827193918,182944255556.9139,1162332844.4487176,2023-01-09
KRW-CHZ,2023-01-02T00:00:00,2023-01-02T09:00:00,129.0,152.0,126.0,142.0,1673222397682,114920569654.13521,820012839.1856111,2023-01-02
KRW-CHZ,2022-12-26T00:00:00,2022-12-26T09:00:00,144.0,144.0,123.0,128.0,1672617591609,34733861008.73334,262368197.22485292,2022-12-26
KRW-CHZ,2022-12-19T00:00:00,2022-12-19T09:00:00,157.0,159.0,138.0,143.0,1672012791819,54961680309.1933,377174666.60764366,2022-12-19
KRW-CHZ,2022-12-12T00:00:00,2022-12-12T09:00:00,192.0,196.0,148.0,157.0,1671407996413,148182234224.3241,846982751.6502588,2022-12-12
KRW-CHZ,2022-12-05T00:00:00,2022-12-05T09:00:00,224.0,229.0,188.0,192.0,1670803196729,89121276889.00284,426267228.8603706,2022-12-05
KRW-CHZ,2022-11-28T00:00:00,2022-11-28T09:00:00,234.0,236.0,208.0,223.0,1670198398562,226278759241.81296,1012082374.4162419,2022-11-28
KRW-CHZ,2022-11-21T00:00:00,2022-11-21T09:00:00,276.0,284.0,231.0,234.0,1669593597497,588785865560.7565,2316471235.6498,2022-11-21
KRW-CHZ,2022-11-14T00:00:00,2022-11-14T09:00:00,277.0,381.0,240.0,276.0,1668988797728,1757729569226.845,5648205539.473028,2022-11-14
KRW-CHZ,2022-11-07T00:00:00,2022-11-07T09:00:00,384.0,415.0,210.0,277.0,1668383999128,2080421383298.2334,6948459588.90759,2022-11-07
KRW-CHZ,2022-10-31T00:00:00,2022-10-31T09:00:00,318.0,411.0,303.0,385.0,1667779199730,777609790541.1505,2254385481.579506,2022-10-31
KRW-CHZ,2022-10-24T00:00:00,2022-10-24T09:00:00,266.0,326.0,257.0,319.0,1667174400018,277551656818.57477,952243067.2009279,2022-10-24
KRW-CHZ,2022-10-17T00:00:00,2022-10-17T09:00:00,261.0,272.0,237.0,265.0,1666569599760,123530198381.55858,479220860.93838936,2022-10-17
KRW-CHZ,2022-10-10T00:00:00,2022-10-10T09:00:00,306.0,310.0,237.0,261.0,1665964795066,152114821505.435,568058817.432591,2022-10-10
KRW-CHZ,2022-10-03T00:00:00,2022-10-03T09:00:00,316.0,321.0,301.0,306.0,1665359990222,174148421547.62024,559927130.1035004,2022-10-03
KRW-CHZ,2022-09-26T00:00:00,2022-09-26T09:00:00,369.0,386.0,314.0,316.0,1664755200052,221284814587.14877,630556141.7084826,2022-09-26
KRW-CHZ,2022-09-19T00:00:00,2022-09-19T09:00:00,327.0,403.0,314.0,370.0,1664150399905,591563474989.1556,1659533411.8666513,2022-09-19
KRW-CHZ,2022-09-12T00:00:00,2022-09-12T09:00:00,284.0,348.0,251.0,327.0,1663545600032,349907813429.7345,1183437623.887086,2022-09-12
KRW-CHZ,2022-09-05T00:00:00,2022-09-05T09:00:00,294.0,303.0,256.0,285.0,1662940790506,245814397093.4553,885399310.1469104,2022-09-05
KRW-CHZ,2022-08-29T00:00:00,2022-08-29T09:00:00,291.0,313.0,268.0,294.0,1662335994343,294351944173.35834,1006247710.1345298,2022-08-29
KRW-CHZ,2022-08-22T00:00:00,2022-08-22T09:00:00,257.0,359.0,251.0,291.0,1661731194120,762364850347.5334,2446356476.2948117,2022-08-22
KRW-CHZ,2022-08-15T00:00:00,2022-08-15T09:00:00,243.0,312.0,232.0,257.0,1661126399865,562155812173.4587,2044517951.139938,2022-08-15
KRW-CHZ,2022-08-08T00:00:00,2022-08-08T09:00:00,200.0,255.0,189.0,243.0,1660521599857,177996143914.50497,784542043.9317278,2022-08-08
KRW-CHZ,2022-08-01T00:00:00,2022-08-01T09:00:00,162.0,215.0,160.0,200.0,1659916788945,330120749612.35034,1691107028.1176078,2022-08-01
KRW-CHZ,2022-07-25T00:00:00,2022-07-25T09:00:00,144.0,181.0,133.0,162.0,1659311991383,85731424576.27098,529205067.17196757,2022-07-25
KRW-CHZ,2022-07-18T00:00:00,2022-07-18T09:00:00,140.0,158.0,138.0,143.0,1658707200044,73803279209.91592,498782188.3417737,2022-07-18
KRW-CHZ,2022-07-11T00:00:00,2022-07-11T09:00:00,138.0,148.0,125.0,140.0,1658102396662,136872291911.89752,979776804.9469949,2022-07-11
KRW-CHZ,2022-07-04T00:00:00,2022-07-04T09:00:00,129.0,144.0,127.0,138.0,1657497594196,59363549148.53777,440395256.23415107,2022-07-04
KRW-CHZ,2022-06-27T00:00:00,2022-06-27T09:00:00,129.0,162.0,120.0,129.0,1656892776945,199089636926.21075,1394024313.8965907,2022-06-27
KRW-CHZ,2022-06-20T00:00:00,2022-06-20T09:00:00,121.0,138.0,114.0,129.0,1656287999839,71518183504.17227,563147615.5081637,2022-06-20
KRW-CHZ,2022-06-13T00:00:00,2022-06-13T09:00:00,127.0,135.0,110.0,120.0,1655683177932,69281843093.5267,571921748.2305725,2022-06-13
KRW-CHZ,2022-06-06T00:00:00,2022-06-06T09:00:00,161.0,176.0,122.0,127.0,1655078398393,65429017427.1322,420745198.3423123,2022-06-06
KRW-CHZ,2022-05-30T00:00:00,2022-05-30T09:00:00,144.0,167.0,142.0,161.0,1654473582698,104601696900.9428,665568657.6439418,2022-05-30
KRW-CHZ,2022-05-23T00:00:00,2022-05-23T09:00:00,159.0,164.0,135.0,144.0,1653868797271,59225137519.058525,395312057.26903754,2022-05-23
KRW-CHZ,2022-05-16T00:00:00,2022-05-16T09:00:00,164.0,190.0,141.0,159.0,1653263998126,167533106296.10812,1036328794.1143318,2022-05-16
