market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CRO,2023-10-09T00:00:00,2023-10-09T09:00:00,68.5,72.1,66.1,67.8,1697077266484,8670297758.189112,127342392.25017764,2023-10-09
KRW-CRO,2023-10-02T00:00:00,2023-10-02T09:00:00,70.2,70.5,67.4,68.6,1696809592668,7661690697.375342,111532465.55291854,2023-10-02
KRW-CRO,2023-09-25T00:00:00,2023-09-25T09:00:00,68.6,70.2,67.7,70.2,1696204782542,8922948220.922812,130207645.16581129,2023-09-25
KRW-CRO,2023-09-18T00:00:00,2023-09-18T09:00:00,69.1,74.6,67.6,68.6,1695599990905,18668727783.95451,268093485.17807418,2023-09-18
KRW-CRO,2023-09-11T00:00:00,2023-09-11T09:00:00,71.2,72.7,67.8,69.1,1694995178015,9288503683.875856,133736186.43091032,2023-09-11
KRW-CRO,2023-09-04T00:00:00,2023-09-04T09:00:00,69.2,73.5,67.3,71.2,1694390383010,11230418564.934925,159306190.33170676,2023-09-04
KRW-CRO,2023-08-28T00:00:00,2023-08-28T09:00:00,69.1,75.0,67.6,69.2,1693785557421,20459750473.753296,287317788.7482706,2023-08-28
KRW-CRO,2023-08-21T00:00:00,2023-08-21T09:00:00,71.6,72.7,69.0,69.1,1693180799291,3697317503.69384,52464044.63868849,2023-08-21
KRW-CRO,2023-08-14T00:00:00,2023-08-14T09:00:00,76.2,79.9,69.6,71.7,1692575977609,17812764148.704514,238667161.83681318,2023-08-14
KRW-CRO,2023-08-07T00:00:00,2023-08-07T09:00:00,77.5,78.1,75.8,76.2,1691971199725,6428409247.915483,83867119.75396816,2023-08-07
KRW-CRO,2023-07-31T00:00:00,2023-07-31T09:00:00,76.4,81.7,75.7,77.6,1691366373451,26328638148.499393,338073642.95928645,2023-07-31
KRW-CRO,2023-07-24T00:00:00,2023-07-24T09:00:00,78.4,82.1,75.2,76.8,1690761576173,22740766245.314636,293457633.06963634,2023-07-24
KRW-CRO,2023-07-17T00:00:00,2023-07-17T09:00:00,77.6,81.4,75.8,78.4,1690156761627,25768459753.713306,327705570.1848576,2023-07-17
KRW-CRO,2023-07-10T00:00:00,2023-07-10T09:00:00,74.4,80.5,73.1,77.4,1689551966769,18397424721.04655,241178217.44103256,2023-07-10
KRW-CRO,2023-07-03T00:00:00,2023-07-03T09:00:00,75.0,77.7,74.2,74.4,1688947174274,10450920640.203436,138073660.23515636,2023-07-03
KRW-CRO,2023-06-26T00:00:00,2023-06-26T09:00:00,77.0,77.7,72.4,75.0,1688342374786,11048580530.470684,147296133.2484831,2023-06-26
KRW-CRO,2023-06-19T00:00:00,2023-06-19T09:00:00,70.1,81.7,69.8,77.3,1687737162984,9967717715.15472,130098135.36587134,2023-06-19
KRW-CRO,2023-06-12T00:00:00,2023-06-12T09:00:00,73.0,73.1,66.9,69.8,1687132768050,5719824067.4946165,82291689.24095422,2023-06-12
KRW-CRO,2023-06-05T00:00:00,2023-06-05T09:00:00,80.4,82.0,66.8,73.0,1686527992280,17708075711.33617,228802428.8340428,2023-06-05
KRW-CRO,2023-05-29T00:00:00,2023-05-29T09:00:00,81.4,83.5,77.3,80.4,1685923190637,11748262537.750507,146015228.0653597,2023-05-29
KRW-CRO,2023-05-22T00:00:00,2023-05-22T09:00:00,83.2,84.9,79.0,81.4,1685318359616,7752816143.370808,94526519.3988043,2023-05-22
KRW-CRO,2023-05-15T00:00:00,2023-05-15T09:00:00,86.4,88.7,83.0,83.1,1684713559470,17614556855.78303,204694263.2063834,2023-05-15
KRW-CRO,2023-05-08T00:00:00,2023-05-08T09:00:00,91.7,92.6,82.8,86.2,1684108799600,30519594308.989452,346419999.38048977,2023-05-08
KRW-CRO,2023-05-01T00:00:00,2023-05-01T09:00:00,97.5,101.0,90.0,91.7,1683503998890,58030468409.94108,601719499.9521058,2023-05-01
KRW-CRO,2023-04-24T00:00:00,2023-04-24T09:00:00,90.7,114.0,87.3,97.5,1682899190599,242491735994.91855,2398570732.244641,2023-04-24
KRW-CRO,2023-04-17T00:00:00,2023-04-17T09:00:00,94.7,96.9,89.3,90.7,1682294320199,21791510701.11499,235334033.787496,2023-04-17
KRW-CRO,2023-04-10T00:00:00,2023-04-10T09:00:00,89.8,95.3,89.2,94.7,1681689571237,17733664093.31787,193579757.3616826,2023-04-10
KRW-CRO,2023-04-03T00:00:00,2023-04-03T09:00:00,89.8,94.0,88.6,89.9,1681084786717,23328774376.878178,256898637.56225026,2023-04-03
KRW-CRO,2023-03-27T00:00:00,2023-03-27T09:00:00,91.8,93.2,87.0,89.8,1680479977954,18046566698.696716,199203405.00581223,2023-03-27
KRW-CRO,2023-03-20T00:00:00,2023-03-20T09:00:00,95.6,103.0,89.6,91.9,1679875185930,43216019186.0209,446698679.4580283,2023-03-20
KRW-CRO,2023-03-13T00:00:00,2023-03-13T09:00:00,90.3,98.8,87.5,95.6,1679270300422,23064494795.906124,242583128.61779115,2023-03-13
KRW-CRO,2023-03-06T00:00:00,2023-03-06T09:00:00,98.2,98.6,81.6,90.0,1678665584407,15053880166.752691,168479776.0942871,2023-03-06
KRW-CRO,2023-02-27T00:00:00,2023-02-27T09:00:00,106.0,108.0,95.4,98.2,1678060799932,24847999159.810528,243063205.85321572,2023-02-27
KRW-CRO,2023-02-20T00:00:00,2023-02-20T09:00:00,104.0,125.0,102.0,107.0,1677455973978,105705138043.2016,948584155.5432328,2023-02-20
KRW-CRO,2023-02-13T00:00:00,2023-02-13T09:00:00,98.8,106.0,93.6,103.0,1676851195716,44631021197.73099,442062269.9254316,2023-02-13
KRW-CRO,2023-02-06T00:00:00,2023-02-06T09:00:00,102.0,110.0,97.6,98.8,1676246384716,55990149705.50559,542762710.9441322,2023-02-06
KRW-CRO,2023-01-30T00:00:00,2023-01-30T09:00:00,103.0,108.0,95.8,103.0,1675641599944,52882713193.64027,519227619.69769245,2023-01-30
KRW-CRO,2023-01-23T00:00:00,2023-01-23T09:00:00,97.5,104.0,93.9,103.0,1675036784364,63346558509.27429,630891526.6962975,2023-01-23
KRW-CRO,2023-01-16T00:00:00,2023-01-16T09:00:00,92.2,108.0,87.5,97.6,1674431990316,119503177750.0925,1221217263.160932,2023-01-16
KRW-CRO,2023-01-09T00:00:00,2023-01-09T09:00:00,78.9,99.6,78.2,92.2,1673827199807,51594640035.702896,578657121.0981302,2023-01-09
KRW-CRO,2023-01-02T00:00:00,2023-01-02T09:00:00,72.2,81.3,71.2,78.9,1673222388581,11675607061.49769,152589994.22181046,2023-01-02
KRW-CRO,2022-12-26T00:00:00,2022-12-26T09:00:00,77.4,78.6,70.5,72.3,1672617594312,10468650468.606575,140417937.2556594,2022-12-26
KRW-CRO,2022-12-19T00:00:00,2022-12-19T09:00:00,75.6,79.6,71.6,77.4,1672012791652,10510224920.53202,139157779.76593712,2022-12-19
KRW-CRO,2022-12-12T00:00:00,2022-12-12T09:00:00,84.3,85.0,71.7,75.6,1671407925245,19785246024.878124,245813080.24499717,2022-12-12
KRW-CRO,2022-12-05T00:00:00,2022-12-05T09:00:00,86.7,99.4,82.1,84.2,1670803165794,172547814969.7999,1852722671.598242,2022-12-05
KRW-CRO,2022-11-28T00:00:00,2022-11-28T09:00:00,88.6,89.1,85.0,86.6,1670198380530,9860118070.579334,113286845.00111955,2022-11-28
KRW-CRO,2022-11-21T00:00:00,2022-11-21T09:00:00,89.9,96.0,86.0,88.6,1669593598486,34692672575.91583,383393739.2204624,2022-11-21
KRW-CRO,2022-11-14T00:00:00,2022-11-14T09:00:00,86.9,105.0,72.3,90.1,1668988798302,303310199439.2821,3225569438.7492456,2022-11-14
KRW-CRO,2022-11-07T00:00:00,2022-11-07T09:00:00,166.0,180.0,78.7,86.9,1668383999585,246573936999.29477,2162920362.4649796,2022-11-07
KRW-CRO,2022-10-31T00:00:00,2022-10-31T09:00:00,162.0,177.0,151.0,166.0,1667779191690,88073408732.61403,533905556.02843803,2022-10-31
KRW-CRO,2022-10-24T00:00:00,2022-10-24T09:00:00,154.0,167.0,149.0,162.0,1667174399976,40070096933.896286,253421652.34092063,2022-10-24
KRW-CRO,2022-10-17T00:00:00,2022-10-17T09:00:00,150.0,161.0,145.0,154.0,1666569521503,19196646775.693268,124992182.65420438,2022-10-17
KRW-CRO,2022-10-10T00:00:00,2022-10-10T09:00:00,152.0,154.0,138.0,150.0,1665964610267,20807350857.28473,140976964.7032669,2022-10-10
KRW-CRO,2022-10-03T00:00:00,2022-10-03T09:00:00,159.0,161.0,151.0,152.0,1665359940850,22792764169.43695,145983316.65123925,2022-10-03
KRW-CRO,2022-09-26T00:00:00,2022-09-26T09:00:00,167.0,169.0,155.0,160.0,1664755099173,42757262252.37293,265052927.77147692,2022-09-26
KRW-CRO,2022-09-19T00:00:00,2022-09-19T09:00:00,145.0,184.0,142.0,167.0,1664150396813,137684345773.2631,817261526.6802621,2022-09-19
KRW-CRO,2022-09-12T00:00:00,2022-09-12T09:00:00,170.0,172.0,142.0,145.0,1663545566269,19062648444.163643,121523380.96356802,2022-09-12
