market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CVC,2023-10-09T00:00:00,2023-10-09T09:00:00,104.0,104.0,98.0,98.6,1697076672253,3081113625.278407,30727161.37513067,2023-10-09
KRW-CVC,2023-10-02T00:00:00,2023-10-02T09:00:00,108.0,115.0,101.0,104.0,1696809569038,22858390600.898373,212937521.80787122,2023-10-02
KRW-CVC,2023-09-25T00:00:00,2023-09-25T09:00:00,101.0,108.0,100.0,107.0,1696204757339,4362262077.265169,41724786.41230279,2023-09-25
KRW-CVC,2023-09-18T00:00:00,2023-09-18T09:00:00,96.5,109.0,95.1,101.0,1695599956326,8240882584.692515,79852767.23584872,2023-09-18
KRW-CVC,2023-09-11T00:00:00,2023-09-11T09:00:00,92.7,102.0,88.2,96.2,1694995096600,5636402795.618577,58905758.6388382,2023-09-11
KRW-CVC,2023-09-04T00:00:00,2023-09-04T09:00:00,94.2,97.7,92.4,92.7,1694390376786,3023647915.952575,32004382.19865303,2023-09-04
KRW-CVC,2023-08-28T00:00:00,2023-08-28T09:00:00,98.7,100.0,92.3,94.2,1693785553841,5754017359.583098,60376877.95564254,2023-08-28
KRW-CVC,2023-08-21T00:00:00,2023-08-21T09:00:00,100.0,101.0,94.6,98.7,1693180666938,4597119335.068782,47101519.08498343,2023-08-21
KRW-CVC,2023-08-14T00:00:00,2023-08-14T09:00:00,116.0,118.0,94.5,99.8,1692575592640,10470687102.932722,98114574.10076693,2023-08-14
KRW-CVC,2023-08-07T00:00:00,2023-08-07T09:00:00,115.0,118.0,110.0,116.0,1691971040974,8191657682.181594,71533022.64254446,2023-08-07
KRW-CVC,2023-07-31T00:00:00,2023-07-31T09:00:00,113.0,118.0,110.0,115.0,1691366194003,9649342394.516502,84780052.37521759,2023-07-31
KRW-CVC,2023-07-24T00:00:00,2023-07-24T09:00:00,116.0,118.0,109.0,112.0,1690761581225,11699732447.1535,103773074.21586345,2023-07-24
KRW-CVC,2023-07-17T00:00:00,2023-07-17T09:00:00,115.0,119.0,110.0,117.0,1690156797776,9039777066.356262,79293282.52671356,2023-07-17
