market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-DKA,2023-10-09T00:00:00,2023-10-09T09:00:00,37.7,38.6,34.2,35.0,1697077016854,10783406022.821476,300048823.3228669,2023-10-09
KRW-DKA,2023-10-02T00:00:00,2023-10-02T09:00:00,36.8,38.6,34.6,37.7,1696809597517,24191968547.31555,662669424.8777385,2023-10-02
KRW-DKA,2023-09-25T00:00:00,2023-09-25T09:00:00,34.2,39.5,33.3,36.9,1696204774792,28290654215.83129,771878026.3356649,2023-09-25
KRW-DKA,2023-09-18T00:00:00,2023-09-18T09:00:00,33.0,36.1,32.3,34.0,1695599997456,12398253475.691769,362135435.2962891,2023-09-18
KRW-DKA,2023-09-11T00:00:00,2023-09-11T09:00:00,32.5,34.7,30.5,33.0,1694995177147,12450062058.832602,379951894.1859391,2023-09-11
KRW-DKA,2023-09-04T00:00:00,2023-09-04T09:00:00,32.8,33.6,32.1,32.5,1694390310790,4872232549.802158,148309350.51468617,2023-09-04
KRW-DKA,2023-08-28T00:00:00,2023-08-28T09:00:00,34.7,35.0,31.5,32.8,1693785576747,7090490727.761255,211674121.45774534,2023-08-28
KRW-DKA,2023-08-21T00:00:00,2023-08-21T09:00:00,35.1,38.8,33.4,34.6,1693180798925,47477532375.5004,1305396825.3983538,2023-08-21
KRW-DKA,2023-08-14T00:00:00,2023-08-14T09:00:00,42.2,42.2,32.3,35.1,1692575998891,13936719567.271072,372827134.6881546,2023-08-14
KRW-DKA,2023-08-07T00:00:00,2023-08-07T09:00:00,41.7,44.1,40.6,42.1,1691971162610,35785818566.60128,841669762.88137,2023-08-07
KRW-DKA,2023-07-31T00:00:00,2023-07-31T09:00:00,40.7,45.4,39.8,41.8,1691366375515,51694364072.97697,1219663540.504124,2023-07-31
KRW-DKA,2023-07-24T00:00:00,2023-07-24T09:00:00,44.0,44.1,38.4,40.7,1690761585131,35619842442.958115,866897951.7996316,2023-07-24
KRW-DKA,2023-07-17T00:00:00,2023-07-17T09:00:00,39.7,44.3,37.2,43.9,1690156799342,42080666053.14239,1025155963.7384734,2023-07-17
KRW-DKA,2023-07-10T00:00:00,2023-07-10T09:00:00,36.6,41.8,35.6,39.8,1689551998169,38261460746.83249,976824127.9061005,2023-07-10
KRW-DKA,2023-07-03T00:00:00,2023-07-03T09:00:00,37.2,42.0,35.8,36.6,1688947189634,22334045387.50319,577418299.1930315,2023-07-03
KRW-DKA,2023-06-26T00:00:00,2023-06-26T09:00:00,37.7,41.8,34.8,37.3,1688342353821,32825613181.836514,861008565.9037017,2023-06-26
KRW-DKA,2023-06-19T00:00:00,2023-06-19T09:00:00,32.6,40.8,32.1,37.5,1687737512442,15323071382.214447,417374054.050577,2023-06-19
KRW-DKA,2023-06-12T00:00:00,2023-06-12T09:00:00,33.6,34.5,31.3,32.6,1687132669329,6002414687.301893,181619081.22347182,2023-06-12
KRW-DKA,2023-06-05T00:00:00,2023-06-05T09:00:00,40.2,42.4,31.5,33.6,1686527942519,15436256388.87171,404276169.8199095,2023-06-05
KRW-DKA,2023-05-29T00:00:00,2023-05-29T09:00:00,41.2,41.5,39.0,40.0,1685923169919,2670263493.8495092,66318536.72809767,2023-05-29
KRW-DKA,2023-05-22T00:00:00,2023-05-22T09:00:00,41.9,41.9,39.3,41.3,1685318391924,3960710888.5114703,97436615.48411293,2023-05-22
KRW-DKA,2023-05-15T00:00:00,2023-05-15T09:00:00,42.4,43.7,41.6,41.7,1684713585212,4533105467.052275,106128107.75269885,2023-05-15
KRW-DKA,2023-05-08T00:00:00,2023-05-08T09:00:00,45.8,46.0,40.6,42.4,1684108799691,11773062637.797462,269238068.255266,2023-05-08
KRW-DKA,2023-05-01T00:00:00,2023-05-01T09:00:00,48.0,48.4,45.5,45.8,1683503864858,15521930386.927494,333013684.30635315,2023-05-01
KRW-DKA,2023-04-24T00:00:00,2023-04-24T09:00:00,48.3,51.0,45.8,48.0,1682899193448,48619327887.86294,1002328529.7586318,2023-04-24
KRW-DKA,2023-04-17T00:00:00,2023-04-17T09:00:00,50.5,50.6,46.1,48.3,1682294399147,32515828754.910686,666812524.7465595,2023-04-17
KRW-DKA,2023-04-10T00:00:00,2023-04-10T09:00:00,52.0,52.1,48.8,50.5,1681689596287,44953154190.75,896488846.5741404,2023-04-10
KRW-DKA,2023-04-03T00:00:00,2023-04-03T09:00:00,48.3,71.9,47.0,52.0,1681084798654,611162613287.293,9894039827.18342,2023-04-03
KRW-DKA,2023-03-27T00:00:00,2023-03-27T09:00:00,49.4,52.2,45.2,48.6,1680479988058,18280857703.563873,374133251.0224454,2023-03-27
KRW-DKA,2023-03-20T00:00:00,2023-03-20T09:00:00,51.4,51.5,46.8,49.4,1679875198922,24528965457.564022,496709139.2548779,2023-03-20
KRW-DKA,2023-03-13T00:00:00,2023-03-13T09:00:00,44.6,53.1,42.7,51.5,1679270395919,55257984340.293495,1115836124.270498,2023-03-13
KRW-DKA,2023-03-06T00:00:00,2023-03-06T09:00:00,52.6,52.6,40.3,44.6,1678665595331,26281033103.749233,569053394.1252475,2023-03-06
KRW-DKA,2023-02-27T00:00:00,2023-02-27T09:00:00,57.0,63.3,48.9,52.6,1678060799265,125193933813.83551,2193690182.9805274,2023-02-27
KRW-DKA,2023-02-20T00:00:00,2023-02-20T09:00:00,54.6,63.5,52.3,57.1,1677455974030,156378318411.29758,2721229216.3705335,2023-02-20
KRW-DKA,2023-02-13T00:00:00,2023-02-13T09:00:00,48.6,55.3,43.9,54.7,1676851198047,56279642182.04005,1100598147.486872,2023-02-13
KRW-DKA,2023-02-06T00:00:00,2023-02-06T09:00:00,51.1,53.8,48.3,48.7,1676246393249,43812254350.02498,859150722.4350932,2023-02-06
KRW-DKA,2023-01-30T00:00:00,2023-01-30T09:00:00,47.1,62.2,42.3,51.1,1675641584656,168876920382.05063,3220304924.4204993,2023-01-30
KRW-DKA,2023-01-23T00:00:00,2023-01-23T09:00:00,45.8,51.4,43.1,47.2,1675036796886,85841258734.3952,1824396883.7138991,2023-01-23
KRW-DKA,2023-01-16T00:00:00,2023-01-16T09:00:00,42.7,56.9,40.6,45.9,1674431998620,268933633556.12775,5544317432.945726,2023-01-16
KRW-DKA,2023-01-09T00:00:00,2023-01-09T09:00:00,35.9,47.7,35.4,42.9,1673827180485,97235961299.8799,2368308915.842426,2023-01-09
KRW-DKA,2023-01-02T00:00:00,2023-01-02T09:00:00,33.2,38.6,32.8,35.9,1673222396459,53854892802.509384,1504763855.0389102,2023-01-02
KRW-DKA,2022-12-26T00:00:00,2022-12-26T09:00:00,37.1,37.8,31.2,33.2,1672617585684,12374592947.962452,364390039.0647323,2022-12-26
KRW-DKA,2022-12-19T00:00:00,2022-12-19T09:00:00,37.5,39.7,33.1,37.1,1672012798766,48375540981.26581,1288925484.118043,2022-12-19
KRW-DKA,2022-12-12T00:00:00,2022-12-12T09:00:00,41.5,43.2,36.0,37.4,1671407998718,57577276445.2248,1430378476.879758,2022-12-12
KRW-DKA,2022-12-05T00:00:00,2022-12-05T09:00:00,45.3,45.4,39.8,41.5,1670803199146,42348322920.32947,995215008.5425493,2022-12-05
KRW-DKA,2022-11-28T00:00:00,2022-11-28T09:00:00,43.6,49.3,40.2,45.3,1670198397791,191160348598.6773,4201449058.922825,2022-11-28
KRW-DKA,2022-11-21T00:00:00,2022-11-21T09:00:00,35.4,70.9,34.0,43.6,1669593599068,681047345615.1185,12947409599.07948,2022-11-21
KRW-DKA,2022-11-14T00:00:00,2022-11-14T09:00:00,33.8,44.4,30.3,35.4,1668988781092,96026360786.06403,2452992159.517007,2022-11-14
KRW-DKA,2022-11-07T00:00:00,2022-11-07T09:00:00,53.6,57.3,31.9,33.8,1668383973063,37505372862.15976,884521897.0742644,2022-11-07
KRW-DKA,2022-10-31T00:00:00,2022-10-31T09:00:00,53.7,55.9,52.2,53.5,1667779095103,8569632390.238098,158973676.27021348,2022-10-31
KRW-DKA,2022-10-24T00:00:00,2022-10-24T09:00:00,52.3,57.2,51.3,53.7,1667174392012,18369671943.932266,338642962.7467692,2022-10-24
KRW-DKA,2022-10-17T00:00:00,2022-10-17T09:00:00,53.6,57.4,50.2,52.3,1666569570246,15491324021.048687,286628669.5235717,2022-10-17
KRW-DKA,2022-10-10T00:00:00,2022-10-10T09:00:00,57.6,58.4,50.1,53.6,1665964785098,7666215027.332684,140229758.18905234,2022-10-10
KRW-DKA,2022-10-03T00:00:00,2022-10-03T09:00:00,57.2,61.7,56.5,57.8,1665359951321,16215476029.512505,278725786.0325498,2022-10-03
KRW-DKA,2022-09-26T00:00:00,2022-09-26T09:00:00,59.0,59.8,56.2,57.3,1664755002844,14101879458.41969,243478028.6087885,2022-09-26
KRW-DKA,2022-09-19T00:00:00,2022-09-19T09:00:00,56.9,62.0,55.0,59.0,1664150374971,21737003695.390488,371202219.28836536,2022-09-19
KRW-DKA,2022-09-12T00:00:00,2022-09-12T09:00:00,64.2,67.3,56.5,56.7,1663545551519,30721535948.092228,490668776.98071325,2022-09-12
KRW-DKA,2022-09-05T00:00:00,2022-09-05T09:00:00,61.9,65.2,57.0,64.2,1662940796427,23941433577.405968,385948249.7048523,2022-09-05
KRW-DKA,2022-08-29T00:00:00,2022-08-29T09:00:00,60.1,74.9,60.0,61.8,1662335971783,175545830159.7555,2609489575.663911,2022-08-29
KRW-DKA,2022-08-22T00:00:00,2022-08-22T09:00:00,63.6,69.9,60.1,60.1,1661731192338,47975685969.07119,734126411.0953703,2022-08-22
KRW-DKA,2022-08-15T00:00:00,2022-08-15T09:00:00,75.0,75.0,61.1,63.7,1661126393137,22446043422.168144,326513419.35554945,2022-08-15
KRW-DKA,2022-08-08T00:00:00,2022-08-08T09:00:00,72.1,79.8,67.3,75.0,1660521597186,136854774811.2739,1867366363.9403856,2022-08-08
KRW-DKA,2022-08-01T00:00:00,2022-08-01T09:00:00,65.6,87.2,63.8,72.0,1659916799339,327475023846.07,4185960209.3947334,2022-08-01
KRW-DKA,2022-07-25T00:00:00,2022-07-25T09:00:00,62.8,70.2,58.0,65.3,1659311989199,23950307862.901028,376899583.2518679,2022-07-25
KRW-DKA,2022-07-18T00:00:00,2022-07-18T09:00:00,60.4,66.9,59.7,62.8,1658707158673,24923151881.663754,395494556.77366394,2022-07-18
KRW-DKA,2022-07-11T00:00:00,2022-07-11T09:00:00,60.9,64.0,53.9,60.3,1658102374736,45493672293.88515,753509250.7578754,2022-07-11
KRW-DKA,2022-07-04T00:00:00,2022-07-04T09:00:00,60.2,68.3,58.0,60.8,1657497595020,53232190196.742424,841622321.2926223,2022-07-04
KRW-DKA,2022-06-27T00:00:00,2022-06-27T09:00:00,63.2,65.4,54.8,60.4,1656892794385,28189092457.327423,463028709.94677615,2022-06-27
KRW-DKA,2022-06-20T00:00:00,2022-06-20T09:00:00,60.8,69.8,57.6,63.4,1656287998358,48383879064.599396,750643552.4809971,2022-06-20
KRW-DKA,2022-06-13T00:00:00,2022-06-13T09:00:00,65.4,69.7,48.7,61.0,1655683182566,46819056164.630165,782576602.9877319,2022-06-13
KRW-DKA,2022-06-06T00:00:00,2022-06-06T09:00:00,82.9,85.2,62.3,65.6,1655078396749,54246635502.91532,705132085.436657,2022-06-06
KRW-DKA,2022-05-30T00:00:00,2022-05-30T09:00:00,70.5,101.0,70.0,82.9,1654473593422,365775246942.8406,4275953097.680794,2022-05-30
KRW-DKA,2022-05-23T00:00:00,2022-05-23T09:00:00,85.2,86.8,66.1,70.7,1653868799529,143260851281.8569,1842101949.2306724,2022-05-23
KRW-DKA,2022-05-16T00:00:00,2022-05-16T09:00:00,75.4,99.8,60.0,85.3,1653263999791,261291522510.83682,2975005886.167031,2022-05-16
KRW-DKA,2022-05-09T00:00:00,2022-05-09T09:00:00,92.9,102.0,54.8,75.4,1652659178265,32000694755.589653,399449396.9335663,2022-05-09
KRW-DKA,2022-05-02T00:00:00,2022-05-02T09:00:00,104.0,110.0,92.5,92.9,1652054329691,21464424160.764736,208760347.87001628,2022-05-02
KRW-DKA,2022-04-25T00:00:00,2022-04-25T09:00:00,116.0,121.0,96.3,104.0,1651449496340,22991600798.20299,206166447.8145862,2022-04-25
KRW-DKA,2022-04-18T00:00:00,2022-04-18T09:00:00,117.0,125.0,110.0,117.0,1650844762798,27858362899.803135,235297696.84888646,2022-04-18
KRW-DKA,2022-04-11T00:00:00,2022-04-11T09:00:00,124.0,131.0,112.0,117.0,1650239953693,24216423420.296513,202639986.62616417,2022-04-11
KRW-DKA,2022-04-04T00:00:00,2022-04-04T09:00:00,150.0,156.0,121.0,124.0,1649635198790,58283247793.4917,430652477.67697114,2022-04-04
KRW-DKA,2022-03-28T00:00:00,2022-03-28T09:00:00,132.0,163.0,130.0,151.0,1649030398663,161275061158.49542,1115553681.2636497,2022-03-28
KRW-DKA,2022-03-21T00:00:00,2022-03-21T09:00:00,115.0,134.0,113.0,132.0,1648425598850,31932192016.258064,258628298.2856635,2022-03-21
KRW-DKA,2022-03-14T00:00:00,2022-03-14T09:00:00,111.0,117.0,108.0,116.0,1647820798530,16168310716.094204,142974411.68376666,2022-03-14
KRW-DKA,2022-03-07T00:00:00,2022-03-07T09:00:00,108.0,116.0,106.0,110.0,1647215986499,19525992232.96832,175290605.8691336,2022-03-07
KRW-DKA,2022-02-28T00:00:00,2022-02-28T09:00:00,102.0,116.0,101.0,108.0,1646611198857,33920745247.42966,308402141.52495635,2022-02-28
KRW-DKA,2022-02-21T00:00:00,2022-02-21T09:00:00,104.0,111.0,90.5,103.0,1646006391318,43115712042.24749,419607896.3701533,2022-02-21
KRW-DKA,2022-02-14T00:00:00,2022-02-14T09:00:00,115.0,121.0,102.0,104.0,1645401572284,26192636078.03521,231130046.56740227,2022-02-14
KRW-DKA,2022-02-07T00:00:00,2022-02-07T09:00:00,124.0,132.0,108.0,116.0,1644796799181,40498780367.42659,330032952.2739281,2022-02-07
KRW-DKA,2022-01-31T00:00:00,2022-01-31T09:00:00,110.0,126.0,103.0,124.0,1644191999303,36708889044.20458,319571290.02935326,2022-01-31
KRW-DKA,2022-01-24T00:00:00,2022-01-24T09:00:00,102.0,115.0,87.0,110.0,1643587165229,28982197503.77742,280576709.2475374,2022-01-24
