market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ELF,2023-10-09T00:00:00,2023-10-09T09:00:00,463.0,476.0,449.0,454.0,1697076822221,10111820131.849262,21988208.98570174,2023-10-09
KRW-ELF,2023-10-02T00:00:00,2023-10-02T09:00:00,491.0,494.0,456.0,462.0,1696809329498,10422478401.26623,22072942.95994226,2023-10-02
KRW-ELF,2023-09-25T00:00:00,2023-09-25T09:00:00,496.0,509.0,483.0,491.0,1696204776121,18702713352.700226,37812858.03389839,2023-09-25
KRW-ELF,2023-09-18T00:00:00,2023-09-18T09:00:00,540.0,570.0,477.0,497.0,1695599999310,88760109333.5389,173178571.58410865,2023-09-18
KRW-ELF,2023-09-11T00:00:00,2023-09-11T09:00:00,452.0,547.0,440.0,541.0,1694995197032,120274791345.39122,243410031.84397283,2023-09-11
KRW-ELF,2023-09-04T00:00:00,2023-09-04T09:00:00,421.0,457.0,410.0,452.0,1694390367249,21722393154.842735,50049300.22167587,2023-09-04
KRW-ELF,2023-08-28T00:00:00,2023-08-28T09:00:00,395.0,459.0,393.0,420.0,1693785563095,71704249195.2902,168213873.1291515,2023-08-28
KRW-ELF,2023-08-21T00:00:00,2023-08-21T09:00:00,385.0,428.0,377.0,395.0,1693180761155,33858785409.037086,82992421.08408108,2023-08-21
KRW-ELF,2023-08-14T00:00:00,2023-08-14T09:00:00,388.0,435.0,365.0,386.0,1692575997725,35980080241.48385,89012280.76593794,2023-08-14
KRW-ELF,2023-08-07T00:00:00,2023-08-07T09:00:00,371.0,403.0,365.0,388.0,1691971192255,22020761299.351036,56904761.18230382,2023-08-07
KRW-ELF,2023-07-31T00:00:00,2023-07-31T09:00:00,366.0,382.0,360.0,372.0,1691366105897,10702839660.64334,28934410.88542297,2023-07-31
KRW-ELF,2023-07-24T00:00:00,2023-07-24T09:00:00,372.0,403.0,356.0,367.0,1690761594388,73028272755.56743,190863077.81769374,2023-07-24
KRW-ELF,2023-07-17T00:00:00,2023-07-17T09:00:00,369.0,375.0,358.0,372.0,1690156784988,7474214431.761136,20456176.93235573,2023-07-17
KRW-ELF,2023-07-10T00:00:00,2023-07-10T09:00:00,358.0,405.0,357.0,369.0,1689551989088,22135116403.249092,58969631.23202546,2023-07-10
KRW-ELF,2023-07-03T00:00:00,2023-07-03T09:00:00,366.0,400.0,353.0,358.0,1688947154062,19892294774.259747,52754506.41549764,2023-07-03
KRW-ELF,2023-06-26T00:00:00,2023-06-26T09:00:00,373.0,388.0,352.0,364.0,1688342289312,7500020439.010325,20513854.74446041,2023-06-26
KRW-ELF,2023-06-19T00:00:00,2023-06-19T09:00:00,340.0,389.0,329.0,372.0,1687737583002,11282620598.150892,30564625.46567479,2023-06-19
KRW-ELF,2023-06-12T00:00:00,2023-06-12T09:00:00,357.0,357.0,325.0,341.0,1687132300098,4630425573.786357,13404007.29229459,2023-06-12
KRW-ELF,2023-06-05T00:00:00,2023-06-05T09:00:00,396.0,422.0,337.0,358.0,1686527981579,76798155693.03285,195253664.13241395,2023-06-05
KRW-ELF,2023-05-29T00:00:00,2023-05-29T09:00:00,391.0,404.0,385.0,396.0,1685923169136,6201487345.19398,15683129.92293271,2023-05-29
KRW-ELF,2023-05-22T00:00:00,2023-05-22T09:00:00,383.0,393.0,372.0,391.0,1685318392889,5454113896.013457,14277331.15125366,2023-05-22
KRW-ELF,2023-05-15T00:00:00,2023-05-15T09:00:00,381.0,399.0,370.0,382.0,1684713583309,8717497518.771637,22842758.04115209,2023-05-15
KRW-ELF,2023-05-08T00:00:00,2023-05-08T09:00:00,389.0,411.0,369.0,381.0,1684108761727,14227878896.164736,36058202.42188497,2023-05-08
KRW-ELF,2023-05-01T00:00:00,2023-05-01T09:00:00,389.0,410.0,369.0,390.0,1683503954630,10621727443.931068,26761192.06795548,2023-05-01
KRW-ELF,2023-04-24T00:00:00,2023-04-24T09:00:00,393.0,409.0,371.0,388.0,1682899190020,22638294337.627266,57305145.29557974,2023-04-24
KRW-ELF,2023-04-17T00:00:00,2023-04-17T09:00:00,419.0,419.0,385.0,392.0,1682294362146,15315699107.369303,37760811.77612264,2023-04-17
KRW-ELF,2023-04-10T00:00:00,2023-04-10T09:00:00,413.0,450.0,402.0,419.0,1681689598885,36659058756.28441,86701529.8022298,2023-04-10
KRW-ELF,2023-04-03T00:00:00,2023-04-03T09:00:00,396.0,460.0,391.0,412.0,1681084794545,70734055090.65814,168021917.7000504,2023-04-03
KRW-ELF,2023-03-27T00:00:00,2023-03-27T09:00:00,408.0,493.0,376.0,397.0,1680479968874,245890538048.69516,554503923.395504,2023-03-27
KRW-ELF,2023-03-20T00:00:00,2023-03-20T09:00:00,414.0,431.0,391.0,407.0,1679875165817,69009784775.5199,167438078.19775686,2023-03-20
KRW-ELF,2023-03-13T00:00:00,2023-03-13T09:00:00,427.0,499.0,401.0,413.0,1679270369627,114563898650.97865,260997723.6130483,2023-03-13
KRW-ELF,2023-03-06T00:00:00,2023-03-06T09:00:00,380.0,447.0,358.0,426.0,1678665599899,142051989565.37784,351534710.56015,2023-03-06
KRW-ELF,2023-02-27T00:00:00,2023-02-27T09:00:00,374.0,442.0,355.0,380.0,1678060795847,152611586376.96356,393947677.70920753,2023-02-27
KRW-ELF,2023-02-20T00:00:00,2023-02-20T09:00:00,311.0,445.0,302.0,375.0,1677455999389,198482781381.3259,522268410.2811637,2023-02-20
