market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-EOS,2023-10-09T00:00:00,2023-10-09T09:00:00,771.0,771.0,725.0,728.0,1697076410964,13157032238.026009,17758814.4012794,2023-10-09
KRW-EOS,2023-10-02T00:00:00,2023-10-02T09:00:00,815.0,852.0,761.0,771.0,1696809562053,48417616890.90388,60234497.42730034,2023-10-02
KRW-EOS,2023-09-25T00:00:00,2023-09-25T09:00:00,772.0,817.0,753.0,815.0,1696204789158,20469551008.967484,26340492.59721512,2023-09-25
KRW-EOS,2023-09-18T00:00:00,2023-09-18T09:00:00,753.0,795.0,743.0,772.0,1695599981816,21614166467.1415,27812455.12289826,2023-09-18
KRW-EOS,2023-09-11T00:00:00,2023-09-11T09:00:00,768.0,785.0,722.0,752.0,1694995159287,34489682713.353165,45588189.06986358,2023-09-11
KRW-EOS,2023-09-04T00:00:00,2023-09-04T09:00:00,792.0,806.0,762.0,768.0,1694390369401,23919626034.634827,30407638.19996464,2023-09-04
KRW-EOS,2023-08-28T00:00:00,2023-08-28T09:00:00,805.0,878.0,776.0,789.0,1693785548132,43445464905.020966,52686115.79997791,2023-08-28
KRW-EOS,2023-08-21T00:00:00,2023-08-21T09:00:00,803.0,814.0,762.0,806.0,1693180769916,22171740789.067207,27955966.8123248,2023-08-21
KRW-EOS,2023-08-14T00:00:00,2023-08-14T09:00:00,961.0,969.0,767.0,803.0,1692575981082,47894284504.78422,57220680.98000781,2023-08-14
KRW-EOS,2023-08-07T00:00:00,2023-08-07T09:00:00,969.0,979.0,937.0,962.0,1691971179140,20768883639.714947,21665683.95013985,2023-08-07
KRW-EOS,2023-07-31T00:00:00,2023-07-31T09:00:00,975.0,987.0,938.0,969.0,1691366332189,33581690357.038383,34918605.55455385,2023-07-31
KRW-EOS,2023-07-24T00:00:00,2023-07-24T09:00:00,1010.0,1015.0,945.0,975.0,1690761560300,43618975105.65506,44860646.68491262,2023-07-24
KRW-EOS,2023-07-17T00:00:00,2023-07-17T09:00:00,976.0,1030.0,956.0,1010.0,1690156797738,81364106271.11723,82035104.30638263,2023-07-17
KRW-EOS,2023-07-10T00:00:00,2023-07-10T09:00:00,958.0,1070.0,928.0,976.0,1689551997175,97406266676.66087,99306929.47563297,2023-07-10
KRW-EOS,2023-07-03T00:00:00,2023-07-03T09:00:00,1015.0,1025.0,927.0,957.0,1688947180180,92302352196.82155,94702728.54968148,2023-07-03
KRW-EOS,2023-06-26T00:00:00,2023-06-26T09:00:00,958.0,1080.0,871.0,1015.0,1688342399946,247418405649.30072,252310725.35270044,2023-06-26
KRW-EOS,2023-06-19T00:00:00,2023-06-19T09:00:00,820.0,1010.0,796.0,958.0,1687737590717,298794312626.4044,323365067.5799435,2023-06-19
KRW-EOS,2023-06-12T00:00:00,2023-06-12T09:00:00,907.0,907.0,795.0,820.0,1687132798551,97698282098.75475,114388726.11513491,2023-06-12
KRW-EOS,2023-06-05T00:00:00,2023-06-05T09:00:00,1205.0,1225.0,851.0,907.0,1686527994972,167240662337.29724,175483450.63019,2023-06-05
KRW-EOS,2023-05-29T00:00:00,2023-05-29T09:00:00,1215.0,1235.0,1170.0,1210.0,1685923197777,29468693187.100178,24542310.92064716,2023-05-29
KRW-EOS,2023-05-22T00:00:00,2023-05-22T09:00:00,1150.0,1245.0,1105.0,1215.0,1685318346271,49007431368.00171,42304782.80850636,2023-05-22
KRW-EOS,2023-05-15T00:00:00,2023-05-15T09:00:00,1185.0,1230.0,1140.0,1155.0,1684713593104,35127273936.69394,29461831.13784789,2023-05-15
KRW-EOS,2023-05-08T00:00:00,2023-05-08T09:00:00,1300.0,1305.0,1150.0,1190.0,1684108781227,48544048053.640724,39983826.92551892,2023-05-08
KRW-EOS,2023-05-01T00:00:00,2023-05-01T09:00:00,1370.0,1385.0,1290.0,1300.0,1683503979841,32318377369.417976,23908479.67435918,2023-05-01
KRW-EOS,2023-04-24T00:00:00,2023-04-24T09:00:00,1410.0,1450.0,1325.0,1365.0,1682899193337,33956360907.380848,24456507.44301531,2023-04-24
KRW-EOS,2023-04-17T00:00:00,2023-04-17T09:00:00,1620.0,1625.0,1375.0,1405.0,1682294399533,57101077349.5005,38319060.82364961,2023-04-17
KRW-EOS,2023-04-10T00:00:00,2023-04-10T09:00:00,1595.0,1695.0,1570.0,1615.0,1681689596996,66231914750.95262,40596419.29328329,2023-04-10
KRW-EOS,2023-04-03T00:00:00,2023-04-03T09:00:00,1625.0,1670.0,1520.0,1595.0,1681084784120,92406952822.2356,57897298.4223621,2023-04-03
KRW-EOS,2023-03-27T00:00:00,2023-03-27T09:00:00,1520.0,1645.0,1420.0,1625.0,1680479994148,85721467074.70497,55707498.5178682,2023-03-27
KRW-EOS,2023-03-20T00:00:00,2023-03-20T09:00:00,1545.0,1645.0,1430.0,1515.0,1679875196991,110710252200.95956,71526824.19562373,2023-03-20
KRW-EOS,2023-03-13T00:00:00,2023-03-13T09:00:00,1395.0,1565.0,1335.0,1545.0,1679270398515,110508553465.98894,76109712.96140182,2023-03-13
KRW-EOS,2023-03-06T00:00:00,2023-03-06T09:00:00,1630.0,1655.0,1280.0,1395.0,1678665599442,79239856973.61644,54321012.60440882,2023-03-06
KRW-EOS,2023-02-27T00:00:00,2023-02-27T09:00:00,1495.0,1785.0,1475.0,1640.0,1678060795564,190975484766.74384,118138284.61120759,2023-02-27
KRW-EOS,2023-02-20T00:00:00,2023-02-20T09:00:00,1595.0,1670.0,1445.0,1495.0,1677455986290,77096737887.75139,49006532.76470742,2023-02-20
