market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-FCT2,2023-10-09T00:00:00,2023-10-09T09:00:00,74.8,81.3,71.0,72.4,1697077457250,60215571842.26584,786054737.7585341,2023-10-09
KRW-FCT2,2023-10-02T00:00:00,2023-10-02T09:00:00,77.6,79.0,70.8,74.7,1696809564135,30993853242.08214,408840811.26561546,2023-10-02
KRW-FCT2,2023-09-25T00:00:00,2023-09-25T09:00:00,75.6,84.4,70.5,77.7,1696204792027,112115569335.75734,1419180639.860676,2023-09-25
KRW-FCT2,2023-09-18T00:00:00,2023-09-18T09:00:00,74.2,97.4,67.8,75.6,1695599999723,250539590587.09598,2983132885.6257977,2023-09-18
KRW-FCT2,2023-09-11T00:00:00,2023-09-11T09:00:00,61.5,74.4,58.6,74.2,1694995199753,57855540544.70241,833739500.4476287,2023-09-11
KRW-FCT2,2023-09-04T00:00:00,2023-09-04T09:00:00,63.2,65.0,60.4,61.7,1694390399820,9971700650.031057,158619487.08109897,2023-09-04
KRW-FCT2,2023-08-28T00:00:00,2023-08-28T09:00:00,69.6,69.6,60.3,63.4,1693785589676,11491492292.332224,176240551.18258888,2023-08-28
KRW-FCT2,2023-08-21T00:00:00,2023-08-21T09:00:00,71.6,73.5,67.5,69.6,1693180762376,16718445660.688292,238912696.15247214,2023-08-21
KRW-FCT2,2023-08-14T00:00:00,2023-08-14T09:00:00,81.7,84.4,65.3,71.6,1692575994484,78174244856.28899,1041255542.1862123,2023-08-14
KRW-FCT2,2023-08-07T00:00:00,2023-08-07T09:00:00,82.3,89.4,74.4,81.8,1691971198132,151841700807.6268,1832234629.0049384,2023-08-07
KRW-FCT2,2023-07-31T00:00:00,2023-07-31T09:00:00,79.5,86.5,72.0,82.3,1691366396495,241764895689.45367,3053491235.903789,2023-07-31
KRW-FCT2,2023-07-24T00:00:00,2023-07-24T09:00:00,68.7,99.7,64.2,79.5,1690761599308,689119892453.8613,7768052947.309687,2023-07-24
KRW-FCT2,2023-07-17T00:00:00,2023-07-17T09:00:00,80.6,82.8,64.5,68.9,1690156784757,89723202787.54083,1232706639.5656152,2023-07-17
KRW-FCT2,2023-07-10T00:00:00,2023-07-10T09:00:00,64.7,90.6,61.7,80.5,1689551999201,538094618122.4468,6866975860.666217,2023-07-10
KRW-FCT2,2023-07-03T00:00:00,2023-07-03T09:00:00,63.1,68.4,61.0,64.7,1688947187549,23851822552.425037,368776047.75121576,2023-07-03
KRW-FCT2,2023-06-26T00:00:00,2023-06-26T09:00:00,63.5,68.6,57.0,63.0,1688342371190,16974468604.515215,266523469.78659612,2023-06-26
KRW-FCT2,2023-06-19T00:00:00,2023-06-19T09:00:00,54.0,67.0,52.9,63.5,1687737592115,34214849502.29772,556992689.390306,2023-06-19
KRW-FCT2,2023-06-12T00:00:00,2023-06-12T09:00:00,55.8,57.5,49.9,54.0,1687132774603,16746019596.245152,307159270.67777866,2023-06-12
KRW-FCT2,2023-06-05T00:00:00,2023-06-05T09:00:00,67.9,67.9,52.2,55.7,1686527896630,12537890811.459661,209488055.49856973,2023-06-05
KRW-FCT2,2023-05-29T00:00:00,2023-05-29T09:00:00,69.3,70.9,65.2,67.9,1685923184613,11257715066.090044,164472875.25006202,2023-05-29
KRW-FCT2,2023-05-22T00:00:00,2023-05-22T09:00:00,72.0,72.6,65.5,69.2,1685318372771,5805361531.859608,84386726.39852637,2023-05-22
KRW-FCT2,2023-05-15T00:00:00,2023-05-15T09:00:00,75.6,81.5,71.6,72.0,1684713573974,26689259607.18317,345106573.8907161,2023-05-15
KRW-FCT2,2023-05-08T00:00:00,2023-05-08T09:00:00,79.7,79.8,70.2,75.9,1684108794089,11200381928.525742,149030083.80098647,2023-05-08
KRW-FCT2,2023-05-01T00:00:00,2023-05-01T09:00:00,84.7,84.8,79.2,79.6,1683503970872,12082717346.745676,147756140.333919,2023-05-01
KRW-FCT2,2023-04-24T00:00:00,2023-04-24T09:00:00,89.9,93.3,80.9,84.7,1682899093839,59340287292.737045,680229293.6063988,2023-04-24
KRW-FCT2,2023-04-17T00:00:00,2023-04-17T09:00:00,93.0,96.3,84.1,89.9,1682294399999,57712097084.67116,632942196.2646755,2023-04-17
KRW-FCT2,2023-04-10T00:00:00,2023-04-10T09:00:00,95.0,95.9,91.0,93.0,1681689597891,20160745128.272854,216477334.65357852,2023-04-10
KRW-FCT2,2023-04-03T00:00:00,2023-04-03T09:00:00,89.0,101.0,86.9,95.1,1681084795521,68297575838.087006,719561539.7519046,2023-04-03
KRW-FCT2,2023-03-27T00:00:00,2023-03-27T09:00:00,93.3,93.8,85.1,89.0,1680479995658,38708869784.59913,430417594.17568237,2023-03-27
KRW-FCT2,2023-03-20T00:00:00,2023-03-20T09:00:00,97.6,101.0,88.9,93.3,1679875196984,113115020780.72948,1185314075.2344625,2023-03-20
KRW-FCT2,2023-03-13T00:00:00,2023-03-13T09:00:00,79.1,108.0,76.6,97.4,1679270398403,345923882089.69775,3602290811.90503,2023-03-13
KRW-FCT2,2023-03-06T00:00:00,2023-03-06T09:00:00,87.0,90.4,70.6,79.2,1678665599654,131376843308.97629,1645441339.253962,2023-03-06
KRW-FCT2,2023-02-27T00:00:00,2023-02-27T09:00:00,91.7,107.0,83.4,87.0,1678060796251,167383347800.03406,1782949034.8434844,2023-02-27
KRW-FCT2,2023-02-20T00:00:00,2023-02-20T09:00:00,87.7,136.0,84.3,91.8,1677455999818,593294354087.0084,5639915988.610108,2023-02-20
KRW-FCT2,2023-02-13T00:00:00,2023-02-13T09:00:00,74.0,98.9,66.9,87.8,1676851195897,436415253064.9727,4824136741.084376,2023-02-13
KRW-FCT2,2023-02-06T00:00:00,2023-02-06T09:00:00,77.3,81.2,72.5,74.0,1676246397704,68524485251.535095,897671452.0320317,2023-02-06
KRW-FCT2,2023-01-30T00:00:00,2023-01-30T09:00:00,73.4,82.7,64.6,77.2,1675641599981,137646402811.79752,1879104338.385807,2023-01-30
KRW-FCT2,2023-01-23T00:00:00,2023-01-23T09:00:00,63.2,99.6,61.7,73.4,1675036796150,491555672164.4765,6279356009.833042,2023-01-23
KRW-FCT2,2023-01-16T00:00:00,2023-01-16T09:00:00,59.6,67.6,55.1,63.2,1674431992050,145021852188.34045,2330127307.0420804,2023-01-16
KRW-FCT2,2023-01-09T00:00:00,2023-01-09T09:00:00,50.1,62.1,49.6,59.7,1673827195199,136872970793.84937,2462998237.179447,2023-01-09
KRW-FCT2,2023-01-02T00:00:00,2023-01-02T09:00:00,48.4,53.6,47.8,50.1,1673222393682,60900883610.29103,1192651953.54742,2023-01-02
KRW-FCT2,2022-12-26T00:00:00,2022-12-26T09:00:00,50.4,52.3,42.0,48.3,1672617599815,64257981744.13719,1331949861.8671408,2022-12-26
KRW-FCT2,2022-12-19T00:00:00,2022-12-19T09:00:00,52.5,55.0,46.6,50.4,1672012753936,25680845914.110153,499083503.9041749,2022-12-19
KRW-FCT2,2022-12-12T00:00:00,2022-12-12T09:00:00,52.9,58.1,48.6,52.5,1671407996318,35891166852.554794,665075417.9240766,2022-12-12
KRW-FCT2,2022-12-05T00:00:00,2022-12-05T09:00:00,53.4,63.1,51.0,53.0,1670803190798,103815016236.80594,1802222110.0088196,2022-12-05
KRW-FCT2,2022-11-28T00:00:00,2022-11-28T09:00:00,54.1,56.0,50.7,53.3,1670198399416,13727871783.06999,256655979.90192232,2022-11-28
KRW-FCT2,2022-11-21T00:00:00,2022-11-21T09:00:00,51.1,70.8,49.1,54.1,1669593595516,128343187141.76796,2097038628.5725248,2022-11-21
