market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-FLOW,2023-10-09T00:00:00,2023-10-09T09:00:00,600.0,610.0,560.0,563.0,1697077567185,19991230776.901127,34597998.01804787,2023-10-09
KRW-FLOW,2023-10-02T00:00:00,2023-10-02T09:00:00,635.0,644.0,576.0,598.0,1696809583688,41654570288.6411,68950771.20847867,2023-10-02
KRW-FLOW,2023-09-25T00:00:00,2023-09-25T09:00:00,597.0,636.0,592.0,635.0,1696204795783,43105260087.11412,70653676.63986161,2023-09-25
KRW-FLOW,2023-09-18T00:00:00,2023-09-18T09:00:00,587.0,644.0,587.0,597.0,1695599968716,65449377814.335556,107936876.08189252,2023-09-18
KRW-FLOW,2023-09-11T00:00:00,2023-09-11T09:00:00,570.0,670.0,535.0,588.0,1694995164618,92895826530.24214,153490984.27219877,2023-09-11
KRW-FLOW,2023-09-04T00:00:00,2023-09-04T09:00:00,585.0,605.0,562.0,570.0,1694390396003,29693172509.849815,50549332.80969,2023-09-04
KRW-FLOW,2023-08-28T00:00:00,2023-08-28T09:00:00,616.0,669.0,577.0,585.0,1693785572733,44848181121.109695,73071262.74123517,2023-08-28
KRW-FLOW,2023-08-21T00:00:00,2023-08-21T09:00:00,643.0,644.0,602.0,616.0,1693180772730,26474211882.868645,42658329.59713086,2023-08-21
KRW-FLOW,2023-08-14T00:00:00,2023-08-14T09:00:00,743.0,746.0,593.0,644.0,1692575996165,54560427545.63474,82332234.87255193,2023-08-14
KRW-FLOW,2023-08-07T00:00:00,2023-08-07T09:00:00,736.0,755.0,703.0,743.0,1691971135920,34948335966.41247,47514288.39314427,2023-08-07
KRW-FLOW,2023-07-31T00:00:00,2023-07-31T09:00:00,760.0,778.0,722.0,736.0,1691366394632,62630569226.88198,83451912.94433314,2023-07-31
KRW-FLOW,2023-07-24T00:00:00,2023-07-24T09:00:00,801.0,810.0,733.0,759.0,1690761583990,107314763341.80475,140356052.7323497,2023-07-24
KRW-FLOW,2023-07-17T00:00:00,2023-07-17T09:00:00,786.0,864.0,769.0,802.0,1690156788706,295048438208.12866,358762711.2510383,2023-07-17
KRW-FLOW,2023-07-10T00:00:00,2023-07-10T09:00:00,805.0,853.0,743.0,787.0,1689551997338,211430022720.3998,265014065.8519389,2023-07-10
KRW-FLOW,2023-07-03T00:00:00,2023-07-03T09:00:00,953.0,1040.0,782.0,805.0,1688947186816,518895361627.31885,575644778.5645838,2023-07-03
KRW-FLOW,2023-06-26T00:00:00,2023-06-26T09:00:00,756.0,1015.0,655.0,954.0,1688342399986,699328202371.7247,820187457.7072815,2023-06-26
KRW-FLOW,2023-06-19T00:00:00,2023-06-19T09:00:00,599.0,818.0,583.0,756.0,1687737593301,457825117205.29407,624581061.075778,2023-06-19
KRW-FLOW,2023-06-12T00:00:00,2023-06-12T09:00:00,670.0,670.0,577.0,601.0,1687132786665,61248454295.16442,99048564.10137793,2023-06-12
KRW-FLOW,2023-06-05T00:00:00,2023-06-05T09:00:00,966.0,985.0,634.0,670.0,1686527998599,84781378028.12079,106592733.90083149,2023-06-05
KRW-FLOW,2023-05-29T00:00:00,2023-05-29T09:00:00,1025.0,1035.0,953.0,967.0,1685923134672,42949584623.49333,43964477.42996172,2023-05-29
KRW-FLOW,2023-05-22T00:00:00,2023-05-22T09:00:00,1005.0,1035.0,965.0,1025.0,1685318398612,29855419313.89274,29809910.05851982,2023-05-22
KRW-FLOW,2023-05-15T00:00:00,2023-05-15T09:00:00,1020.0,1085.0,998.0,1005.0,1684713587584,32753583858.07702,31476798.8799758,2023-05-15
KRW-FLOW,2023-05-08T00:00:00,2023-05-08T09:00:00,1120.0,1135.0,979.0,1020.0,1684108732058,45322813721.83718,43767561.8513514,2023-05-08
KRW-FLOW,2023-05-01T00:00:00,2023-05-01T09:00:00,1190.0,1205.0,1110.0,1125.0,1683503997600,52368866123.32066,45333013.76109432,2023-05-01
