market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GLM,2023-10-09T00:00:00,2023-10-09T09:00:00,256.0,261.0,233.0,236.0,1697077399375,6897133272.010221,28282749.83266545,2023-10-09
KRW-GLM,2023-10-02T00:00:00,2023-10-02T09:00:00,253.0,263.0,241.0,256.0,1696809580118,21176083768.21178,84438646.4970501,2023-10-02
KRW-GLM,2023-09-25T00:00:00,2023-09-25T09:00:00,234.0,254.0,229.0,252.0,1696204799828,11603606557.308016,47873423.85861362,2023-09-25
KRW-GLM,2023-09-18T00:00:00,2023-09-18T09:00:00,237.0,260.0,227.0,236.0,1695599979179,14867917248.31656,61534040.63361958,2023-09-18
KRW-GLM,2023-09-11T00:00:00,2023-09-11T09:00:00,226.0,240.0,216.0,236.0,1694995196139,11502824381.641602,50156888.4419326,2023-09-11
KRW-GLM,2023-09-04T00:00:00,2023-09-04T09:00:00,224.0,231.0,219.0,226.0,1694390378832,4930985533.302048,21906582.22729689,2023-09-04
KRW-GLM,2023-08-28T00:00:00,2023-08-28T09:00:00,230.0,244.0,216.0,225.0,1693785523365,14332279113.814144,62617930.23003577,2023-08-28
KRW-GLM,2023-08-21T00:00:00,2023-08-21T09:00:00,249.0,251.0,228.0,231.0,1693180685181,11437010186.23708,48097521.32423987,2023-08-21
KRW-GLM,2023-08-14T00:00:00,2023-08-14T09:00:00,277.0,281.0,221.0,249.0,1692575996862,32867544792.359756,129523134.08793168,2023-08-14
KRW-GLM,2023-08-07T00:00:00,2023-08-07T09:00:00,275.0,343.0,260.0,278.0,1691971182017,201680492597.25043,646917271.548007,2023-08-07
KRW-GLM,2023-07-31T00:00:00,2023-07-31T09:00:00,259.0,290.0,258.0,275.0,1691366386433,24063887799.274284,88001828.35654697,2023-07-31
KRW-GLM,2023-07-24T00:00:00,2023-07-24T09:00:00,271.0,275.0,247.0,259.0,1690761598587,11335188071.549458,43467026.17674396,2023-07-24
KRW-GLM,2023-07-17T00:00:00,2023-07-17T09:00:00,264.0,278.0,251.0,271.0,1690156786342,9228101840.362753,35024824.7494195,2023-07-17
KRW-GLM,2023-07-10T00:00:00,2023-07-10T09:00:00,242.0,284.0,237.0,264.0,1689551939973,43387568623.25832,163356624.60420847,2023-07-10
KRW-GLM,2023-07-03T00:00:00,2023-07-03T09:00:00,250.0,260.0,240.0,243.0,1688947120092,8152511145.44047,32613358.39501353,2023-07-03
KRW-GLM,2023-06-26T00:00:00,2023-06-26T09:00:00,251.0,263.0,234.0,249.0,1688342270514,16991942998.679197,68892023.8643924,2023-06-26
KRW-GLM,2023-06-19T00:00:00,2023-06-19T09:00:00,218.0,299.0,217.0,251.0,1687737586852,74585856889.17422,273935858.29585177,2023-06-19
KRW-GLM,2023-06-12T00:00:00,2023-06-12T09:00:00,228.0,232.0,206.0,218.0,1687132790533,4152214205.95012,18844690.85425598,2023-06-12
KRW-GLM,2023-06-05T00:00:00,2023-06-05T09:00:00,274.0,276.0,218.0,228.0,1686527999413,8699594549.934246,35250706.16820455,2023-06-05
KRW-GLM,2023-05-29T00:00:00,2023-05-29T09:00:00,284.0,286.0,268.0,275.0,1685923168494,2391648918.0428333,8659268.78125128,2023-05-29
KRW-GLM,2023-05-22T00:00:00,2023-05-22T09:00:00,283.0,289.0,271.0,284.0,1685318380979,3074289277.7740607,10991624.16743011,2023-05-22
KRW-GLM,2023-05-15T00:00:00,2023-05-15T09:00:00,292.0,296.0,283.0,283.0,1684713568405,5409761599.17001,18650092.61207908,2023-05-15
KRW-GLM,2023-05-08T00:00:00,2023-05-08T09:00:00,306.0,311.0,280.0,292.0,1684108771674,8594472445.306961,29220604.02562521,2023-05-08
KRW-GLM,2023-05-01T00:00:00,2023-05-01T09:00:00,315.0,322.0,301.0,307.0,1683503994210,13795024958.622366,44331347.13412824,2023-05-01
KRW-GLM,2023-04-24T00:00:00,2023-04-24T09:00:00,316.0,323.0,297.0,315.0,1682899145076,17742154427.703392,56979800.43534852,2023-04-24
KRW-GLM,2023-04-17T00:00:00,2023-04-17T09:00:00,339.0,362.0,309.0,316.0,1682294396704,87844292702.01364,261589594.3178551,2023-04-17
KRW-GLM,2023-04-10T00:00:00,2023-04-10T09:00:00,327.0,366.0,321.0,340.0,1681689598894,80481078075.21228,237069700.07305548,2023-04-10
KRW-GLM,2023-04-03T00:00:00,2023-04-03T09:00:00,314.0,366.0,306.0,327.0,1681084798945,77380575737.71843,227134410.72528175,2023-04-03
KRW-GLM,2023-03-27T00:00:00,2023-03-27T09:00:00,314.0,339.0,287.0,315.0,1680479966007,81463320755.25539,259826493.5117463,2023-03-27
KRW-GLM,2023-03-20T00:00:00,2023-03-20T09:00:00,337.0,349.0,311.0,314.0,1679875196134,17469489908.244774,53445829.41579516,2023-03-20
KRW-GLM,2023-03-13T00:00:00,2023-03-13T09:00:00,296.0,348.0,288.0,337.0,1679270379127,50726298350.884895,155696375.88792676,2023-03-13
KRW-GLM,2023-03-06T00:00:00,2023-03-06T09:00:00,335.0,342.0,262.0,296.0,1678665597360,22187513670.874645,75383004.41828713,2023-03-06
KRW-GLM,2023-02-27T00:00:00,2023-02-27T09:00:00,368.0,368.0,322.0,335.0,1678060792663,38156803272.91208,108769442.89460818,2023-02-27
KRW-GLM,2023-02-20T00:00:00,2023-02-20T09:00:00,340.0,388.0,330.0,368.0,1677455995829,102978798472.38159,285499117.7311709,2023-02-20
KRW-GLM,2023-02-13T00:00:00,2023-02-13T09:00:00,317.0,346.0,293.0,340.0,1676851199745,39779285233.880714,121379847.08768068,2023-02-13
KRW-GLM,2023-02-06T00:00:00,2023-02-06T09:00:00,325.0,341.0,305.0,316.0,1676246387012,54554787476.02772,167391479.5458657,2023-02-06
KRW-GLM,2023-01-30T00:00:00,2023-01-30T09:00:00,314.0,404.0,280.0,325.0,1675641599511,123784548490.49872,364314983.50046426,2023-01-30
KRW-GLM,2023-01-23T00:00:00,2023-01-23T09:00:00,288.0,331.0,276.0,313.0,1675036797672,105612353511.64339,342772686.88485247,2023-01-23
KRW-GLM,2023-01-16T00:00:00,2023-01-16T09:00:00,280.0,321.0,259.0,288.0,1674431995233,114686369931.89064,393662449.271605,2023-01-16
KRW-GLM,2023-01-09T00:00:00,2023-01-09T09:00:00,238.0,330.0,238.0,280.0,1673827199062,52044543531.2812,187847669.60499215,2023-01-09
KRW-GLM,2023-01-02T00:00:00,2023-01-02T09:00:00,230.0,239.0,224.0,238.0,1673222387117,8700177802.265535,37359442.55502582,2023-01-02
KRW-GLM,2022-12-26T00:00:00,2022-12-26T09:00:00,255.0,257.0,214.0,230.0,1672617597376,15873847317.071358,68459522.00056037,2022-12-26
KRW-GLM,2022-12-19T00:00:00,2022-12-19T09:00:00,260.0,268.0,237.0,255.0,1672012717536,21295596845.67492,82623526.71326563,2022-12-19
KRW-GLM,2022-12-12T00:00:00,2022-12-12T09:00:00,300.0,307.0,244.0,260.0,1671407997907,17817558349.806667,62259391.11832443,2022-12-12
KRW-GLM,2022-12-05T00:00:00,2022-12-05T09:00:00,303.0,314.0,284.0,300.0,1670803173148,20974217854.192085,69544245.25878932,2022-12-05
KRW-GLM,2022-11-28T00:00:00,2022-11-28T09:00:00,303.0,322.0,287.0,302.0,1670198389436,34433360777.792244,112130566.39604715,2022-11-28
KRW-GLM,2022-11-21T00:00:00,2022-11-21T09:00:00,289.0,315.0,269.0,303.0,1669593598842,26279557985.12648,89206513.15531553,2022-11-21
KRW-GLM,2022-11-14T00:00:00,2022-11-14T09:00:00,270.0,324.0,237.0,288.0,1668988786425,81965494641.01292,281382302.58000165,2022-11-14
KRW-GLM,2022-11-07T00:00:00,2022-11-07T09:00:00,386.0,393.0,245.0,270.0,1668383965123,35493406139.86124,115995742.96480672,2022-11-07
KRW-GLM,2022-10-31T00:00:00,2022-10-31T09:00:00,382.0,418.0,370.0,386.0,1667779195669,89283665103.07127,227522968.8967629,2022-10-31
KRW-GLM,2022-10-24T00:00:00,2022-10-24T09:00:00,372.0,404.0,365.0,382.0,1667174397114,46331584491.34423,121263973.06598447,2022-10-24
KRW-GLM,2022-10-17T00:00:00,2022-10-17T09:00:00,362.0,424.0,347.0,372.0,1666569593545,163224827132.1251,420861873.6257951,2022-10-17
KRW-GLM,2022-10-10T00:00:00,2022-10-10T09:00:00,383.0,404.0,333.0,362.0,1665964757960,28965184421.677746,77007832.57093059,2022-10-10
KRW-GLM,2022-10-03T00:00:00,2022-10-03T09:00:00,376.0,420.0,372.0,384.0,1665359984035,87372914300.1151,224072784.84600002,2022-10-03
KRW-GLM,2022-09-26T00:00:00,2022-09-26T09:00:00,388.0,433.0,369.0,377.0,1664755199478,79578275134.60689,199158755.67347845,2022-09-26
KRW-GLM,2022-09-19T00:00:00,2022-09-19T09:00:00,386.0,428.0,381.0,388.0,1664150361148,72126230983.74213,180651110.071771,2022-09-19
KRW-GLM,2022-09-12T00:00:00,2022-09-12T09:00:00,408.0,541.0,379.0,385.0,1663545597764,524303369396.855,1139420511.1778998,2022-09-12
KRW-GLM,2022-09-05T00:00:00,2022-09-05T09:00:00,328.0,535.0,307.0,407.0,1662940796851,549166827996.6717,1300533730.2291608,2022-09-05
KRW-GLM,2022-08-29T00:00:00,2022-08-29T09:00:00,325.0,354.0,321.0,328.0,1662335990246,33857264794.85176,99955214.44907731,2022-08-29
KRW-GLM,2022-08-22T00:00:00,2022-08-22T09:00:00,360.0,365.0,324.0,326.0,1661731196971,27409846141.266266,79139200.17079031,2022-08-22
KRW-GLM,2022-08-15T00:00:00,2022-08-15T09:00:00,384.0,428.0,343.0,360.0,1661126395598,148975424178.6068,375086383.8830592,2022-08-15
KRW-GLM,2022-08-08T00:00:00,2022-08-08T09:00:00,360.0,516.0,339.0,384.0,1660521592669,458926303606.87396,1013234807.8793881,2022-08-08
KRW-GLM,2022-08-01T00:00:00,2022-08-01T09:00:00,350.0,372.0,337.0,361.0,1659916781244,27871032646.61753,78399317.63502885,2022-08-01
KRW-GLM,2022-07-25T00:00:00,2022-07-25T09:00:00,334.0,367.0,301.0,350.0,1659311989465,33422992611.107513,100032267.2469144,2022-07-25
KRW-GLM,2022-07-18T00:00:00,2022-07-18T09:00:00,315.0,348.0,311.0,333.0,1658707181821,31123571286.06349,93887936.12798193,2022-07-18
KRW-GLM,2022-07-11T00:00:00,2022-07-11T09:00:00,335.0,342.0,291.0,314.0,1658102374805,32673668751.22002,102992196.55741537,2022-07-11
KRW-GLM,2022-07-04T00:00:00,2022-07-04T09:00:00,306.0,340.0,295.0,335.0,1657497597317,61481865241.25113,192433741.98019272,2022-07-04
KRW-GLM,2022-06-27T00:00:00,2022-06-27T09:00:00,315.0,346.0,271.0,305.0,1656892799121,94712592895.10495,302679790.4324159,2022-06-27
KRW-GLM,2022-06-20T00:00:00,2022-06-20T09:00:00,288.0,345.0,271.0,315.0,1656287992940,62540249708.5407,198195911.74012434,2022-06-20
KRW-GLM,2022-06-13T00:00:00,2022-06-13T09:00:00,304.0,325.0,226.0,289.0,1655683196089,46312982970.013596,166044563.12217313,2022-06-13
KRW-GLM,2022-06-06T00:00:00,2022-06-06T09:00:00,383.0,409.0,293.0,304.0,1655078373363,66435130396.491936,179147204.17517713,2022-06-06
KRW-GLM,2022-05-30T00:00:00,2022-05-30T09:00:00,329.0,519.0,320.0,383.0,1654473598838,585411350378.8645,1338121123.6930346,2022-05-30
KRW-GLM,2022-05-23T00:00:00,2022-05-23T09:00:00,347.0,400.0,303.0,329.0,1653868798952,39440868299.80177,114496889.98194958,2022-05-23
KRW-GLM,2022-05-16T00:00:00,2022-05-16T09:00:00,362.0,435.0,299.0,347.0,1653263999385,97872486480.67043,261658163.33498552,2022-05-16
KRW-GLM,2022-05-09T00:00:00,2022-05-09T09:00:00,416.0,425.0,225.0,363.0,1652659195183,31432490027.523575,99294827.82694976,2022-05-09
KRW-GLM,2022-05-02T00:00:00,2022-05-02T09:00:00,456.0,537.0,405.0,418.0,1652054397120,99552070802.56326,201123634.23292217,2022-05-02
KRW-GLM,2022-04-25T00:00:00,2022-04-25T09:00:00,525.0,543.0,410.0,456.0,1651449598102,44881926723.628555,90140949.46691303,2022-04-25
KRW-GLM,2022-04-18T00:00:00,2022-04-18T09:00:00,531.0,623.0,497.0,525.0,1650844792155,148692622579.2835,262149163.53871638,2022-04-18
KRW-GLM,2022-04-11T00:00:00,2022-04-11T09:00:00,563.0,619.0,497.0,530.0,1650239974785,99621791435.38487,178423317.0626698,2022-04-11
KRW-GLM,2022-04-04T00:00:00,2022-04-04T09:00:00,711.0,713.0,541.0,563.0,1649635185489,62337255660.652054,101334847.00486606,2022-04-04
KRW-GLM,2022-03-28T00:00:00,2022-03-28T09:00:00,648.0,730.0,638.0,710.0,1649030399400,252909976394.49884,374875859.58510244,2022-03-28
KRW-GLM,2022-03-21T00:00:00,2022-03-21T09:00:00,600.0,714.0,577.0,647.0,1648425595762,309313311566.64667,489776242.3301904,2022-03-21
KRW-GLM,2022-03-14T00:00:00,2022-03-14T09:00:00,585.0,600.0,557.0,600.0,1647820799564,114718654083.51466,198753712.22729525,2022-03-14
KRW-GLM,2022-03-07T00:00:00,2022-03-07T09:00:00,563.0,715.0,535.0,585.0,1647215994270,702553397814.1598,1146165540.1326025,2022-03-07
KRW-GLM,2022-02-28T00:00:00,2022-02-28T09:00:00,549.0,698.0,484.0,564.0,1646611199438,1012218527888.1898,1731346737.3453395,2022-02-28
KRW-GLM,2022-02-21T00:00:00,2022-02-21T09:00:00,399.0,786.0,340.0,553.0,1646006399239,1323079892283.6597,2191503583.8637376,2022-02-21
KRW-GLM,2022-02-14T00:00:00,2022-02-14T09:00:00,456.0,480.0,387.0,399.0,1645401592244,18305619245.742542,41551059.56185719,2022-02-14
KRW-GLM,2022-02-07T00:00:00,2022-02-07T09:00:00,492.0,553.0,440.0,456.0,1644796800317,94360812630.10649,185446481.86974117,2022-02-07
KRW-GLM,2022-01-31T00:00:00,2022-01-31T09:00:00,424.0,493.0,400.0,491.0,1644191999268,60211889110.512634,133924319.52512129,2022-01-31
KRW-GLM,2022-01-24T00:00:00,2022-01-24T09:00:00,402.0,456.0,337.0,424.0,1643587188224,81751202465.3936,199492223.8369431,2022-01-24
KRW-GLM,2022-01-17T00:00:00,2022-01-17T09:00:00,527.0,527.0,343.0,401.0,1642982396371,23379638690.416058,51631961.70246867,2022-01-17
KRW-GLM,2022-01-10T00:00:00,2022-01-10T09:00:00,531.0,605.0,463.0,527.0,1642377597655,149345790425.69708,268616909.98362243,2022-01-10
KRW-GLM,2022-01-03T00:00:00,2022-01-03T09:00:00,628.0,690.0,493.0,530.0,1641772800064,123481280216.36372,211450082.2362061,2022-01-03
KRW-GLM,2021-12-27T00:00:00,2021-12-27T09:00:00,602.0,765.0,505.0,628.0,1641168000108,242750138989.58228,388194134.572704,2021-12-27
