market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GMT,2023-10-09T00:00:00,2023-10-09T09:00:00,207.0,209.0,190.0,192.0,1697077658861,10143300350.892134,51688433.04798912,2023-10-09
KRW-GMT,2023-10-02T00:00:00,2023-10-02T09:00:00,223.0,224.0,201.0,208.0,1696809478868,17888264984.805813,84949213.80976012,2023-10-02
KRW-GMT,2023-09-25T00:00:00,2023-09-25T09:00:00,202.0,224.0,200.0,223.0,1696204790685,17810293461.692436,84866623.80337892,2023-09-25
KRW-GMT,2023-09-18T00:00:00,2023-09-18T09:00:00,206.0,217.0,201.0,202.0,1695599993603,26614211957.35524,128045975.28437684,2023-09-18
KRW-GMT,2023-09-11T00:00:00,2023-09-11T09:00:00,206.0,214.0,194.0,206.0,1694995138651,23319840065.857197,115169767.00444566,2023-09-11
KRW-GMT,2023-09-04T00:00:00,2023-09-04T09:00:00,211.0,222.0,205.0,207.0,1694390355300,9616247731.864378,45097562.44351971,2023-09-04
KRW-GMT,2023-08-28T00:00:00,2023-08-28T09:00:00,226.0,229.0,208.0,211.0,1693785510966,18649838682.9816,85368702.52610673,2023-08-28
KRW-GMT,2023-08-21T00:00:00,2023-08-21T09:00:00,231.0,234.0,218.0,226.0,1693180640515,8991123871.18114,39436679.23138905,2023-08-21
KRW-GMT,2023-08-14T00:00:00,2023-08-14T09:00:00,274.0,275.0,215.0,231.0,1692575988855,28548496187.27134,117720531.67804109,2023-08-14
KRW-GMT,2023-08-07T00:00:00,2023-08-07T09:00:00,272.0,283.0,263.0,274.0,1691971175740,21593117674.465313,79125282.32353516,2023-08-07
KRW-GMT,2023-07-31T00:00:00,2023-07-31T09:00:00,276.0,282.0,267.0,272.0,1691366251186,22479402811.13157,81972596.16802491,2023-07-31
KRW-GMT,2023-07-24T00:00:00,2023-07-24T09:00:00,293.0,293.0,267.0,277.0,1690761598542,43584342496.13672,157389973.7061533,2023-07-24
KRW-GMT,2023-07-17T00:00:00,2023-07-17T09:00:00,298.0,379.0,288.0,294.0,1690156799684,359815372149.96234,1082721011.309468,2023-07-17
KRW-GMT,2023-07-10T00:00:00,2023-07-10T09:00:00,282.0,336.0,273.0,298.0,1689551987645,132657321950.17517,440707920.24948364,2023-07-10
KRW-GMT,2023-07-03T00:00:00,2023-07-03T09:00:00,304.0,318.0,279.0,281.0,1688947198904,56992147902.01425,191310096.27933502,2023-07-03
KRW-GMT,2023-06-26T00:00:00,2023-06-26T09:00:00,313.0,315.0,272.0,304.0,1688342394684,73278108157.04895,248148179.4453975,2023-06-26
KRW-GMT,2023-06-19T00:00:00,2023-06-19T09:00:00,255.0,329.0,252.0,314.0,1687737599826,90937190061.9953,306303470.6660826,2023-06-19
KRW-GMT,2023-06-12T00:00:00,2023-06-12T09:00:00,251.0,272.0,236.0,255.0,1687132786405,50796937844.95896,199277159.48095778,2023-06-12
KRW-GMT,2023-06-05T00:00:00,2023-06-05T09:00:00,357.0,358.0,239.0,252.0,1686527916260,61732183866.22398,210871136.404435,2023-06-05
