market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GRS,2023-10-09T00:00:00,2023-10-09T09:00:00,675.0,686.0,600.0,603.0,1697076458168,30952498362.731796,47721167.25454473,2023-10-09
KRW-GRS,2023-10-02T00:00:00,2023-10-02T09:00:00,687.0,792.0,622.0,676.0,1696809599187,227289338373.7073,312387452.9778492,2023-10-02
KRW-GRS,2023-09-25T00:00:00,2023-09-25T09:00:00,701.0,714.0,650.0,688.0,1696204786359,57928830181.37974,85629404.47319269,2023-09-25
KRW-GRS,2023-09-18T00:00:00,2023-09-18T09:00:00,729.0,852.0,691.0,702.0,1695599998298,364931679812.5606,468660463.07533866,2023-09-18
KRW-GRS,2023-09-11T00:00:00,2023-09-11T09:00:00,735.0,1725.0,639.0,729.0,1694995197563,1138857150193.0205,1079463123.6785142,2023-09-11
KRW-GRS,2023-09-04T00:00:00,2023-09-04T09:00:00,729.0,834.0,622.0,736.0,1694390399735,225935614631.68948,320625215.8775225,2023-09-04
KRW-GRS,2023-08-28T00:00:00,2023-08-28T09:00:00,606.0,845.0,514.0,728.0,1693785599869,280584543217.962,401340094.81830466,2023-08-28
KRW-GRS,2023-08-21T00:00:00,2023-08-21T09:00:00,597.0,652.0,558.0,606.0,1693180796597,164346072306.6029,268256685.2013363,2023-08-21
KRW-GRS,2023-08-14T00:00:00,2023-08-14T09:00:00,526.0,734.0,500.0,597.0,1692575997261,514630423408.9359,856549951.6085624,2023-08-14
KRW-GRS,2023-08-07T00:00:00,2023-08-07T09:00:00,480.0,592.0,464.0,525.0,1691971199577,127162851842.72513,232411756.6535953,2023-08-07
KRW-GRS,2023-07-31T00:00:00,2023-07-31T09:00:00,473.0,538.0,456.0,480.0,1691366379743,42372272220.99258,85142716.83256222,2023-07-31
KRW-GRS,2023-07-24T00:00:00,2023-07-24T09:00:00,467.0,521.0,440.0,473.0,1690761520897,18028762814.592598,37639557.37705966,2023-07-24
KRW-GRS,2023-07-17T00:00:00,2023-07-17T09:00:00,456.0,471.0,438.0,467.0,1690156789227,13685855320.858383,30204989.18106728,2023-07-17
KRW-GRS,2023-07-10T00:00:00,2023-07-10T09:00:00,462.0,607.0,447.0,456.0,1689551998134,107486915995.02283,203935088.47793576,2023-07-10
KRW-GRS,2023-07-03T00:00:00,2023-07-03T09:00:00,452.0,477.0,444.0,462.0,1688947182479,10916741457.097359,23894543.05961533,2023-07-03
KRW-GRS,2023-06-26T00:00:00,2023-06-26T09:00:00,469.0,567.0,423.0,453.0,1688342385320,110826571873.95354,218900866.50719365,2023-06-26
KRW-GRS,2023-06-19T00:00:00,2023-06-19T09:00:00,409.0,494.0,402.0,469.0,1687737573717,10730735089.227835,23951179.89737321,2023-06-19
KRW-GRS,2023-06-12T00:00:00,2023-06-12T09:00:00,417.0,419.0,385.0,410.0,1687132687609,6715612196.652409,16591747.12637907,2023-06-12
KRW-GRS,2023-06-05T00:00:00,2023-06-05T09:00:00,478.0,497.0,399.0,418.0,1686527979693,26262456417.749786,56495553.25510293,2023-06-05
KRW-GRS,2023-05-29T00:00:00,2023-05-29T09:00:00,479.0,519.0,459.0,478.0,1685923182180,8319388858.048196,17147546.52028015,2023-05-29
KRW-GRS,2023-05-22T00:00:00,2023-05-22T09:00:00,495.0,495.0,456.0,479.0,1685318391942,3781416354.6583333,7944612.32908933,2023-05-22
KRW-GRS,2023-05-15T00:00:00,2023-05-15T09:00:00,506.0,516.0,494.0,494.0,1684713454091,4312718190.4232855,8539424.58441037,2023-05-15
KRW-GRS,2023-05-08T00:00:00,2023-05-08T09:00:00,523.0,525.0,481.0,505.0,1684108797992,15603607356.76625,30804642.12316115,2023-05-08
KRW-GRS,2023-05-01T00:00:00,2023-05-01T09:00:00,554.0,575.0,513.0,523.0,1683503993761,18299233166.92636,33759263.61190593,2023-05-01
KRW-GRS,2023-04-24T00:00:00,2023-04-24T09:00:00,551.0,566.0,522.0,552.0,1682899185136,20916191478.392284,38109189.45217755,2023-04-24
KRW-GRS,2023-04-17T00:00:00,2023-04-17T09:00:00,591.0,631.0,542.0,551.0,1682294344173,46626336035.26345,79553347.96247125,2023-04-17
KRW-GRS,2023-04-10T00:00:00,2023-04-10T09:00:00,578.0,597.0,563.0,591.0,1681689563451,16094093092.179384,27641056.23171285,2023-04-10
KRW-GRS,2023-04-03T00:00:00,2023-04-03T09:00:00,569.0,642.0,552.0,578.0,1681084799945,113657351141.64052,188626663.72897586,2023-04-03
KRW-GRS,2023-03-27T00:00:00,2023-03-27T09:00:00,569.0,588.0,518.0,570.0,1680479999547,30832403616.100777,54827626.47909545,2023-03-27
KRW-GRS,2023-03-20T00:00:00,2023-03-20T09:00:00,576.0,598.0,535.0,569.0,1679875199903,58950207462.44898,103892195.72836573,2023-03-20
KRW-GRS,2023-03-13T00:00:00,2023-03-13T09:00:00,507.0,813.0,493.0,577.0,1679270397327,232356963180.23178,371615095.9403166,2023-03-13
KRW-GRS,2023-03-06T00:00:00,2023-03-06T09:00:00,556.0,570.0,460.0,508.0,1678665593596,34133910436.08277,64870710.00869556,2023-03-06
KRW-GRS,2023-02-27T00:00:00,2023-02-27T09:00:00,596.0,610.0,548.0,558.0,1678060793301,28076363279.344425,48439565.32154665,2023-02-27
KRW-GRS,2023-02-20T00:00:00,2023-02-20T09:00:00,610.0,629.0,567.0,597.0,1677455996978,50755590757.58274,84638228.5907344,2023-02-20
KRW-GRS,2023-02-13T00:00:00,2023-02-13T09:00:00,536.0,871.0,502.0,610.0,1676851191828,348502943332.30176,536851973.504944,2023-02-13
KRW-GRS,2023-02-06T00:00:00,2023-02-06T09:00:00,517.0,594.0,488.0,536.0,1676246399080,81200306515.88329,153015178.16738772,2023-02-06
KRW-GRS,2023-01-30T00:00:00,2023-01-30T09:00:00,510.0,583.0,461.0,517.0,1675641583538,62256287206.86306,121083195.23487145,2023-01-30
KRW-GRS,2023-01-23T00:00:00,2023-01-23T09:00:00,498.0,641.0,469.0,511.0,1675036797562,221862380975.21133,391022942.38338363,2023-01-23
KRW-GRS,2023-01-16T00:00:00,2023-01-16T09:00:00,477.0,507.0,450.0,499.0,1674431990964,43203972172.44726,89607967.18444818,2023-01-16
KRW-GRS,2023-01-09T00:00:00,2023-01-09T09:00:00,419.0,492.0,414.0,477.0,1673827193233,34362858765.13033,75988212.64294618,2023-01-09
KRW-GRS,2023-01-02T00:00:00,2023-01-02T09:00:00,408.0,426.0,402.0,419.0,1673222384355,7006808963.73642,17013381.81000611,2023-01-02
KRW-GRS,2022-12-26T00:00:00,2022-12-26T09:00:00,427.0,438.0,396.0,408.0,1672617596513,11971256198.39202,28904381.06401493,2022-12-26
KRW-GRS,2022-12-19T00:00:00,2022-12-19T09:00:00,427.0,454.0,395.0,428.0,1672012785260,28415743594.44051,65258032.00899907,2022-12-19
KRW-GRS,2022-12-12T00:00:00,2022-12-12T09:00:00,460.0,462.0,404.0,426.0,1671407978106,10272419193.996391,23267231.47298296,2022-12-12
KRW-GRS,2022-12-05T00:00:00,2022-12-05T09:00:00,473.0,498.0,428.0,461.0,1670803156184,34463868616.895004,74283356.20598765,2022-12-05
KRW-GRS,2022-11-28T00:00:00,2022-11-28T09:00:00,482.0,527.0,463.0,473.0,1670198391417,67819464327.67264,137455205.90244448,2022-11-28
KRW-GRS,2022-11-21T00:00:00,2022-11-21T09:00:00,462.0,515.0,449.0,482.0,1669593583288,39967873722.31193,83746247.79580401,2022-11-21
KRW-GRS,2022-11-14T00:00:00,2022-11-14T09:00:00,461.0,523.0,402.0,464.0,1668988792237,52224801619.419106,111206790.89480753,2022-11-14
KRW-GRS,2022-11-07T00:00:00,2022-11-07T09:00:00,553.0,593.0,411.0,460.0,1668383989135,73799328232.4982,147611739.1934126,2022-11-07
KRW-GRS,2022-10-31T00:00:00,2022-10-31T09:00:00,450.0,732.0,446.0,553.0,1667779199870,832605439535.6218,1380174493.4529083,2022-10-31
KRW-GRS,2022-10-24T00:00:00,2022-10-24T09:00:00,435.0,811.0,430.0,450.0,1667174370803,442363112988.9756,781684692.0810158,2022-10-24
KRW-GRS,2022-10-17T00:00:00,2022-10-17T09:00:00,415.0,495.0,408.0,434.0,1666569592666,47543569637.85967,108345142.98779143,2022-10-17
KRW-GRS,2022-10-10T00:00:00,2022-10-10T09:00:00,438.0,441.0,386.0,415.0,1665964611920,9197720566.530218,21905011.60386362,2022-10-10
KRW-GRS,2022-10-03T00:00:00,2022-10-03T09:00:00,428.0,512.0,426.0,439.0,1665359951992,111782979451.95004,239819975.8707774,2022-10-03
KRW-GRS,2022-09-26T00:00:00,2022-09-26T09:00:00,447.0,462.0,424.0,429.0,1664755118806,19418104146.490208,44175085.68802083,2022-09-26
KRW-GRS,2022-09-19T00:00:00,2022-09-19T09:00:00,428.0,648.0,420.0,448.0,1664150399249,215493428491.7593,413785536.658679,2022-09-19
KRW-GRS,2022-09-12T00:00:00,2022-09-12T09:00:00,452.0,470.0,419.0,428.0,1663545546376,17376847910.035824,39110962.56676952,2022-09-12
KRW-GRS,2022-09-05T00:00:00,2022-09-05T09:00:00,425.0,475.0,404.0,452.0,1662940787181,20519233363.711636,47008720.14294759,2022-09-05
KRW-GRS,2022-08-29T00:00:00,2022-08-29T09:00:00,427.0,444.0,412.0,425.0,1662335991067,13098184248.344517,30529127.73093489,2022-08-29
KRW-GRS,2022-08-22T00:00:00,2022-08-22T09:00:00,451.0,506.0,426.0,427.0,1661731199915,34298860995.96441,73719206.89542852,2022-08-22
KRW-GRS,2022-08-15T00:00:00,2022-08-15T09:00:00,522.0,542.0,440.0,451.0,1661126393121,16751223759.163164,34072529.38365907,2022-08-15
KRW-GRS,2022-08-08T00:00:00,2022-08-08T09:00:00,495.0,533.0,470.0,523.0,1660521598405,26009410238.069378,51188027.19934841,2022-08-08
KRW-GRS,2022-08-01T00:00:00,2022-08-01T09:00:00,481.0,535.0,465.0,496.0,1659916799350,28810593458.589947,58232024.72845467,2022-08-01
KRW-GRS,2022-07-25T00:00:00,2022-07-25T09:00:00,452.0,510.0,428.0,481.0,1659311999295,33687109864.078495,72003563.95381665,2022-07-25
KRW-GRS,2022-07-18T00:00:00,2022-07-18T09:00:00,437.0,489.0,433.0,451.0,1658707199884,46783780585.21864,101256344.39853308,2022-07-18
KRW-GRS,2022-07-11T00:00:00,2022-07-11T09:00:00,460.0,464.0,397.0,437.0,1658102394497,15452259108.099638,35954733.40040206,2022-07-11
KRW-GRS,2022-07-04T00:00:00,2022-07-04T09:00:00,466.0,498.0,442.0,459.0,1657497574816,26530639598.915287,57147232.43459677,2022-07-04
KRW-GRS,2022-06-27T00:00:00,2022-06-27T09:00:00,480.0,683.0,429.0,466.0,1656892797617,358745584661.40356,613442666.6366221,2022-06-27
KRW-GRS,2022-06-20T00:00:00,2022-06-20T09:00:00,451.0,507.0,428.0,480.0,1656287985141,24032190797.600044,51057319.32554297,2022-06-20
KRW-GRS,2022-06-13T00:00:00,2022-06-13T09:00:00,495.0,511.0,370.0,451.0,1655683196333,22519852140.147945,52380642.56831525,2022-06-13
KRW-GRS,2022-06-06T00:00:00,2022-06-06T09:00:00,604.0,663.0,480.0,495.0,1655078392284,35311966143.2258,59930724.73830896,2022-06-06
KRW-GRS,2022-05-30T00:00:00,2022-05-30T09:00:00,560.0,637.0,545.0,602.0,1654473589458,54815575254.57343,95235971.32768653,2022-05-30
KRW-GRS,2022-05-23T00:00:00,2022-05-23T09:00:00,556.0,735.0,479.0,561.0,1653868798238,82097354455.38203,139381942.61226773,2022-05-23
KRW-GRS,2022-05-16T00:00:00,2022-05-16T09:00:00,586.0,595.0,472.0,557.0,1653263990707,19292283086.72003,36092806.69942804,2022-05-16
KRW-GRS,2022-05-09T00:00:00,2022-05-09T09:00:00,684.0,691.0,447.0,584.0,1652659194436,34809292368.5416,60872722.62834815,2022-05-09
KRW-GRS,2022-05-02T00:00:00,2022-05-02T09:00:00,737.0,791.0,678.0,684.0,1652054400052,18491281722.63474,25069427.90544299,2022-05-02
KRW-GRS,2022-04-25T00:00:00,2022-04-25T09:00:00,813.0,937.0,700.0,740.0,1651449597519,142208233915.03537,167919333.1182277,2022-04-25
KRW-GRS,2022-04-18T00:00:00,2022-04-18T09:00:00,810.0,980.0,770.0,811.0,1650844799518,133763214431.44957,150320096.77671808,2022-04-18
KRW-GRS,2022-04-11T00:00:00,2022-04-11T09:00:00,843.0,986.0,758.0,812.0,1650239996789,97000668041.29237,110034515.48748812,2022-04-11
KRW-GRS,2022-04-04T00:00:00,2022-04-04T09:00:00,954.0,956.0,821.0,849.0,1649635199548,15215632729.786366,17336143.04328343,2022-04-04
KRW-GRS,2022-03-28T00:00:00,2022-03-28T09:00:00,859.0,992.0,844.0,955.0,1649030396295,98763909449.06255,107354412.94156866,2022-03-28
KRW-GRS,2022-03-21T00:00:00,2022-03-21T09:00:00,744.0,988.0,730.0,857.0,1648425586361,131447220282.90504,156366630.48049414,2022-03-21
KRW-GRS,2022-03-14T00:00:00,2022-03-14T09:00:00,711.0,776.0,702.0,744.0,1647820797459,28977707609.879097,39509497.13469288,2022-03-14
KRW-GRS,2022-03-07T00:00:00,2022-03-07T09:00:00,704.0,825.0,677.0,711.0,1647215998525,105517554594.98987,140928399.80973125,2022-03-07
KRW-GRS,2022-02-28T00:00:00,2022-02-28T09:00:00,719.0,900.0,695.0,704.0,1646611196983,133926236513.27174,171720789.98387367,2022-02-28
KRW-GRS,2022-02-21T00:00:00,2022-02-21T09:00:00,693.0,813.0,593.0,721.0,1646006354144,65672311965.17589,89445392.1132059,2022-02-21
KRW-GRS,2022-02-14T00:00:00,2022-02-14T09:00:00,767.0,798.0,679.0,694.0,1645401598960,30829027969.59683,41313710.55007338,2022-02-14
KRW-GRS,2022-02-07T00:00:00,2022-02-07T09:00:00,821.0,854.0,730.0,770.0,1644796799067,32360830155.27181,40587800.15777872,2022-02-07
KRW-GRS,2022-01-31T00:00:00,2022-01-31T09:00:00,701.0,884.0,668.0,823.0,1644191999549,75706401241.15472,99054210.3814268,2022-01-31
KRW-GRS,2022-01-24T00:00:00,2022-01-24T09:00:00,671.0,716.0,580.0,702.0,1643587197129,23874526598.695045,36253179.56487724,2022-01-24
KRW-GRS,2022-01-17T00:00:00,2022-01-17T09:00:00,820.0,860.0,575.0,670.0,1642982398985,102948639657.5102,139443008.16822824,2022-01-17
KRW-GRS,2022-01-10T00:00:00,2022-01-10T09:00:00,816.0,988.0,720.0,820.0,1642377597217,215476039547.31992,247006929.99366933,2022-01-10
KRW-GRS,2022-01-03T00:00:00,2022-01-03T09:00:00,904.0,998.0,800.0,815.0,1641772782799,78200500045.52745,85773477.9017285,2022-01-03
KRW-GRS,2021-12-27T00:00:00,2021-12-27T09:00:00,938.0,997.0,827.0,904.0,1641167997704,120127980826.23404,131135447.01621442,2021-12-27
KRW-GRS,2021-12-20T00:00:00,2021-12-20T09:00:00,956.0,1000.0,878.0,938.0,1640563192401,65233392889.51524,69444828.06910864,2021-12-20
KRW-GRS,2021-12-13T00:00:00,2021-12-13T09:00:00,901.0,1280.0,782.0,957.0,1639958388619,330703731155.0201,300940686.1096383,2021-12-13
KRW-GRS,2021-12-06T00:00:00,2021-12-06T09:00:00,926.0,1105.0,810.0,903.0,1639353585608,59439453717.552925,61522905.4798764,2021-12-06
KRW-GRS,2021-11-29T00:00:00,2021-11-29T09:00:00,1290.0,1300.0,787.0,927.0,1638748798127,49533635373.752075,44107284.33382265,2021-11-29
KRW-GRS,2021-11-22T00:00:00,2021-11-22T09:00:00,1275.0,1315.0,1130.0,1290.0,1638143995706,63513863570.317825,51900363.83933832,2021-11-22
KRW-GRS,2021-11-15T00:00:00,2021-11-15T09:00:00,1175.0,1305.0,1095.0,1270.0,1637539182698,71456303453.16116,59170900.20033534,2021-11-15
KRW-GRS,2021-11-08T00:00:00,2021-11-08T09:00:00,1245.0,1295.0,1130.0,1175.0,1636934389710,42294218060.1115,34644633.35824967,2021-11-08
KRW-GRS,2021-11-01T00:00:00,2021-11-01T09:00:00,1240.0,1350.0,1145.0,1240.0,1636329578640,67863030507.18155,55480115.95442998,2021-11-01
KRW-GRS,2021-10-25T00:00:00,2021-10-25T09:00:00,1175.0,1290.0,1000.0,1240.0,1635724798592,61003927361.75735,52936881.02322159,2021-10-25
KRW-GRS,2021-10-18T00:00:00,2021-10-18T09:00:00,1185.0,1240.0,1120.0,1175.0,1635120000072,55581485374.90808,47147345.87589185,2021-10-18
KRW-GRS,2021-10-11T00:00:00,2021-10-11T09:00:00,1340.0,1480.0,1085.0,1185.0,1634515199868,100266953984.32037,79655192.83065891,2021-10-11
KRW-GRS,2021-10-04T00:00:00,2021-10-04T09:00:00,1035.0,1560.0,985.0,1340.0,1633910400080,205770124457.4708,164673718.8792228,2021-10-04
KRW-GRS,2021-09-27T00:00:00,2021-09-27T09:00:00,954.0,1040.0,826.0,1040.0,1633305599399,60260590899.38404,63805877.0895382,2021-09-27
KRW-GRS,2021-09-20T00:00:00,2021-09-20T09:00:00,1260.0,1260.0,896.0,954.0,1632700799283,48859942805.93045,47485551.56799758,2021-09-20
KRW-GRS,2021-09-13T00:00:00,2021-09-13T09:00:00,1190.0,1355.0,1065.0,1260.0,1632096000096,91150611738.87567,72900564.77043986,2021-09-13
KRW-GRS,2021-09-06T00:00:00,2021-09-06T09:00:00,1345.0,1510.0,1025.0,1190.0,1631491195452,106458526625.75374,83876776.10855395,2021-09-06
KRW-GRS,2021-08-30T00:00:00,2021-08-30T09:00:00,1145.0,1695.0,1080.0,1345.0,1630886397463,298957766580.0328,230843682.50692117,2021-08-30
KRW-GRS,2021-08-23T00:00:00,2021-08-23T09:00:00,1050.0,1380.0,1005.0,1145.0,1630281584498,239557664079.58368,202661971.97532538,2021-08-23
KRW-GRS,2021-08-16T00:00:00,2021-08-16T09:00:00,1045.0,1120.0,946.0,1050.0,1629676798002,80529376825.84154,76278245.62309761,2021-08-16
KRW-GRS,2021-08-09T00:00:00,2021-08-09T09:00:00,961.0,1120.0,921.0,1045.0,1629071998440,103573255145.9685,101668328.7317574,2021-08-09
KRW-GRS,2021-08-02T00:00:00,2021-08-02T09:00:00,900.0,1010.0,839.0,959.0,1628467193371,148779046124.81955,158007163.8506057,2021-08-02
KRW-GRS,2021-07-26T00:00:00,2021-07-26T09:00:00,736.0,1095.0,707.0,896.0,1627862395996,264458185868.0977,296593897.07375103,2021-07-26
KRW-GRS,2021-07-19T00:00:00,2021-07-19T09:00:00,729.0,768.0,566.0,738.0,1627257600081,41896498917.87919,60239608.3455259,2021-07-19
KRW-GRS,2021-07-12T00:00:00,2021-07-12T09:00:00,782.0,1030.0,675.0,728.0,1626652799860,238193314555.57202,266133544.76362625,2021-07-12
KRW-GRS,2021-07-05T00:00:00,2021-07-05T09:00:00,812.0,1030.0,677.0,786.0,1626047980005,239705961193.61472,269803754.3243188,2021-07-05
KRW-GRS,2021-06-28T00:00:00,2021-06-28T09:00:00,582.0,846.0,557.0,809.0,1625443199997,81210743178.65031,118836199.16673702,2021-06-28
KRW-GRS,2021-06-21T00:00:00,2021-06-21T09:00:00,657.0,660.0,379.0,583.0,1624838400170,109477384138.78535,191788763.10783273,2021-06-21
KRW-GRS,2021-06-14T00:00:00,2021-06-14T09:00:00,842.0,867.0,606.0,658.0,1624233594691,20398523719.93433,26176982.17908075,2021-06-14
KRW-GRS,2021-06-07T00:00:00,2021-06-07T09:00:00,1070.0,1160.0,777.0,842.0,1623628795045,136016704062.94963,139906923.1887372,2021-06-07
KRW-GRS,2021-05-31T00:00:00,2021-05-31T09:00:00,1140.0,1185.0,996.0,1070.0,1623023999572,75997792741.8439,69739167.55481409,2021-05-31
KRW-GRS,2021-05-24T00:00:00,2021-05-24T09:00:00,1390.0,1440.0,1010.0,1135.0,1622419198257,238939772627.9661,191548693.18706548,2021-05-24
KRW-GRS,2021-05-17T00:00:00,2021-05-17T09:00:00,1420.0,1575.0,731.0,1390.0,1621814400658,249817414583.40656,198124759.37706295,2021-05-17
KRW-GRS,2021-05-10T00:00:00,2021-05-10T09:00:00,2060.0,2255.0,1325.0,1420.0,1621209597167,184360314223.26767,103299983.98656163,2021-05-10
KRW-GRS,2021-05-03T00:00:00,2021-05-03T09:00:00,1810.0,2440.0,1595.0,2060.0,1620604799774,481643484295.0739,242694387.65314198,2021-05-03
KRW-GRS,2021-04-26T00:00:00,2021-04-26T09:00:00,1465.0,1920.0,1370.0,1810.0,1620000000426,298979007920.69073,178671885.46020657,2021-04-26
KRW-GRS,2021-04-19T00:00:00,2021-04-19T09:00:00,1835.0,2240.0,971.0,1470.0,1619395200245,432498032736.73645,262061889.29044798,2021-04-19
KRW-GRS,2021-04-12T00:00:00,2021-04-12T09:00:00,2290.0,2615.0,1690.0,1830.0,1618790393412,534978417189.83484,245818560.2383697,2021-04-12
KRW-GRS,2021-04-05T00:00:00,2021-04-05T09:00:00,1630.0,3790.0,986.0,2290.0,1618185600166,2728033987807.6855,1022396026.5716087,2021-04-05
KRW-GRS,2021-03-29T00:00:00,2021-03-29T09:00:00,1305.0,2000.0,1285.0,1635.0,1617580794321,247318800793.70044,162254738.22678477,2021-03-29
KRW-GRS,2021-03-22T00:00:00,2021-03-22T09:00:00,920.0,1555.0,859.0,1305.0,1616975999548,576910618331.4104,482245169.8730092,2021-03-22
KRW-GRS,2021-03-15T00:00:00,2021-03-15T09:00:00,833.0,1035.0,723.0,920.0,1616371198993,106870949767.8879,121909131.25641198,2021-03-15
KRW-GRS,2021-03-08T00:00:00,2021-03-08T09:00:00,850.0,880.0,758.0,833.0,1615766397856,96336764428.3905,116238577.64154299,2021-03-08
KRW-GRS,2021-03-01T00:00:00,2021-03-01T09:00:00,779.0,1005.0,701.0,851.0,1615161598861,253918270567.75012,305493985.8066229,2021-03-01
KRW-GRS,2021-02-22T00:00:00,2021-02-22T09:00:00,841.0,1125.0,496.0,777.0,1614556798110,488124676431.8463,566194924.9407912,2021-02-22
KRW-GRS,2021-02-15T00:00:00,2021-02-15T09:00:00,661.0,980.0,539.0,843.0,1613951992927,115918925556.01346,153001792.18527496,2021-02-15
KRW-GRS,2021-02-08T00:00:00,2021-02-08T09:00:00,485.0,756.0,463.0,660.0,1613347198498,97001014193.6964,157176373.5463168,2021-02-08
KRW-GRS,2021-02-01T00:00:00,2021-02-01T09:00:00,401.0,565.0,391.0,485.0,1612742388505,126235559900.30344,262466703.8443076,2021-02-01
KRW-GRS,2021-01-25T00:00:00,2021-01-25T09:00:00,401.0,424.0,362.0,402.0,1612137592682,22884854145.971977,57207737.65040295,2021-01-25
KRW-GRS,2021-01-18T00:00:00,2021-01-18T09:00:00,423.0,457.0,321.0,399.0,1611532797161,43124632459.029854,105686309.42040752,2021-01-18
KRW-GRS,2021-01-11T00:00:00,2021-01-11T09:00:00,439.0,520.0,319.0,424.0,1610927981063,50561446045.09449,122818019.8914688,2021-01-11
