market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-GRT,2023-10-09T00:00:00,2023-10-09T09:00:00,115.0,116.0,107.0,109.0,1697077530058,1844726622.542832,16604160.20058491,2023-10-09
KRW-GRT,2023-10-02T00:00:00,2023-10-02T09:00:00,126.0,127.0,114.0,115.0,1696809514099,4800683016.047132,40387985.49582319,2023-10-02
KRW-GRT,2023-09-25T00:00:00,2023-09-25T09:00:00,116.0,127.0,115.0,125.0,1696204776247,4420474377.564046,37148402.36340351,2023-09-25
KRW-GRT,2023-09-18T00:00:00,2023-09-18T09:00:00,113.0,142.0,112.0,116.0,1695599976358,13487615003.207714,108673374.41587456,2023-09-18
KRW-GRT,2023-09-11T00:00:00,2023-09-11T09:00:00,114.0,121.0,105.0,113.0,1694995180529,7644224415.21559,68070159.58011468,2023-09-11
KRW-GRT,2023-09-04T00:00:00,2023-09-04T09:00:00,119.0,121.0,113.0,114.0,1694390316110,3900149340.4115963,33182421.31709748,2023-09-04
KRW-GRT,2023-08-28T00:00:00,2023-08-28T09:00:00,121.0,129.0,116.0,118.0,1693785573574,7727337531.419723,63367534.88227586,2023-08-28
KRW-GRT,2023-08-21T00:00:00,2023-08-21T09:00:00,129.0,130.0,120.0,120.0,1693180772051,3457702048.843158,28011206.24697117,2023-08-21
KRW-GRT,2023-08-14T00:00:00,2023-08-14T09:00:00,142.0,148.0,117.0,129.0,1692575718523,7395880113.801701,55248927.18766416,2023-08-14
KRW-GRT,2023-08-07T00:00:00,2023-08-07T09:00:00,139.0,147.0,135.0,141.0,1691970911415,4153019620.8706875,29271778.0189353,2023-08-07
KRW-GRT,2023-07-31T00:00:00,2023-07-31T09:00:00,142.0,147.0,136.0,139.0,1691366256416,5243105628.779454,36986852.27068774,2023-07-31
KRW-GRT,2023-07-24T00:00:00,2023-07-24T09:00:00,152.0,161.0,139.0,142.0,1690761576762,16810680246.145628,113264940.1279504,2023-07-24
KRW-GRT,2023-07-17T00:00:00,2023-07-17T09:00:00,152.0,158.0,146.0,152.0,1690156555844,14156720079.094294,92986749.23815931,2023-07-17
KRW-GRT,2023-07-10T00:00:00,2023-07-10T09:00:00,152.0,165.0,145.0,153.0,1689551998237,22668067506.664833,148301306.2561553,2023-07-10
KRW-GRT,2023-07-03T00:00:00,2023-07-03T09:00:00,156.0,190.0,150.0,153.0,1688947124837,159850986553.55756,943819935.744558,2023-07-03
KRW-GRT,2023-06-26T00:00:00,2023-06-26T09:00:00,150.0,165.0,130.0,157.0,1688342398729,58126110133.565125,389138319.9457994,2023-06-26
KRW-GRT,2023-06-19T00:00:00,2023-06-19T09:00:00,130.0,154.0,127.0,150.0,1687737599584,24568775298.476902,172338970.2310753,2023-06-19
KRW-GRT,2023-06-12T00:00:00,2023-06-12T09:00:00,132.0,139.0,123.0,130.0,1687132759024,14706467530.832148,112888279.23848677,2023-06-12
KRW-GRT,2023-06-05T00:00:00,2023-06-05T09:00:00,165.0,166.0,116.0,132.0,1686527999492,24063481039.078484,165249181.64010447,2023-06-05
KRW-GRT,2023-05-29T00:00:00,2023-05-29T09:00:00,161.0,190.0,161.0,166.0,1685923198450,76410587338.31776,431142696.75753754,2023-05-29
