market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HBAR,2023-10-09T00:00:00,2023-10-09T09:00:00,65.4,65.6,62.1,62.7,1697076799822,7804129541.241164,122281646.14254235,2023-10-09
KRW-HBAR,2023-10-02T00:00:00,2023-10-02T09:00:00,68.8,72.4,64.9,65.5,1696809566259,32935732338.277847,484915006.62858427,2023-10-02
KRW-HBAR,2023-09-25T00:00:00,2023-09-25T09:00:00,67.5,68.8,66.4,68.8,1696204798825,13996002916.252373,207178480.9930531,2023-09-25
KRW-HBAR,2023-09-18T00:00:00,2023-09-18T09:00:00,66.7,70.7,66.1,67.4,1695599995241,23403628618.676502,342033620.9472869,2023-09-18
KRW-HBAR,2023-09-11T00:00:00,2023-09-11T09:00:00,65.3,72.5,62.0,66.7,1694995182410,61058186475.77937,885988051.7097675,2023-09-11
KRW-HBAR,2023-09-04T00:00:00,2023-09-04T09:00:00,66.2,69.3,64.5,65.2,1694390395619,25456007300.629528,382383937.81998986,2023-09-04
KRW-HBAR,2023-08-28T00:00:00,2023-08-28T09:00:00,79.1,79.6,65.3,66.1,1693785598627,61219825836.80665,846140872.3386817,2023-08-28
KRW-HBAR,2023-08-21T00:00:00,2023-08-21T09:00:00,84.1,88.9,76.6,79.1,1693180783836,191361483153.31122,2310254422.851999,2023-08-21
KRW-HBAR,2023-08-14T00:00:00,2023-08-14T09:00:00,76.0,102.0,74.6,84.3,1692575999368,733119889036.1683,8250020628.282998,2023-08-14
KRW-HBAR,2023-08-07T00:00:00,2023-08-07T09:00:00,76.6,85.3,72.3,76.0,1691971189001,156861364591.60504,1967678425.9562426,2023-08-07
KRW-HBAR,2023-07-31T00:00:00,2023-07-31T09:00:00,68.4,79.6,66.1,76.6,1691366399459,76792616129.6687,1060650190.1224114,2023-07-31
KRW-HBAR,2023-07-24T00:00:00,2023-07-24T09:00:00,69.2,71.2,66.1,68.4,1690761585207,21998915130.472813,321654686.5154281,2023-07-24
KRW-HBAR,2023-07-17T00:00:00,2023-07-17T09:00:00,65.3,79.2,64.6,69.3,1690156799696,173022209835.96646,2401862587.224303,2023-07-17
KRW-HBAR,2023-07-10T00:00:00,2023-07-10T09:00:00,62.2,69.5,60.8,65.3,1689551972249,20878281082.004402,321844339.21390676,2023-07-10
KRW-HBAR,2023-07-03T00:00:00,2023-07-03T09:00:00,66.5,68.2,61.0,62.2,1688947191399,15311137805.926752,239792498.58985186,2023-07-03
KRW-HBAR,2023-06-26T00:00:00,2023-06-26T09:00:00,69.0,70.4,62.8,66.3,1688342389590,14936506909.84499,223663519.4357038,2023-06-26
KRW-HBAR,2023-06-19T00:00:00,2023-06-19T09:00:00,59.4,80.2,58.1,68.8,1687737597658,34705456070.025955,490457433.3371717,2023-06-19
KRW-HBAR,2023-06-12T00:00:00,2023-06-12T09:00:00,58.8,62.3,55.0,59.2,1687132665606,8093247173.899375,137977923.49874297,2023-06-12
KRW-HBAR,2023-06-05T00:00:00,2023-06-05T09:00:00,66.5,67.6,52.5,58.8,1686527977533,11833498121.711462,189799909.60632738,2023-06-05
KRW-HBAR,2023-05-29T00:00:00,2023-05-29T09:00:00,71.0,71.5,66.4,66.4,1685923169487,6865030547.266637,100826152.2236155,2023-05-29
KRW-HBAR,2023-05-22T00:00:00,2023-05-22T09:00:00,70.2,72.3,67.1,71.0,1685318362226,6844620268.980104,98846489.36492984,2023-05-22
KRW-HBAR,2023-05-15T00:00:00,2023-05-15T09:00:00,70.1,72.0,69.1,70.2,1684713550618,6988323977.959296,98886867.5785499,2023-05-15
KRW-HBAR,2023-05-08T00:00:00,2023-05-08T09:00:00,75.7,76.1,67.5,70.1,1684108797251,12844273092.3293,179834851.13619623,2023-05-08
KRW-HBAR,2023-05-01T00:00:00,2023-05-01T09:00:00,85.1,86.5,74.6,75.7,1683503954299,33359057633.80991,414262658.71748024,2023-05-01
KRW-HBAR,2023-04-24T00:00:00,2023-04-24T09:00:00,80.5,88.4,78.4,85.1,1682899198272,99417059743.09929,1176563048.9408007,2023-04-24
KRW-HBAR,2023-04-17T00:00:00,2023-04-17T09:00:00,90.0,90.3,78.5,80.6,1682294365156,26527810786.83187,312820903.9223904,2023-04-17
KRW-HBAR,2023-04-10T00:00:00,2023-04-10T09:00:00,85.2,94.1,83.5,90.2,1681689585270,65422796423.46237,744400290.7456652,2023-04-10
KRW-HBAR,2023-04-03T00:00:00,2023-04-03T09:00:00,96.5,96.9,83.6,85.1,1681084771992,58504552511.20234,657611110.6583722,2023-04-03
KRW-HBAR,2023-03-27T00:00:00,2023-03-27T09:00:00,82.2,108.0,76.1,96.9,1680479995524,311162301936.97217,3270187939.4046082,2023-03-27
KRW-HBAR,2023-03-20T00:00:00,2023-03-20T09:00:00,86.5,86.6,78.9,82.3,1679875196115,31535690308.557514,382135062.40300244,2023-03-20
KRW-HBAR,2023-03-13T00:00:00,2023-03-13T09:00:00,82.1,89.2,77.7,86.5,1679270397354,52968422409.36311,630060362.2844703,2023-03-13
KRW-HBAR,2023-03-06T00:00:00,2023-03-06T09:00:00,85.8,86.5,74.0,82.0,1678665599209,31325813896.627308,392541921.784001,2023-03-06
KRW-HBAR,2023-02-27T00:00:00,2023-02-27T09:00:00,99.5,99.7,83.1,85.8,1678060778494,44834090866.16201,491627563.80181,2023-02-27
KRW-HBAR,2023-02-20T00:00:00,2023-02-20T09:00:00,114.0,115.0,97.0,99.6,1677455986291,40545019034.59734,383264485.69540817,2023-02-20
KRW-HBAR,2023-02-13T00:00:00,2023-02-13T09:00:00,112.0,119.0,102.0,114.0,1676851198340,95986832574.17897,855544874.8161044,2023-02-13
KRW-HBAR,2023-02-06T00:00:00,2023-02-06T09:00:00,88.5,128.0,86.0,113.0,1676246400046,242341940894.23853,2307100737.397397,2023-02-06
KRW-HBAR,2023-01-30T00:00:00,2023-01-30T09:00:00,86.5,98.6,77.9,88.4,1675641562903,47880756192.62985,540390612.3132415,2023-01-30
KRW-HBAR,2023-01-23T00:00:00,2023-01-23T09:00:00,86.4,89.0,77.4,86.6,1675036791790,46184341957.705605,549987727.9108201,2023-01-23
KRW-HBAR,2023-01-16T00:00:00,2023-01-16T09:00:00,64.8,99.6,62.9,86.3,1674431991225,128309612339.01439,1606123337.3959246,2023-01-16
KRW-HBAR,2023-01-09T00:00:00,2023-01-09T09:00:00,52.9,66.3,52.8,64.9,1673827180294,30769585537.437927,505152408.18927985,2023-01-09
KRW-HBAR,2023-01-02T00:00:00,2023-01-02T09:00:00,48.3,53.4,46.8,52.9,1673222396195,11671493881.949547,236181443.5276057,2023-01-02
KRW-HBAR,2022-12-26T00:00:00,2022-12-26T09:00:00,56.5,57.3,46.0,48.3,1672617576306,9318059261.197145,189754457.16217774,2022-12-26
KRW-HBAR,2022-12-19T00:00:00,2022-12-19T09:00:00,58.2,58.7,52.7,56.5,1672011494750,3383360895.644776,60379995.24267612,2022-12-19
KRW-HBAR,2022-12-12T00:00:00,2022-12-12T09:00:00,63.7,65.3,54.0,58.1,1671407868736,13979065770.910177,231807175.91305926,2022-12-12
KRW-HBAR,2022-12-05T00:00:00,2022-12-05T09:00:00,64.6,65.7,61.8,63.7,1670803192133,7586189396.981468,118328858.09787165,2022-12-05
KRW-HBAR,2022-11-28T00:00:00,2022-11-28T09:00:00,67.8,68.7,63.7,64.5,1670198378468,8723995216.194908,131827798.77267256,2022-11-28
KRW-HBAR,2022-11-21T00:00:00,2022-11-21T09:00:00,64.5,69.9,62.4,67.8,1669593578461,19372269382.635563,293189464.8393859,2022-11-21
KRW-HBAR,2022-11-14T00:00:00,2022-11-14T09:00:00,62.2,70.6,58.2,64.5,1668988796812,35448074217.75227,533946106.5846456,2022-11-14
KRW-HBAR,2022-11-07T00:00:00,2022-11-07T09:00:00,83.6,84.8,60.1,62.2,1668383958262,55419527835.82462,768083410.6400932,2022-11-07
KRW-HBAR,2022-10-31T00:00:00,2022-10-31T09:00:00,85.9,89.4,81.5,83.6,1667779199255,41023606922.45354,478546465.46647,2022-10-31
KRW-HBAR,2022-10-24T00:00:00,2022-10-24T09:00:00,86.7,88.2,82.9,85.9,1667174391011,34550642248.86441,405660873.76640654,2022-10-24
KRW-HBAR,2022-10-17T00:00:00,2022-10-17T09:00:00,88.3,92.9,81.8,86.7,1666569596940,45800626498.762726,521194467.39639544,2022-10-17
KRW-HBAR,2022-10-10T00:00:00,2022-10-10T09:00:00,85.4,97.4,81.9,88.3,1665964796979,254453485436.84024,2799770065.360961,2022-10-10
KRW-HBAR,2022-10-03T00:00:00,2022-10-03T09:00:00,82.0,87.4,81.2,85.5,1665359995387,31652708268.533875,376930312.8049792,2022-10-03
