market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HIFI,2023-10-09T00:00:00,2023-10-09T09:00:00,899.0,900.0,795.0,800.0,1697076703697,36888207584.91722,43746631.30457976,2023-10-09
KRW-HIFI,2023-10-02T00:00:00,2023-10-02T09:00:00,989.0,1005.0,842.0,899.0,1696809573350,236728547242.01334,256015850.2344529,2023-10-02
KRW-HIFI,2023-09-25T00:00:00,2023-09-25T09:00:00,1025.0,1040.0,866.0,989.0,1696204799684,295425595190.40234,306269048.01762503,2023-09-25
KRW-HIFI,2023-09-18T00:00:00,2023-09-18T09:00:00,1220.0,1260.0,932.0,1025.0,1695599997384,657468290854.7772,595187676.7035273,2023-09-18
KRW-HIFI,2023-09-11T00:00:00,2023-09-11T09:00:00,779.0,3560.0,734.0,1220.0,1694995199843,3063275435640.931,1851149355.6950533,2023-09-11
KRW-HIFI,2023-09-04T00:00:00,2023-09-04T09:00:00,707.0,885.0,664.0,779.0,1694390399054,301839438856.9496,399179088.86443776,2023-09-04
KRW-HIFI,2023-08-28T00:00:00,2023-08-28T09:00:00,618.0,807.0,506.0,708.0,1693785599766,271835632212.392,425515373.81464016,2023-08-28
KRW-HIFI,2023-08-21T00:00:00,2023-08-21T09:00:00,504.0,665.0,494.0,619.0,1693180799550,373482656346.35614,642535030.8891002,2023-08-21
KRW-HIFI,2023-08-14T00:00:00,2023-08-14T09:00:00,508.0,641.0,413.0,504.0,1692575999451,366962929121.891,715185542.6384019,2023-08-14
KRW-HIFI,2023-08-07T00:00:00,2023-08-07T09:00:00,422.0,533.0,416.0,508.0,1691971199384,151898876335.19888,313089116.2653471,2023-08-07
KRW-HIFI,2023-07-31T00:00:00,2023-07-31T09:00:00,417.0,438.0,411.0,423.0,1691366389214,19354419926.200745,45787206.94118309,2023-07-31
KRW-HIFI,2023-07-24T00:00:00,2023-07-24T09:00:00,418.0,477.0,398.0,418.0,1690761598845,43636251702.788,100589482.46371762,2023-07-24
KRW-HIFI,2023-07-17T00:00:00,2023-07-17T09:00:00,419.0,440.0,398.0,419.0,1690156794440,28628671046.95833,68562844.66530584,2023-07-17
KRW-HIFI,2023-07-10T00:00:00,2023-07-10T09:00:00,511.0,647.0,396.0,420.0,1689551999665,481733482491.44055,934115210.2309203,2023-07-10
KRW-HIFI,2023-07-03T00:00:00,2023-07-03T09:00:00,419.0,511.0,394.0,510.0,1688947199951,117520756023.0766,263333032.74070448,2023-07-03
KRW-HIFI,2023-06-26T00:00:00,2023-06-26T09:00:00,427.0,561.0,408.0,419.0,1688342384306,384848064306.01514,816331701.1914533,2023-06-26
KRW-HIFI,2023-06-19T00:00:00,2023-06-19T09:00:00,354.0,455.0,347.0,427.0,1687737599919,34044195510.735546,83636681.73305932,2023-06-19
KRW-HIFI,2023-06-12T00:00:00,2023-06-12T09:00:00,356.0,380.0,324.0,354.0,1687132796843,6568582981.578665,18814896.31166396,2023-06-12
KRW-HIFI,2023-06-05T00:00:00,2023-06-05T09:00:00,448.0,450.0,338.0,355.0,1686527999338,9321212531.521978,23562086.1510672,2023-06-05
KRW-HIFI,2023-05-29T00:00:00,2023-05-29T09:00:00,459.0,468.0,431.0,448.0,1685923133030,5892329196.282229,13130909.06015458,2023-05-29
KRW-HIFI,2023-05-22T00:00:00,2023-05-22T09:00:00,474.0,480.0,436.0,457.0,1685318371747,8289969228.082187,18125716.0159649,2023-05-22
KRW-HIFI,2023-05-15T00:00:00,2023-05-15T09:00:00,483.0,494.0,473.0,474.0,1684713599366,10601745417.539152,21920828.66866724,2023-05-15
KRW-HIFI,2023-05-08T00:00:00,2023-05-08T09:00:00,510.0,512.0,466.0,484.0,1684108786738,23182225082.54394,47132622.68066099,2023-05-08
KRW-HIFI,2023-05-01T00:00:00,2023-05-01T09:00:00,549.0,563.0,506.0,511.0,1683503975560,63526813616.707695,119337098.25465314,2023-05-01
KRW-HIFI,2023-04-24T00:00:00,2023-04-24T09:00:00,603.0,604.0,537.0,550.0,1682899162682,54358665335.8378,96849331.57423328,2023-04-24
KRW-HIFI,2023-04-17T00:00:00,2023-04-17T09:00:00,575.0,902.0,543.0,603.0,1682294398337,1144837431229.8613,1554799371.1018548,2023-04-17
KRW-HIFI,2023-04-10T00:00:00,2023-04-10T09:00:00,554.0,596.0,550.0,576.0,1681689595507,46893621562.41284,81899002.86726098,2023-04-10
KRW-HIFI,2023-04-03T00:00:00,2023-04-03T09:00:00,554.0,674.0,541.0,553.0,1681084796461,49959217627.20359,83724959.01697141,2023-04-03
KRW-HIFI,2023-03-27T00:00:00,2023-03-27T09:00:00,555.0,576.0,510.0,555.0,1680479969821,15845122428.459919,29017909.35705574,2023-03-27
KRW-HIFI,2023-03-20T00:00:00,2023-03-20T09:00:00,591.0,631.0,539.0,554.0,1679875198922,37288718216.32959,63294633.48944621,2023-03-20
KRW-HIFI,2023-03-13T00:00:00,2023-03-13T09:00:00,530.0,624.0,510.0,590.0,1679270389932,64932315310.77622,110791012.28085504,2023-03-13
KRW-HIFI,2023-03-06T00:00:00,2023-03-06T09:00:00,613.0,623.0,485.0,530.0,1678665566463,19407742587.774063,35656347.10588998,2023-03-06
KRW-HIFI,2023-02-27T00:00:00,2023-02-27T09:00:00,665.0,675.0,596.0,614.0,1678060761410,30400437208.16249,47707232.21855158,2023-02-27
KRW-HIFI,2023-02-20T00:00:00,2023-02-20T09:00:00,658.0,771.0,641.0,665.0,1677455979885,97585084732.1695,142362930.77257237,2023-02-20
KRW-HIFI,2023-02-13T00:00:00,2023-02-13T09:00:00,633.0,673.0,581.0,658.0,1676851156300,44503669317.89051,69894805.42350557,2023-02-13
KRW-HIFI,2023-02-06T00:00:00,2023-02-06T09:00:00,649.0,739.0,619.0,634.0,1676246347842,96210371026.73917,142159057.97161672,2023-02-06
KRW-HIFI,2023-01-30T00:00:00,2023-01-30T09:00:00,650.0,695.0,590.0,649.0,1675641599895,100119517950.91812,156560021.79659757,2023-01-30
KRW-HIFI,2023-01-23T00:00:00,2023-01-23T09:00:00,639.0,685.0,599.0,652.0,1675036794877,93091802082.96707,145568982.38394418,2023-01-23
KRW-HIFI,2023-01-16T00:00:00,2023-01-16T09:00:00,660.0,677.0,589.0,639.0,1674431987304,70803111847.03622,111756143.76256894,2023-01-16
KRW-HIFI,2023-01-09T00:00:00,2023-01-09T09:00:00,557.0,705.0,551.0,659.0,1673827198691,270037594103.41568,422959529.45313203,2023-01-09
KRW-HIFI,2023-01-02T00:00:00,2023-01-02T09:00:00,573.0,581.0,531.0,558.0,1673222389524,39969568974.347,71188650.67202426,2023-01-02
KRW-HIFI,2022-12-26T00:00:00,2022-12-26T09:00:00,663.0,730.0,551.0,572.0,1672617590547,180490662711.29953,284131821.42313147,2022-12-26
KRW-HIFI,2022-12-19T00:00:00,2022-12-19T09:00:00,713.0,745.0,615.0,663.0,1672012781918,111114339247.93602,162122918.89502135,2022-12-19
KRW-HIFI,2022-12-12T00:00:00,2022-12-12T09:00:00,915.0,927.0,682.0,713.0,1671407995559,150419808538.3134,183796156.45400918,2022-12-12
KRW-HIFI,2022-12-05T00:00:00,2022-12-05T09:00:00,950.0,1050.0,766.0,915.0,1670803196549,361839268127.25183,390052810.6129776,2022-12-05
KRW-HIFI,2022-11-28T00:00:00,2022-11-28T09:00:00,732.0,1010.0,692.0,950.0,1670198399075,488800037444.5123,554332603.1092628,2022-11-28
KRW-HIFI,2022-11-21T00:00:00,2022-11-21T09:00:00,595.0,822.0,555.0,732.0,1669593599445,175733614390.93805,249138207.45596907,2022-11-21
KRW-HIFI,2022-11-14T00:00:00,2022-11-14T09:00:00,568.0,737.0,496.0,595.0,1668988787854,157979612498.8564,258170308.7866945,2022-11-14
KRW-HIFI,2022-11-07T00:00:00,2022-11-07T09:00:00,762.0,806.0,500.0,571.0,1668383996267,67910587331.24959,104205603.85958643,2022-11-07
KRW-HIFI,2022-10-31T00:00:00,2022-10-31T09:00:00,703.0,849.0,700.0,762.0,1667779186032,102723933963.59627,133460048.94472729,2022-10-31
KRW-HIFI,2022-10-24T00:00:00,2022-10-24T09:00:00,686.0,797.0,682.0,702.0,1667174398848,83445307397.32733,114429266.43655816,2022-10-24
KRW-HIFI,2022-10-17T00:00:00,2022-10-17T09:00:00,679.0,856.0,652.0,688.0,1666569597556,138149087350.339,182851903.07132033,2022-10-17
KRW-HIFI,2022-10-10T00:00:00,2022-10-10T09:00:00,716.0,744.0,623.0,681.0,1665964789012,28816777350.677444,41891788.59441221,2022-10-10
KRW-HIFI,2022-10-03T00:00:00,2022-10-03T09:00:00,687.0,783.0,681.0,716.0,1665359975435,52382900399.45681,72421908.73211993,2022-10-03
KRW-HIFI,2022-09-26T00:00:00,2022-09-26T09:00:00,722.0,736.0,674.0,687.0,1664755156033,31240795710.14652,44438339.73422709,2022-09-26
KRW-HIFI,2022-09-19T00:00:00,2022-09-19T09:00:00,737.0,767.0,682.0,722.0,1664150390900,61658637221.398186,84749170.46137778,2022-09-19
KRW-HIFI,2022-09-12T00:00:00,2022-09-12T09:00:00,881.0,897.0,712.0,734.0,1663545591729,191075279144.9155,228301032.92309144,2022-09-12
KRW-HIFI,2022-09-05T00:00:00,2022-09-05T09:00:00,779.0,1050.0,769.0,881.0,1662940799273,552493626958.134,618254204.2050809,2022-09-05
KRW-HIFI,2022-08-29T00:00:00,2022-08-29T09:00:00,752.0,851.0,724.0,777.0,1662336000048,88725639071.42155,110322178.63516249,2022-08-29
KRW-HIFI,2022-08-22T00:00:00,2022-08-22T09:00:00,718.0,810.0,673.0,752.0,1661731198792,62587261186.40346,83617437.917562,2022-08-22
KRW-HIFI,2022-08-15T00:00:00,2022-08-15T09:00:00,804.0,863.0,669.0,719.0,1661126391947,58723313123.091896,76782074.7840836,2022-08-15
KRW-HIFI,2022-08-08T00:00:00,2022-08-08T09:00:00,632.0,1010.0,606.0,805.0,1660521597998,927980196115.0586,1048791329.2123228,2022-08-08
KRW-HIFI,2022-08-01T00:00:00,2022-08-01T09:00:00,615.0,691.0,592.0,632.0,1659916795325,51522761414.539406,80859636.22853261,2022-08-01
KRW-HIFI,2022-07-25T00:00:00,2022-07-25T09:00:00,598.0,644.0,541.0,616.0,1659311990186,38203596461.99672,64433052.16743692,2022-07-25
KRW-HIFI,2022-07-18T00:00:00,2022-07-18T09:00:00,571.0,714.0,561.0,597.0,1658707200020,133584698995.31224,215802203.4540379,2022-07-18
KRW-HIFI,2022-07-11T00:00:00,2022-07-11T09:00:00,575.0,659.0,488.0,572.0,1658102395047,171406510550.83838,299575469.4511185,2022-07-11
KRW-HIFI,2022-07-04T00:00:00,2022-07-04T09:00:00,490.0,870.0,465.0,575.0,1657497599696,240711853920.51932,376430253.39666516,2022-07-04
KRW-HIFI,2022-06-27T00:00:00,2022-06-27T09:00:00,503.0,533.0,430.0,491.0,1656892793575,39521779652.72468,80669367.21118128,2022-06-27
KRW-HIFI,2022-06-20T00:00:00,2022-06-20T09:00:00,447.0,582.0,430.0,503.0,1656287982703,52065076606.231995,103460742.52042435,2022-06-20
KRW-HIFI,2022-06-13T00:00:00,2022-06-13T09:00:00,521.0,527.0,402.0,445.0,1655683182467,31102192210.3635,69380587.93509014,2022-06-13
KRW-HIFI,2022-06-06T00:00:00,2022-06-06T09:00:00,702.0,817.0,507.0,521.0,1655078396647,47075852212.03497,69848260.5560344,2022-06-06
KRW-HIFI,2022-05-30T00:00:00,2022-05-30T09:00:00,589.0,719.0,577.0,703.0,1654473598080,60546660177.39688,95199234.03245127,2022-05-30
KRW-HIFI,2022-05-23T00:00:00,2022-05-23T09:00:00,668.0,687.0,538.0,591.0,1653868798661,72784859769.84987,119975031.84346163,2022-05-23
KRW-HIFI,2022-05-16T00:00:00,2022-05-16T09:00:00,691.0,710.0,537.0,670.0,1653263999544,29471492793.40959,46366006.05761329,2022-05-16
KRW-HIFI,2022-05-09T00:00:00,2022-05-09T09:00:00,812.0,839.0,450.0,691.0,1652659199815,47460963682.55255,75215941.74429604,2022-05-09
KRW-HIFI,2022-05-02T00:00:00,2022-05-02T09:00:00,897.0,983.0,795.0,806.0,1652054398947,33197783260.764503,36713919.25904185,2022-05-02
KRW-HIFI,2022-04-25T00:00:00,2022-04-25T09:00:00,1070.0,1080.0,825.0,897.0,1651449600027,43019643361.81347,43455519.62360034,2022-04-25
KRW-HIFI,2022-04-18T00:00:00,2022-04-18T09:00:00,1060.0,1120.0,1000.0,1080.0,1650844796723,34955087540.425644,32719909.92902227,2022-04-18
KRW-HIFI,2022-04-11T00:00:00,2022-04-11T09:00:00,1110.0,1270.0,974.0,1070.0,1650239994393,106705442885.24199,94959465.72990112,2022-04-11
KRW-HIFI,2022-04-04T00:00:00,2022-04-04T09:00:00,1390.0,1390.0,1090.0,1110.0,1649635194335,82697914912.08688,68599451.7408172,2022-04-04
KRW-HIFI,2022-03-28T00:00:00,2022-03-28T09:00:00,1080.0,1630.0,1070.0,1390.0,1649030396760,207618964441.56293,158761741.8137742,2022-03-28
KRW-HIFI,2022-03-21T00:00:00,2022-03-21T09:00:00,994.0,1190.0,970.0,1090.0,1648425596624,97304022015.83362,93130386.3935787,2022-03-21
KRW-HIFI,2022-03-14T00:00:00,2022-03-14T09:00:00,864.0,1190.0,814.0,996.0,1647820798549,499519385796.36725,491516273.6680878,2022-03-14
KRW-HIFI,2022-03-07T00:00:00,2022-03-07T09:00:00,823.0,952.0,757.0,865.0,1647215999340,220187960726.96597,250341454.41026658,2022-03-07
KRW-HIFI,2022-02-28T00:00:00,2022-02-28T09:00:00,770.0,880.0,734.0,822.0,1646611199986,90040302621.19194,111443992.54049812,2022-02-28
KRW-HIFI,2022-02-21T00:00:00,2022-02-21T09:00:00,734.0,850.0,626.0,770.0,1646006398677,44109263042.74882,59571636.88091078,2022-02-21
KRW-HIFI,2022-02-14T00:00:00,2022-02-14T09:00:00,832.0,906.0,718.0,734.0,1645401596297,25225272499.50113,30450816.60106981,2022-02-14
KRW-HIFI,2022-02-07T00:00:00,2022-02-07T09:00:00,902.0,1010.0,803.0,835.0,1644796795561,92872651631.33652,102649776.69596326,2022-02-07
KRW-HIFI,2022-01-31T00:00:00,2022-01-31T09:00:00,746.0,997.0,729.0,902.0,1644191999045,129044789777.77972,152135297.62773037,2022-01-31
KRW-HIFI,2022-01-24T00:00:00,2022-01-24T09:00:00,669.0,782.0,577.0,746.0,1643587193095,33519692043.175106,47524582.71209315,2022-01-24
KRW-HIFI,2022-01-17T00:00:00,2022-01-17T09:00:00,978.0,978.0,600.0,669.0,1642982389576,26393261756.19749,33943209.03891797,2022-01-17
KRW-HIFI,2022-01-10T00:00:00,2022-01-10T09:00:00,998.0,1120.0,910.0,976.0,1642377560210,44141368432.71248,44916174.86902417,2022-01-10
KRW-HIFI,2022-01-03T00:00:00,2022-01-03T09:00:00,1160.0,1250.0,960.0,1000.0,1641772782260,31039731739.959167,27910545.40224565,2022-01-03
KRW-HIFI,2021-12-27T00:00:00,2021-12-27T09:00:00,1150.0,1390.0,1020.0,1160.0,1641167998949,42880907421.974075,36107609.66539844,2021-12-27
KRW-HIFI,2021-12-20T00:00:00,2021-12-20T09:00:00,1080.0,1200.0,1010.0,1150.0,1640563149330,19727154179.72907,17848109.63714914,2021-12-20
KRW-HIFI,2021-12-13T00:00:00,2021-12-13T09:00:00,1170.0,1170.0,980.0,1080.0,1639958382908,28918575033.85451,27031543.17114993,2021-12-13
KRW-HIFI,2021-12-06T00:00:00,2021-12-06T09:00:00,1240.0,1320.0,1060.0,1160.0,1639353583855,42972616797.25917,35857184.65962576,2021-12-06
KRW-HIFI,2021-11-29T00:00:00,2021-11-29T09:00:00,1720.0,1870.0,1070.0,1230.0,1638748799941,84251904442.95616,52867864.12076939,2021-11-29
KRW-HIFI,2021-11-22T00:00:00,2021-11-22T09:00:00,1740.0,2050.0,1590.0,1720.0,1638143992908,176656567719.7823,96952831.82926004,2021-11-22
KRW-HIFI,2021-11-15T00:00:00,2021-11-15T09:00:00,1510.0,1920.0,1380.0,1740.0,1637539198033,175845143506.72482,107679750.81244776,2021-11-15
KRW-HIFI,2021-11-08T00:00:00,2021-11-08T09:00:00,1650.0,1660.0,1460.0,1520.0,1636934399532,36127394321.01892,23424326.62957814,2021-11-08
KRW-HIFI,2021-11-01T00:00:00,2021-11-01T09:00:00,1590.0,1690.0,1480.0,1650.0,1636329599803,89374864941.0713,56831190.97034035,2021-11-01
KRW-HIFI,2021-10-25T00:00:00,2021-10-25T09:00:00,1600.0,1610.0,1340.0,1590.0,1635724799310,53405628791.39483,35764404.05579669,2021-10-25
KRW-HIFI,2021-10-18T00:00:00,2021-10-18T09:00:00,1580.0,1750.0,1480.0,1600.0,1635119993083,66615006945.44213,41066058.95438371,2021-10-18
KRW-HIFI,2021-10-11T00:00:00,2021-10-11T09:00:00,1760.0,1960.0,1440.0,1590.0,1634515199013,154954431820.37396,93858273.55854417,2021-10-11
KRW-HIFI,2021-10-04T00:00:00,2021-10-04T09:00:00,1310.0,2870.0,1220.0,1760.0,1633910398952,625803529917.2106,338982594.1191732,2021-10-04
KRW-HIFI,2021-09-27T00:00:00,2021-09-27T09:00:00,1220.0,1490.0,1070.0,1300.0,1633305589499,75702386992.52074,59646783.3205585,2021-09-27
KRW-HIFI,2021-09-20T00:00:00,2021-09-20T09:00:00,1430.0,1580.0,1170.0,1220.0,1632700776232,96100441192.07751,71501979.20679761,2021-09-20
KRW-HIFI,2021-09-13T00:00:00,2021-09-13T09:00:00,1490.0,1590.0,1360.0,1430.0,1632095991456,45015814535.227066,30343528.899695,2021-09-13
KRW-HIFI,2021-09-06T00:00:00,2021-09-06T09:00:00,1680.0,1820.0,1190.0,1490.0,1631491198996,155418643028.4882,103088697.58343402,2021-09-06
KRW-HIFI,2021-08-30T00:00:00,2021-08-30T09:00:00,1390.0,1930.0,1340.0,1680.0,1630886399580,176447077439.37537,111958190.2812859,2021-08-30
KRW-HIFI,2021-08-23T00:00:00,2021-08-23T09:00:00,1420.0,1640.0,1310.0,1390.0,1630281596693,115215809390.92696,77450252.80774869,2021-08-23
KRW-HIFI,2021-08-16T00:00:00,2021-08-16T09:00:00,1440.0,1530.0,1290.0,1420.0,1629676799222,62755550497.405556,44167201.56606101,2021-08-16
KRW-HIFI,2021-08-09T00:00:00,2021-08-09T09:00:00,1340.0,1510.0,1280.0,1450.0,1629071989152,83621630894.45992,59385689.80237986,2021-08-09
KRW-HIFI,2021-08-02T00:00:00,2021-08-02T09:00:00,1120.0,1600.0,1040.0,1350.0,1628467200147,146717359237.128,112314167.32670443,2021-08-02
KRW-HIFI,2021-07-26T00:00:00,2021-07-26T09:00:00,976.0,1320.0,925.0,1120.0,1627862400056,113417231488.05542,101885994.4502578,2021-07-26
KRW-HIFI,2021-07-19T00:00:00,2021-07-19T09:00:00,821.0,1010.0,724.0,976.0,1627257599467,268720446725.01642,292951997.02294415,2021-07-19
KRW-HIFI,2021-07-12T00:00:00,2021-07-12T09:00:00,964.0,1030.0,773.0,832.0,1626652788356,40489172454.12363,44086002.5911725,2021-07-12
KRW-HIFI,2021-07-05T00:00:00,2021-07-05T09:00:00,1030.0,1150.0,838.0,965.0,1626047997089,80457420905.87909,80538501.61705287,2021-07-05
KRW-HIFI,2021-06-28T00:00:00,2021-06-28T09:00:00,675.0,1080.0,665.0,1030.0,1625443199944,140340808781.51273,163038202.80852696,2021-06-28
KRW-HIFI,2021-06-21T00:00:00,2021-06-21T09:00:00,899.0,932.0,533.0,676.0,1624838390422,24244647122.330826,34888724.94757276,2021-06-21
KRW-HIFI,2021-06-14T00:00:00,2021-06-14T09:00:00,1000.0,1290.0,826.0,899.0,1624233597424,76470097549.26064,75602403.24968004,2021-06-14
