market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HIVE,2023-10-09T00:00:00,2023-10-09T09:00:00,425.0,425.0,389.0,392.0,1697077194990,6287076807.908386,15557946.20840763,2023-10-09
KRW-HIVE,2023-10-02T00:00:00,2023-10-02T09:00:00,414.0,427.0,398.0,425.0,1696809597913,25929339916.554604,62623254.41733762,2023-10-02
KRW-HIVE,2023-09-25T00:00:00,2023-09-25T09:00:00,403.0,416.0,390.0,414.0,1696204794706,11645472976.40506,29041874.81396358,2023-09-25
KRW-HIVE,2023-09-18T00:00:00,2023-09-18T09:00:00,387.0,420.0,377.0,402.0,1695599984758,14192393838.417183,35607832.14246145,2023-09-18
KRW-HIVE,2023-09-11T00:00:00,2023-09-11T09:00:00,373.0,418.0,360.0,387.0,1694995194684,20789016880.087936,53537698.78988391,2023-09-11
KRW-HIVE,2023-09-04T00:00:00,2023-09-04T09:00:00,375.0,385.0,365.0,373.0,1694390398332,4792402793.566126,12808294.15405048,2023-09-04
KRW-HIVE,2023-08-28T00:00:00,2023-08-28T09:00:00,397.0,400.0,361.0,375.0,1693785594608,6769860150.9693365,17739140.06178809,2023-08-28
KRW-HIVE,2023-08-21T00:00:00,2023-08-21T09:00:00,406.0,406.0,382.0,396.0,1693180786085,7362326000.809385,18673522.01123487,2023-08-21
KRW-HIVE,2023-08-14T00:00:00,2023-08-14T09:00:00,462.0,465.0,377.0,406.0,1692575993290,17102437301.19248,40898980.16339353,2023-08-14
KRW-HIVE,2023-08-07T00:00:00,2023-08-07T09:00:00,461.0,479.0,451.0,462.0,1691971163960,15166817767.896881,32855711.6843335,2023-08-07
KRW-HIVE,2023-07-31T00:00:00,2023-07-31T09:00:00,473.0,520.0,453.0,460.0,1691366398840,46542541474.46327,96598214.00184414,2023-07-31
KRW-HIVE,2023-07-24T00:00:00,2023-07-24T09:00:00,481.0,496.0,442.0,473.0,1690761581277,26892333574.372784,57217759.78490875,2023-07-24
KRW-HIVE,2023-07-17T00:00:00,2023-07-17T09:00:00,483.0,513.0,442.0,482.0,1690156792674,35887781958.8145,75388736.9374261,2023-07-17
KRW-HIVE,2023-07-10T00:00:00,2023-07-10T09:00:00,439.0,502.0,424.0,484.0,1689551996155,57599307766.36662,123364494.1257527,2023-07-10
KRW-HIVE,2023-07-03T00:00:00,2023-07-03T09:00:00,444.0,457.0,422.0,440.0,1688947197020,13334811360.968975,30328347.50227412,2023-07-03
KRW-HIVE,2023-06-26T00:00:00,2023-06-26T09:00:00,486.0,488.0,408.0,444.0,1688342399683,34506014057.888084,78361179.0325893,2023-06-26
KRW-HIVE,2023-06-19T00:00:00,2023-06-19T09:00:00,388.0,490.0,377.0,487.0,1687737599837,38054824471.98588,88103862.15039992,2023-06-19
KRW-HIVE,2023-06-12T00:00:00,2023-06-12T09:00:00,392.0,414.0,355.0,385.0,1687132749510,23223801825.534725,59098368.82033676,2023-06-12
KRW-HIVE,2023-06-05T00:00:00,2023-06-05T09:00:00,459.0,469.0,364.0,392.0,1686527996429,28271356335.644093,64933032.1670186,2023-06-05
KRW-HIVE,2023-05-29T00:00:00,2023-05-29T09:00:00,477.0,479.0,446.0,459.0,1685923102445,6313856848.877005,13699971.00335283,2023-05-29
KRW-HIVE,2023-05-22T00:00:00,2023-05-22T09:00:00,487.0,488.0,455.0,477.0,1685318389395,6196631570.054321,13130495.18857345,2023-05-22
KRW-HIVE,2023-05-15T00:00:00,2023-05-15T09:00:00,494.0,519.0,486.0,487.0,1684713554199,25344894856.062767,50792359.07745915,2023-05-15
KRW-HIVE,2023-05-08T00:00:00,2023-05-08T09:00:00,525.0,531.0,469.0,495.0,1684108799908,33933848646.43957,66839613.89973355,2023-05-08
KRW-HIVE,2023-05-01T00:00:00,2023-05-01T09:00:00,555.0,555.0,522.0,525.0,1683503993657,18802006742.469578,35030600.87730345,2023-05-01
KRW-HIVE,2023-04-24T00:00:00,2023-04-24T09:00:00,550.0,574.0,523.0,555.0,1682899199941,29889128379.253426,54612641.21412402,2023-04-24
KRW-HIVE,2023-04-17T00:00:00,2023-04-17T09:00:00,606.0,640.0,542.0,550.0,1682294387610,158176615044.5288,261170613.00416,2023-04-17
KRW-HIVE,2023-04-10T00:00:00,2023-04-10T09:00:00,552.0,608.0,541.0,607.0,1681689599996,29052613417.128727,51272858.94315073,2023-04-10
KRW-HIVE,2023-04-03T00:00:00,2023-04-03T09:00:00,546.0,668.0,525.0,552.0,1681084797851,207337386392.03265,348556167.9914034,2023-04-03
KRW-HIVE,2023-03-27T00:00:00,2023-03-27T09:00:00,526.0,614.0,484.0,547.0,1680479999812,116927165777.95747,210548688.59083882,2023-03-27
KRW-HIVE,2023-03-20T00:00:00,2023-03-20T09:00:00,577.0,724.0,510.0,526.0,1679875196369,346264934462.7168,541215049.1382985,2023-03-20
KRW-HIVE,2023-03-13T00:00:00,2023-03-13T09:00:00,485.0,580.0,472.0,577.0,1679270372247,32400256022.399326,60514839.36137274,2023-03-13
KRW-HIVE,2023-03-06T00:00:00,2023-03-06T09:00:00,555.0,555.0,441.0,485.0,1678665586046,17916809345.295494,36280353.17201892,2023-03-06
KRW-HIVE,2023-02-27T00:00:00,2023-02-27T09:00:00,610.0,613.0,530.0,555.0,1678060773640,29927979811.69434,51331144.40844184,2023-02-27
KRW-HIVE,2023-02-20T00:00:00,2023-02-20T09:00:00,606.0,760.0,589.0,612.0,1677455999890,262126974338.8333,400491068.03015965,2023-02-20
KRW-HIVE,2023-02-13T00:00:00,2023-02-13T09:00:00,560.0,608.0,515.0,606.0,1676851198294,68063075687.25079,118120300.76273935,2023-02-13
KRW-HIVE,2023-02-06T00:00:00,2023-02-06T09:00:00,593.0,603.0,542.0,560.0,1676246396097,54191111575.81026,95235885.59040007,2023-02-06
KRW-HIVE,2023-01-30T00:00:00,2023-01-30T09:00:00,522.0,787.0,463.0,592.0,1675641590474,692906540994.5917,1004151492.1065221,2023-01-30
KRW-HIVE,2023-01-23T00:00:00,2023-01-23T09:00:00,490.0,548.0,450.0,522.0,1675036799686,135124793080.25757,266158479.84111562,2023-01-23
KRW-HIVE,2023-01-16T00:00:00,2023-01-16T09:00:00,441.0,579.0,425.0,490.0,1674431999383,203788200665.7696,414928813.2584272,2023-01-16
KRW-HIVE,2023-01-09T00:00:00,2023-01-09T09:00:00,349.0,495.0,346.0,440.0,1673827196843,90382207430.82787,221639887.2889786,2023-01-09
KRW-HIVE,2023-01-02T00:00:00,2023-01-02T09:00:00,331.0,364.0,322.0,349.0,1673222398526,11677350812.562567,33943132.1860989,2023-01-02
KRW-HIVE,2022-12-26T00:00:00,2022-12-26T09:00:00,392.0,392.0,314.0,331.0,1672617560267,13008745409.402365,37522813.03460655,2022-12-26
KRW-HIVE,2022-12-19T00:00:00,2022-12-19T09:00:00,385.0,456.0,343.0,392.0,1672012796906,81051731897.63223,196479032.28403664,2022-12-19
KRW-HIVE,2022-12-12T00:00:00,2022-12-12T09:00:00,469.0,469.0,362.0,385.0,1671407973317,11134842748.407364,26268977.83071216,2022-12-12
KRW-HIVE,2022-12-05T00:00:00,2022-12-05T09:00:00,492.0,513.0,447.0,469.0,1670803199275,19109563997.585888,40003120.05981379,2022-12-05
KRW-HIVE,2022-11-28T00:00:00,2022-11-28T09:00:00,497.0,499.0,469.0,491.0,1670198390390,16679669715.733383,34382454.01547454,2022-11-28
KRW-HIVE,2022-11-21T00:00:00,2022-11-21T09:00:00,467.0,523.0,435.0,497.0,1669593597698,56110517596.44407,115285449.37916984,2022-11-21
KRW-HIVE,2022-11-14T00:00:00,2022-11-14T09:00:00,435.0,545.0,391.0,465.0,1668988799529,106118337304.37856,225314919.2917913,2022-11-14
KRW-HIVE,2022-11-07T00:00:00,2022-11-07T09:00:00,690.0,695.0,405.0,434.0,1668384000023,50379449102.81269,98666944.01375604,2022-11-07
KRW-HIVE,2022-10-31T00:00:00,2022-10-31T09:00:00,670.0,751.0,660.0,690.0,1667779200062,104614994586.69318,149741438.8153617,2022-10-31
KRW-HIVE,2022-10-24T00:00:00,2022-10-24T09:00:00,666.0,720.0,650.0,671.0,1667174376914,72941403440.78746,106912105.80150962,2022-10-24
KRW-HIVE,2022-10-17T00:00:00,2022-10-17T09:00:00,694.0,717.0,631.0,666.0,1666569599772,40703528312.67183,60334379.30826315,2022-10-17
KRW-HIVE,2022-10-10T00:00:00,2022-10-10T09:00:00,734.0,844.0,643.0,694.0,1665964794773,302455304691.1347,391952371.8804405,2022-10-10
KRW-HIVE,2022-10-03T00:00:00,2022-10-03T09:00:00,696.0,964.0,691.0,737.0,1665360000013,579734233204.7778,695612459.3007222,2022-10-03
KRW-HIVE,2022-09-26T00:00:00,2022-09-26T09:00:00,716.0,718.0,685.0,695.0,1664755186633,18918206817.562313,27032186.16333146,2022-09-26
KRW-HIVE,2022-09-19T00:00:00,2022-09-19T09:00:00,727.0,749.0,681.0,716.0,1664150395919,45613024648.32166,63679492.13882621,2022-09-19
KRW-HIVE,2022-09-12T00:00:00,2022-09-12T09:00:00,796.0,846.0,713.0,726.0,1663545599299,197850867215.16748,249152670.3308193,2022-09-12
KRW-HIVE,2022-09-05T00:00:00,2022-09-05T09:00:00,749.0,842.0,704.0,797.0,1662940799810,86882270016.08623,112768281.99707606,2022-09-05
KRW-HIVE,2022-08-29T00:00:00,2022-08-29T09:00:00,732.0,802.0,709.0,748.0,1662335990139,75244516135.14148,98799392.83480246,2022-08-29
