market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HPO,2023-10-09T00:00:00,2023-10-09T09:00:00,91.3,99.7,84.3,95.7,1697077548646,28786978545.07846,303801973.6217403,2023-10-09
KRW-HPO,2023-10-02T00:00:00,2023-10-02T09:00:00,95.7,98.2,87.3,91.3,1696809596110,17608032105.578854,188626970.8367728,2023-10-02
KRW-HPO,2023-09-25T00:00:00,2023-09-25T09:00:00,94.9,99.5,90.6,95.7,1696204789541,21857310315.40431,228930031.0182292,2023-09-25
KRW-HPO,2023-09-18T00:00:00,2023-09-18T09:00:00,100.0,108.0,90.1,94.9,1695599998547,93484151841.42715,954840621.2810693,2023-09-18
KRW-HPO,2023-09-11T00:00:00,2023-09-11T09:00:00,85.5,102.0,80.1,99.9,1694995199815,83100573335.92677,885255323.8700051,2023-09-11
KRW-HPO,2023-09-04T00:00:00,2023-09-04T09:00:00,86.6,99.4,82.9,85.7,1694390390399,80870788057.29329,862475345.3817784,2023-09-04
KRW-HPO,2023-08-28T00:00:00,2023-08-28T09:00:00,89.0,91.8,83.0,86.6,1693785597187,7799196373.528996,90156319.1249567,2023-08-28
KRW-HPO,2023-08-21T00:00:00,2023-08-21T09:00:00,91.3,95.8,85.3,89.0,1693180798082,7478285295.942104,83868539.98177472,2023-08-21
KRW-HPO,2023-08-14T00:00:00,2023-08-14T09:00:00,99.4,101.0,85.0,91.7,1692575994720,8237416163.832142,90059225.33530462,2023-08-14
KRW-HPO,2023-08-07T00:00:00,2023-08-07T09:00:00,101.0,102.0,98.2,99.6,1691971171615,4821242744.534758,48348321.44238461,2023-08-07
KRW-HPO,2023-07-31T00:00:00,2023-07-31T09:00:00,101.0,107.0,99.9,101.0,1691366397399,11587834046.382013,113947396.20859899,2023-07-31
KRW-HPO,2023-07-24T00:00:00,2023-07-24T09:00:00,103.0,108.0,96.5,101.0,1690761598964,21820964892.432808,215158192.127579,2023-07-24
KRW-HPO,2023-07-17T00:00:00,2023-07-17T09:00:00,100.0,103.0,97.8,102.0,1690156781582,10147300378.83762,101409611.01748626,2023-07-17
KRW-HPO,2023-07-10T00:00:00,2023-07-10T09:00:00,95.5,104.0,93.3,100.0,1689551987982,18236859562.94892,183949099.26905677,2023-07-10
KRW-HPO,2023-07-03T00:00:00,2023-07-03T09:00:00,98.2,101.0,94.1,95.3,1688947198465,11365519415.40668,116747836.08714615,2023-07-03
KRW-HPO,2023-06-26T00:00:00,2023-06-26T09:00:00,102.0,106.0,94.0,98.3,1688342264502,15350496146.693811,154409855.82402784,2023-06-26
KRW-HPO,2023-06-19T00:00:00,2023-06-19T09:00:00,90.2,105.0,88.6,101.0,1687737543213,21187571822.583927,217153826.52974036,2023-06-19
KRW-HPO,2023-06-12T00:00:00,2023-06-12T09:00:00,92.1,100.0,87.4,90.4,1687132776944,32453956806.314083,349699320.291853,2023-06-12
KRW-HPO,2023-06-05T00:00:00,2023-06-05T09:00:00,123.0,132.0,85.0,92.2,1686527995759,66748173968.4868,586194419.6792622,2023-06-05
KRW-HPO,2023-05-29T00:00:00,2023-05-29T09:00:00,128.0,129.0,119.0,122.0,1685923193492,11363460118.844368,91880598.79108132,2023-05-29
KRW-HPO,2023-05-22T00:00:00,2023-05-22T09:00:00,141.0,154.0,116.0,128.0,1685318376200,55568240079.44185,409748037.55809885,2023-05-22
KRW-HPO,2023-05-15T00:00:00,2023-05-15T09:00:00,140.0,144.0,138.0,142.0,1684713598719,14344179938.708683,101963520.24300297,2023-05-15
KRW-HPO,2023-05-08T00:00:00,2023-05-08T09:00:00,139.0,152.0,131.0,140.0,1684108799920,80735900616.6939,564472375.6723609,2023-05-08
KRW-HPO,2023-05-01T00:00:00,2023-05-01T09:00:00,141.0,144.0,134.0,138.0,1683503996313,28048643646.125732,202161732.6828515,2023-05-01
KRW-HPO,2023-04-24T00:00:00,2023-04-24T09:00:00,136.0,143.0,129.0,141.0,1682899198536,13680649824.784693,100837340.45876387,2023-04-24
KRW-HPO,2023-04-17T00:00:00,2023-04-17T09:00:00,142.0,143.0,133.0,136.0,1682294397207,20020192492.647984,145489796.40807447,2023-04-17
KRW-HPO,2023-04-10T00:00:00,2023-04-10T09:00:00,141.0,144.0,136.0,142.0,1681689598902,15938859934.429432,114223229.87182172,2023-04-10
KRW-HPO,2023-04-03T00:00:00,2023-04-03T09:00:00,134.0,150.0,131.0,142.0,1681084798907,56959287021.65678,401797604.1875568,2023-04-03
KRW-HPO,2023-03-27T00:00:00,2023-03-27T09:00:00,132.0,152.0,121.0,133.0,1680479971574,42256839971.18843,312113206.2666557,2023-03-27
KRW-HPO,2023-03-20T00:00:00,2023-03-20T09:00:00,142.0,148.0,128.0,132.0,1679875190962,13952179547.509665,101790231.16800813,2023-03-20
KRW-HPO,2023-03-13T00:00:00,2023-03-13T09:00:00,132.0,144.0,127.0,142.0,1679270392679,22448382310.89699,163205681.39132348,2023-03-13
KRW-HPO,2023-03-06T00:00:00,2023-03-06T09:00:00,141.0,148.0,114.0,132.0,1678665593860,26878981421.454365,204724746.47719216,2023-03-06
KRW-HPO,2023-02-27T00:00:00,2023-02-27T09:00:00,163.0,186.0,138.0,141.0,1678060796906,77052686225.89671,466656656.95844567,2023-02-27
KRW-HPO,2023-02-20T00:00:00,2023-02-20T09:00:00,143.0,170.0,138.0,164.0,1677455996915,81389213346.7204,528378438.46064085,2023-02-20
KRW-HPO,2023-02-13T00:00:00,2023-02-13T09:00:00,133.0,150.0,121.0,143.0,1676851181172,46593742333.45536,337831568.1045124,2023-02-13
KRW-HPO,2023-02-06T00:00:00,2023-02-06T09:00:00,137.0,149.0,129.0,133.0,1676246372211,46458036677.64316,334168143.36809826,2023-02-06
KRW-HPO,2023-01-30T00:00:00,2023-01-30T09:00:00,131.0,154.0,115.0,136.0,1675641599820,67113697003.56631,504404802.8507882,2023-01-30
KRW-HPO,2023-01-23T00:00:00,2023-01-23T09:00:00,121.0,143.0,115.0,131.0,1675036791427,92330252449.69682,713280426.4093076,2023-01-23
KRW-HPO,2023-01-16T00:00:00,2023-01-16T09:00:00,114.0,137.0,109.0,121.0,1674431981527,90637287579.19441,756466937.189194,2023-01-16
KRW-HPO,2023-01-09T00:00:00,2023-01-09T09:00:00,94.4,129.0,93.2,113.0,1673827199457,76867483306.28842,710241340.2305892,2023-01-09
KRW-HPO,2023-01-02T00:00:00,2023-01-02T09:00:00,90.7,98.3,89.4,94.4,1673222396882,62638267056.807304,667471858.0485165,2023-01-02
KRW-HPO,2022-12-26T00:00:00,2022-12-26T09:00:00,98.2,104.0,84.3,90.9,1672617575818,76268730638.204,807603040.8130336,2022-12-26
