market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-HUNT,2023-10-09T00:00:00,2023-10-09T09:00:00,445.0,445.0,403.0,415.0,1697077355174,10241490192.851042,24351046.81280227,2023-10-09
KRW-HUNT,2023-10-02T00:00:00,2023-10-02T09:00:00,448.0,478.0,423.0,447.0,1696809596553,97646206615.17088,216888855.2457002,2023-10-02
KRW-HUNT,2023-09-25T00:00:00,2023-09-25T09:00:00,407.0,449.0,391.0,446.0,1696204799957,29063417709.653786,68569065.15981285,2023-09-25
KRW-HUNT,2023-09-18T00:00:00,2023-09-18T09:00:00,393.0,444.0,380.0,407.0,1695599994048,22022069248.564537,53418760.16173581,2023-09-18
KRW-HUNT,2023-09-11T00:00:00,2023-09-11T09:00:00,378.0,419.0,360.0,394.0,1694995196603,17351598500.89512,44324388.81095089,2023-09-11
KRW-HUNT,2023-09-04T00:00:00,2023-09-04T09:00:00,378.0,391.0,362.0,379.0,1694390396845,7796594134.470757,20638729.02689834,2023-09-04
KRW-HUNT,2023-08-28T00:00:00,2023-08-28T09:00:00,402.0,404.0,361.0,379.0,1693785595260,25657659926.871384,66134508.44087488,2023-08-28
KRW-HUNT,2023-08-21T00:00:00,2023-08-21T09:00:00,403.0,426.0,385.0,402.0,1693180797419,17837813263.3069,43953361.73320555,2023-08-21
KRW-HUNT,2023-08-14T00:00:00,2023-08-14T09:00:00,463.0,468.0,370.0,403.0,1692575999559,23860489904.430584,57126028.5143394,2023-08-14
KRW-HUNT,2023-08-07T00:00:00,2023-08-07T09:00:00,456.0,497.0,443.0,463.0,1691971195072,61832917089.06188,131007994.20964332,2023-08-07
KRW-HUNT,2023-07-31T00:00:00,2023-07-31T09:00:00,464.0,543.0,446.0,455.0,1691366393671,109640429301.62965,221337324.12377113,2023-07-31
KRW-HUNT,2023-07-24T00:00:00,2023-07-24T09:00:00,460.0,532.0,421.0,463.0,1690761598484,71377755078.04948,152519898.73638666,2023-07-24
KRW-HUNT,2023-07-17T00:00:00,2023-07-17T09:00:00,458.0,474.0,422.0,460.0,1690156791778,24522255416.059082,55329310.36730161,2023-07-17
KRW-HUNT,2023-07-10T00:00:00,2023-07-10T09:00:00,423.0,500.0,404.0,459.0,1689551990753,78663319691.06311,175098347.2621426,2023-07-10
KRW-HUNT,2023-07-03T00:00:00,2023-07-03T09:00:00,426.0,432.0,401.0,423.0,1688947199789,24703043983.551292,59243410.67392609,2023-07-03
KRW-HUNT,2023-06-26T00:00:00,2023-06-26T09:00:00,416.0,430.0,375.0,426.0,1688342395799,25643813739.61638,63157662.00623822,2023-06-26
KRW-HUNT,2023-06-19T00:00:00,2023-06-19T09:00:00,349.0,424.0,341.0,414.0,1687737599466,28136136512.72186,72156753.73765677,2023-06-19
KRW-HUNT,2023-06-12T00:00:00,2023-06-12T09:00:00,358.0,369.0,324.0,349.0,1687132761930,16734437369.512,48267093.24358333,2023-06-12
KRW-HUNT,2023-06-05T00:00:00,2023-06-05T09:00:00,409.0,487.0,336.0,359.0,1686527998064,241184278721.7684,560764133.0993993,2023-06-05
KRW-HUNT,2023-05-29T00:00:00,2023-05-29T09:00:00,420.0,433.0,399.0,408.0,1685923198248,10499490335.18222,25210487.53058288,2023-05-29
KRW-HUNT,2023-05-22T00:00:00,2023-05-22T09:00:00,434.0,441.0,402.0,420.0,1685318330328,6351122712.957715,15174500.66041594,2023-05-22
KRW-HUNT,2023-05-15T00:00:00,2023-05-15T09:00:00,451.0,464.0,434.0,435.0,1684713594906,10915051929.934708,24223779.58939263,2023-05-15
KRW-HUNT,2023-05-08T00:00:00,2023-05-08T09:00:00,484.0,525.0,429.0,450.0,1684108775930,56078083105.47851,117235401.63052423,2023-05-08
KRW-HUNT,2023-05-01T00:00:00,2023-05-01T09:00:00,509.0,509.0,477.0,486.0,1683503997698,15609447638.360628,31726700.62762808,2023-05-01
KRW-HUNT,2023-04-24T00:00:00,2023-04-24T09:00:00,511.0,533.0,479.0,509.0,1682899196827,36571237795.38768,71803433.07781614,2023-04-24
KRW-HUNT,2023-04-17T00:00:00,2023-04-17T09:00:00,537.0,568.0,502.0,511.0,1682294387928,74770238113.86684,139726456.89881468,2023-04-17
KRW-HUNT,2023-04-10T00:00:00,2023-04-10T09:00:00,522.0,538.0,508.0,537.0,1681689591499,28041761737.10649,53391839.66388527,2023-04-10
KRW-HUNT,2023-04-03T00:00:00,2023-04-03T09:00:00,519.0,630.0,507.0,522.0,1681084799862,96849694832.55087,175782500.28778264,2023-04-03
KRW-HUNT,2023-03-27T00:00:00,2023-03-27T09:00:00,515.0,553.0,473.0,520.0,1680479978242,59020879152.30777,114088911.38104132,2023-03-27
KRW-HUNT,2023-03-20T00:00:00,2023-03-20T09:00:00,536.0,647.0,497.0,515.0,1679875197011,221946941249.21628,389376381.4316176,2023-03-20
KRW-HUNT,2023-03-13T00:00:00,2023-03-13T09:00:00,462.0,556.0,447.0,537.0,1679270400024,161940085805.58942,308785467.4595929,2023-03-13
KRW-HUNT,2023-03-06T00:00:00,2023-03-06T09:00:00,513.0,541.0,425.0,462.0,1678665596155,112900260797.41927,230905746.4482327,2023-03-06
KRW-HUNT,2023-02-27T00:00:00,2023-02-27T09:00:00,598.0,598.0,501.0,513.0,1678060792927,208093957904.85468,379414301.90364355,2023-02-27
KRW-HUNT,2023-02-20T00:00:00,2023-02-20T09:00:00,459.0,1030.0,444.0,598.0,1677455998712,1302576804368.5767,1826299246.6204672,2023-02-20
KRW-HUNT,2023-02-13T00:00:00,2023-02-13T09:00:00,419.0,492.0,379.0,458.0,1676851159309,80903643200.23056,183042655.967904,2023-02-13
KRW-HUNT,2023-02-06T00:00:00,2023-02-06T09:00:00,435.0,457.0,411.0,420.0,1676246397343,41830291662.32213,96941890.6606259,2023-02-06
KRW-HUNT,2023-01-30T00:00:00,2023-01-30T09:00:00,418.0,533.0,366.0,435.0,1675641600032,144683884296.8649,320718864.99917626,2023-01-30
KRW-HUNT,2023-01-23T00:00:00,2023-01-23T09:00:00,405.0,434.0,367.0,418.0,1675036799594,73338810388.16058,181037089.02278402,2023-01-23
KRW-HUNT,2023-01-16T00:00:00,2023-01-16T09:00:00,350.0,417.0,333.0,405.0,1674431997116,97803486890.58763,261131208.76629853,2023-01-16
KRW-HUNT,2023-01-09T00:00:00,2023-01-09T09:00:00,295.0,396.0,290.0,350.0,1673827183359,54636694216.971695,162279424.94843686,2023-01-09
KRW-HUNT,2023-01-02T00:00:00,2023-01-02T09:00:00,281.0,296.0,272.0,294.0,1673222383490,6571826653.731475,23079342.85561797,2023-01-02
KRW-HUNT,2022-12-26T00:00:00,2022-12-26T09:00:00,309.0,315.0,265.0,281.0,1672617581672,10029960439.21729,35324709.05057596,2022-12-26
KRW-HUNT,2022-12-19T00:00:00,2022-12-19T09:00:00,314.0,343.0,282.0,310.0,1672012760328,43113852988.68973,135706292.3762829,2022-12-19
KRW-HUNT,2022-12-12T00:00:00,2022-12-12T09:00:00,354.0,356.0,289.0,314.0,1671407998688,13280648432.425262,39598956.51351908,2022-12-12
KRW-HUNT,2022-12-05T00:00:00,2022-12-05T09:00:00,362.0,389.0,332.0,354.0,1670803176228,40123119690.10754,110830692.07597438,2022-12-05
KRW-HUNT,2022-11-28T00:00:00,2022-11-28T09:00:00,360.0,406.0,342.0,363.0,1670198396631,61575727720.95304,166149066.74555552,2022-11-28
KRW-HUNT,2022-11-21T00:00:00,2022-11-21T09:00:00,328.0,434.0,313.0,363.0,1669593599674,202097700863.43277,526434455.96303594,2022-11-21
KRW-HUNT,2022-11-14T00:00:00,2022-11-14T09:00:00,314.0,393.0,279.0,328.0,1668988786540,60239468813.98349,177262048.25169414,2022-11-14
KRW-HUNT,2022-11-07T00:00:00,2022-11-07T09:00:00,507.0,520.0,302.0,314.0,1668383991760,28598095619.159657,76730818.46527459,2022-11-07
KRW-HUNT,2022-10-31T00:00:00,2022-10-31T09:00:00,506.0,528.0,495.0,507.0,1667779194789,18553002036.516235,36264569.23880425,2022-10-31
KRW-HUNT,2022-10-24T00:00:00,2022-10-24T09:00:00,498.0,535.0,494.0,505.0,1667174392144,27768590807.822777,54180294.2165494,2022-10-24
KRW-HUNT,2022-10-17T00:00:00,2022-10-17T09:00:00,499.0,520.0,482.0,498.0,1666569594203,16593809712.765247,33270594.53770762,2022-10-17
