market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ICX,2023-10-09T00:00:00,2023-10-09T09:00:00,244.0,244.0,218.0,220.0,1697076406920,9564402608.374525,41345978.97125386,2023-10-09
KRW-ICX,2023-10-02T00:00:00,2023-10-02T09:00:00,246.0,258.0,225.0,244.0,1696809596320,25362596796.711517,104813807.93369535,2023-10-02
KRW-ICX,2023-09-25T00:00:00,2023-09-25T09:00:00,237.0,247.0,229.0,246.0,1696204796653,10572119253.886148,44764397.35246573,2023-09-25
KRW-ICX,2023-09-18T00:00:00,2023-09-18T09:00:00,225.0,251.0,221.0,236.0,1695599975851,17010033188.603622,71539670.53238884,2023-09-18
KRW-ICX,2023-09-11T00:00:00,2023-09-11T09:00:00,223.0,243.0,206.0,224.0,1694995153160,11659574736.188776,51689925.180195,2023-09-11
KRW-ICX,2023-09-04T00:00:00,2023-09-04T09:00:00,219.0,232.0,215.0,222.0,1694390389716,5283482615.441042,23761564.49732345,2023-09-04
KRW-ICX,2023-08-28T00:00:00,2023-08-28T09:00:00,231.0,239.0,214.0,219.0,1693785538891,6324419733.465382,28113229.18360554,2023-08-28
KRW-ICX,2023-08-21T00:00:00,2023-08-21T09:00:00,240.0,240.0,222.0,230.0,1693180372961,6329789989.599006,27481982.44764423,2023-08-21
KRW-ICX,2023-08-14T00:00:00,2023-08-14T09:00:00,282.0,285.0,223.0,239.0,1692575556917,15611235199.487053,62618967.49283008,2023-08-14
KRW-ICX,2023-08-07T00:00:00,2023-08-07T09:00:00,279.0,287.0,269.0,282.0,1691971191572,8581217683.059157,30700902.83422585,2023-08-07
KRW-ICX,2023-07-31T00:00:00,2023-07-31T09:00:00,286.0,299.0,275.0,279.0,1691366355531,15110176823.04313,53018894.93210819,2023-07-31
KRW-ICX,2023-07-24T00:00:00,2023-07-24T09:00:00,306.0,306.0,276.0,286.0,1690761579625,20738297018.015713,72044068.21233392,2023-07-24
KRW-ICX,2023-07-17T00:00:00,2023-07-17T09:00:00,303.0,328.0,293.0,305.0,1690156777019,59392368211.80859,191272118.47931853,2023-07-17
KRW-ICX,2023-07-10T00:00:00,2023-07-10T09:00:00,284.0,320.0,274.0,302.0,1689551998019,46310601942.079,154872129.81893882,2023-07-10
KRW-ICX,2023-07-03T00:00:00,2023-07-03T09:00:00,291.0,317.0,279.0,284.0,1688947158719,30255185557.12924,102119596.70541072,2023-07-03
KRW-ICX,2023-06-26T00:00:00,2023-06-26T09:00:00,297.0,306.0,258.0,292.0,1688342365309,26852315431.48896,95001811.60216478,2023-06-26
KRW-ICX,2023-06-19T00:00:00,2023-06-19T09:00:00,245.0,350.0,242.0,298.0,1687737584665,76273268991.4258,254243114.1605072,2023-06-19
KRW-ICX,2023-06-12T00:00:00,2023-06-12T09:00:00,245.0,261.0,221.0,245.0,1687132798764,59032364691.83046,239985602.78969318,2023-06-12
KRW-ICX,2023-06-05T00:00:00,2023-06-05T09:00:00,323.0,323.0,233.0,245.0,1686527912562,19801821820.288425,72402938.87622447,2023-06-05
KRW-ICX,2023-05-29T00:00:00,2023-05-29T09:00:00,334.0,336.0,310.0,323.0,1685923041950,11126793553.437323,34342471.91044348,2023-05-29
KRW-ICX,2023-05-22T00:00:00,2023-05-22T09:00:00,340.0,344.0,315.0,333.0,1685318398608,16071173662.856087,48946030.41059961,2023-05-22
KRW-ICX,2023-05-15T00:00:00,2023-05-15T09:00:00,346.0,373.0,336.0,340.0,1684713544495,48041698496.80965,135342550.01820737,2023-05-15
KRW-ICX,2023-05-08T00:00:00,2023-05-08T09:00:00,357.0,383.0,314.0,346.0,1684108798295,101054472959.06389,288121712.48681647,2023-05-08
KRW-ICX,2023-05-01T00:00:00,2023-05-01T09:00:00,390.0,392.0,356.0,358.0,1683503990172,43268836240.73839,116081652.86159442,2023-05-01
KRW-ICX,2023-04-24T00:00:00,2023-04-24T09:00:00,393.0,431.0,350.0,390.0,1682899193832,181280871599.15213,452878583.2576301,2023-04-24
KRW-ICX,2023-04-17T00:00:00,2023-04-17T09:00:00,469.0,471.0,380.0,394.0,1682294394436,179945856486.90622,428159263.8239275,2023-04-17
KRW-ICX,2023-04-10T00:00:00,2023-04-10T09:00:00,424.0,515.0,381.0,468.0,1681689599661,504231231150.4624,1078284992.7422233,2023-04-10
KRW-ICX,2023-04-03T00:00:00,2023-04-03T09:00:00,350.0,640.0,343.0,423.0,1681084767213,1850698384588.0696,3766324777.4514675,2023-04-03
KRW-ICX,2023-03-27T00:00:00,2023-03-27T09:00:00,283.0,444.0,261.0,351.0,1680479998933,644233467352.9337,1701904608.501435,2023-03-27
