market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IMX,2023-10-09T00:00:00,2023-10-09T09:00:00,758.0,783.0,691.0,712.0,1697077623381,10683242317.409616,14686628.46662582,2023-10-09
KRW-IMX,2023-10-02T00:00:00,2023-10-02T09:00:00,830.0,833.0,740.0,758.0,1696809565304,9215446796.575445,11884129.50358834,2023-10-02
KRW-IMX,2023-09-25T00:00:00,2023-09-25T09:00:00,798.0,841.0,755.0,829.0,1696204790985,39485434852.69022,49471907.2864795,2023-09-25
KRW-IMX,2023-09-18T00:00:00,2023-09-18T09:00:00,702.0,1335.0,693.0,799.0,1695599997517,500997317825.6153,530090048.69717264,2023-09-18
KRW-IMX,2023-09-11T00:00:00,2023-09-11T09:00:00,701.0,730.0,655.0,702.0,1694995138711,5777186961.175671,8395743.60477868,2023-09-11
KRW-IMX,2023-09-04T00:00:00,2023-09-04T09:00:00,738.0,783.0,676.0,700.0,1694390283058,6550775062.358803,8798185.97320996,2023-09-04
KRW-IMX,2023-08-28T00:00:00,2023-08-28T09:00:00,781.0,822.0,725.0,738.0,1693785431287,9565714035.573133,12250684.79661288,2023-08-28
KRW-IMX,2023-08-21T00:00:00,2023-08-21T09:00:00,836.0,881.0,751.0,783.0,1693180754265,48669407584.49043,60298150.45928157,2023-08-21
KRW-IMX,2023-08-14T00:00:00,2023-08-14T09:00:00,923.0,965.0,728.0,837.0,1692575991706,11740813285.513626,13573484.67894268,2023-08-14
KRW-IMX,2023-08-07T00:00:00,2023-08-07T09:00:00,980.0,996.0,920.0,923.0,1691971178895,7604817146.358868,7929666.74179046,2023-08-07
KRW-IMX,2023-07-31T00:00:00,2023-07-31T09:00:00,973.0,1050.0,959.0,979.0,1691366326981,28430550990.462643,28655936.18545045,2023-07-31
KRW-IMX,2023-07-24T00:00:00,2023-07-24T09:00:00,850.0,1255.0,850.0,973.0,1690761593846,201033025422.61478,188511860.40069628,2023-07-24
