market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IOST,2023-10-09T00:00:00,2023-10-09T09:00:00,9.76,9.79,9.17,9.24,1697076556583,3752059110.828149,400493533.65292627,2023-10-09
KRW-IOST,2023-10-02T00:00:00,2023-10-02T09:00:00,10.3,10.4,9.33,9.76,1696809526135,13292908874.127079,1356767801.1122093,2023-10-02
KRW-IOST,2023-09-25T00:00:00,2023-09-25T09:00:00,9.57,12.0,9.49,10.3,1696204745638,58515810245.90274,5571728512.520532,2023-09-25
KRW-IOST,2023-09-18T00:00:00,2023-09-18T09:00:00,9.32,9.95,9.17,9.56,1695599958139,6453088041.46011,667016023.5872276,2023-09-18
KRW-IOST,2023-09-11T00:00:00,2023-09-11T09:00:00,9.39,10.0,9.0,9.3,1694995160814,9223090648.85905,978351064.8293576,2023-09-11
KRW-IOST,2023-09-04T00:00:00,2023-09-04T09:00:00,9.56,10.1,9.26,9.39,1694390347851,10307169814.034937,1055281564.316331,2023-09-04
KRW-IOST,2023-08-28T00:00:00,2023-08-28T09:00:00,9.81,10.2,9.34,9.56,1693785533602,4482745305.938453,459692807.4153871,2023-08-28
KRW-IOST,2023-08-21T00:00:00,2023-08-21T09:00:00,9.99,10.2,9.55,9.84,1693180783078,5259593741.605336,533023182.78492606,2023-08-21
KRW-IOST,2023-08-14T00:00:00,2023-08-14T09:00:00,11.4,11.4,9.34,9.99,1692575932473,8431431109.542547,815209689.5068848,2023-08-14
KRW-IOST,2023-08-07T00:00:00,2023-08-07T09:00:00,11.6,11.9,11.2,11.4,1691971042017,10573963707.390942,923669735.9855833,2023-08-07
KRW-IOST,2023-07-31T00:00:00,2023-07-31T09:00:00,11.6,12.0,11.4,11.6,1691366303329,9174011114.140879,784650081.5146815,2023-07-31
KRW-IOST,2023-07-24T00:00:00,2023-07-24T09:00:00,11.8,12.1,11.0,11.5,1690761560346,12435502686.820713,1073301112.976907,2023-07-24
KRW-IOST,2023-07-17T00:00:00,2023-07-17T09:00:00,11.9,12.0,11.2,11.8,1690156795792,10075530369.837452,867044148.7438672,2023-07-17
KRW-IOST,2023-07-10T00:00:00,2023-07-10T09:00:00,11.0,12.2,10.7,11.9,1689551997125,17189196531.183426,1486666788.693345,2023-07-10
KRW-IOST,2023-07-03T00:00:00,2023-07-03T09:00:00,11.5,11.7,10.8,11.0,1688947190535,6352508276.875771,563564831.997162,2023-07-03
KRW-IOST,2023-06-26T00:00:00,2023-06-26T09:00:00,11.6,12.0,10.5,11.4,1688342314559,13486966492.659824,1188989812.6286893,2023-06-26
KRW-IOST,2023-06-19T00:00:00,2023-06-19T09:00:00,9.81,12.1,9.47,11.5,1687737566166,6823943256.357495,634455368.5762221,2023-06-19
KRW-IOST,2023-06-12T00:00:00,2023-06-12T09:00:00,9.99,10.1,9.3,9.82,1687132689294,3212517546.6278553,328552133.1134626,2023-06-12
KRW-IOST,2023-06-05T00:00:00,2023-06-05T09:00:00,12.2,12.3,9.0,9.99,1686527919520,6783505076.304627,625034264.807628,2023-06-05
KRW-IOST,2023-05-29T00:00:00,2023-05-29T09:00:00,12.7,13.3,12.0,12.2,1685923180181,8070097599.679156,640898414.9702212,2023-05-29
KRW-IOST,2023-05-22T00:00:00,2023-05-22T09:00:00,12.6,13.3,11.9,12.6,1685318395056,4635739395.348517,372422685.1522805,2023-05-22
KRW-IOST,2023-05-15T00:00:00,2023-05-15T09:00:00,12.6,13.2,12.5,12.6,1684713579003,4018712657.966717,311328225.38654,2023-05-15
KRW-IOST,2023-05-08T00:00:00,2023-05-08T09:00:00,13.4,13.5,12.1,12.6,1684108774163,4910132010.406242,388246788.42902553,2023-05-08
KRW-IOST,2023-05-01T00:00:00,2023-05-01T09:00:00,14.0,14.2,13.4,13.4,1683503958716,10061873027.318378,725934375.6298901,2023-05-01
KRW-IOST,2023-04-24T00:00:00,2023-04-24T09:00:00,13.9,14.5,13.3,14.1,1682899189022,13321939680.023033,957011508.3000978,2023-04-24
KRW-IOST,2023-04-17T00:00:00,2023-04-17T09:00:00,15.7,16.5,13.6,13.9,1682294387164,32884280863.018406,2165312697.101652,2023-04-17
KRW-IOST,2023-04-10T00:00:00,2023-04-10T09:00:00,14.5,15.8,14.1,15.7,1681689581648,16383875501.55293,1100497425.7881703,2023-04-10
KRW-IOST,2023-04-03T00:00:00,2023-04-03T09:00:00,14.3,18.6,13.9,14.4,1681084758888,89243381672.55562,5520051684.034122,2023-04-03
KRW-IOST,2023-03-27T00:00:00,2023-03-27T09:00:00,14.0,14.8,12.9,14.3,1680479963991,15669927327.223478,1122890905.6622713,2023-03-27
KRW-IOST,2023-03-20T00:00:00,2023-03-20T09:00:00,15.1,15.3,13.5,13.9,1679875141510,13770593721.522182,968594368.0339688,2023-03-20
KRW-IOST,2023-03-13T00:00:00,2023-03-13T09:00:00,13.0,15.3,12.7,15.0,1679270358221,27492198001.55724,1970338592.7017102,2023-03-13
KRW-IOST,2023-03-06T00:00:00,2023-03-06T09:00:00,13.8,14.1,11.6,12.9,1678665595521,13910959577.319757,1098017744.9686096,2023-03-06
KRW-IOST,2023-02-27T00:00:00,2023-02-27T09:00:00,15.3,17.5,13.7,13.9,1678060779272,72126169036.42247,4587495776.943804,2023-02-27
KRW-IOST,2023-02-20T00:00:00,2023-02-20T09:00:00,14.6,20.6,14.1,15.3,1677455998588,269518125320.35043,14668325055.512394,2023-02-20
KRW-IOST,2023-02-13T00:00:00,2023-02-13T09:00:00,13.3,15.3,12.4,14.6,1676851189421,28204781760.01465,2028388655.1078184,2023-02-13
KRW-IOST,2023-02-06T00:00:00,2023-02-06T09:00:00,13.6,15.1,13.0,13.4,1676246257314,34204588419.319496,2449254157.848274,2023-02-06
KRW-IOST,2023-01-30T00:00:00,2023-01-30T09:00:00,12.9,14.9,11.4,13.7,1675641568327,36714427877.47454,2810209580.9161963,2023-01-30
KRW-IOST,2023-01-23T00:00:00,2023-01-23T09:00:00,12.1,13.8,11.6,13.0,1675036796770,31863054101.274498,2497662429.5935135,2023-01-23
KRW-IOST,2023-01-16T00:00:00,2023-01-16T09:00:00,11.6,12.9,10.9,12.2,1674431983800,18440306468.962875,1560523657.917464,2023-01-16
KRW-IOST,2023-01-09T00:00:00,2023-01-09T09:00:00,9.47,12.2,9.37,11.6,1673827190807,19264700528.006996,1795286581.1590343,2023-01-09
KRW-IOST,2023-01-02T00:00:00,2023-01-02T09:00:00,8.79,9.74,8.65,9.47,1673222395082,10137837241.740438,1107326209.230732,2023-01-02
KRW-IOST,2022-12-26T00:00:00,2022-12-26T09:00:00,9.21,9.85,8.13,8.83,1672617522013,39336644339.04083,4303905317.8022995,2022-12-26
KRW-IOST,2022-12-19T00:00:00,2022-12-19T09:00:00,9.65,9.7,8.8,9.21,1672012685777,3348641806.8051972,361030260.0077427,2022-12-19
KRW-IOST,2022-12-12T00:00:00,2022-12-12T09:00:00,11.2,11.3,9.25,9.65,1671407994712,8263180950.240641,790584675.7186266,2022-12-12
KRW-IOST,2022-12-05T00:00:00,2022-12-05T09:00:00,11.6,11.7,10.9,11.3,1670803145480,6069780996.281345,535042211.9814117,2022-12-05
KRW-IOST,2022-11-28T00:00:00,2022-11-28T09:00:00,11.8,11.9,11.3,11.5,1670198399573,6033285935.586173,521268438.7170102,2022-11-28
KRW-IOST,2022-11-21T00:00:00,2022-11-21T09:00:00,11.3,13.0,10.8,11.8,1669593583879,29057848720.462532,2460068143.2155952,2022-11-21
