market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IOTA,2023-10-09T00:00:00,2023-10-09T09:00:00,211.0,213.0,189.0,191.0,1697076702432,3693023965.762886,18607018.35332467,2023-10-09
KRW-IOTA,2023-10-02T00:00:00,2023-10-02T09:00:00,213.0,213.0,201.0,211.0,1696809553662,7547532316.157963,36413872.95316729,2023-10-02
KRW-IOTA,2023-09-25T00:00:00,2023-09-25T09:00:00,202.0,214.0,199.0,212.0,1696204740491,9098663001.55154,44403045.33195058,2023-09-25
KRW-IOTA,2023-09-18T00:00:00,2023-09-18T09:00:00,201.0,206.0,197.0,201.0,1695599949207,13590814607.028349,67826166.57212375,2023-09-18
KRW-IOTA,2023-09-11T00:00:00,2023-09-11T09:00:00,233.0,235.0,199.0,202.0,1694995195485,14698128696.35834,67854803.45488416,2023-09-11
KRW-IOTA,2023-09-04T00:00:00,2023-09-04T09:00:00,228.0,254.0,224.0,233.0,1694390378653,9541933668.961176,40209794.36454846,2023-09-04
KRW-IOTA,2023-08-28T00:00:00,2023-08-28T09:00:00,203.0,232.0,195.0,228.0,1693785564459,20790907802.118256,94943238.40503135,2023-08-28
KRW-IOTA,2023-08-21T00:00:00,2023-08-21T09:00:00,202.0,215.0,191.0,204.0,1693180714263,8334499485.18255,41393213.20039832,2023-08-21
KRW-IOTA,2023-08-14T00:00:00,2023-08-14T09:00:00,225.0,228.0,192.0,201.0,1692575956439,6036701835.167159,28936742.45134858,2023-08-14
KRW-IOTA,2023-08-07T00:00:00,2023-08-07T09:00:00,224.0,233.0,220.0,225.0,1691971162514,4549065869.185118,19970451.74313755,2023-08-07
KRW-IOTA,2023-07-31T00:00:00,2023-07-31T09:00:00,225.0,233.0,221.0,223.0,1691366357046,6263070245.275823,27703867.68502932,2023-07-31
KRW-IOTA,2023-07-24T00:00:00,2023-07-24T09:00:00,243.0,243.0,220.0,225.0,1690761559231,7952723864.325564,34902198.6086374,2023-07-24
KRW-IOTA,2023-07-17T00:00:00,2023-07-17T09:00:00,246.0,254.0,232.0,242.0,1690156750070,11291747998.53372,46824796.65852491,2023-07-17
KRW-IOTA,2023-07-10T00:00:00,2023-07-10T09:00:00,239.0,256.0,232.0,245.0,1689551870927,14000786740.156506,57722462.63071466,2023-07-10
KRW-IOTA,2023-07-03T00:00:00,2023-07-03T09:00:00,244.0,253.0,235.0,240.0,1688947060962,8293731791.029396,33955987.80348834,2023-07-03
KRW-IOTA,2023-06-26T00:00:00,2023-06-26T09:00:00,241.0,276.0,224.0,243.0,1688342243406,21134122334.059975,85005964.2790229,2023-06-26
KRW-IOTA,2023-06-19T00:00:00,2023-06-19T09:00:00,207.0,250.0,206.0,242.0,1687737512123,6177697570.4043045,26841616.41740074,2023-06-19
KRW-IOTA,2023-06-12T00:00:00,2023-06-12T09:00:00,210.0,214.0,192.0,207.0,1687132212011,3606093463.1482487,17805872.48415124,2023-06-12
KRW-IOTA,2023-06-05T00:00:00,2023-06-05T09:00:00,269.0,271.0,180.0,210.0,1686527970198,9579468582.890373,42666023.50528358,2023-06-05
KRW-IOTA,2023-05-29T00:00:00,2023-05-29T09:00:00,269.0,301.0,260.0,269.0,1685923189784,33458076249.21633,119181843.43788469,2023-05-29
KRW-IOTA,2023-05-22T00:00:00,2023-05-22T09:00:00,237.0,273.0,234.0,269.0,1685318388169,9623098963.55326,37779995.04993593,2023-05-22
KRW-IOTA,2023-05-15T00:00:00,2023-05-15T09:00:00,240.0,250.0,235.0,238.0,1684712882286,5984000606.205035,24660810.25430298,2023-05-15
